timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 23:39:00.687, 0, 0, 36.59
2024/12/30 23:39:01.687, 0, 0, 36.58
2024/12/30 23:39:02.688, 0, 0, 36.59
2024/12/30 23:39:03.688, 0, 0, 36.58
2024/12/30 23:39:04.688, 0, 0, 36.30
2024/12/30 23:39:05.688, 0, 0, 36.58
2024/12/30 23:39:06.688, 0, 0, 36.70
2024/12/30 23:39:07.688, 0, 0, 36.70
2024/12/30 23:39:08.688, 0, 0, 36.58
2024/12/30 23:39:09.688, 0, 0, 36.59
2024/12/30 23:39:10.689, 0, 0, 36.58
2024/12/30 23:39:11.689, 0, 0, 36.70
2024/12/30 23:39:12.689, 0, 0, 36.70
2024/12/30 23:39:13.689, 0, 0, 36.57
2024/12/30 23:39:14.689, 0, 0, 36.39
2024/12/30 23:39:15.689, 0, 0, 36.58
2024/12/30 23:39:16.689, 0, 0, 36.59
2024/12/30 23:39:17.689, 0, 0, 36.59
2024/12/30 23:39:18.689, 0, 0, 36.70
2024/12/30 23:39:19.690, 0, 0, 36.78
2024/12/30 23:39:20.690, 0, 0, 36.47
2024/12/30 23:39:21.690, 0, 0, 36.58
2024/12/30 23:39:22.690, 0, 0, 36.70
2024/12/30 23:39:23.690, 0, 0, 36.39
2024/12/30 23:39:24.690, 0, 0, 36.58
2024/12/30 23:39:25.690, 0, 0, 36.29
2024/12/30 23:39:26.690, 0, 0, 38.23
2024/12/30 23:39:27.690, 0, 0, 36.68
2024/12/30 23:39:28.691, 0, 34, 36.48
2024/12/30 23:39:29.691, 0, 34, 36.57
2024/12/30 23:39:30.691, 0, 23, 36.58
2024/12/30 23:39:31.691, 0, 0, 36.68
2024/12/30 23:39:32.691, 0, 0, 36.68
2024/12/30 23:39:33.691, 0, 0, 36.70
2024/12/30 23:39:34.691, 0, 0, 36.49
2024/12/30 23:39:35.692, 0, 0, 36.70
2024/12/30 23:39:36.692, 0, 0, 36.49
2024/12/30 23:39:37.692, 0, 0, 36.29
2024/12/30 23:39:38.692, 0, 10, 36.87
2024/12/30 23:39:39.692, 0, 92, 107.31
2024/12/30 23:39:40.692, 0, 92, 109.11
2024/12/30 23:39:41.692, 0, 94, 106.84
2024/12/30 23:39:42.692, 0, 92, 93.69
2024/12/30 23:39:43.693, 0, 92, 101.27
2024/12/30 23:39:44.693, 0, 91, 109.29
2024/12/30 23:39:45.693, 0, 92, 102.51
2024/12/30 23:39:46.693, 0, 92, 106.42
2024/12/30 23:39:47.693, 0, 92, 108.40
2024/12/30 23:39:48.693, 0, 92, 103.15
2024/12/30 23:39:49.693, 0, 92, 100.63
2024/12/30 23:39:50.694, 0, 92, 108.29
2024/12/30 23:39:51.694, 0, 91, 103.86
2024/12/30 23:39:52.694, 0, 92, 102.67
2024/12/30 23:39:53.694, 0, 91, 109.19
2024/12/30 23:39:54.694, 0, 92, 107.16
