timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/31 04:01:27.136, 0, 0, 36.60
2024/12/31 04:01:28.137, 0, 0, 36.91
2024/12/31 04:01:29.137, 0, 0, 37.00
2024/12/31 04:01:30.137, 0, 0, 36.91
2024/12/31 04:01:31.138, 0, 0, 36.91
2024/12/31 04:01:32.138, 0, 0, 36.70
2024/12/31 04:01:33.138, 0, 0, 36.41
2024/12/31 04:01:34.138, 0, 0, 36.91
2024/12/31 04:01:35.138, 0, 0, 36.50
2024/12/31 04:01:36.138, 0, 0, 36.41
2024/12/31 04:01:37.138, 0, 0, 36.70
2024/12/31 04:01:38.138, 0, 0, 36.81
2024/12/31 04:01:39.139, 0, 0, 36.60
2024/12/31 04:01:40.139, 0, 0, 36.81
2024/12/31 04:01:41.139, 0, 0, 36.71
2024/12/31 04:01:42.139, 0, 0, 36.70
2024/12/31 04:01:43.139, 0, 0, 36.80
2024/12/31 04:01:44.139, 0, 0, 36.81
2024/12/31 04:01:45.139, 0, 0, 36.40
2024/12/31 04:01:46.140, 0, 0, 36.51
2024/12/31 04:01:47.140, 0, 0, 36.40
2024/12/31 04:01:48.140, 0, 0, 36.79
2024/12/31 04:01:49.140, 0, 0, 36.70
2024/12/31 04:01:50.140, 0, 0, 36.70
2024/12/31 04:01:51.140, 0, 0, 36.81
2024/12/31 04:01:52.140, 0, 0, 36.70
2024/12/31 04:01:53.141, 0, 0, 36.70
2024/12/31 04:01:54.141, 0, 54, 37.59
2024/12/31 04:01:55.141, 0, 55, 37.78
2024/12/31 04:01:56.141, 0, 59, 37.49
2024/12/31 04:01:57.141, 0, 15, 36.81
2024/12/31 04:01:58.141, 0, 0, 36.61
2024/12/31 04:01:59.141, 0, 0, 36.70
2024/12/31 04:02:00.142, 0, 0, 36.67
2024/12/31 04:02:01.142, 0, 0, 36.91
2024/12/31 04:02:02.142, 0, 0, 36.81
2024/12/31 04:02:03.142, 0, 0, 36.80
2024/12/31 04:02:04.142, 0, 0, 36.81
2024/12/31 04:02:05.142, 0, 0, 36.70
2024/12/31 04:02:06.142, 0, 90, 95.88
2024/12/31 04:02:07.142, 0, 89, 102.31
2024/12/31 04:02:08.143, 0, 89, 109.32
2024/12/31 04:02:09.143, 0, 88, 116.85
2024/12/31 04:02:10.143, 0, 89, 99.82
2024/12/31 04:02:11.143, 0, 89, 111.68
2024/12/31 04:02:12.143, 0, 88, 87.96
2024/12/31 04:02:13.143, 0, 89, 95.58
2024/12/31 04:02:14.143, 0, 89, 118.15
2024/12/31 04:02:15.144, 0, 90, 98.26
2024/12/31 04:02:16.144, 0, 91, 121.42
2024/12/31 04:02:17.144, 0, 90, 119.80
2024/12/31 04:02:18.144, 0, 90, 117.71
2024/12/31 04:02:19.144, 0, 92, 119.06
2024/12/31 04:02:20.144, 0, 89, 112.67
2024/12/31 04:02:21.145, 0, 90, 97.74
2024/12/31 04:02:22.145, 0, 90, 124.36
2024/12/31 04:02:23.145, 0, 90, 119.20
2024/12/31 04:02:24.145, 0, 92, 120.92
2024/12/31 04:02:25.145, 0, 90, 89.62
2024/12/31 04:02:26.145, 0, 90, 103.10
2024/12/31 04:02:27.145, 0, 90, 121.89
2024/12/31 04:02:28.146, 0, 90, 106.42
2024/12/31 04:02:29.146, 0, 90, 114.36
2024/12/31 04:02:30.146, 0, 90, 95.18
2024/12/31 04:02:31.146, 0, 92, 123.89
2024/12/31 04:02:32.146, 0, 90, 91.60
2024/12/31 04:02:33.146, 0, 90, 122.50
2024/12/31 04:02:34.146, 0, 90, 118.90
2024/12/31 04:02:35.147, 0, 88, 106.16
2024/12/31 04:02:36.147, 0, 90, 116.64
2024/12/31 04:02:37.147, 0, 88, 114.06
2024/12/31 04:02:38.147, 0, 90, 115.23
2024/12/31 04:02:39.147, 0, 90, 117.61
2024/12/31 04:02:40.147, 0, 90, 118.79
2024/12/31 04:02:41.148, 0, 88, 104.96
2024/12/31 04:02:42.148, 0, 88, 121.69
2024/12/31 04:02:43.148, 0, 90, 116.25
2024/12/31 04:02:44.148, 0, 90, 115.51
