file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_alpha_0.2_run_1.csv,421,97.12,40889.18
gpu_monitor_alpha_0.2_run_2.csv,424,96.74,41017.18
gpu_monitor_alpha_0.2_run_3.csv,425,96.03,40814.48
gpu_monitor_alpha_0.2_run_4.csv,425,96.13,40856.76
gpu_monitor_alpha_0.2_run_5.csv,424,96.36,40856.86
gpu_monitor_alpha_0.4_run_1.csv,438,96.3,42181.25
gpu_monitor_alpha_0.4_run_2.csv,433,96.83,41928.28
gpu_monitor_alpha_0.4_run_3.csv,431,96.77,41708.32
gpu_monitor_alpha_0.4_run_4.csv,433,96.28,41688.28
gpu_monitor_alpha_0.4_run_5.csv,432,96.81,41819.9
gpu_monitor_alpha_0.6_run_1.csv,509,96.88,49312.79
gpu_monitor_alpha_0.6_run_2.csv,510,96.87,49404.83
gpu_monitor_alpha_0.6_run_3.csv,505,96.91,48941.79
gpu_monitor_alpha_0.6_run_4.csv,505,96.81,48889.85
gpu_monitor_alpha_0.6_run_5.csv,506,97.22,49193.47
gpu_monitor_alpha_0.8_run_1.csv,812,96.88,78667.84
gpu_monitor_alpha_0.8_run_2.csv,825,95.85,79079.84
gpu_monitor_alpha_0.8_run_3.csv,816,96.73,78929.75
gpu_monitor_alpha_0.8_run_4.csv,810,96.24,77950.49
gpu_monitor_alpha_0.8_run_5.csv,812,97.24,78959.81
gpu_monitor_alpha_1.0_run_1.csv,902,97.48,87923.42
gpu_monitor_alpha_1.0_run_2.csv,910,96.8,88088.1
gpu_monitor_alpha_1.0_run_3.csv,903,96.95,87543.57
gpu_monitor_alpha_1.0_run_4.csv,911,96.74,88134.66
gpu_monitor_alpha_1.0_run_5.csv,901,96.94,87344.01
