timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 17:11:27.127, 1, 0, 37.75
2024/12/30 17:11:28.129, 1, 0, 37.75
2024/12/30 17:11:29.129, 1, 0, 37.75
2024/12/30 17:11:30.130, 1, 0, 37.75
2024/12/30 17:11:31.130, 1, 0, 37.75
2024/12/30 17:11:32.130, 1, 0, 37.74
2024/12/30 17:11:33.130, 1, 0, 37.35
2024/12/30 17:11:34.130, 1, 0, 37.75
2024/12/30 17:11:35.130, 1, 0, 37.75
2024/12/30 17:11:36.130, 1, 0, 37.85
2024/12/30 17:11:37.131, 1, 0, 37.75
2024/12/30 17:11:38.131, 1, 0, 37.44
2024/12/30 17:11:39.131, 1, 0, 38.04
2024/12/30 17:11:40.131, 1, 0, 37.75
2024/12/30 17:11:41.131, 1, 0, 37.75
2024/12/30 17:11:42.131, 1, 0, 37.64
2024/12/30 17:11:43.131, 1, 0, 37.35
2024/12/30 17:11:44.131, 1, 0, 37.75
2024/12/30 17:11:45.132, 1, 0, 37.75
2024/12/30 17:11:46.132, 1, 0, 37.75
2024/12/30 17:11:47.132, 1, 0, 37.85
2024/12/30 17:11:48.132, 1, 0, 37.85
2024/12/30 17:11:49.132, 1, 0, 37.54
2024/12/30 17:11:50.132, 1, 0, 37.75
2024/12/30 17:11:51.132, 1, 0, 37.85
2024/12/30 17:11:52.133, 1, 0, 39.32
2024/12/30 17:11:53.133, 1, 0, 39.61
2024/12/30 17:11:54.133, 1, 0, 37.84
2024/12/30 17:11:55.133, 1, 37, 38.63
2024/12/30 17:11:56.133, 1, 0, 37.74
2024/12/30 17:11:57.133, 1, 0, 37.78
2024/12/30 17:11:58.134, 1, 0, 37.98
2024/12/30 17:11:59.134, 1, 0, 37.88
2024/12/30 17:12:00.134, 1, 0, 37.53
2024/12/30 17:12:01.134, 1, 0, 37.88
2024/12/30 17:12:02.134, 1, 0, 37.88
2024/12/30 17:12:03.134, 1, 0, 38.55
2024/12/30 17:12:04.134, 1, 95, 107.78
2024/12/30 17:12:05.135, 1, 94, 107.91
2024/12/30 17:12:06.135, 1, 95, 110.21
2024/12/30 17:12:07.135, 1, 95, 108.08
2024/12/30 17:12:08.135, 1, 95, 111.35
2024/12/30 17:12:09.135, 1, 95, 107.48
2024/12/30 17:12:10.135, 1, 95, 107.77
2024/12/30 17:12:11.136, 1, 95, 105.60
2024/12/30 17:12:12.136, 1, 95, 108.69
2024/12/30 17:12:13.136, 1, 95, 110.18
2024/12/30 17:12:14.136, 1, 95, 109.94
2024/12/30 17:12:15.136, 1, 95, 106.78
2024/12/30 17:12:16.136, 1, 95, 107.67
2024/12/30 17:12:17.136, 1, 95, 110.96
2024/12/30 17:12:18.137, 1, 95, 109.11
2024/12/30 17:12:19.137, 1, 95, 110.77
2024/12/30 17:12:20.137, 1, 94, 110.70
2024/12/30 17:12:21.137, 1, 95, 111.16
2024/12/30 17:12:22.137, 1, 95, 107.17
2024/12/30 17:12:23.137, 1, 93, 111.06
2024/12/30 17:12:24.137, 1, 95, 108.07
2024/12/30 17:12:25.138, 1, 95, 104.56
2024/12/30 17:12:26.138, 1, 95, 112.44
2024/12/30 17:12:27.138, 1, 95, 108.37
2024/12/30 17:12:28.138, 1, 95, 110.95
2024/12/30 17:12:29.138, 1, 95, 108.16
2024/12/30 17:12:30.138, 1, 95, 112.94
2024/12/30 17:12:31.138, 1, 95, 106.83
2024/12/30 17:12:32.139, 1, 95, 109.78
2024/12/30 17:12:33.139, 1, 94, 112.08
2024/12/30 17:12:34.139, 1, 95, 113.04
2024/12/30 17:12:35.139, 1, 95, 110.15
2024/12/30 17:12:36.139, 1, 95, 104.82
2024/12/30 17:12:37.139, 1, 95, 103.97
2024/12/30 17:12:38.139, 1, 95, 105.60
2024/12/30 17:12:39.140, 1, 95, 111.29
2024/12/30 17:12:40.140, 1, 95, 109.99
2024/12/30 17:12:41.140, 1, 95, 103.89
2024/12/30 17:12:42.140, 1, 95, 107.28
2024/12/30 17:12:43.140, 1, 95, 105.29
2024/12/30 17:12:44.140, 1, 95, 107.06
2024/12/30 17:12:45.140, 1, 95, 109.05
2024/12/30 17:12:46.141, 1, 95, 109.86
2024/12/30 17:12:47.141, 1, 95, 106.09
2024/12/30 17:12:48.141, 1, 95, 103.66
2024/12/30 17:12:49.141, 1, 95, 109.91
2024/12/30 17:12:50.141, 1, 95, 109.01
2024/12/30 17:12:51.141, 1, 94, 104.65
2024/12/30 17:12:52.142, 1, 95, 108.63
2024/12/30 17:12:53.142, 1, 95, 102.50
2024/12/30 17:12:54.142, 1, 94, 108.99
2024/12/30 17:12:55.142, 1, 95, 104.80
2024/12/30 17:12:56.142, 1, 94, 104.24
2024/12/30 17:12:57.142, 1, 95, 112.09
2024/12/30 17:12:58.142, 1, 95, 109.25
2024/12/30 17:12:59.142, 1, 95, 102.53
2024/12/30 17:13:00.143, 1, 95, 110.49
2024/12/30 17:13:01.143, 1, 95, 109.11
2024/12/30 17:13:02.143, 1, 95, 110.53
2024/12/30 17:13:03.143, 1, 95, 103.58
2024/12/30 17:13:04.143, 1, 95, 115.76
2024/12/30 17:13:05.143, 1, 95, 109.47
2024/12/30 17:13:06.144, 1, 94, 105.66
2024/12/30 17:13:07.144, 1, 94, 105.59
2024/12/30 17:13:08.144, 1, 94, 111.98
