file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_epsilon_0.0003_run_1.csv,340,109.3,37162.56
gpu_monitor_epsilon_0.0003_run_2.csv,341,109.13,37213.83
gpu_monitor_epsilon_0.0003_run_3.csv,344,108.86,37447.04
gpu_monitor_epsilon_0.0003_run_4.csv,344,108.47,37313.48
gpu_monitor_epsilon_0.0003_run_5.csv,341,109.39,37303.07
gpu_monitor_epsilon_0.0006_run_1.csv,341,109.18,37232.03
gpu_monitor_epsilon_0.0006_run_2.csv,346,108.22,37443.01
gpu_monitor_epsilon_0.0006_run_3.csv,346,108.16,37421.86
gpu_monitor_epsilon_0.0006_run_4.csv,342,108.83,37219.48
gpu_monitor_epsilon_0.0006_run_5.csv,344,108.77,37416.09
gpu_monitor_epsilon_0.0009_run_1.csv,336,108.47,36444.65
gpu_monitor_epsilon_0.0009_run_2.csv,335,109.06,36534.9
gpu_monitor_epsilon_0.0009_run_3.csv,336,109.3,36725.45
gpu_monitor_epsilon_0.0009_run_4.csv,336,108.78,36551.14
gpu_monitor_epsilon_0.0009_run_5.csv,337,109.32,36842.12
gpu_monitor_epsilon_0.002_run_1.csv,352,109.14,38416.91
gpu_monitor_epsilon_0.002_run_2.csv,353,108.72,38379.41
gpu_monitor_epsilon_0.002_run_3.csv,351,109.04,38271.92
gpu_monitor_epsilon_0.002_run_4.csv,351,108.74,38167.34
gpu_monitor_epsilon_0.002_run_5.csv,354,108.89,38548.1
gpu_monitor_epsilon_0.004_run_1.csv,338,109.62,37052.78
gpu_monitor_epsilon_0.004_run_2.csv,340,109.2,37128.23
gpu_monitor_epsilon_0.004_run_3.csv,338,109.49,37007.78
gpu_monitor_epsilon_0.004_run_4.csv,338,109.48,37004.51
gpu_monitor_epsilon_0.004_run_5.csv,337,109.64,36948.67
