timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 14:14:39.993, 1, 0, 37.35
2024/12/30 14:14:40.994, 1, 0, 37.23
2024/12/30 14:14:41.994, 1, 0, 37.25
2024/12/30 14:14:42.995, 1, 0, 37.54
2024/12/30 14:14:43.995, 1, 0, 37.35
2024/12/30 14:14:44.995, 1, 0, 37.35
2024/12/30 14:14:45.995, 1, 0, 37.54
2024/12/30 14:14:46.995, 1, 0, 37.25
2024/12/30 14:14:47.996, 1, 0, 37.35
2024/12/30 14:14:48.996, 1, 0, 37.54
2024/12/30 14:14:49.996, 1, 0, 37.54
2024/12/30 14:14:50.996, 1, 0, 37.34
2024/12/30 14:14:51.996, 1, 0, 37.62
2024/12/30 14:14:52.996, 1, 0, 37.54
2024/12/30 14:14:53.997, 1, 0, 37.25
2024/12/30 14:14:54.997, 1, 0, 37.63
2024/12/30 14:14:55.997, 1, 0, 37.35
2024/12/30 14:14:56.997, 1, 0, 37.35
2024/12/30 14:14:57.997, 1, 0, 37.64
2024/12/30 14:14:58.998, 1, 0, 37.25
2024/12/30 14:14:59.998, 1, 0, 37.64
2024/12/30 14:15:00.998, 1, 0, 37.64
2024/12/30 14:15:01.998, 1, 0, 37.63
2024/12/30 14:15:02.998, 1, 0, 37.64
2024/12/30 14:15:03.998, 1, 0, 37.63
2024/12/30 14:15:04.998, 1, 0, 37.85
2024/12/30 14:15:05.999, 1, 0, 37.64
2024/12/30 14:15:06.999, 1, 0, 37.23
2024/12/30 14:15:07.999, 1, 0, 39.41
2024/12/30 14:15:08.999, 1, 8, 37.44
2024/12/30 14:15:09.999, 1, 50, 38.82
2024/12/30 14:15:10.999, 1, 51, 37.53
2024/12/30 14:15:11.999, 1, 0, 37.64
2024/12/30 14:15:13.000, 1, 0, 37.35
2024/12/30 14:15:14.000, 1, 0, 37.44
2024/12/30 14:15:15.000, 1, 0, 37.75
2024/12/30 14:15:16.000, 1, 0, 37.64
2024/12/30 14:15:17.000, 1, 0, 37.44
2024/12/30 14:15:18.000, 1, 0, 38.43
2024/12/30 14:15:19.000, 1, 95, 102.89
2024/12/30 14:15:20.001, 1, 95, 109.11
2024/12/30 14:15:21.001, 1, 93, 112.22
2024/12/30 14:15:22.001, 1, 95, 109.08
2024/12/30 14:15:23.001, 1, 95, 108.73
2024/12/30 14:15:24.001, 1, 95, 106.77
2024/12/30 14:15:25.001, 1, 95, 107.71
2024/12/30 14:15:26.002, 1, 95, 108.07
2024/12/30 14:15:27.002, 1, 95, 106.16
2024/12/30 14:15:28.002, 1, 95, 103.49
2024/12/30 14:15:29.002, 1, 95, 107.56
2024/12/30 14:15:30.002, 1, 93, 108.18
2024/12/30 14:15:31.002, 1, 95, 108.94
2024/12/30 14:15:32.002, 1, 94, 106.14
2024/12/30 14:15:33.003, 1, 95, 102.91
2024/12/30 14:15:34.003, 1, 95, 111.84
2024/12/30 14:15:35.003, 1, 94, 108.43
2024/12/30 14:15:36.003, 1, 95, 108.45
2024/12/30 14:15:37.003, 1, 95, 107.50
2024/12/30 14:15:38.003, 1, 93, 110.06
2024/12/30 14:15:39.004, 1, 95, 103.59
2024/12/30 14:15:40.004, 1, 94, 108.19
2024/12/30 14:15:41.004, 1, 94, 117.47
2024/12/30 14:15:42.004, 1, 95, 106.81
2024/12/30 14:15:43.004, 1, 95, 106.81
2024/12/30 14:15:44.004, 1, 95, 102.23
2024/12/30 14:15:45.005, 1, 95, 106.64
2024/12/30 14:15:46.005, 1, 95, 109.08
2024/12/30 14:15:47.005, 1, 95, 105.99
2024/12/30 14:15:48.005, 1, 95, 109.85
2024/12/30 14:15:49.005, 1, 94, 106.97
2024/12/30 14:15:50.005, 1, 95, 102.80
2024/12/30 14:15:51.005, 1, 95, 107.67
2024/12/30 14:15:52.006, 1, 94, 107.95
2024/12/30 14:15:53.006, 1, 95, 101.93
2024/12/30 14:15:54.006, 1, 95, 107.06
2024/12/30 14:15:55.006, 1, 94, 113.38
2024/12/30 14:15:56.006, 1, 95, 106.81
2024/12/30 14:15:57.006, 1, 95, 115.56
2024/12/30 14:15:58.006, 1, 95, 101.14
2024/12/30 14:15:59.007, 1, 95, 107.27
2024/12/30 14:16:00.007, 1, 95, 107.49
2024/12/30 14:16:01.007, 1, 95, 105.00
2024/12/30 14:16:02.007, 1, 95, 107.43
2024/12/30 14:16:03.007, 1, 95, 101.82
2024/12/30 14:16:04.007, 1, 95, 106.49
2024/12/30 14:16:05.008, 1, 95, 110.61
2024/12/30 14:16:06.008, 1, 95, 107.37
2024/12/30 14:16:07.008, 1, 95, 110.00
2024/12/30 14:16:08.008, 1, 95, 113.14
2024/12/30 14:16:09.008, 1, 95, 109.60
2024/12/30 14:16:10.008, 1, 95, 110.47
2024/12/30 14:16:11.008, 1, 95, 101.67
2024/12/30 14:16:12.009, 1, 95, 112.89
2024/12/30 14:16:13.009, 1, 95, 102.73
2024/12/30 14:16:14.009, 1, 95, 108.90
2024/12/30 14:16:15.009, 1, 95, 109.46
2024/12/30 14:16:16.009, 1, 95, 103.59
2024/12/30 14:16:17.009, 1, 95, 108.25
2024/12/30 14:16:18.009, 1, 95, 106.16
2024/12/30 14:16:19.010, 1, 95, 107.61
2024/12/30 14:16:20.010, 1, 95, 109.96
2024/12/30 14:16:21.010, 1, 95, 109.58
2024/12/30 14:16:22.010, 1, 95, 106.00
2024/12/30 14:16:23.010, 1, 95, 110.76
2024/12/30 14:16:24.010, 1, 95, 110.37
2024/12/30 14:16:25.010, 1, 94, 112.84
2024/12/30 14:16:26.011, 1, 95, 103.78
2024/12/30 14:16:27.011, 1, 95, 109.00
2024/12/30 14:16:28.011, 1, 95, 97.18
2024/12/30 14:16:29.011, 1, 95, 108.87
2024/12/30 14:16:30.011, 1, 95, 105.60
2024/12/30 14:16:31.011, 1, 95, 102.78
2024/12/30 14:16:32.012, 1, 95, 107.68
2024/12/30 14:16:33.012, 1, 94, 102.69
2024/12/30 14:16:34.012, 1, 95, 109.11
2024/12/30 14:16:35.012, 1, 94, 106.85
2024/12/30 14:16:36.012, 1, 94, 110.33
2024/12/30 14:16:37.012, 1, 95, 114.49
2024/12/30 14:16:38.012, 1, 95, 109.70
2024/12/30 14:16:39.013, 1, 95, 105.55
2024/12/30 14:16:40.013, 1, 95, 109.84
2024/12/30 14:16:41.013, 1, 95, 105.86
2024/12/30 14:16:42.013, 1, 95, 104.06
2024/12/30 14:16:43.013, 1, 95, 107.87
2024/12/30 14:16:44.013, 1, 95, 108.85
2024/12/30 14:16:45.013, 1, 95, 108.75
2024/12/30 14:16:46.014, 1, 95, 107.62
2024/12/30 14:16:47.014, 1, 95, 103.64
2024/12/30 14:16:48.014, 1, 95, 111.09
2024/12/30 14:16:49.014, 1, 95, 109.93
2024/12/30 14:16:50.014, 1, 95, 101.92
2024/12/30 14:16:51.014, 1, 95, 109.34
2024/12/30 14:16:52.015, 1, 95, 105.69
2024/12/30 14:16:53.015, 1, 95, 109.89
2024/12/30 14:16:54.015, 1, 93, 112.59
2024/12/30 14:16:55.015, 1, 95, 108.96
2024/12/30 14:16:56.015, 1, 95, 116.66
2024/12/30 14:16:57.015, 1, 95, 110.71
2024/12/30 14:16:58.015, 1, 95, 101.69
2024/12/30 14:16:59.016, 1, 95, 108.90
2024/12/30 14:17:00.016, 1, 95, 105.28
2024/12/30 14:17:01.016, 1, 95, 111.22
2024/12/30 14:17:02.016, 1, 95, 111.82
2024/12/30 14:17:03.016, 1, 95, 108.78
2024/12/30 14:17:04.016, 1, 95, 109.03
2024/12/30 14:17:05.017, 1, 95, 112.55
2024/12/30 14:17:06.017, 1, 94, 106.05
2024/12/30 14:17:07.017, 1, 94, 110.28
2024/12/30 14:17:08.017, 1, 95, 110.48
2024/12/30 14:17:09.017, 1, 95, 104.96
2024/12/30 14:17:10.017, 1, 95, 109.05
2024/12/30 14:17:11.017, 1, 90, 105.36
2024/12/30 14:17:12.018, 1, 95, 111.11
2024/12/30 14:17:13.018, 1, 95, 105.51
2024/12/30 14:17:14.018, 1, 95, 105.86
2024/12/30 14:17:15.018, 1, 94, 107.38
2024/12/30 14:17:16.018, 1, 94, 110.99
2024/12/30 14:17:17.018, 1, 95, 108.58
2024/12/30 14:17:18.019, 1, 94, 108.87
2024/12/30 14:17:19.019, 1, 95, 105.49
2024/12/30 14:17:20.019, 1, 94, 108.65
2024/12/30 14:17:21.019, 1, 95, 103.28
2024/12/30 14:17:22.019, 1, 94, 114.88
2024/12/30 14:17:23.019, 1, 95, 103.67
2024/12/30 14:17:24.019, 1, 94, 111.29
2024/12/30 14:17:25.020, 1, 95, 109.60
2024/12/30 14:17:26.020, 1, 93, 106.28
2024/12/30 14:17:27.020, 1, 93, 107.27
2024/12/30 14:17:28.020, 1, 95, 112.31
2024/12/30 14:17:29.020, 1, 95, 110.25
2024/12/30 14:17:30.020, 1, 90, 111.22
2024/12/30 14:17:31.020, 1, 95, 111.30
2024/12/30 14:17:32.021, 1, 95, 111.05
2024/12/30 14:17:33.021, 1, 95, 110.38
2024/12/30 14:17:34.021, 1, 95, 110.14
2024/12/30 14:17:35.021, 1, 95, 110.38
2024/12/30 14:17:36.021, 1, 95, 113.25
2024/12/30 14:17:37.021, 1, 95, 108.43
2024/12/30 14:17:38.022, 1, 94, 109.70
2024/12/30 14:17:39.022, 1, 95, 109.82
2024/12/30 14:17:40.022, 1, 95, 107.28
2024/12/30 14:17:41.022, 1, 94, 107.96
2024/12/30 14:17:42.022, 1, 94, 111.95
2024/12/30 14:17:43.022, 1, 95, 108.92
2024/12/30 14:17:44.022, 1, 95, 113.01
2024/12/30 14:17:45.023, 1, 95, 114.03
2024/12/30 14:17:46.023, 1, 95, 109.42
2024/12/30 14:17:47.023, 1, 95, 108.48
2024/12/30 14:17:48.023, 1, 95, 112.31
2024/12/30 14:17:49.023, 1, 94, 110.56
2024/12/30 14:17:50.023, 1, 95, 111.55
2024/12/30 14:17:51.023, 1, 94, 114.46
2024/12/30 14:17:52.024, 1, 94, 107.99
2024/12/30 14:17:53.024, 1, 95, 107.83
2024/12/30 14:17:54.024, 1, 95, 105.25
2024/12/30 14:17:55.024, 1, 95, 110.15
2024/12/30 14:17:56.024, 1, 95, 110.23
2024/12/30 14:17:57.024, 1, 95, 114.33
2024/12/30 14:17:58.024, 1, 94, 108.32
2024/12/30 14:17:59.025, 1, 95, 109.05
2024/12/30 14:18:00.025, 1, 95, 115.87
2024/12/30 14:18:01.025, 1, 95, 114.64
2024/12/30 14:18:02.025, 1, 95, 111.93
2024/12/30 14:18:03.025, 1, 95, 106.92
2024/12/30 14:18:04.025, 1, 95, 110.23
2024/12/30 14:18:05.026, 1, 95, 113.29
2024/12/30 14:18:06.026, 1, 94, 110.14
