file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_minp_0.02_run_1.csv,337,109.34,36846.96
gpu_monitor_minp_0.02_run_2.csv,341,108.42,36972.31
gpu_monitor_minp_0.02_run_3.csv,340,108.66,36943.99
gpu_monitor_minp_0.02_run_4.csv,337,109.28,36826.77
gpu_monitor_minp_0.02_run_5.csv,338,109.38,36970.21
gpu_monitor_minp_0.05_run_1.csv,337,109.53,36912.53
gpu_monitor_minp_0.05_run_2.csv,342,108.5,37106.98
gpu_monitor_minp_0.05_run_3.csv,342,108.47,37096.0
gpu_monitor_minp_0.05_run_4.csv,340,108.78,36984.52
gpu_monitor_minp_0.05_run_5.csv,338,109.27,36932.67
gpu_monitor_minp_0.1_run_1.csv,346,108.14,37416.26
gpu_monitor_minp_0.1_run_2.csv,342,109.07,37302.22
gpu_monitor_minp_0.1_run_3.csv,344,108.79,37422.98
gpu_monitor_minp_0.1_run_4.csv,341,109.5,37337.96
gpu_monitor_minp_0.1_run_5.csv,341,109.22,37243.09
gpu_monitor_minp_0.2_run_1.csv,333,109.31,36400.71
gpu_monitor_minp_0.2_run_2.csv,336,108.63,36500.1
gpu_monitor_minp_0.2_run_3.csv,335,108.81,36449.94
gpu_monitor_minp_0.2_run_4.csv,335,108.5,36348.06
gpu_monitor_minp_0.2_run_5.csv,335,108.49,36345.79
gpu_monitor_minp_0.3_run_1.csv,321,109.59,35179.65
gpu_monitor_minp_0.3_run_2.csv,321,109.38,35110.9
gpu_monitor_minp_0.3_run_3.csv,323,109.11,35243.79
gpu_monitor_minp_0.3_run_4.csv,321,109.24,35064.97
gpu_monitor_minp_0.3_run_5.csv,322,109.26,35182.58
