file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_temperature_0.1_run_1.csv,315,111.16,35014.31
gpu_monitor_temperature_0.1_run_2.csv,314,110.87,34812.15
gpu_monitor_temperature_0.1_run_3.csv,315,110.68,34864.16
gpu_monitor_temperature_0.1_run_4.csv,314,110.98,34848.33
gpu_monitor_temperature_0.1_run_5.csv,312,111.23,34702.78
gpu_monitor_temperature_0.3_run_1.csv,313,110.76,34667.51
gpu_monitor_temperature_0.3_run_2.csv,315,110.35,34759.09
gpu_monitor_temperature_0.3_run_3.csv,314,110.79,34786.67
gpu_monitor_temperature_0.3_run_4.csv,316,110.37,34877.05
gpu_monitor_temperature_0.3_run_5.csv,314,110.76,34777.49
gpu_monitor_temperature_0.5_run_1.csv,321,111.84,35900.69
gpu_monitor_temperature_0.5_run_2.csv,322,111.46,35889.71
gpu_monitor_temperature_0.5_run_3.csv,321,111.71,35858.8
gpu_monitor_temperature_0.5_run_4.csv,322,111.99,36060.55
gpu_monitor_temperature_0.5_run_5.csv,323,111.34,35961.94
gpu_monitor_temperature_0.7_run_1.csv,329,111.22,36590.04
gpu_monitor_temperature_0.7_run_2.csv,329,111.32,36624.48
gpu_monitor_temperature_0.7_run_3.csv,326,111.89,36476.34
gpu_monitor_temperature_0.7_run_4.csv,328,111.71,36640.62
gpu_monitor_temperature_0.7_run_5.csv,326,111.92,36487.25
gpu_monitor_temperature_0.9_run_1.csv,335,111.69,37415.58
gpu_monitor_temperature_0.9_run_2.csv,338,111.35,37636.52
gpu_monitor_temperature_0.9_run_3.csv,337,111.08,37433.27
gpu_monitor_temperature_0.9_run_4.csv,333,112.08,37322.58
gpu_monitor_temperature_0.9_run_5.csv,338,110.9,37482.82
gpu_monitor_temperature_1.0_run_1.csv,333,111.63,37171.64
gpu_monitor_temperature_1.0_run_2.csv,334,111.2,37142.25
gpu_monitor_temperature_1.0_run_3.csv,335,111.27,37274.51
gpu_monitor_temperature_1.0_run_4.csv,335,111.13,37228.37
gpu_monitor_temperature_1.0_run_5.csv,333,111.78,37224.36
gpu_monitor_temperature_1.2_run_1.csv,363,111.23,40378.18
gpu_monitor_temperature_1.2_run_2.csv,362,111.58,40390.32
gpu_monitor_temperature_1.2_run_3.csv,362,111.48,40354.83
gpu_monitor_temperature_1.2_run_4.csv,363,111.19,40361.07
gpu_monitor_temperature_1.2_run_5.csv,363,110.95,40275.79
gpu_monitor_temperature_1.5_run_1.csv,528,111.87,59065.68
gpu_monitor_temperature_1.5_run_2.csv,534,110.91,59228.58
gpu_monitor_temperature_1.5_run_3.csv,526,112.24,59037.43
gpu_monitor_temperature_1.5_run_4.csv,532,111.19,59154.52
gpu_monitor_temperature_1.5_run_5.csv,527,112.1,59076.76
gpu_monitor_temperature_2.0_run_1.csv,753,112.24,84513.32
gpu_monitor_temperature_2.0_run_2.csv,752,112.34,84477.96
gpu_monitor_temperature_2.0_run_3.csv,751,112.42,84425.86
gpu_monitor_temperature_2.0_run_4.csv,752,112.08,84285.9
gpu_monitor_temperature_2.0_run_5.csv,756,112.03,84693.05
