timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 05:31:30.504, 1, 0, 37.32
2024/12/30 05:31:31.505, 1, 0, 37.73
2024/12/30 05:31:32.505, 1, 0, 37.74
2024/12/30 05:31:33.506, 1, 0, 37.72
2024/12/30 05:31:34.506, 1, 0, 37.71
2024/12/30 05:31:35.506, 1, 0, 37.62
2024/12/30 05:31:36.506, 1, 0, 37.62
2024/12/30 05:31:37.506, 1, 0, 37.71
2024/12/30 05:31:38.506, 1, 0, 37.73
2024/12/30 05:31:39.506, 1, 0, 37.62
2024/12/30 05:31:40.507, 1, 0, 37.71
2024/12/30 05:31:41.507, 1, 0, 37.62
2024/12/30 05:31:42.507, 1, 0, 37.74
2024/12/30 05:31:43.507, 1, 0, 37.52
2024/12/30 05:31:44.507, 1, 0, 37.73
2024/12/30 05:31:45.507, 1, 0, 37.73
2024/12/30 05:31:46.507, 1, 0, 37.82
2024/12/30 05:31:47.508, 1, 0, 37.73
2024/12/30 05:31:48.508, 1, 0, 37.72
2024/12/30 05:31:49.508, 1, 0, 37.71
2024/12/30 05:31:50.508, 1, 0, 37.73
2024/12/30 05:31:51.508, 1, 0, 37.82
2024/12/30 05:31:52.508, 1, 0, 37.83
2024/12/30 05:31:53.508, 1, 0, 37.92
2024/12/30 05:31:54.509, 1, 0, 39.71
2024/12/30 05:31:55.509, 1, 16, 38.89
2024/12/30 05:31:56.509, 1, 25, 38.90
2024/12/30 05:31:57.509, 1, 50, 37.83
2024/12/30 05:31:58.509, 1, 0, 37.73
2024/12/30 05:31:59.510, 1, 0, 37.93
2024/12/30 05:32:00.510, 1, 0, 37.92
2024/12/30 05:32:01.510, 1, 0, 37.74
2024/12/30 05:32:02.510, 1, 0, 37.83
2024/12/30 05:32:03.510, 1, 0, 37.82
2024/12/30 05:32:04.510, 1, 12, 107.55
2024/12/30 05:32:05.510, 1, 94, 107.78
2024/12/30 05:32:06.511, 1, 95, 115.64
2024/12/30 05:32:07.511, 1, 95, 113.65
2024/12/30 05:32:08.511, 1, 95, 103.66
2024/12/30 05:32:09.511, 1, 95, 103.36
2024/12/30 05:32:10.511, 1, 94, 109.45
2024/12/30 05:32:11.511, 1, 95, 107.44
2024/12/30 05:32:12.511, 1, 93, 113.21
2024/12/30 05:32:13.511, 1, 95, 105.62
2024/12/30 05:32:14.512, 1, 95, 107.65
2024/12/30 05:32:15.512, 1, 95, 108.88
2024/12/30 05:32:16.512, 1, 94, 105.82
2024/12/30 05:32:17.512, 1, 95, 109.82
2024/12/30 05:32:18.512, 1, 95, 106.62
2024/12/30 05:32:19.512, 1, 95, 109.47
2024/12/30 05:32:20.513, 1, 95, 108.23
2024/12/30 05:32:21.513, 1, 94, 108.80
2024/12/30 05:32:22.513, 1, 95, 106.14
2024/12/30 05:32:23.513, 1, 94, 108.18
2024/12/30 05:32:24.513, 1, 95, 109.88
2024/12/30 05:32:25.513, 1, 94, 115.80
2024/12/30 05:32:26.513, 1, 95, 105.83
2024/12/30 05:32:27.514, 1, 93, 111.36
2024/12/30 05:32:28.514, 1, 94, 108.95
2024/12/30 05:32:29.514, 1, 95, 94.67
2024/12/30 05:32:30.514, 1, 95, 110.20
2024/12/30 05:32:31.514, 1, 94, 108.45
2024/12/30 05:32:32.514, 1, 95, 110.17
2024/12/30 05:32:33.514, 1, 94, 114.75
2024/12/30 05:32:34.515, 1, 95, 112.83
2024/12/30 05:32:35.515, 1, 95, 114.48
2024/12/30 05:32:36.515, 1, 95, 104.97
2024/12/30 05:32:37.515, 1, 94, 112.14
2024/12/30 05:32:38.515, 1, 95, 116.40
2024/12/30 05:32:39.515, 1, 95, 105.28
2024/12/30 05:32:40.515, 1, 95, 109.26
2024/12/30 05:32:41.516, 1, 95, 107.34
2024/12/30 05:32:42.516, 1, 95, 108.89
2024/12/30 05:32:43.516, 1, 95, 102.45
2024/12/30 05:32:44.516, 1, 94, 107.31
2024/12/30 05:32:45.516, 1, 95, 105.43
2024/12/30 05:32:46.516, 1, 95, 108.75
2024/12/30 05:32:47.516, 1, 95, 111.69
2024/12/30 05:32:48.517, 1, 94, 109.61
2024/12/30 05:32:49.517, 1, 95, 108.93
2024/12/30 05:32:50.517, 1, 95, 108.34
2024/12/30 05:32:51.517, 1, 95, 103.25
2024/12/30 05:32:52.517, 1, 94, 107.98
2024/12/30 05:32:53.517, 1, 94, 103.11
2024/12/30 05:32:54.517, 1, 94, 107.79
2024/12/30 05:32:55.517, 1, 94, 106.08
2024/12/30 05:32:56.518, 1, 94, 103.62
2024/12/30 05:32:57.518, 1, 93, 110.60
2024/12/30 05:32:58.518, 1, 95, 110.41
2024/12/30 05:32:59.518, 1, 94, 108.10
2024/12/30 05:33:00.518, 1, 95, 109.06
2024/12/30 05:33:01.518, 1, 95, 111.33
2024/12/30 05:33:02.519, 1, 95, 104.56
2024/12/30 05:33:03.519, 1, 94, 109.65
2024/12/30 05:33:04.519, 1, 95, 108.21
2024/12/30 05:33:05.519, 1, 95, 110.64
2024/12/30 05:33:06.519, 1, 95, 108.33
2024/12/30 05:33:07.519, 1, 95, 110.92
2024/12/30 05:33:08.519, 1, 95, 110.86
2024/12/30 05:33:09.519, 1, 95, 104.23
2024/12/30 05:33:10.520, 1, 95, 108.33
2024/12/30 05:33:11.520, 1, 95, 109.42
2024/12/30 05:33:12.520, 1, 94, 108.22
2024/12/30 05:33:13.520, 1, 95, 111.72
2024/12/30 05:33:14.520, 1, 95, 110.00
2024/12/30 05:33:15.520, 1, 95, 103.96
2024/12/30 05:33:16.520, 1, 94, 112.03
2024/12/30 05:33:17.521, 1, 95, 108.56
2024/12/30 05:33:18.521, 1, 95, 108.87
2024/12/30 05:33:19.521, 1, 94, 107.68
2024/12/30 05:33:20.521, 1, 94, 105.18
2024/12/30 05:33:21.521, 1, 93, 106.38
2024/12/30 05:33:22.521, 1, 95, 111.29
2024/12/30 05:33:23.522, 1, 95, 108.73
2024/12/30 05:33:24.522, 1, 95, 111.04
2024/12/30 05:33:25.522, 1, 95, 109.41
2024/12/30 05:33:26.522, 1, 94, 103.97
2024/12/30 05:33:27.522, 1, 94, 94.93
2024/12/30 05:33:28.522, 1, 95, 111.77
2024/12/30 05:33:29.522, 1, 94, 104.60
2024/12/30 05:33:30.522, 1, 88, 108.57
2024/12/30 05:33:31.523, 1, 95, 106.31
2024/12/30 05:33:32.523, 1, 95, 107.78
2024/12/30 05:33:33.523, 1, 95, 111.21
2024/12/30 05:33:34.523, 1, 95, 105.72
2024/12/30 05:33:35.523, 1, 95, 110.94
2024/12/30 05:33:36.523, 1, 95, 103.30
2024/12/30 05:33:37.523, 1, 95, 116.08
2024/12/30 05:33:38.524, 1, 95, 108.80
2024/12/30 05:33:39.524, 1, 95, 110.49
2024/12/30 05:33:40.524, 1, 95, 108.42
2024/12/30 05:33:41.524, 1, 95, 112.70
2024/12/30 05:33:42.524, 1, 95, 107.61
2024/12/30 05:33:43.524, 1, 95, 107.22
2024/12/30 05:33:44.524, 1, 95, 111.28
2024/12/30 05:33:45.524, 1, 95, 105.56
2024/12/30 05:33:46.525, 1, 95, 111.13
2024/12/30 05:33:47.525, 1, 94, 108.91
2024/12/30 05:33:48.525, 1, 95, 115.40
2024/12/30 05:33:49.525, 1, 95, 109.03
2024/12/30 05:33:50.525, 1, 95, 95.28
2024/12/30 05:33:51.525, 1, 94, 110.83
2024/12/30 05:33:52.525, 1, 95, 109.93
2024/12/30 05:33:53.526, 1, 95, 105.81
2024/12/30 05:33:54.526, 1, 95, 112.02
2024/12/30 05:33:55.526, 1, 94, 108.50
2024/12/30 05:33:56.526, 1, 95, 109.99
2024/12/30 05:33:57.526, 1, 95, 110.03
