file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_topk_1_run_1.csv,315,109.9,34617.96
gpu_monitor_topk_1_run_2.csv,318,109.36,34775.26
gpu_monitor_topk_1_run_3.csv,319,108.81,34708.94
gpu_monitor_topk_1_run_4.csv,318,109.11,34696.03
gpu_monitor_topk_1_run_5.csv,319,109.09,34798.17
gpu_monitor_topk_5_run_1.csv,345,109.11,37641.88
gpu_monitor_topk_5_run_2.csv,346,108.95,37697.99
gpu_monitor_topk_5_run_3.csv,346,109.1,37747.72
gpu_monitor_topk_5_run_4.csv,346,109.15,37767.21
gpu_monitor_topk_5_run_5.csv,346,108.71,37614.74
gpu_monitor_topk_25_run_1.csv,338,109.96,37165.13
gpu_monitor_topk_25_run_2.csv,340,109.18,37121.61
gpu_monitor_topk_25_run_3.csv,339,109.4,37087.5
gpu_monitor_topk_25_run_4.csv,338,109.8,37112.71
gpu_monitor_topk_25_run_5.csv,340,109.62,37271.48
gpu_monitor_topk_50_run_1.csv,338,109.44,36989.8
gpu_monitor_topk_50_run_2.csv,338,108.94,36822.16
gpu_monitor_topk_50_run_3.csv,334,109.96,36727.85
gpu_monitor_topk_50_run_4.csv,338,109.31,36945.86
gpu_monitor_topk_50_run_5.csv,338,109.23,36920.21
gpu_monitor_topk_100_run_1.csv,350,108.9,38116.54
gpu_monitor_topk_100_run_2.csv,346,110.02,38066.67
gpu_monitor_topk_100_run_3.csv,345,110.05,37967.63
gpu_monitor_topk_100_run_4.csv,348,109.37,38062.33
gpu_monitor_topk_100_run_5.csv,349,109.09,38072.86
gpu_monitor_topk_250_run_1.csv,340,109.82,37338.61
gpu_monitor_topk_250_run_2.csv,344,109.23,37575.19
gpu_monitor_topk_250_run_3.csv,341,109.62,37382.12
gpu_monitor_topk_250_run_4.csv,344,109.06,37515.8
gpu_monitor_topk_250_run_5.csv,343,109.31,37494.56
gpu_monitor_topk_500_run_1.csv,351,109.41,38404.16
gpu_monitor_topk_500_run_2.csv,348,110.09,38310.35
gpu_monitor_topk_500_run_3.csv,353,109.09,38510.07
gpu_monitor_topk_500_run_4.csv,353,109.04,38489.83
gpu_monitor_topk_500_run_5.csv,348,109.75,38191.31
