timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/30 01:37:17.982, 0, 0, 36.49
2024/12/30 01:37:18.983, 0, 0, 36.49
2024/12/30 01:37:19.983, 0, 0, 36.58
2024/12/30 01:37:20.983, 0, 0, 36.59
2024/12/30 01:37:21.984, 0, 0, 36.58
2024/12/30 01:37:22.984, 0, 0, 36.58
2024/12/30 01:37:23.984, 0, 0, 36.58
2024/12/30 01:37:24.984, 0, 0, 36.49
2024/12/30 01:37:25.984, 0, 0, 36.40
2024/12/30 01:37:26.985, 0, 0, 36.29
2024/12/30 01:37:27.985, 0, 0, 36.39
2024/12/30 01:37:28.985, 0, 0, 36.49
2024/12/30 01:37:29.985, 0, 0, 36.40
2024/12/30 01:37:30.985, 0, 0, 36.49
2024/12/30 01:37:31.985, 0, 0, 36.49
2024/12/30 01:37:32.985, 0, 0, 36.39
2024/12/30 01:37:33.985, 0, 0, 36.39
2024/12/30 01:37:34.985, 0, 0, 36.49
2024/12/30 01:37:35.986, 0, 0, 36.39
2024/12/30 01:37:36.986, 0, 0, 36.39
2024/12/30 01:37:37.986, 0, 0, 36.39
2024/12/30 01:37:38.986, 0, 0, 36.29
2024/12/30 01:37:39.986, 0, 0, 36.40
2024/12/30 01:37:40.986, 0, 0, 36.39
2024/12/30 01:37:41.986, 0, 0, 36.49
2024/12/30 01:37:42.986, 0, 0, 36.39
2024/12/30 01:37:43.986, 0, 0, 36.39
2024/12/30 01:37:44.986, 0, 0, 38.38
2024/12/30 01:37:45.987, 0, 0, 37.55
2024/12/30 01:37:46.987, 0, 58, 37.45
2024/12/30 01:37:47.987, 0, 32, 36.39
2024/12/30 01:37:48.987, 0, 0, 36.49
2024/12/30 01:37:49.987, 0, 0, 36.49
2024/12/30 01:37:50.987, 0, 0, 36.40
2024/12/30 01:37:51.987, 0, 0, 36.40
2024/12/30 01:37:52.988, 0, 0, 36.49
2024/12/30 01:37:53.988, 0, 0, 36.58
2024/12/30 01:37:54.988, 0, 25, 111.32
2024/12/30 01:37:55.988, 0, 95, 112.51
2024/12/30 01:37:56.988, 0, 95, 103.72
2024/12/30 01:37:57.988, 0, 93, 107.20
2024/12/30 01:37:58.989, 0, 95, 106.69
2024/12/30 01:37:59.989, 0, 95, 104.27
2024/12/30 01:38:00.989, 0, 95, 109.70
2024/12/30 01:38:01.989, 0, 95, 107.65
2024/12/30 01:38:02.989, 0, 95, 114.28
2024/12/30 01:38:03.989, 0, 95, 104.78
2024/12/30 01:38:04.989, 0, 93, 104.71
2024/12/30 01:38:05.989, 0, 95, 104.04
2024/12/30 01:38:06.989, 0, 95, 106.74
2024/12/30 01:38:07.990, 0, 95, 108.79
2024/12/30 01:38:08.990, 0, 95, 105.39
2024/12/30 01:38:09.990, 0, 94, 110.60
2024/12/30 01:38:10.990, 0, 95, 105.01
2024/12/30 01:38:11.990, 0, 95, 105.37
2024/12/30 01:38:12.990, 0, 95, 111.09
2024/12/30 01:38:13.990, 0, 95, 110.79
2024/12/30 01:38:14.990, 0, 95, 110.98
2024/12/30 01:38:15.990, 0, 94, 107.15
2024/12/30 01:38:16.991, 0, 95, 109.24
2024/12/30 01:38:17.991, 0, 95, 107.19
2024/12/30 01:38:18.991, 0, 95, 96.80
2024/12/30 01:38:19.991, 0, 95, 103.65
2024/12/30 01:38:20.991, 0, 95, 111.84
2024/12/30 01:38:21.991, 0, 95, 108.78
2024/12/30 01:38:22.991, 0, 94, 110.67
2024/12/30 01:38:23.991, 0, 95, 109.12
2024/12/30 01:38:24.992, 0, 95, 105.44
2024/12/30 01:38:25.992, 0, 95, 113.65
2024/12/30 01:38:26.992, 0, 94, 110.59
2024/12/30 01:38:27.992, 0, 95, 110.09
2024/12/30 01:38:28.992, 0, 95, 112.93
2024/12/30 01:38:29.992, 0, 95, 112.13
2024/12/30 01:38:30.992, 0, 94, 106.14
2024/12/30 01:38:31.992, 0, 95, 112.54
2024/12/30 01:38:32.993, 0, 95, 106.64
2024/12/30 01:38:33.993, 0, 95, 104.36
2024/12/30 01:38:34.993, 0, 95, 112.80
2024/12/30 01:38:35.993, 0, 95, 110.24
2024/12/30 01:38:36.993, 0, 95, 113.36
2024/12/30 01:38:37.993, 0, 95, 114.37
2024/12/30 01:38:38.993, 0, 95, 115.92
2024/12/30 01:38:39.993, 0, 95, 111.57
2024/12/30 01:38:40.993, 0, 95, 111.96
2024/12/30 01:38:41.994, 0, 95, 107.89
2024/12/30 01:38:42.994, 0, 94, 107.55
2024/12/30 01:38:43.994, 0, 95, 108.80
2024/12/30 01:38:44.994, 0, 95, 108.56
2024/12/30 01:38:45.994, 0, 95, 108.75
2024/12/30 01:38:46.994, 0, 95, 108.58
2024/12/30 01:38:47.994, 0, 95, 104.75
2024/12/30 01:38:48.994, 0, 94, 111.03
2024/12/30 01:38:49.995, 0, 95, 101.73
2024/12/30 01:38:50.995, 0, 95, 114.61
2024/12/30 01:38:51.995, 0, 94, 109.51
2024/12/30 01:38:52.995, 0, 95, 113.78
2024/12/30 01:38:53.995, 0, 95, 110.83
2024/12/30 01:38:54.995, 0, 95, 113.00
2024/12/30 01:38:55.995, 0, 95, 110.51
2024/12/30 01:38:56.995, 0, 94, 109.39
2024/12/30 01:38:57.996, 0, 94, 106.61
2024/12/30 01:38:58.996, 0, 95, 107.89
2024/12/30 01:38:59.996, 0, 95, 114.41
2024/12/30 01:39:00.996, 0, 95, 108.73
2024/12/30 01:39:01.996, 0, 95, 114.30
2024/12/30 01:39:02.996, 0, 95, 112.95
2024/12/30 01:39:03.996, 0, 95, 115.49
2024/12/30 01:39:04.996, 0, 95, 111.66
2024/12/30 01:39:05.996, 0, 95, 110.68
2024/12/30 01:39:06.997, 0, 95, 110.49
2024/12/30 01:39:07.997, 0, 95, 112.32
2024/12/30 01:39:08.997, 0, 95, 111.50
2024/12/30 01:39:09.997, 0, 95, 112.63
2024/12/30 01:39:10.997, 0, 95, 109.76
2024/12/30 01:39:11.997, 0, 95, 108.01
2024/12/30 01:39:12.997, 0, 95, 101.82
2024/12/30 01:39:13.997, 0, 95, 107.24
2024/12/30 01:39:14.998, 0, 95, 113.45
2024/12/30 01:39:15.998, 0, 95, 108.83
2024/12/30 01:39:16.998, 0, 95, 111.97
2024/12/30 01:39:17.998, 0, 95, 115.38
