file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_contrastive_k25_0.2_run_1.csv,640,102.5,65600.04
gpu_monitor_contrastive_k25_0.2_run_2.csv,640,103.03,65939.86
gpu_monitor_contrastive_k25_0.2_run_3.csv,637,103.2,65739.68
gpu_monitor_contrastive_k25_0.2_run_4.csv,645,102.64,66202.31
gpu_monitor_contrastive_k25_0.2_run_5.csv,642,102.44,65768.71
gpu_monitor_contrastive_k25_0.4_run_1.csv,657,102.84,67565.16
gpu_monitor_contrastive_k25_0.4_run_2.csv,658,103.01,67782.16
gpu_monitor_contrastive_k25_0.4_run_3.csv,661,102.23,67575.24
gpu_monitor_contrastive_k25_0.4_run_4.csv,660,102.9,67917.2
gpu_monitor_contrastive_k25_0.4_run_5.csv,655,103.66,67898.02
gpu_monitor_contrastive_k25_0.6_run_1.csv,946,104.39,98751.98
gpu_monitor_contrastive_k25_0.6_run_2.csv,945,104.3,98560.61
gpu_monitor_contrastive_k25_0.6_run_3.csv,952,103.72,98737.71
gpu_monitor_contrastive_k25_0.6_run_4.csv,952,103.63,98651.85
gpu_monitor_contrastive_k25_0.6_run_5.csv,945,104.06,98336.75
gpu_monitor_contrastive_k25_0.8_run_1.csv,1753,105.21,184426.81
gpu_monitor_contrastive_k25_0.8_run_2.csv,1755,106.1,186210.64
gpu_monitor_contrastive_k25_0.8_run_3.csv,1751,106.03,185652.43
gpu_monitor_contrastive_k25_0.8_run_4.csv,1739,106.09,184497.7
gpu_monitor_contrastive_k25_0.8_run_5.csv,1736,106.12,184223.74
gpu_monitor_contrastive_k25_1.0_run_1.csv,1686,106.2,179059.34
gpu_monitor_contrastive_k25_1.0_run_2.csv,1701,105.62,179654.67
gpu_monitor_contrastive_k25_1.0_run_3.csv,1694,105.69,179037.07
gpu_monitor_contrastive_k25_1.0_run_4.csv,1685,106.47,179404.93
gpu_monitor_contrastive_k25_1.0_run_5.csv,1689,106.07,179144.72
