timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/24 21:36:46.048, 0, 0, 37.00
2024/12/24 21:36:47.049, 0, 0, 36.89
2024/12/24 21:36:48.049, 0, 0, 36.89
2024/12/24 21:36:49.049, 0, 0, 36.80
2024/12/24 21:36:50.050, 0, 0, 36.80
2024/12/24 21:36:51.050, 0, 0, 36.79
2024/12/24 21:36:52.050, 0, 0, 36.89
2024/12/24 21:36:53.050, 0, 0, 36.79
2024/12/24 21:36:54.050, 0, 0, 36.80
2024/12/24 21:36:55.050, 0, 0, 36.89
2024/12/24 21:36:56.050, 0, 0, 36.70
2024/12/24 21:36:57.051, 0, 0, 36.68
2024/12/24 21:36:58.051, 0, 0, 36.79
2024/12/24 21:36:59.051, 0, 0, 36.70
2024/12/24 21:37:00.051, 0, 0, 36.68
2024/12/24 21:37:01.052, 0, 0, 36.80
2024/12/24 21:37:02.052, 0, 0, 36.79
2024/12/24 21:37:03.052, 0, 0, 36.70
2024/12/24 21:37:04.052, 0, 0, 36.70
2024/12/24 21:37:05.052, 0, 0, 36.70
2024/12/24 21:37:06.052, 0, 0, 36.70
2024/12/24 21:37:07.052, 0, 0, 36.70
2024/12/24 21:37:08.053, 0, 0, 36.70
2024/12/24 21:37:09.053, 0, 0, 36.79
2024/12/24 21:37:10.053, 0, 0, 36.79
2024/12/24 21:37:11.053, 0, 0, 36.80
2024/12/24 21:37:12.054, 0, 0, 36.70
2024/12/24 21:37:13.054, 0, 0, 36.70
2024/12/24 21:37:14.054, 0, 31, 37.36
2024/12/24 21:37:15.054, 0, 9, 36.97
2024/12/24 21:37:16.054, 0, 13, 36.79
2024/12/24 21:37:17.054, 0, 35, 36.70
2024/12/24 21:37:18.054, 0, 31, 37.25
2024/12/24 21:37:19.055, 0, 0, 36.69
2024/12/24 21:37:20.055, 0, 0, 36.90
2024/12/24 21:37:21.055, 0, 0, 36.70
2024/12/24 21:37:22.055, 0, 0, 36.79
2024/12/24 21:37:23.055, 0, 0, 36.78
2024/12/24 21:37:24.055, 0, 0, 36.49
2024/12/24 21:37:25.055, 0, 8, 37.40
2024/12/24 21:37:26.055, 0, 85, 82.00
2024/12/24 21:37:27.056, 0, 87, 100.17
2024/12/24 21:37:28.056, 0, 86, 101.89
2024/12/24 21:37:29.056, 0, 87, 95.72
2024/12/24 21:37:30.056, 0, 87, 97.40
2024/12/24 21:37:31.056, 0, 85, 86.33
2024/12/24 21:37:32.056, 0, 87, 105.05
2024/12/24 21:37:33.056, 0, 87, 88.42
2024/12/24 21:37:34.057, 0, 87, 103.39
2024/12/24 21:37:35.057, 0, 86, 107.21
2024/12/24 21:37:36.057, 0, 85, 103.95
2024/12/24 21:37:37.057, 0, 86, 100.40
2024/12/24 21:37:38.057, 0, 84, 101.23
2024/12/24 21:37:39.057, 0, 85, 86.01
2024/12/24 21:37:40.057, 0, 86, 103.14
2024/12/24 21:37:41.058, 0, 87, 91.79
2024/12/24 21:37:42.058, 0, 85, 92.44
2024/12/24 21:37:43.058, 0, 87, 96.04
2024/12/24 21:37:44.058, 0, 89, 110.33
2024/12/24 21:37:45.058, 0, 86, 103.74
2024/12/24 21:37:46.058, 0, 87, 85.18
2024/12/24 21:37:47.058, 0, 87, 90.94
2024/12/24 21:37:48.059, 0, 86, 99.69
2024/12/24 21:37:49.059, 0, 86, 96.50
2024/12/24 21:37:50.059, 0, 87, 107.72
2024/12/24 21:37:51.059, 0, 86, 85.84
2024/12/24 21:37:52.059, 0, 86, 84.50
2024/12/24 21:37:53.059, 0, 86, 89.45
2024/12/24 21:37:54.059, 0, 87, 102.00
2024/12/24 21:37:55.060, 0, 87, 103.26
2024/12/24 21:37:56.060, 0, 86, 99.20
2024/12/24 21:37:57.060, 0, 87, 105.52
2024/12/24 21:37:58.060, 0, 85, 84.94
2024/12/24 21:37:59.060, 0, 87, 93.08
2024/12/24 21:38:00.060, 0, 87, 93.10
2024/12/24 21:38:01.060, 0, 85, 106.89
2024/12/24 21:38:02.061, 0, 87, 103.09
2024/12/24 21:38:03.061, 0, 85, 98.75
2024/12/24 21:38:04.061, 0, 85, 87.77
