file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_epsilon_0.0003_run_1.csv,455,110.42,50241.5
gpu_monitor_epsilon_0.0003_run_2.csv,456,110.09,50202.73
gpu_monitor_epsilon_0.0003_run_3.csv,449,111.33,49987.79
gpu_monitor_epsilon_0.0003_run_4.csv,455,110.28,50175.28
gpu_monitor_epsilon_0.0003_run_5.csv,451,111.12,50113.86
gpu_monitor_epsilon_0.0006_run_1.csv,462,110.62,51105.25
gpu_monitor_epsilon_0.0006_run_2.csv,457,111.05,50751.36
gpu_monitor_epsilon_0.0006_run_3.csv,459,110.76,50837.49
gpu_monitor_epsilon_0.0006_run_4.csv,458,110.99,50835.51
gpu_monitor_epsilon_0.0006_run_5.csv,460,111.08,51097.96
gpu_monitor_epsilon_0.0009_run_1.csv,458,111.14,50902.82
gpu_monitor_epsilon_0.0009_run_2.csv,457,111.15,50795.25
gpu_monitor_epsilon_0.0009_run_3.csv,458,111.01,50841.62
gpu_monitor_epsilon_0.0009_run_4.csv,466,109.84,51185.03
gpu_monitor_epsilon_0.0009_run_5.csv,462,110.12,50876.32
gpu_monitor_epsilon_0.002_run_1.csv,466,110.76,51612.29
gpu_monitor_epsilon_0.002_run_2.csv,468,110.36,51649.44
gpu_monitor_epsilon_0.002_run_3.csv,468,110.16,51555.91
gpu_monitor_epsilon_0.002_run_4.csv,463,111.31,51534.59
gpu_monitor_epsilon_0.002_run_5.csv,463,111.24,51504.09
gpu_monitor_epsilon_0.004_run_1.csv,459,110.51,50726.36
gpu_monitor_epsilon_0.004_run_2.csv,460,110.33,50753.79
gpu_monitor_epsilon_0.004_run_3.csv,455,111.37,50674.62
gpu_monitor_epsilon_0.004_run_4.csv,455,110.77,50398.27
gpu_monitor_epsilon_0.004_run_5.csv,456,110.21,50255.68
