timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 16:00:49.520, 1, 0, 37.65
2024/12/25 16:00:50.521, 1, 0, 37.65
2024/12/25 16:00:51.521, 1, 0, 37.53
2024/12/25 16:00:52.522, 1, 0, 37.64
2024/12/25 16:00:53.522, 1, 0, 37.54
2024/12/25 16:00:54.522, 1, 0, 37.74
2024/12/25 16:00:55.522, 1, 0, 37.65
2024/12/25 16:00:56.522, 1, 0, 37.54
2024/12/25 16:00:57.522, 1, 0, 37.54
2024/12/25 16:00:58.522, 1, 0, 37.54
2024/12/25 16:00:59.523, 1, 0, 37.54
2024/12/25 16:01:00.523, 1, 0, 37.54
2024/12/25 16:01:01.523, 1, 0, 37.75
2024/12/25 16:01:02.523, 1, 0, 37.65
2024/12/25 16:01:03.523, 1, 0, 37.65
2024/12/25 16:01:04.523, 1, 0, 37.65
2024/12/25 16:01:05.523, 1, 0, 37.65
2024/12/25 16:01:06.524, 1, 0, 37.65
2024/12/25 16:01:07.524, 1, 0, 37.75
2024/12/25 16:01:08.524, 1, 0, 37.65
2024/12/25 16:01:09.524, 1, 0, 37.64
2024/12/25 16:01:10.524, 1, 0, 37.65
2024/12/25 16:01:11.524, 1, 0, 38.04
2024/12/25 16:01:12.524, 1, 0, 37.75
2024/12/25 16:01:13.525, 1, 0, 37.64
2024/12/25 16:01:14.525, 1, 0, 37.65
2024/12/25 16:01:15.525, 1, 0, 37.65
2024/12/25 16:01:16.525, 1, 0, 37.85
2024/12/25 16:01:17.525, 1, 0, 37.75
2024/12/25 16:01:18.525, 1, 0, 37.64
2024/12/25 16:01:19.525, 1, 19, 38.23
2024/12/25 16:01:20.526, 1, 0, 37.74
2024/12/25 16:01:21.526, 1, 30, 37.74
2024/12/25 16:01:22.526, 1, 30, 38.52
2024/12/25 16:01:23.526, 1, 11, 38.33
2024/12/25 16:01:24.526, 1, 0, 37.65
2024/12/25 16:01:25.526, 1, 0, 37.65
2024/12/25 16:01:26.526, 1, 0, 37.75
2024/12/25 16:01:27.526, 1, 0, 37.75
2024/12/25 16:01:28.527, 1, 0, 37.95
2024/12/25 16:01:29.527, 1, 0, 37.75
2024/12/25 16:01:30.527, 1, 0, 37.75
2024/12/25 16:01:31.527, 1, 19, 108.85
2024/12/25 16:01:32.527, 1, 94, 109.19
2024/12/25 16:01:33.527, 1, 95, 107.53
2024/12/25 16:01:34.527, 1, 94, 110.88
2024/12/25 16:01:35.528, 1, 96, 110.29
2024/12/25 16:01:36.528, 1, 96, 112.90
2024/12/25 16:01:37.528, 1, 95, 108.95
2024/12/25 16:01:38.528, 1, 96, 111.19
2024/12/25 16:01:39.528, 1, 96, 107.32
2024/12/25 16:01:40.528, 1, 96, 108.29
2024/12/25 16:01:41.528, 1, 96, 112.58
2024/12/25 16:01:42.529, 1, 96, 108.74
2024/12/25 16:01:43.529, 1, 95, 110.25
2024/12/25 16:01:44.529, 1, 96, 111.81
2024/12/25 16:01:45.529, 1, 96, 110.33
2024/12/25 16:01:46.529, 1, 96, 109.80
2024/12/25 16:01:47.529, 1, 96, 108.29
2024/12/25 16:01:48.529, 1, 96, 109.78
2024/12/25 16:01:49.530, 1, 96, 108.90
2024/12/25 16:01:50.530, 1, 96, 110.28
2024/12/25 16:01:51.530, 1, 96, 113.00
2024/12/25 16:01:52.530, 1, 95, 116.21
2024/12/25 16:01:53.530, 1, 96, 104.91
2024/12/25 16:01:54.530, 1, 95, 106.07
2024/12/25 16:01:55.530, 1, 96, 109.65
2024/12/25 16:01:56.531, 1, 96, 108.87
2024/12/25 16:01:57.531, 1, 96, 111.06
2024/12/25 16:01:58.531, 1, 96, 110.31
2024/12/25 16:01:59.531, 1, 96, 109.60
2024/12/25 16:02:00.531, 1, 93, 105.89
2024/12/25 16:02:01.531, 1, 96, 111.50
2024/12/25 16:02:02.531, 1, 95, 112.17
2024/12/25 16:02:03.532, 1, 96, 105.68
2024/12/25 16:02:04.532, 1, 96, 108.19
2024/12/25 16:02:05.532, 1, 96, 109.49
2024/12/25 16:02:06.532, 1, 96, 107.54
2024/12/25 16:02:07.532, 1, 96, 110.33
2024/12/25 16:02:08.532, 1, 96, 110.59
2024/12/25 16:02:09.532, 1, 96, 111.79
2024/12/25 16:02:10.533, 1, 96, 109.49
2024/12/25 16:02:11.533, 1, 96, 109.76
2024/12/25 16:02:12.533, 1, 95, 109.33
2024/12/25 16:02:13.533, 1, 96, 112.64
2024/12/25 16:02:14.533, 1, 96, 110.46
2024/12/25 16:02:15.533, 1, 95, 112.07
2024/12/25 16:02:16.533, 1, 96, 106.43
2024/12/25 16:02:17.533, 1, 96, 106.83
2024/12/25 16:02:18.534, 1, 96, 109.78
2024/12/25 16:02:19.534, 1, 95, 108.42
2024/12/25 16:02:20.534, 1, 96, 107.34
2024/12/25 16:02:21.534, 1, 96, 107.64
2024/12/25 16:02:22.534, 1, 96, 112.88
2024/12/25 16:02:23.534, 1, 96, 112.60
2024/12/25 16:02:24.535, 1, 96, 110.23
2024/12/25 16:02:25.535, 1, 96, 110.69
2024/12/25 16:02:26.535, 1, 95, 108.68
2024/12/25 16:02:27.535, 1, 96, 106.33
2024/12/25 16:02:28.535, 1, 96, 107.57
2024/12/25 16:02:29.535, 1, 96, 112.11
2024/12/25 16:02:30.535, 1, 96, 108.97
2024/12/25 16:02:31.535, 1, 96, 110.34
2024/12/25 16:02:32.536, 1, 96, 110.83
2024/12/25 16:02:33.536, 1, 96, 110.47
2024/12/25 16:02:34.536, 1, 96, 108.90
2024/12/25 16:02:35.536, 1, 96, 111.11
2024/12/25 16:02:36.536, 1, 96, 111.65
2024/12/25 16:02:37.536, 1, 95, 110.20
2024/12/25 16:02:38.537, 1, 96, 108.25
2024/12/25 16:02:39.537, 1, 96, 106.04
2024/12/25 16:02:40.537, 1, 96, 110.33
2024/12/25 16:02:41.537, 1, 96, 110.33
2024/12/25 16:02:42.537, 1, 96, 107.24
2024/12/25 16:02:43.537, 1, 96, 111.03
2024/12/25 16:02:44.537, 1, 96, 110.99
2024/12/25 16:02:45.537, 1, 96, 111.04
2024/12/25 16:02:46.538, 1, 96, 111.35
2024/12/25 16:02:47.538, 1, 96, 110.56
2024/12/25 16:02:48.538, 1, 96, 113.75
2024/12/25 16:02:49.538, 1, 96, 107.01
2024/12/25 16:02:50.538, 1, 91, 109.21
2024/12/25 16:02:51.538, 1, 96, 111.17
2024/12/25 16:02:52.538, 1, 96, 110.04
2024/12/25 16:02:53.539, 1, 96, 117.31
2024/12/25 16:02:54.539, 1, 96, 108.16
2024/12/25 16:02:55.539, 1, 96, 113.26
2024/12/25 16:02:56.539, 1, 96, 111.84
2024/12/25 16:02:57.540, 1, 93, 109.95
2024/12/25 16:02:58.540, 1, 95, 112.88
2024/12/25 16:02:59.540, 1, 94, 104.65
2024/12/25 16:03:00.540, 1, 96, 105.84
2024/12/25 16:03:01.540, 1, 96, 108.63
2024/12/25 16:03:02.540, 1, 96, 110.17
2024/12/25 16:03:03.540, 1, 96, 112.93
2024/12/25 16:03:04.541, 1, 96, 105.36
2024/12/25 16:03:05.541, 1, 96, 113.54
2024/12/25 16:03:06.541, 1, 96, 109.31
2024/12/25 16:03:07.541, 1, 96, 110.43
2024/12/25 16:03:08.541, 1, 96, 112.64
2024/12/25 16:03:09.541, 1, 96, 106.59
2024/12/25 16:03:10.541, 1, 96, 106.44
2024/12/25 16:03:11.542, 1, 95, 112.35
2024/12/25 16:03:12.542, 1, 96, 112.63
2024/12/25 16:03:13.542, 1, 88, 104.77
2024/12/25 16:03:14.542, 1, 91, 110.75
2024/12/25 16:03:15.542, 1, 95, 111.64
2024/12/25 16:03:16.542, 1, 96, 110.68
