file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_min_p_0.02_run_1.csv,458,110.43,50576.04
gpu_monitor_min_p_0.02_run_2.csv,458,110.11,50428.17
gpu_monitor_min_p_0.02_run_3.csv,457,110.55,50521.55
gpu_monitor_min_p_0.02_run_4.csv,462,109.9,50776.01
gpu_monitor_min_p_0.02_run_5.csv,455,110.8,50414.27
gpu_monitor_min_p_0.05_run_1.csv,459,110.05,50513.59
gpu_monitor_min_p_0.05_run_2.csv,455,110.68,50360.55
gpu_monitor_min_p_0.05_run_3.csv,459,109.83,50411.08
gpu_monitor_min_p_0.05_run_4.csv,459,109.63,50322.0
gpu_monitor_min_p_0.05_run_5.csv,456,110.35,50320.66
gpu_monitor_min_p_0.1_run_1.csv,460,109.77,50492.54
gpu_monitor_min_p_0.1_run_2.csv,460,109.97,50586.6
gpu_monitor_min_p_0.1_run_3.csv,460,110.02,50608.61
gpu_monitor_min_p_0.1_run_4.csv,456,110.55,50411.64
gpu_monitor_min_p_0.1_run_5.csv,461,109.97,50696.43
gpu_monitor_min_p_0.2_run_1.csv,435,110.55,48089.14
gpu_monitor_min_p_0.2_run_2.csv,441,110.15,48574.19
gpu_monitor_min_p_0.2_run_3.csv,441,110.03,48524.6
gpu_monitor_min_p_0.2_run_4.csv,440,110.23,48499.23
gpu_monitor_min_p_0.2_run_5.csv,438,110.3,48312.67
gpu_monitor_min_p_0.3_run_1.csv,442,109.91,48578.24
gpu_monitor_min_p_0.3_run_2.csv,442,110.14,48680.99
gpu_monitor_min_p_0.3_run_3.csv,442,109.87,48562.48
gpu_monitor_min_p_0.3_run_4.csv,442,109.88,48568.7
gpu_monitor_min_p_0.3_run_5.csv,440,110.25,48511.84
