timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/25 08:14:11.387, 1, 0, 37.15
2024/12/25 08:14:12.388, 1, 0, 37.15
2024/12/25 08:14:13.388, 1, 0, 37.12
2024/12/25 08:14:14.389, 1, 0, 37.26
2024/12/25 08:14:15.389, 1, 0, 37.15
2024/12/25 08:14:16.389, 1, 0, 37.12
2024/12/25 08:14:17.389, 1, 0, 37.15
2024/12/25 08:14:18.389, 1, 0, 37.14
2024/12/25 08:14:19.389, 1, 0, 37.25
2024/12/25 08:14:20.389, 1, 0, 37.13
2024/12/25 08:14:21.390, 1, 0, 37.15
2024/12/25 08:14:22.390, 1, 0, 37.35
2024/12/25 08:14:23.390, 1, 0, 37.24
2024/12/25 08:14:24.390, 1, 0, 37.05
2024/12/25 08:14:25.390, 1, 0, 37.04
2024/12/25 08:14:26.390, 1, 0, 37.03
2024/12/25 08:14:27.390, 1, 0, 36.94
2024/12/25 08:14:28.390, 1, 0, 37.05
2024/12/25 08:14:29.391, 1, 0, 36.94
2024/12/25 08:14:30.391, 1, 0, 37.05
2024/12/25 08:14:31.391, 1, 0, 37.05
2024/12/25 08:14:32.391, 1, 0, 37.05
2024/12/25 08:14:33.391, 1, 0, 36.94
2024/12/25 08:14:34.391, 1, 0, 37.15
2024/12/25 08:14:35.391, 1, 0, 37.05
2024/12/25 08:14:36.392, 1, 0, 37.04
2024/12/25 08:14:37.392, 1, 27, 37.62
2024/12/25 08:14:38.392, 1, 2, 37.52
2024/12/25 08:14:39.392, 1, 30, 37.73
2024/12/25 08:14:40.392, 1, 30, 37.73
2024/12/25 08:14:41.392, 1, 30, 37.62
2024/12/25 08:14:42.392, 1, 0, 36.94
2024/12/25 08:14:43.392, 1, 0, 37.05
2024/12/25 08:14:44.393, 1, 0, 37.04
2024/12/25 08:14:45.393, 1, 0, 37.04
2024/12/25 08:14:46.393, 1, 0, 37.05
2024/12/25 08:14:47.393, 1, 0, 36.94
2024/12/25 08:14:48.393, 1, 0, 37.13
2024/12/25 08:14:49.393, 1, 93, 107.51
2024/12/25 08:14:50.393, 1, 95, 107.57
2024/12/25 08:14:51.394, 1, 94, 107.46
2024/12/25 08:14:52.394, 1, 95, 106.83
2024/12/25 08:14:53.394, 1, 95, 107.62
2024/12/25 08:14:54.394, 1, 95, 102.73
2024/12/25 08:14:55.394, 1, 95, 108.13
2024/12/25 08:14:56.394, 1, 95, 105.69
2024/12/25 08:14:57.394, 1, 95, 107.75
2024/12/25 08:14:58.394, 1, 95, 100.70
2024/12/25 08:14:59.395, 1, 95, 102.22
2024/12/25 08:15:00.395, 1, 95, 109.24
2024/12/25 08:15:01.395, 1, 95, 103.19
2024/12/25 08:15:02.395, 1, 95, 108.79
2024/12/25 08:15:03.395, 1, 95, 107.69
2024/12/25 08:15:04.395, 1, 94, 100.29
2024/12/25 08:15:05.395, 1, 95, 105.48
2024/12/25 08:15:06.396, 1, 95, 108.92
2024/12/25 08:15:07.396, 1, 95, 101.10
2024/12/25 08:15:08.396, 1, 95, 104.21
2024/12/25 08:15:09.396, 1, 95, 101.78
2024/12/25 08:15:10.396, 1, 94, 101.01
2024/12/25 08:15:11.396, 1, 95, 104.64
2024/12/25 08:15:12.396, 1, 95, 105.96
2024/12/25 08:15:13.396, 1, 95, 106.38
2024/12/25 08:15:14.397, 1, 95, 105.79
2024/12/25 08:15:15.397, 1, 95, 107.79
2024/12/25 08:15:16.397, 1, 95, 105.42
2024/12/25 08:15:17.397, 1, 94, 100.97
2024/12/25 08:15:18.397, 1, 94, 109.96
2024/12/25 08:15:19.397, 1, 95, 107.97
2024/12/25 08:15:20.397, 1, 95, 110.56
2024/12/25 08:15:21.398, 1, 95, 107.91
2024/12/25 08:15:22.398, 1, 95, 107.88
2024/12/25 08:15:23.398, 1, 95, 101.76
2024/12/25 08:15:24.398, 1, 95, 101.80
2024/12/25 08:15:25.398, 1, 95, 110.09
2024/12/25 08:15:26.398, 1, 95, 108.69
2024/12/25 08:15:27.398, 1, 95, 106.85
2024/12/25 08:15:28.399, 1, 95, 109.39
2024/12/25 08:15:29.399, 1, 95, 107.42
2024/12/25 08:15:30.399, 1, 95, 106.93
2024/12/25 08:15:31.399, 1, 95, 108.51
2024/12/25 08:15:32.399, 1, 95, 109.03
2024/12/25 08:15:33.399, 1, 95, 105.96
2024/12/25 08:15:34.399, 1, 95, 109.25
2024/12/25 08:15:35.400, 1, 95, 100.60
2024/12/25 08:15:36.400, 1, 95, 102.39
2024/12/25 08:15:37.400, 1, 95, 111.79
2024/12/25 08:15:38.400, 1, 95, 107.75
2024/12/25 08:15:39.400, 1, 94, 107.09
2024/12/25 08:15:40.400, 1, 95, 103.51
2024/12/25 08:15:41.400, 1, 95, 107.68
2024/12/25 08:15:42.401, 1, 93, 107.43
2024/12/25 08:15:43.401, 1, 95, 107.02
2024/12/25 08:15:44.401, 1, 94, 108.66
2024/12/25 08:15:45.401, 1, 95, 110.25
2024/12/25 08:15:46.401, 1, 95, 105.88
2024/12/25 08:15:47.401, 1, 95, 110.51
2024/12/25 08:15:48.401, 1, 95, 102.66
2024/12/25 08:15:49.401, 1, 95, 106.28
2024/12/25 08:15:50.402, 1, 95, 110.99
2024/12/25 08:15:51.402, 1, 95, 107.22
2024/12/25 08:15:52.402, 1, 95, 107.69
2024/12/25 08:15:53.402, 1, 94, 109.15
2024/12/25 08:15:54.402, 1, 95, 108.69
2024/12/25 08:15:55.402, 1, 95, 105.76
2024/12/25 08:15:56.402, 1, 94, 102.88
2024/12/25 08:15:57.403, 1, 95, 103.44
2024/12/25 08:15:58.403, 1, 95, 109.52
2024/12/25 08:15:59.403, 1, 94, 104.15
2024/12/25 08:16:00.403, 1, 92, 112.85
2024/12/25 08:16:01.403, 1, 95, 111.03
2024/12/25 08:16:02.403, 1, 95, 108.48
2024/12/25 08:16:03.403, 1, 95, 102.64
2024/12/25 08:16:04.403, 1, 95, 104.08
2024/12/25 08:16:05.404, 1, 95, 109.63
2024/12/25 08:16:06.404, 1, 95, 106.78
2024/12/25 08:16:07.404, 1, 95, 120.49
2024/12/25 08:16:08.404, 1, 95, 107.88
2024/12/25 08:16:09.404, 1, 95, 109.25
2024/12/25 08:16:10.404, 1, 95, 107.15
2024/12/25 08:16:11.404, 1, 95, 106.72
2024/12/25 08:16:12.405, 1, 95, 107.13
2024/12/25 08:16:13.405, 1, 95, 102.83
2024/12/25 08:16:14.405, 1, 95, 107.53
2024/12/25 08:16:15.405, 1, 95, 106.20
2024/12/25 08:16:16.405, 1, 94, 107.19
2024/12/25 08:16:17.405, 1, 95, 108.26
2024/12/25 08:16:18.405, 1, 95, 109.85
2024/12/25 08:16:19.406, 1, 95, 108.32
2024/12/25 08:16:20.406, 1, 95, 108.77
2024/12/25 08:16:21.406, 1, 95, 107.49
2024/12/25 08:16:22.406, 1, 95, 107.97
2024/12/25 08:16:23.406, 1, 94, 106.65
2024/12/25 08:16:24.406, 1, 95, 110.12
2024/12/25 08:16:25.406, 1, 95, 109.67
2024/12/25 08:16:26.406, 1, 94, 109.16
2024/12/25 08:16:27.407, 1, 95, 115.71
2024/12/25 08:16:28.407, 1, 95, 109.53
2024/12/25 08:16:29.407, 1, 95, 110.13
2024/12/25 08:16:30.407, 1, 95, 108.16
2024/12/25 08:16:31.407, 1, 94, 111.28
2024/12/25 08:16:32.407, 1, 95, 112.58
2024/12/25 08:16:33.407, 1, 94, 109.80
2024/12/25 08:16:34.408, 1, 95, 109.64
2024/12/25 08:16:35.408, 1, 95, 111.40
2024/12/25 08:16:36.408, 1, 94, 109.54
2024/12/25 08:16:37.408, 1, 95, 105.73
2024/12/25 08:16:38.408, 1, 95, 109.56
2024/12/25 08:16:39.408, 1, 95, 116.81
2024/12/25 08:16:40.408, 1, 95, 108.50
2024/12/25 08:16:41.409, 1, 94, 108.42
2024/12/25 08:16:42.409, 1, 95, 114.64
2024/12/25 08:16:43.409, 1, 95, 103.67
2024/12/25 08:16:44.409, 1, 95, 108.52
2024/12/25 08:16:45.409, 1, 95, 109.58
2024/12/25 08:16:46.409, 1, 95, 109.02
2024/12/25 08:16:47.409, 1, 95, 111.39
2024/12/25 08:16:48.409, 1, 95, 105.31
2024/12/25 08:16:49.410, 1, 95, 109.15
2024/12/25 08:16:50.410, 1, 95, 114.62
2024/12/25 08:16:51.410, 1, 95, 114.88
2024/12/25 08:16:52.410, 1, 95, 106.15
2024/12/25 08:16:53.410, 1, 95, 110.35
2024/12/25 08:16:54.410, 1, 95, 110.49
2024/12/25 08:16:55.410, 1, 95, 110.59
2024/12/25 08:16:56.411, 1, 95, 105.93
2024/12/25 08:16:57.411, 1, 95, 104.05
2024/12/25 08:16:58.411, 1, 95, 109.98
2024/12/25 08:16:59.411, 1, 95, 110.95
2024/12/25 08:17:00.411, 1, 95, 110.80
2024/12/25 08:17:01.411, 1, 95, 109.17
2024/12/25 08:17:02.411, 1, 95, 109.71
2024/12/25 08:17:03.411, 1, 95, 108.32
2024/12/25 08:17:04.412, 1, 95, 106.96
2024/12/25 08:17:05.412, 1, 95, 108.72
2024/12/25 08:17:06.412, 1, 95, 109.42
2024/12/25 08:17:07.412, 1, 94, 108.56
2024/12/25 08:17:08.412, 1, 95, 114.06
2024/12/25 08:17:09.412, 1, 94, 112.60
2024/12/25 08:17:10.412, 1, 95, 109.15
2024/12/25 08:17:11.413, 1, 95, 118.70
2024/12/25 08:17:12.413, 1, 95, 106.66
2024/12/25 08:17:13.413, 1, 95, 111.02
2024/12/25 08:17:14.413, 1, 94, 109.99
2024/12/25 08:17:15.413, 1, 95, 122.73
2024/12/25 08:17:16.413, 1, 95, 105.26
2024/12/25 08:17:17.413, 1, 95, 107.43
2024/12/25 08:17:18.414, 1, 95, 112.16
2024/12/25 08:17:19.414, 1, 95, 109.57
2024/12/25 08:17:20.414, 1, 95, 108.75
2024/12/25 08:17:21.414, 1, 95, 107.38
2024/12/25 08:17:22.414, 1, 95, 108.51
2024/12/25 08:17:23.414, 1, 95, 111.58
2024/12/25 08:17:24.414, 1, 95, 106.86
2024/12/25 08:17:25.415, 1, 95, 110.18
2024/12/25 08:17:26.415, 1, 95, 112.74
2024/12/25 08:17:27.415, 1, 95, 108.82
2024/12/25 08:17:28.415, 1, 95, 108.42
2024/12/25 08:17:29.415, 1, 95, 109.33
2024/12/25 08:17:30.415, 1, 95, 111.79
2024/12/25 08:17:31.415, 1, 94, 100.63
2024/12/25 08:17:32.415, 1, 93, 102.57
2024/12/25 08:17:33.416, 1, 95, 108.21
2024/12/25 08:17:34.416, 1, 94, 109.63
