timestamp, index, utilization.gpu [%], power.draw [W]
2024/12/24 12:25:19.325, 0, 0, 36.02
2024/12/24 12:25:20.327, 0, 0, 36.40
2024/12/24 12:25:21.327, 0, 0, 36.40
2024/12/24 12:25:22.327, 0, 0, 36.50
2024/12/24 12:25:23.328, 0, 0, 36.40
2024/12/24 12:25:24.328, 0, 0, 36.11
2024/12/24 12:25:25.328, 0, 0, 36.15
2024/12/24 12:25:26.328, 0, 0, 36.11
2024/12/24 12:25:27.328, 0, 0, 36.40
2024/12/24 12:25:28.328, 0, 0, 36.40
2024/12/24 12:25:29.328, 0, 0, 36.40
2024/12/24 12:25:30.329, 0, 0, 36.01
2024/12/24 12:25:31.329, 0, 0, 36.40
2024/12/24 12:25:32.329, 0, 0, 36.21
2024/12/24 12:25:33.329, 0, 0, 36.40
2024/12/24 12:25:34.329, 0, 0, 36.30
2024/12/24 12:25:35.329, 0, 0, 36.11
2024/12/24 12:25:36.330, 0, 0, 36.40
2024/12/24 12:25:37.330, 0, 0, 36.41
2024/12/24 12:25:38.330, 0, 0, 36.40
2024/12/24 12:25:39.330, 0, 0, 36.40
2024/12/24 12:25:40.330, 0, 0, 36.40
2024/12/24 12:25:41.330, 0, 0, 36.30
2024/12/24 12:25:42.330, 0, 0, 36.40
2024/12/24 12:25:43.331, 0, 0, 36.40
2024/12/24 12:25:44.331, 0, 0, 36.40
2024/12/24 12:25:45.331, 0, 32, 36.58
2024/12/24 12:25:46.331, 0, 0, 36.49
2024/12/24 12:25:47.331, 0, 5, 36.21
2024/12/24 12:25:48.331, 0, 35, 36.30
2024/12/24 12:25:49.332, 0, 35, 36.79
2024/12/24 12:25:50.332, 0, 0, 36.33
2024/12/24 12:25:51.332, 0, 0, 36.23
2024/12/24 12:25:52.332, 0, 0, 36.31
2024/12/24 12:25:53.333, 0, 0, 36.32
2024/12/24 12:25:54.333, 0, 0, 36.03
2024/12/24 12:25:55.333, 0, 0, 36.21
2024/12/24 12:25:56.333, 0, 0, 36.21
2024/12/24 12:25:57.333, 0, 19, 106.76
2024/12/24 12:25:58.333, 0, 95, 102.27
2024/12/24 12:25:59.333, 0, 95, 115.15
2024/12/24 12:26:00.334, 0, 93, 107.28
2024/12/24 12:26:01.334, 0, 95, 98.63
2024/12/24 12:26:02.334, 0, 95, 104.78
2024/12/24 12:26:03.334, 0, 94, 111.53
2024/12/24 12:26:04.334, 0, 95, 102.50
2024/12/24 12:26:05.334, 0, 88, 105.61
2024/12/24 12:26:06.334, 0, 95, 106.78
2024/12/24 12:26:07.335, 0, 95, 100.96
2024/12/24 12:26:08.335, 0, 93, 109.49
2024/12/24 12:26:09.335, 0, 94, 102.25
2024/12/24 12:26:10.335, 0, 95, 107.75
2024/12/24 12:26:11.335, 0, 93, 100.61
2024/12/24 12:26:12.335, 0, 95, 96.01
2024/12/24 12:26:13.335, 0, 88, 110.28
2024/12/24 12:26:14.336, 0, 95, 105.98
2024/12/24 12:26:15.336, 0, 95, 111.29
2024/12/24 12:26:16.336, 0, 94, 105.91
2024/12/24 12:26:17.336, 0, 95, 98.58
2024/12/24 12:26:18.336, 0, 95, 106.49
2024/12/24 12:26:19.336, 0, 95, 109.19
2024/12/24 12:26:20.336, 0, 94, 92.83
2024/12/24 12:26:21.337, 0, 89, 103.01
2024/12/24 12:26:22.337, 0, 88, 101.83
2024/12/24 12:26:23.337, 0, 95, 112.31
2024/12/24 12:26:24.337, 0, 95, 103.84
2024/12/24 12:26:25.337, 0, 95, 99.41
2024/12/24 12:26:26.337, 0, 95, 111.83
2024/12/24 12:26:27.337, 0, 95, 102.03
2024/12/24 12:26:28.338, 0, 95, 108.41
2024/12/24 12:26:29.338, 0, 87, 97.07
2024/12/24 12:26:30.338, 0, 95, 102.58
2024/12/24 12:26:31.338, 0, 95, 101.72
2024/12/24 12:26:32.338, 0, 94, 101.99
2024/12/24 12:26:33.338, 0, 95, 108.85
2024/12/24 12:26:34.338, 0, 95, 106.25
