file_name,total_time_seconds,average_power_watts,total_energy_joules
gpu_monitor_typical_0.2_run_1.csv,458,109.01,49928.23
gpu_monitor_typical_0.2_run_2.csv,462,108.59,50167.34
gpu_monitor_typical_0.2_run_3.csv,463,107.98,49994.61
gpu_monitor_typical_0.2_run_4.csv,464,107.91,50070.04
gpu_monitor_typical_0.2_run_5.csv,461,108.34,49944.49
gpu_monitor_typical_0.5_run_1.csv,454,108.99,49482.68
gpu_monitor_typical_0.5_run_2.csv,456,108.95,49678.97
gpu_monitor_typical_0.5_run_3.csv,454,108.78,49386.02
gpu_monitor_typical_0.5_run_4.csv,456,108.76,49594.47
gpu_monitor_typical_0.5_run_5.csv,464,107.05,49669.37
gpu_monitor_typical_0.8_run_1.csv,459,109.31,50171.58
gpu_monitor_typical_0.8_run_2.csv,466,108.07,50359.75
gpu_monitor_typical_0.8_run_3.csv,461,108.78,50149.81
gpu_monitor_typical_0.8_run_4.csv,469,107.59,50460.5
gpu_monitor_typical_0.8_run_5.csv,464,108.36,50278.5
gpu_monitor_typical_0.9_run_1.csv,459,108.66,49876.33
gpu_monitor_typical_0.9_run_2.csv,454,109.48,49703.72
gpu_monitor_typical_0.9_run_3.csv,455,108.89,49544.55
gpu_monitor_typical_0.9_run_4.csv,462,107.86,49832.85
gpu_monitor_typical_0.9_run_5.csv,459,108.9,49986.85
gpu_monitor_typical_0.95_run_1.csv,465,108.3,50359.53
gpu_monitor_typical_0.95_run_2.csv,464,108.59,50387.72
gpu_monitor_typical_0.95_run_3.csv,462,109.4,50543.77
gpu_monitor_typical_0.95_run_4.csv,463,108.42,50199.52
gpu_monitor_typical_0.95_run_5.csv,461,109.0,50248.56
