timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 10:46:46.601, 0, 0, 36.20, 1215, 765
2025/03/23 10:46:47.621, 0, 0, 36.20, 1215, 765
2025/03/23 10:46:48.625, 0, 0, 35.90, 1215, 765
2025/03/23 10:46:49.632, 0, 0, 35.90, 1215, 765
2025/03/23 10:46:50.636, 0, 0, 36.10, 1215, 765
2025/03/23 10:46:51.639, 0, 0, 35.90, 1215, 765
2025/03/23 10:46:52.645, 0, 0, 36.10, 1215, 765
2025/03/23 10:46:53.649, 0, 0, 36.00, 1215, 765
2025/03/23 10:46:54.654, 0, 0, 35.69, 1215, 765
2025/03/23 10:46:55.659, 0, 0, 36.00, 1215, 765
2025/03/23 10:46:56.662, 0, 0, 36.00, 1215, 765
2025/03/23 10:46:57.669, 0, 0, 35.90, 1215, 765
2025/03/23 10:46:58.674, 0, 0, 36.00, 1215, 765
2025/03/23 10:46:59.677, 0, 0, 35.71, 1215, 765
2025/03/23 10:47:00.683, 0, 0, 35.81, 1215, 765
2025/03/23 10:47:01.686, 0, 0, 35.81, 1215, 765
2025/03/23 10:47:02.689, 0, 0, 35.91, 1215, 765
2025/03/23 10:47:03.693, 0, 0, 35.71, 1215, 765
2025/03/23 10:47:04.698, 0, 0, 35.81, 1215, 765
2025/03/23 10:47:05.700, 0, 0, 36.08, 1215, 765
2025/03/23 10:47:06.703, 0, 0, 35.71, 1215, 765
2025/03/23 10:47:07.709, 0, 0, 35.71, 1215, 765
2025/03/23 10:47:08.715, 0, 29, 38.74, 1215, 765
2025/03/23 10:47:09.718, 0, 51, 38.85, 1215, 765
2025/03/23 10:47:10.720, 0, 25, 38.57, 1215, 765
2025/03/23 10:47:11.723, 0, 0, 37.50, 1215, 765
2025/03/23 10:47:12.727, 0, 0, 37.60, 1215, 765
2025/03/23 10:47:13.729, 0, 0, 37.70, 1215, 765
2025/03/23 10:47:14.733, 0, 0, 37.31, 1215, 765
2025/03/23 10:47:15.737, 0, 0, 37.70, 1215, 765
2025/03/23 10:47:16.740, 0, 0, 37.40, 1215, 765
2025/03/23 10:47:17.744, 0, 0, 37.69, 1215, 765
2025/03/23 10:47:18.746, 0, 0, 37.21, 1215, 765
2025/03/23 10:47:19.749, 0, 0, 37.49, 1215, 765
2025/03/23 10:47:20.755, 0, 0, 37.30, 1215, 765
2025/03/23 10:47:21.758, 0, 0, 37.31, 1215, 765
2025/03/23 10:47:22.761, 0, 0, 37.50, 1215, 765
2025/03/23 10:47:23.767, 0, 0, 37.70, 1215, 765
2025/03/23 10:47:24.770, 0, 0, 37.59, 1215, 765
2025/03/23 10:47:25.773, 0, 11, 37.87, 1215, 765
2025/03/23 10:47:26.776, 0, 94, 91.08, 1215, 765
2025/03/23 10:47:27.780, 0, 94, 106.18, 1215, 765
2025/03/23 10:47:28.783, 0, 93, 97.50, 1215, 765
2025/03/23 10:47:29.786, 0, 94, 98.50, 1215, 765
2025/03/23 10:47:30.789, 0, 93, 109.29, 1215, 765
2025/03/23 10:47:31.792, 0, 93, 135.26, 1215, 765
2025/03/23 10:47:32.796, 0, 93, 97.18, 1215, 765
2025/03/23 10:47:33.801, 0, 92, 104.35, 1215, 765
2025/03/23 10:47:34.804, 0, 93, 105.72, 1215, 765
2025/03/23 10:47:35.809, 0, 94, 109.00, 1215, 765
2025/03/23 10:47:36.812, 0, 94, 92.28, 1215, 765
2025/03/23 10:47:37.815, 0, 94, 96.58, 1215, 765
2025/03/23 10:47:38.819, 0, 95, 106.93, 1215, 765
2025/03/23 10:47:39.824, 0, 94, 101.10, 1215, 765
2025/03/23 10:47:40.828, 0, 93, 106.47, 1215, 765
2025/03/23 10:47:41.838, 0, 92, 97.60, 1215, 765
2025/03/23 10:47:42.843, 0, 93, 103.46, 1215, 765
2025/03/23 10:47:43.846, 0, 95, 97.78, 1215, 765
2025/03/23 10:47:44.849, 0, 93, 97.98, 1215, 765
2025/03/23 10:47:45.853, 0, 93, 101.06, 1215, 765
2025/03/23 10:47:46.858, 0, 94, 93.00, 1215, 765
2025/03/23 10:47:47.862, 0, 93, 104.13, 1215, 765
2025/03/23 10:47:48.865, 0, 95, 133.53, 1215, 765
2025/03/23 10:47:49.870, 0, 88, 95.63, 1215, 765
2025/03/23 10:47:50.874, 0, 91, 98.57, 1215, 765
2025/03/23 10:47:51.877, 0, 94, 100.82, 1215, 765
2025/03/23 10:47:52.883, 0, 93, 98.58, 1215, 765
2025/03/23 10:47:53.886, 0, 93, 99.30, 1215, 765
2025/03/23 10:47:54.891, 0, 94, 101.08, 1215, 765
2025/03/23 10:47:55.894, 0, 93, 103.57, 1215, 765
2025/03/23 10:47:56.897, 0, 93, 99.17, 1215, 765
2025/03/23 10:47:57.902, 0, 93, 101.57, 1215, 765
2025/03/23 10:47:58.906, 0, 94, 101.54, 1215, 765
2025/03/23 10:47:59.909, 0, 93, 102.07, 1215, 765
2025/03/23 10:48:00.912, 0, 93, 103.56, 1215, 765
2025/03/23 10:48:01.918, 0, 93, 99.60, 1215, 765
2025/03/23 10:48:02.923, 0, 93, 93.54, 1215, 765
2025/03/23 10:48:03.928, 0, 94, 102.60, 1215, 765
2025/03/23 10:48:04.931, 0, 94, 108.57, 1215, 765
2025/03/23 10:48:05.935, 0, 94, 97.15, 1215, 765
2025/03/23 10:48:06.940, 0, 94, 99.66, 1215, 765
2025/03/23 10:48:07.943, 0, 93, 107.35, 1215, 765
2025/03/23 10:48:08.948, 0, 94, 95.89, 1215, 765
2025/03/23 10:48:09.952, 0, 93, 108.72, 1215, 765
2025/03/23 10:48:10.957, 0, 93, 104.63, 1215, 765
2025/03/23 10:48:11.960, 0, 94, 101.70, 1215, 765
2025/03/23 10:48:12.963, 0, 93, 107.78, 1215, 765
2025/03/23 10:48:13.966, 0, 92, 96.99, 1215, 765
2025/03/23 10:48:14.969, 0, 92, 95.20, 1215, 765
2025/03/23 10:48:15.972, 0, 91, 133.04, 1215, 765
2025/03/23 10:48:16.977, 0, 94, 102.61, 1215, 765
2025/03/23 10:48:17.982, 0, 93, 103.76, 1215, 765
2025/03/23 10:48:18.985, 0, 94, 102.54, 1215, 765
2025/03/23 10:48:19.990, 0, 94, 107.50, 1215, 765
2025/03/23 10:48:20.995, 0, 93, 95.38, 1215, 765
2025/03/23 10:48:21.998, 0, 94, 106.10, 1215, 765
2025/03/23 10:48:23.002, 0, 94, 106.78, 1215, 765
2025/03/23 10:48:24.008, 0, 93, 107.48, 1215, 765
2025/03/23 10:48:25.013, 0, 92, 100.20, 1215, 765
2025/03/23 10:48:26.021, 0, 93, 101.20, 1215, 765
2025/03/23 10:48:27.024, 0, 93, 102.23, 1215, 765
2025/03/23 10:48:28.027, 0, 94, 102.32, 1215, 765
2025/03/23 10:48:29.030, 0, 93, 114.79, 1215, 765
2025/03/23 10:48:30.033, 0, 94, 105.29, 1215, 765
2025/03/23 10:48:31.037, 0, 93, 105.15, 1215, 765
2025/03/23 10:48:32.040, 0, 92, 105.13, 1215, 765
2025/03/23 10:48:33.043, 0, 94, 103.32, 1215, 765
2025/03/23 10:48:34.050, 0, 93, 99.93, 1215, 765
2025/03/23 10:48:35.052, 0, 94, 101.94, 1215, 765
2025/03/23 10:48:36.055, 0, 93, 105.01, 1215, 765
2025/03/23 10:48:37.060, 0, 94, 104.02, 1215, 765
2025/03/23 10:48:38.063, 0, 89, 92.14, 1215, 765
2025/03/23 10:48:39.065, 0, 91, 109.46, 1215, 765
2025/03/23 10:48:40.070, 0, 90, 94.59, 1215, 765
2025/03/23 10:48:41.073, 0, 90, 102.18, 1215, 765
2025/03/23 10:48:42.076, 0, 93, 106.89, 1215, 765
2025/03/23 10:48:43.081, 0, 93, 92.21, 1215, 765
2025/03/23 10:48:44.087, 0, 94, 103.92, 1215, 765
2025/03/23 10:48:45.090, 0, 93, 108.47, 1215, 765
2025/03/23 10:48:46.093, 0, 90, 93.14, 1215, 765
2025/03/23 10:48:47.100, 0, 93, 104.16, 1215, 765
2025/03/23 10:48:48.104, 0, 92, 98.65, 1215, 765
2025/03/23 10:48:49.109, 0, 92, 98.64, 1215, 765
2025/03/23 10:48:50.112, 0, 93, 97.08, 1215, 765
2025/03/23 10:48:51.116, 0, 94, 107.96, 1215, 765
2025/03/23 10:48:52.121, 0, 93, 101.91, 1215, 765
2025/03/23 10:48:53.125, 0, 94, 104.53, 1215, 765
2025/03/23 10:48:54.128, 0, 93, 103.27, 1215, 765
2025/03/23 10:48:55.131, 0, 93, 102.00, 1215, 765
2025/03/23 10:48:56.137, 0, 92, 102.58, 1215, 765
2025/03/23 10:48:57.144, 0, 93, 107.20, 1215, 765
2025/03/23 10:48:58.152, 0, 91, 104.46, 1215, 765
2025/03/23 10:48:59.155, 0, 91, 96.68, 1215, 765
2025/03/23 10:49:00.158, 0, 89, 96.21, 1215, 765
2025/03/23 10:49:01.164, 0, 90, 92.58, 1215, 765
2025/03/23 10:49:02.168, 0, 92, 103.42, 1215, 765
2025/03/23 10:49:03.171, 0, 93, 105.75, 1215, 765
2025/03/23 10:49:04.175, 0, 93, 103.93, 1215, 765
2025/03/23 10:49:05.183, 0, 92, 96.23, 1215, 765
2025/03/23 10:49:06.188, 0, 93, 102.25, 1215, 765
2025/03/23 10:49:07.191, 0, 93, 103.17, 1215, 765
2025/03/23 10:49:08.196, 0, 91, 107.82, 1215, 765
2025/03/23 10:49:09.200, 0, 93, 110.85, 1215, 765
2025/03/23 10:49:10.205, 0, 89, 93.44, 1215, 765
2025/03/23 10:49:11.208, 0, 88, 102.15, 1215, 765
2025/03/23 10:49:12.211, 0, 90, 105.29, 1215, 765
2025/03/23 10:49:13.215, 0, 90, 105.54, 1215, 765
2025/03/23 10:49:14.218, 0, 92, 97.68, 1215, 765
2025/03/23 10:49:15.221, 0, 91, 111.04, 1215, 765
2025/03/23 10:49:16.228, 0, 93, 99.93, 1215, 765
2025/03/23 10:49:17.233, 0, 93, 110.28, 1215, 765
2025/03/23 10:49:18.237, 0, 93, 101.47, 1215, 765
2025/03/23 10:49:19.240, 0, 94, 102.75, 1215, 765
2025/03/23 10:49:20.243, 0, 93, 97.61, 1215, 765
2025/03/23 10:49:21.248, 0, 92, 93.43, 1215, 765
2025/03/23 10:49:22.253, 0, 92, 100.27, 1215, 765
2025/03/23 10:49:23.258, 0, 92, 93.68, 1215, 765
2025/03/23 10:49:24.261, 0, 94, 102.66, 1215, 765
2025/03/23 10:49:25.264, 0, 94, 106.77, 1215, 765
2025/03/23 10:49:26.267, 0, 93, 102.99, 1215, 765
2025/03/23 10:49:27.273, 0, 93, 108.23, 1215, 765
2025/03/23 10:49:28.276, 0, 93, 97.18, 1215, 765
2025/03/23 10:49:29.280, 0, 92, 103.42, 1215, 765
2025/03/23 10:49:30.283, 0, 92, 97.25, 1215, 765
2025/03/23 10:49:31.288, 0, 93, 102.69, 1215, 765
2025/03/23 10:49:32.293, 0, 94, 108.59, 1215, 765
2025/03/23 10:49:33.296, 0, 92, 94.06, 1215, 765
2025/03/23 10:49:34.299, 0, 93, 101.19, 1215, 765
2025/03/23 10:49:35.303, 0, 93, 97.18, 1215, 765
2025/03/23 10:49:36.311, 0, 93, 104.73, 1215, 765
2025/03/23 10:49:37.315, 0, 93, 107.60, 1215, 765
2025/03/23 10:49:38.318, 0, 93, 98.59, 1215, 765
2025/03/23 10:49:39.323, 0, 94, 104.17, 1215, 765
2025/03/23 10:49:40.326, 0, 94, 99.88, 1215, 765
2025/03/23 10:49:41.331, 0, 90, 95.91, 1215, 765
2025/03/23 10:49:42.334, 0, 88, 107.73, 1215, 765
2025/03/23 10:49:43.337, 0, 89, 100.30, 1215, 765
2025/03/23 10:49:44.341, 0, 88, 99.39, 1215, 765
2025/03/23 10:49:45.347, 0, 93, 108.70, 1215, 765
2025/03/23 10:49:46.352, 0, 94, 94.26, 1215, 765
2025/03/23 10:49:47.355, 0, 93, 104.41, 1215, 765
2025/03/23 10:49:48.360, 0, 92, 99.65, 1215, 765
2025/03/23 10:49:49.365, 0, 92, 96.43, 1215, 765
2025/03/23 10:49:50.368, 0, 91, 107.34, 1215, 765
2025/03/23 10:49:51.372, 0, 93, 98.54, 1215, 765
2025/03/23 10:49:52.378, 0, 94, 107.09, 1215, 765
2025/03/23 10:49:53.381, 0, 94, 105.24, 1215, 765
2025/03/23 10:49:54.384, 0, 94, 101.13, 1215, 765
2025/03/23 10:49:55.388, 0, 93, 99.11, 1215, 765
2025/03/23 10:49:56.391, 0, 93, 106.15, 1215, 765
2025/03/23 10:49:57.396, 0, 92, 99.60, 1215, 765
2025/03/23 10:49:58.400, 0, 87, 104.79, 1215, 765
2025/03/23 10:49:59.403, 0, 90, 97.17, 1215, 765
2025/03/23 10:50:00.406, 0, 91, 101.51, 1215, 765
2025/03/23 10:50:01.411, 0, 91, 107.55, 1215, 765
2025/03/23 10:50:02.415, 0, 93, 95.02, 1215, 765
2025/03/23 10:50:03.418, 0, 93, 96.35, 1215, 765
2025/03/23 10:50:04.421, 0, 93, 102.09, 1215, 765
2025/03/23 10:50:05.427, 0, 93, 100.37, 1215, 765
2025/03/23 10:50:06.433, 0, 94, 108.40, 1215, 765
2025/03/23 10:50:07.439, 0, 93, 100.06, 1215, 765
2025/03/23 10:50:08.442, 0, 93, 97.63, 1215, 765
2025/03/23 10:50:09.446, 0, 94, 102.04, 1215, 765
2025/03/23 10:50:10.451, 0, 93, 98.72, 1215, 765
2025/03/23 10:50:11.454, 0, 93, 106.40, 1215, 765
2025/03/23 10:50:12.457, 0, 94, 99.93, 1215, 765
2025/03/23 10:50:13.461, 0, 89, 102.10, 1215, 765
2025/03/23 10:50:14.464, 0, 89, 105.31, 1215, 765
2025/03/23 10:50:15.467, 0, 93, 110.86, 1215, 765
2025/03/23 10:50:16.474, 0, 94, 106.61, 1215, 765
2025/03/23 10:50:17.478, 0, 94, 100.50, 1215, 765
2025/03/23 10:50:18.483, 0, 93, 104.64, 1215, 765
2025/03/23 10:50:19.491, 0, 93, 99.31, 1215, 765
2025/03/23 10:50:20.495, 0, 93, 100.20, 1215, 765
2025/03/23 10:50:21.500, 0, 88, 103.96, 1215, 765
2025/03/23 10:50:22.503, 0, 87, 100.91, 1215, 765
2025/03/23 10:50:23.506, 0, 88, 94.42, 1215, 765
2025/03/23 10:50:24.509, 0, 87, 100.02, 1215, 765
2025/03/23 10:50:25.512, 0, 90, 102.36, 1215, 765
2025/03/23 10:50:26.517, 0, 90, 101.18, 1215, 765
2025/03/23 10:50:27.520, 0, 93, 100.18, 1215, 765
2025/03/23 10:50:28.523, 0, 92, 93.64, 1215, 765
2025/03/23 10:50:29.528, 0, 92, 98.07, 1215, 765
2025/03/23 10:50:30.533, 0, 92, 106.26, 1215, 765
2025/03/23 10:50:31.536, 0, 95, 95.15, 1215, 765
2025/03/23 10:50:32.541, 0, 92, 107.86, 1215, 765
2025/03/23 10:50:33.546, 0, 86, 95.20, 1215, 765
2025/03/23 10:50:34.549, 0, 87, 97.66, 1215, 765
2025/03/23 10:50:35.553, 0, 87, 105.79, 1215, 765
2025/03/23 10:50:36.558, 0, 91, 103.56, 1215, 765
2025/03/23 10:50:37.562, 0, 90, 95.25, 1215, 765
2025/03/23 10:50:38.565, 0, 91, 98.73, 1215, 765
2025/03/23 10:50:39.568, 0, 93, 105.66, 1215, 765
2025/03/23 10:50:40.571, 0, 92, 107.22, 1215, 765
2025/03/23 10:50:41.576, 0, 94, 103.19, 1215, 765
2025/03/23 10:50:42.579, 0, 92, 103.17, 1215, 765
2025/03/23 10:50:43.582, 0, 93, 106.58, 1215, 765
2025/03/23 10:50:44.586, 0, 93, 101.70, 1215, 765
2025/03/23 10:50:45.593, 0, 94, 104.41, 1215, 765
2025/03/23 10:50:46.596, 0, 93, 99.36, 1215, 765
2025/03/23 10:50:47.605, 0, 93, 103.15, 1215, 765
2025/03/23 10:50:48.608, 0, 93, 100.97, 1215, 765
2025/03/23 10:50:49.611, 0, 89, 93.20, 1215, 765
2025/03/23 10:50:50.614, 0, 89, 103.41, 1215, 765
2025/03/23 10:50:51.621, 0, 93, 107.01, 1215, 765
2025/03/23 10:50:52.624, 0, 92, 102.32, 1215, 765
2025/03/23 10:50:53.627, 0, 92, 103.71, 1215, 765
2025/03/23 10:50:54.632, 0, 94, 100.81, 1215, 765
2025/03/23 10:50:55.635, 0, 93, 106.31, 1215, 765
2025/03/23 10:50:56.637, 0, 93, 109.96, 1215, 765
2025/03/23 10:50:57.642, 0, 93, 94.05, 1215, 765
2025/03/23 10:50:58.647, 0, 93, 108.67, 1215, 765
2025/03/23 10:50:59.651, 0, 93, 106.66, 1215, 765
2025/03/23 10:51:00.654, 0, 93, 97.22, 1215, 765
2025/03/23 10:51:01.657, 0, 90, 101.13, 1215, 765
2025/03/23 10:51:02.660, 0, 93, 96.14, 1215, 765
2025/03/23 10:51:03.663, 0, 93, 104.87, 1215, 765
2025/03/23 10:51:04.666, 0, 93, 112.09, 1215, 765
2025/03/23 10:51:05.670, 0, 92, 106.14, 1215, 765
2025/03/23 10:51:06.677, 0, 93, 103.94, 1215, 765
2025/03/23 10:51:07.682, 0, 92, 107.86, 1215, 765
2025/03/23 10:51:08.685, 0, 94, 98.27, 1215, 765
2025/03/23 10:51:09.689, 0, 87, 97.89, 1215, 765
2025/03/23 10:51:10.693, 0, 89, 98.04, 1215, 765
2025/03/23 10:51:11.696, 0, 89, 103.17, 1215, 765
2025/03/23 10:51:12.699, 0, 93, 100.94, 1215, 765
2025/03/23 10:51:13.704, 0, 93, 98.01, 1215, 765
2025/03/23 10:51:14.707, 0, 94, 108.16, 1215, 765
2025/03/23 10:51:15.712, 0, 93, 102.57, 1215, 765
2025/03/23 10:51:16.717, 0, 93, 107.52, 1215, 765
2025/03/23 10:51:17.721, 0, 89, 98.34, 1215, 765
2025/03/23 10:51:18.726, 0, 89, 100.32, 1215, 765
2025/03/23 10:51:19.729, 0, 93, 95.24, 1215, 765
2025/03/23 10:51:20.732, 0, 93, 106.11, 1215, 765
2025/03/23 10:51:21.735, 0, 93, 100.51, 1215, 765
2025/03/23 10:51:22.738, 0, 93, 107.41, 1215, 765
2025/03/23 10:51:23.742, 0, 93, 96.82, 1215, 765
2025/03/23 10:51:24.747, 0, 94, 103.05, 1215, 765
2025/03/23 10:51:25.752, 0, 93, 109.44, 1215, 765
2025/03/23 10:51:26.755, 0, 93, 107.47, 1215, 765
2025/03/23 10:51:27.758, 0, 93, 96.15, 1215, 765
2025/03/23 10:51:28.764, 0, 94, 111.21, 1215, 765
2025/03/23 10:51:29.769, 0, 85, 98.83, 1215, 765
2025/03/23 10:51:30.776, 0, 88, 93.21, 1215, 765
2025/03/23 10:51:31.778, 0, 87, 96.14, 1215, 765
2025/03/23 10:51:32.783, 0, 90, 98.08, 1215, 765
2025/03/23 10:51:33.788, 0, 89, 98.19, 1215, 765
2025/03/23 10:51:34.791, 0, 93, 109.93, 1215, 765
2025/03/23 10:51:35.793, 0, 92, 106.15, 1215, 765
2025/03/23 10:51:36.796, 0, 95, 104.71, 1215, 765
2025/03/23 10:51:37.803, 0, 93, 102.00, 1215, 765
2025/03/23 10:51:38.807, 0, 93, 102.63, 1215, 765
2025/03/23 10:51:39.812, 0, 92, 103.69, 1215, 765
2025/03/23 10:51:40.815, 0, 92, 107.70, 1215, 765
2025/03/23 10:51:41.818, 0, 89, 91.71, 1215, 765
2025/03/23 10:51:42.823, 0, 91, 105.03, 1215, 765
2025/03/23 10:51:43.828, 0, 93, 104.53, 1215, 765
2025/03/23 10:51:44.831, 0, 93, 100.38, 1215, 765
2025/03/23 10:51:45.835, 0, 93, 95.86, 1215, 765
2025/03/23 10:51:46.841, 0, 93, 112.63, 1215, 765
2025/03/23 10:51:47.846, 0, 92, 107.01, 1215, 765
2025/03/23 10:51:48.849, 0, 93, 108.70, 1215, 765
2025/03/23 10:51:49.852, 0, 87, 98.97, 1215, 765
2025/03/23 10:51:50.857, 0, 87, 103.38, 1215, 765
2025/03/23 10:51:51.862, 0, 88, 99.51, 1215, 765
2025/03/23 10:51:52.866, 0, 89, 106.12, 1215, 765
2025/03/23 10:51:53.869, 0, 88, 95.11, 1215, 765
2025/03/23 10:51:54.874, 0, 90, 116.52, 1215, 765
2025/03/23 10:51:55.877, 0, 93, 108.15, 1215, 765
2025/03/23 10:51:56.880, 0, 92, 107.59, 1215, 765
2025/03/23 10:51:57.888, 0, 92, 99.92, 1215, 765
2025/03/23 10:51:58.891, 0, 93, 108.15, 1215, 765
2025/03/23 10:51:59.901, 0, 92, 105.58, 1215, 765
2025/03/23 10:52:00.904, 0, 92, 95.29, 1215, 765
2025/03/23 10:52:01.907, 0, 93, 107.36, 1215, 765
2025/03/23 10:52:02.910, 0, 93, 103.52, 1215, 765
2025/03/23 10:52:03.913, 0, 93, 101.64, 1215, 765
2025/03/23 10:52:04.915, 0, 93, 104.59, 1215, 765
2025/03/23 10:52:05.920, 0, 89, 95.89, 1215, 765
2025/03/23 10:52:06.922, 0, 88, 97.84, 1215, 765
2025/03/23 10:52:07.927, 0, 93, 108.27, 1215, 765
2025/03/23 10:52:08.933, 0, 93, 107.10, 1215, 765
2025/03/23 10:52:09.938, 0, 93, 103.02, 1215, 765
2025/03/23 10:52:10.941, 0, 93, 99.19, 1215, 765
2025/03/23 10:52:11.945, 0, 93, 107.04, 1215, 765
2025/03/23 10:52:12.950, 0, 94, 94.85, 1215, 765
2025/03/23 10:52:13.957, 0, 92, 109.45, 1215, 765
2025/03/23 10:52:14.960, 0, 93, 109.90, 1215, 765
2025/03/23 10:52:15.966, 0, 93, 93.88, 1215, 765
2025/03/23 10:52:16.970, 0, 92, 94.21, 1215, 765
2025/03/23 10:52:17.973, 0, 93, 101.98, 1215, 765
2025/03/23 10:52:18.978, 0, 93, 109.16, 1215, 765
2025/03/23 10:52:19.987, 0, 93, 100.37, 1215, 765
2025/03/23 10:52:20.992, 0, 92, 108.50, 1215, 765
2025/03/23 10:52:21.997, 0, 93, 106.26, 1215, 765
2025/03/23 10:52:23.002, 0, 92, 106.75, 1215, 765
2025/03/23 10:52:24.007, 0, 93, 104.95, 1215, 765
2025/03/23 10:52:25.012, 0, 93, 100.23, 1215, 765
2025/03/23 10:52:26.015, 0, 93, 98.17, 1215, 765
2025/03/23 10:52:27.021, 0, 93, 97.34, 1215, 765
2025/03/23 10:52:28.024, 0, 93, 110.32, 1215, 765
2025/03/23 10:52:29.028, 0, 93, 97.68, 1215, 765
2025/03/23 10:52:30.033, 0, 90, 102.97, 1215, 765
2025/03/23 10:52:31.036, 0, 93, 106.21, 1215, 765
2025/03/23 10:52:32.041, 0, 93, 105.81, 1215, 765
2025/03/23 10:52:33.044, 0, 94, 108.60, 1215, 765
2025/03/23 10:52:34.049, 0, 93, 103.51, 1215, 765
2025/03/23 10:52:35.054, 0, 93, 99.06, 1215, 765
2025/03/23 10:52:36.060, 0, 92, 96.79, 1215, 765
2025/03/23 10:52:37.067, 0, 94, 103.59, 1215, 765
2025/03/23 10:52:38.070, 0, 85, 105.92, 1215, 765
2025/03/23 10:52:39.075, 0, 88, 93.62, 1215, 765
2025/03/23 10:52:40.078, 0, 88, 97.74, 1215, 765
2025/03/23 10:52:41.083, 0, 88, 94.71, 1215, 765
2025/03/23 10:52:42.087, 0, 93, 102.99, 1215, 765
2025/03/23 10:52:43.090, 0, 93, 102.74, 1215, 765
2025/03/23 10:52:44.093, 0, 93, 97.03, 1215, 765
2025/03/23 10:52:45.100, 0, 92, 108.03, 1215, 765
2025/03/23 10:52:46.104, 0, 92, 103.49, 1215, 765
2025/03/23 10:52:47.108, 0, 93, 100.48, 1215, 765
2025/03/23 10:52:48.114, 0, 93, 109.21, 1215, 765
2025/03/23 10:52:49.117, 0, 93, 92.47, 1215, 765
2025/03/23 10:52:50.122, 0, 93, 109.43, 1215, 765
2025/03/23 10:52:51.125, 0, 93, 105.42, 1215, 765
2025/03/23 10:52:52.128, 0, 94, 106.81, 1215, 765
2025/03/23 10:52:53.131, 0, 94, 105.94, 1215, 765
2025/03/23 10:52:54.137, 0, 88, 106.76, 1215, 765
2025/03/23 10:52:55.142, 0, 94, 101.69, 1215, 765
2025/03/23 10:52:56.145, 0, 92, 102.53, 1215, 765
2025/03/23 10:52:57.148, 0, 93, 107.30, 1215, 765
2025/03/23 10:52:58.153, 0, 93, 105.58, 1215, 765
2025/03/23 10:52:59.158, 0, 94, 109.56, 1215, 765
2025/03/23 10:53:00.162, 0, 92, 107.84, 1215, 765
