timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 10:17:23.135, 1, 0, 36.63, 1215, 765
2025/03/23 10:17:24.153, 1, 0, 36.61, 1215, 765
2025/03/23 10:17:25.156, 1, 0, 36.72, 1215, 765
2025/03/23 10:17:26.162, 1, 0, 36.53, 1215, 765
2025/03/23 10:17:27.165, 1, 0, 36.53, 1215, 765
2025/03/23 10:17:28.168, 1, 0, 36.53, 1215, 765
2025/03/23 10:17:29.171, 1, 0, 36.53, 1215, 765
2025/03/23 10:17:30.175, 1, 0, 36.53, 1215, 765
2025/03/23 10:17:31.183, 1, 0, 36.54, 1215, 765
2025/03/23 10:17:32.187, 1, 0, 36.44, 1215, 765
2025/03/23 10:17:33.190, 1, 0, 36.44, 1215, 765
2025/03/23 10:17:34.193, 1, 0, 36.44, 1215, 765
2025/03/23 10:17:35.196, 1, 0, 36.44, 1215, 765
2025/03/23 10:17:36.200, 1, 0, 36.43, 1215, 765
2025/03/23 10:17:37.205, 1, 0, 36.34, 1215, 765
2025/03/23 10:17:38.208, 1, 0, 36.34, 1215, 765
2025/03/23 10:17:39.214, 1, 0, 36.24, 1215, 765
2025/03/23 10:17:40.217, 1, 0, 36.23, 1215, 765
2025/03/23 10:17:41.220, 1, 0, 36.24, 1215, 765
2025/03/23 10:17:42.224, 1, 0, 36.34, 1215, 765
2025/03/23 10:17:43.227, 1, 0, 36.13, 1215, 765
2025/03/23 10:17:44.232, 1, 0, 36.25, 1215, 765
2025/03/23 10:17:45.236, 1, 45, 39.10, 1215, 765
2025/03/23 10:17:46.240, 1, 50, 39.29, 1215, 765
2025/03/23 10:17:47.243, 1, 16, 39.30, 1215, 765
2025/03/23 10:17:48.245, 1, 0, 38.43, 1215, 765
2025/03/23 10:17:49.248, 1, 0, 38.34, 1215, 765
2025/03/23 10:17:50.250, 1, 0, 38.34, 1215, 765
2025/03/23 10:17:51.258, 1, 0, 38.03, 1215, 765
2025/03/23 10:17:52.261, 1, 0, 38.03, 1215, 765
2025/03/23 10:17:53.264, 1, 0, 38.34, 1215, 765
2025/03/23 10:17:54.266, 1, 0, 38.33, 1215, 765
2025/03/23 10:17:55.269, 1, 0, 38.23, 1215, 765
2025/03/23 10:17:56.273, 1, 0, 38.13, 1215, 765
2025/03/23 10:17:57.275, 1, 0, 38.34, 1215, 765
2025/03/23 10:17:58.278, 1, 0, 38.23, 1215, 765
2025/03/23 10:17:59.281, 1, 0, 37.93, 1215, 765
2025/03/23 10:18:00.284, 1, 0, 38.09, 1215, 765
2025/03/23 10:18:01.288, 1, 96, 41.21, 1215, 765
2025/03/23 10:18:02.292, 1, 96, 103.77, 1215, 765
2025/03/23 10:18:03.297, 1, 96, 99.61, 1215, 765
2025/03/23 10:18:04.300, 1, 96, 105.17, 1215, 765
2025/03/23 10:18:05.306, 1, 96, 107.42, 1215, 765
2025/03/23 10:18:06.311, 1, 96, 110.83, 1215, 765
2025/03/23 10:18:07.321, 1, 96, 112.18, 1215, 765
2025/03/23 10:18:08.324, 1, 96, 107.42, 1215, 765
2025/03/23 10:18:09.330, 1, 97, 105.57, 1215, 765
2025/03/23 10:18:10.335, 1, 96, 106.29, 1215, 765
2025/03/23 10:18:11.340, 1, 96, 103.09, 1215, 765
2025/03/23 10:18:12.343, 1, 96, 106.00, 1215, 765
2025/03/23 10:18:13.348, 1, 96, 102.68, 1215, 765
2025/03/23 10:18:14.358, 1, 96, 104.94, 1215, 765
2025/03/23 10:18:15.361, 1, 96, 101.27, 1215, 765
2025/03/23 10:18:16.364, 1, 96, 107.88, 1215, 765
2025/03/23 10:18:17.367, 1, 96, 105.49, 1215, 765
2025/03/23 10:18:18.373, 1, 95, 100.37, 1215, 765
2025/03/23 10:18:19.382, 1, 96, 100.00, 1215, 765
2025/03/23 10:18:20.385, 1, 96, 110.94, 1215, 765
2025/03/23 10:18:21.390, 1, 96, 105.61, 1215, 765
2025/03/23 10:18:22.393, 1, 95, 101.05, 1215, 765
2025/03/23 10:18:23.398, 1, 96, 102.56, 1215, 765
2025/03/23 10:18:24.405, 1, 96, 105.94, 1215, 765
2025/03/23 10:18:25.408, 1, 96, 105.24, 1215, 765
2025/03/23 10:18:26.411, 1, 95, 106.39, 1215, 765
2025/03/23 10:18:27.415, 1, 95, 106.80, 1215, 765
2025/03/23 10:18:28.419, 1, 96, 105.04, 1215, 765
2025/03/23 10:18:29.423, 1, 95, 106.23, 1215, 765
2025/03/23 10:18:30.426, 1, 95, 103.07, 1215, 765
2025/03/23 10:18:31.429, 1, 96, 101.83, 1215, 765
2025/03/23 10:18:32.438, 1, 96, 105.49, 1215, 765
2025/03/23 10:18:33.441, 1, 96, 109.27, 1215, 765
2025/03/23 10:18:34.444, 1, 95, 103.87, 1215, 765
2025/03/23 10:18:35.448, 1, 95, 105.77, 1215, 765
2025/03/23 10:18:36.457, 1, 95, 101.28, 1215, 765
2025/03/23 10:18:37.466, 1, 95, 104.43, 1215, 765
2025/03/23 10:18:38.469, 1, 96, 100.51, 1215, 765
2025/03/23 10:18:39.472, 1, 96, 104.42, 1215, 765
2025/03/23 10:18:40.476, 1, 96, 99.44, 1215, 765
2025/03/23 10:18:41.479, 1, 96, 104.79, 1215, 765
2025/03/23 10:18:42.484, 1, 95, 99.61, 1215, 765
2025/03/23 10:18:43.490, 1, 95, 103.06, 1215, 765
2025/03/23 10:18:44.493, 1, 95, 103.19, 1215, 765
2025/03/23 10:18:45.499, 1, 95, 106.68, 1215, 765
2025/03/23 10:18:46.504, 1, 95, 107.21, 1215, 765
2025/03/23 10:18:47.512, 1, 95, 106.36, 1215, 765
2025/03/23 10:18:48.515, 1, 95, 105.27, 1215, 765
2025/03/23 10:18:49.518, 1, 96, 104.08, 1215, 765
2025/03/23 10:18:50.521, 1, 95, 97.94, 1215, 765
2025/03/23 10:18:51.524, 1, 95, 99.24, 1215, 765
2025/03/23 10:18:52.527, 1, 95, 99.80, 1215, 765
2025/03/23 10:18:53.530, 1, 95, 102.04, 1215, 765
2025/03/23 10:18:54.533, 1, 96, 102.68, 1215, 765
2025/03/23 10:18:55.537, 1, 96, 103.66, 1215, 765
2025/03/23 10:18:56.540, 1, 96, 103.71, 1215, 765
2025/03/23 10:18:57.543, 1, 96, 104.15, 1215, 765
2025/03/23 10:18:58.547, 1, 94, 104.65, 1215, 765
2025/03/23 10:18:59.550, 1, 94, 98.85, 1215, 765
2025/03/23 10:19:00.556, 1, 95, 106.18, 1215, 765
2025/03/23 10:19:01.561, 1, 95, 105.63, 1215, 765
2025/03/23 10:19:02.564, 1, 95, 98.84, 1215, 765
2025/03/23 10:19:03.569, 1, 96, 104.51, 1215, 765
2025/03/23 10:19:04.573, 1, 96, 99.75, 1215, 765
2025/03/23 10:19:05.580, 1, 96, 101.46, 1215, 765
2025/03/23 10:19:06.584, 1, 95, 109.06, 1215, 765
2025/03/23 10:19:07.589, 1, 95, 108.64, 1215, 765
2025/03/23 10:19:08.591, 1, 94, 112.41, 1215, 765
2025/03/23 10:19:09.594, 1, 95, 107.33, 1215, 765
2025/03/23 10:19:10.597, 1, 95, 101.99, 1215, 765
2025/03/23 10:19:11.600, 1, 95, 99.77, 1215, 765
2025/03/23 10:19:12.605, 1, 96, 99.87, 1215, 765
2025/03/23 10:19:13.611, 1, 96, 144.24, 1215, 765
2025/03/23 10:19:14.614, 1, 94, 101.60, 1215, 765
2025/03/23 10:19:15.621, 1, 94, 97.07, 1215, 765
2025/03/23 10:19:16.624, 1, 95, 102.02, 1215, 765
2025/03/23 10:19:17.627, 1, 95, 106.76, 1215, 765
2025/03/23 10:19:18.630, 1, 95, 102.96, 1215, 765
2025/03/23 10:19:19.633, 1, 95, 103.56, 1215, 765
2025/03/23 10:19:20.638, 1, 96, 103.06, 1215, 765
2025/03/23 10:19:21.646, 1, 96, 98.83, 1215, 765
2025/03/23 10:19:22.649, 1, 95, 103.68, 1215, 765
2025/03/23 10:19:23.652, 1, 95, 102.26, 1215, 765
2025/03/23 10:19:24.655, 1, 95, 98.68, 1215, 765
2025/03/23 10:19:25.659, 1, 94, 105.74, 1215, 765
2025/03/23 10:19:26.662, 1, 95, 103.24, 1215, 765
2025/03/23 10:19:27.666, 1, 95, 110.87, 1215, 765
2025/03/23 10:19:28.669, 1, 95, 102.00, 1215, 765
2025/03/23 10:19:29.672, 1, 94, 108.01, 1215, 765
2025/03/23 10:19:30.679, 1, 94, 100.20, 1215, 765
2025/03/23 10:19:31.684, 1, 94, 98.64, 1215, 765
2025/03/23 10:19:32.687, 1, 94, 110.64, 1215, 765
2025/03/23 10:19:33.690, 1, 95, 108.60, 1215, 765
2025/03/23 10:19:34.695, 1, 95, 102.03, 1215, 765
2025/03/23 10:19:35.698, 1, 95, 97.01, 1215, 765
2025/03/23 10:19:36.701, 1, 95, 100.28, 1215, 765
2025/03/23 10:19:37.705, 1, 93, 102.86, 1215, 765
2025/03/23 10:19:38.712, 1, 94, 99.60, 1215, 765
2025/03/23 10:19:39.715, 1, 95, 109.40, 1215, 765
2025/03/23 10:19:40.718, 1, 95, 103.65, 1215, 765
2025/03/23 10:19:41.725, 1, 95, 103.47, 1215, 765
2025/03/23 10:19:42.729, 1, 95, 107.44, 1215, 765
2025/03/23 10:19:43.732, 1, 95, 102.73, 1215, 765
2025/03/23 10:19:44.737, 1, 96, 106.30, 1215, 765
2025/03/23 10:19:45.742, 1, 94, 95.28, 1215, 765
2025/03/23 10:19:46.747, 1, 95, 97.45, 1215, 765
2025/03/23 10:19:47.750, 1, 94, 103.49, 1215, 765
2025/03/23 10:19:48.755, 1, 94, 106.62, 1215, 765
2025/03/23 10:19:49.760, 1, 95, 103.66, 1215, 765
2025/03/23 10:19:50.765, 1, 95, 102.92, 1215, 765
2025/03/23 10:19:51.768, 1, 95, 102.75, 1215, 765
2025/03/23 10:19:52.771, 1, 94, 103.44, 1215, 765
2025/03/23 10:19:53.774, 1, 94, 107.38, 1215, 765
2025/03/23 10:19:54.781, 1, 94, 100.69, 1215, 765
2025/03/23 10:19:55.786, 1, 94, 101.92, 1215, 765
2025/03/23 10:19:56.789, 1, 94, 95.71, 1215, 765
2025/03/23 10:19:57.792, 1, 94, 96.69, 1215, 765
2025/03/23 10:19:58.796, 1, 95, 104.39, 1215, 765
2025/03/23 10:19:59.801, 1, 95, 117.06, 1215, 765
2025/03/23 10:20:00.804, 1, 94, 104.43, 1215, 765
2025/03/23 10:20:01.810, 1, 94, 98.36, 1215, 765
2025/03/23 10:20:02.813, 1, 95, 107.80, 1215, 765
2025/03/23 10:20:03.819, 1, 95, 109.13, 1215, 765
2025/03/23 10:20:04.824, 1, 95, 110.31, 1215, 765
2025/03/23 10:20:05.827, 1, 95, 104.53, 1215, 765
2025/03/23 10:20:06.830, 1, 95, 104.51, 1215, 765
2025/03/23 10:20:07.833, 1, 94, 102.80, 1215, 765
2025/03/23 10:20:08.839, 1, 94, 102.05, 1215, 765
2025/03/23 10:20:09.842, 1, 94, 102.67, 1215, 765
2025/03/23 10:20:10.845, 1, 94, 106.82, 1215, 765
2025/03/23 10:20:11.848, 1, 94, 109.22, 1215, 765
2025/03/23 10:20:12.853, 1, 94, 105.93, 1215, 765
2025/03/23 10:20:13.857, 1, 95, 107.99, 1215, 765
2025/03/23 10:20:14.860, 1, 95, 104.34, 1215, 765
2025/03/23 10:20:15.863, 1, 94, 104.55, 1215, 765
2025/03/23 10:20:16.869, 1, 94, 105.21, 1215, 765
2025/03/23 10:20:17.872, 1, 95, 101.72, 1215, 765
2025/03/23 10:20:18.877, 1, 94, 96.09, 1215, 765
2025/03/23 10:20:19.881, 1, 94, 104.89, 1215, 765
2025/03/23 10:20:20.884, 1, 94, 95.51, 1215, 765
2025/03/23 10:20:21.887, 1, 95, 100.90, 1215, 765
2025/03/23 10:20:22.890, 1, 94, 103.19, 1215, 765
2025/03/23 10:20:23.893, 1, 94, 95.83, 1215, 765
2025/03/23 10:20:24.896, 1, 94, 102.34, 1215, 765
2025/03/23 10:20:25.901, 1, 94, 99.69, 1215, 765
2025/03/23 10:20:26.906, 1, 94, 106.97, 1215, 765
2025/03/23 10:20:27.909, 1, 94, 98.91, 1215, 765
2025/03/23 10:20:28.912, 1, 94, 103.56, 1215, 765
2025/03/23 10:20:29.917, 1, 95, 108.44, 1215, 765
2025/03/23 10:20:30.920, 1, 94, 101.87, 1215, 765
2025/03/23 10:20:31.923, 1, 94, 102.42, 1215, 765
2025/03/23 10:20:32.930, 1, 94, 105.50, 1215, 765
2025/03/23 10:20:33.935, 1, 94, 109.16, 1215, 765
2025/03/23 10:20:34.940, 1, 95, 107.78, 1215, 765
2025/03/23 10:20:35.949, 1, 95, 101.89, 1215, 765
2025/03/23 10:20:36.952, 1, 94, 101.35, 1215, 765
2025/03/23 10:20:37.955, 1, 95, 95.95, 1215, 765
2025/03/23 10:20:38.958, 1, 93, 105.47, 1215, 765
2025/03/23 10:20:39.962, 1, 94, 101.15, 1215, 765
2025/03/23 10:20:40.965, 1, 94, 96.28, 1215, 765
2025/03/23 10:20:41.968, 1, 94, 106.89, 1215, 765
2025/03/23 10:20:42.973, 1, 94, 109.94, 1215, 765
2025/03/23 10:20:43.976, 1, 95, 95.51, 1215, 765
2025/03/23 10:20:44.979, 1, 95, 97.22, 1215, 765
2025/03/23 10:20:45.983, 1, 94, 106.29, 1215, 765
2025/03/23 10:20:46.986, 1, 94, 98.57, 1215, 765
2025/03/23 10:20:47.991, 1, 94, 104.67, 1215, 765
2025/03/23 10:20:48.997, 1, 94, 95.74, 1215, 765
2025/03/23 10:20:50.000, 1, 95, 109.85, 1215, 765
2025/03/23 10:20:51.003, 1, 95, 103.66, 1215, 765
2025/03/23 10:20:52.008, 1, 95, 100.73, 1215, 765
2025/03/23 10:20:53.013, 1, 95, 95.68, 1215, 765
2025/03/23 10:20:54.016, 1, 94, 95.56, 1215, 765
2025/03/23 10:20:55.021, 1, 94, 103.25, 1215, 765
2025/03/23 10:20:56.026, 1, 94, 107.83, 1215, 765
2025/03/23 10:20:57.030, 1, 95, 110.01, 1215, 765
2025/03/23 10:20:58.033, 1, 94, 95.33, 1215, 765
2025/03/23 10:20:59.038, 1, 94, 97.79, 1215, 765
2025/03/23 10:21:00.041, 1, 95, 109.26, 1215, 765
2025/03/23 10:21:01.044, 1, 95, 105.38, 1215, 765
2025/03/23 10:21:02.050, 1, 94, 105.37, 1215, 765
2025/03/23 10:21:03.053, 1, 94, 105.18, 1215, 765
2025/03/23 10:21:04.056, 1, 94, 100.79, 1215, 765
2025/03/23 10:21:05.061, 1, 94, 97.62, 1215, 765
2025/03/23 10:21:06.064, 1, 95, 112.81, 1215, 765
2025/03/23 10:21:07.067, 1, 94, 95.91, 1215, 765
2025/03/23 10:21:08.071, 1, 95, 102.09, 1215, 765
2025/03/23 10:21:09.074, 1, 93, 101.89, 1215, 765
2025/03/23 10:21:10.077, 1, 93, 104.08, 1215, 765
2025/03/23 10:21:11.082, 1, 95, 102.58, 1215, 765
2025/03/23 10:21:12.085, 1, 94, 102.05, 1215, 765
2025/03/23 10:21:13.088, 1, 95, 103.39, 1215, 765
2025/03/23 10:21:14.093, 1, 94, 102.07, 1215, 765
2025/03/23 10:21:15.096, 1, 95, 106.97, 1215, 765
2025/03/23 10:21:16.099, 1, 95, 131.00, 1215, 765
2025/03/23 10:21:17.105, 1, 93, 102.52, 1215, 765
2025/03/23 10:21:18.109, 1, 94, 96.04, 1215, 765
2025/03/23 10:21:19.115, 1, 94, 96.99, 1215, 765
2025/03/23 10:21:20.120, 1, 94, 95.14, 1215, 765
2025/03/23 10:21:21.123, 1, 94, 97.56, 1215, 765
2025/03/23 10:21:22.130, 1, 95, 101.53, 1215, 765
2025/03/23 10:21:23.133, 1, 95, 106.50, 1215, 765
2025/03/23 10:21:24.138, 1, 93, 100.42, 1215, 765
2025/03/23 10:21:25.141, 1, 94, 106.03, 1215, 765
2025/03/23 10:21:26.148, 1, 94, 99.26, 1215, 765
2025/03/23 10:21:27.153, 1, 94, 108.44, 1215, 765
2025/03/23 10:21:28.156, 1, 94, 104.26, 1215, 765
2025/03/23 10:21:29.159, 1, 95, 104.13, 1215, 765
