timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/24 11:29:07.838, 0, 0, 35.61, 1215, 765
2025/03/24 11:29:08.857, 0, 0, 35.61, 1215, 765
2025/03/24 11:29:09.861, 0, 0, 35.81, 1215, 765
2025/03/24 11:29:10.864, 0, 0, 35.39, 1215, 765
2025/03/24 11:29:11.868, 0, 0, 35.59, 1215, 765
2025/03/24 11:29:12.872, 0, 0, 35.50, 1215, 765
2025/03/24 11:29:13.877, 0, 0, 35.51, 1215, 765
2025/03/24 11:29:14.881, 0, 0, 35.51, 1215, 765
2025/03/24 11:29:15.885, 0, 0, 35.40, 1215, 765
2025/03/24 11:29:16.890, 0, 0, 35.40, 1215, 765
2025/03/24 11:29:17.894, 0, 0, 35.40, 1215, 765
2025/03/24 11:29:18.900, 0, 0, 35.40, 1215, 765
2025/03/24 11:29:19.906, 0, 0, 35.40, 1215, 765
2025/03/24 11:29:20.909, 0, 0, 35.30, 1215, 765
2025/03/24 11:29:21.912, 0, 0, 35.30, 1215, 765
2025/03/24 11:29:22.917, 0, 0, 35.30, 1215, 765
2025/03/24 11:29:23.921, 0, 0, 35.30, 1215, 765
2025/03/24 11:29:24.928, 0, 0, 35.21, 1215, 765
2025/03/24 11:29:25.932, 0, 0, 35.21, 1215, 765
2025/03/24 11:29:26.935, 0, 85, 37.87, 1215, 765
2025/03/24 11:29:27.938, 0, 85, 37.97, 1215, 765
2025/03/24 11:29:28.942, 0, 34, 38.24, 1215, 765
2025/03/24 11:29:29.944, 0, 11, 37.49, 1215, 765
2025/03/24 11:29:30.948, 0, 0, 37.59, 1215, 765
2025/03/24 11:29:31.951, 0, 0, 37.31, 1215, 765
2025/03/24 11:29:32.956, 0, 0, 37.40, 1215, 765
2025/03/24 11:29:33.959, 0, 0, 37.31, 1215, 765
2025/03/24 11:29:34.962, 0, 0, 37.30, 1215, 765
2025/03/24 11:29:35.964, 0, 0, 37.20, 1215, 765
2025/03/24 11:29:36.968, 0, 0, 37.59, 1215, 765
2025/03/24 11:29:37.971, 0, 0, 37.10, 1215, 765
2025/03/24 11:29:38.974, 0, 0, 37.40, 1215, 765
2025/03/24 11:29:39.977, 0, 0, 37.29, 1215, 765
2025/03/24 11:29:40.981, 0, 0, 37.10, 1215, 765
2025/03/24 11:29:41.985, 0, 0, 37.21, 1215, 765
2025/03/24 11:29:42.989, 0, 0, 37.10, 1215, 765
2025/03/24 11:29:43.991, 0, 83, 97.20, 1215, 765
2025/03/24 11:29:44.996, 0, 89, 87.70, 1215, 765
2025/03/24 11:29:45.999, 0, 91, 114.89, 1215, 765
2025/03/24 11:29:47.004, 0, 92, 108.24, 1215, 765
2025/03/24 11:29:48.007, 0, 91, 113.11, 1215, 765
2025/03/24 11:29:49.010, 0, 92, 99.37, 1215, 765
2025/03/24 11:29:50.013, 0, 90, 116.37, 1215, 765
2025/03/24 11:29:51.015, 0, 91, 104.29, 1215, 765
2025/03/24 11:29:52.020, 0, 91, 115.47, 1215, 765
2025/03/24 11:29:53.029, 0, 91, 105.95, 1215, 765
2025/03/24 11:29:54.031, 0, 92, 117.73, 1215, 765
