timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 17:27:57.822, 0, 0, 35.90, 1215, 765
2025/03/23 17:27:58.840, 0, 0, 35.98, 1215, 765
2025/03/23 17:27:59.845, 0, 0, 35.91, 1215, 765
2025/03/23 17:28:00.847, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:01.852, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:02.857, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:03.863, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:04.867, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:05.871, 0, 0, 36.00, 1215, 765
2025/03/23 17:28:06.877, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:07.880, 0, 0, 35.61, 1215, 765
2025/03/23 17:28:08.883, 0, 0, 35.90, 1215, 765
2025/03/23 17:28:09.887, 0, 0, 35.61, 1215, 765
2025/03/23 17:28:10.890, 0, 0, 35.61, 1215, 765
2025/03/23 17:28:11.897, 0, 0, 35.61, 1215, 765
2025/03/23 17:28:12.901, 0, 0, 35.61, 1215, 765
2025/03/23 17:28:13.904, 0, 0, 35.90, 1215, 765
2025/03/23 17:28:14.909, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:15.912, 0, 0, 35.50, 1215, 765
2025/03/23 17:28:16.918, 0, 0, 35.81, 1215, 765
2025/03/23 17:28:17.922, 0, 0, 35.51, 1215, 765
2025/03/23 17:28:18.926, 0, 0, 35.71, 1215, 765
2025/03/23 17:28:19.931, 0, 81, 38.07, 1215, 765
2025/03/23 17:28:20.933, 0, 68, 38.86, 1215, 765
2025/03/23 17:28:21.936, 0, 85, 38.07, 1215, 765
2025/03/23 17:28:22.943, 0, 19, 37.61, 1215, 765
2025/03/23 17:28:23.948, 0, 0, 37.70, 1215, 765
2025/03/23 17:28:24.950, 0, 0, 37.60, 1215, 765
2025/03/23 17:28:25.953, 0, 0, 37.30, 1215, 765
2025/03/23 17:28:26.958, 0, 0, 37.31, 1215, 765
2025/03/23 17:28:27.965, 0, 0, 37.31, 1215, 765
2025/03/23 17:28:28.968, 0, 0, 37.40, 1215, 765
2025/03/23 17:28:29.970, 0, 0, 37.31, 1215, 765
2025/03/23 17:28:30.977, 0, 0, 37.60, 1215, 765
