timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 03:03:05.942, 0, 0, 36.69, 1215, 765
2025/03/23 03:03:06.960, 0, 0, 36.55, 1215, 765
2025/03/23 03:03:07.964, 0, 0, 36.49, 1215, 765
2025/03/23 03:03:08.967, 0, 0, 36.49, 1215, 765
2025/03/23 03:03:09.972, 0, 0, 36.58, 1215, 765
2025/03/23 03:03:10.976, 0, 0, 36.40, 1215, 765
2025/03/23 03:03:11.979, 0, 0, 36.21, 1215, 765
2025/03/23 03:03:12.982, 0, 0, 36.30, 1215, 765
2025/03/23 03:03:13.990, 0, 0, 36.30, 1215, 765
2025/03/23 03:03:14.994, 0, 0, 36.49, 1215, 765
2025/03/23 03:03:15.999, 0, 0, 36.59, 1215, 765
2025/03/23 03:03:17.002, 0, 0, 36.20, 1215, 765
2025/03/23 03:03:18.005, 0, 0, 36.30, 1215, 765
2025/03/23 03:03:19.007, 0, 0, 36.10, 1215, 765
2025/03/23 03:03:20.013, 0, 0, 36.40, 1215, 765
2025/03/23 03:03:21.022, 0, 0, 36.49, 1215, 765
2025/03/23 03:03:22.026, 0, 0, 36.10, 1215, 765
2025/03/23 03:03:23.030, 0, 0, 36.10, 1215, 765
2025/03/23 03:03:24.033, 0, 0, 36.40, 1215, 765
2025/03/23 03:03:25.036, 0, 0, 36.78, 1215, 765
2025/03/23 03:03:26.040, 0, 0, 36.20, 1215, 765
2025/03/23 03:03:27.045, 0, 0, 35.90, 1215, 765
2025/03/23 03:03:28.049, 0, 86, 39.25, 1215, 765
2025/03/23 03:03:29.052, 0, 53, 39.05, 1215, 765
2025/03/23 03:03:30.055, 0, 85, 39.25, 1215, 765
2025/03/23 03:03:31.058, 0, 0, 37.99, 1215, 765
2025/03/23 03:03:32.061, 0, 0, 38.09, 1215, 765
2025/03/23 03:03:33.070, 0, 0, 38.18, 1215, 765
2025/03/23 03:03:34.072, 0, 0, 37.79, 1215, 765
2025/03/23 03:03:35.076, 0, 0, 37.98, 1215, 765
2025/03/23 03:03:36.080, 0, 0, 37.70, 1215, 765
2025/03/23 03:03:37.083, 0, 0, 37.70, 1215, 765
2025/03/23 03:03:38.086, 0, 0, 37.99, 1215, 765
2025/03/23 03:03:39.091, 0, 0, 37.99, 1215, 765
2025/03/23 03:03:40.094, 0, 0, 37.70, 1215, 765
2025/03/23 03:03:41.097, 0, 0, 37.90, 1215, 765
2025/03/23 03:03:42.099, 0, 0, 37.98, 1215, 765
2025/03/23 03:03:43.105, 0, 0, 37.70, 1215, 765
2025/03/23 03:03:44.108, 0, 22, 37.88, 1215, 765
2025/03/23 03:03:45.114, 0, 97, 126.68, 1215, 765
2025/03/23 03:03:46.117, 0, 97, 119.17, 1215, 765
2025/03/23 03:03:47.123, 0, 97, 116.16, 1215, 765
2025/03/23 03:03:48.126, 0, 98, 118.39, 1215, 765
2025/03/23 03:03:49.133, 0, 98, 117.38, 1215, 765
2025/03/23 03:03:50.136, 0, 97, 114.96, 1215, 765
2025/03/23 03:03:51.139, 0, 98, 120.34, 1215, 765
2025/03/23 03:03:52.144, 0, 98, 118.69, 1215, 765
2025/03/23 03:03:53.147, 0, 96, 121.31, 1215, 765
2025/03/23 03:03:54.150, 0, 97, 129.96, 1215, 765
2025/03/23 03:03:55.158, 0, 97, 112.74, 1215, 765
2025/03/23 03:03:56.161, 0, 97, 118.03, 1215, 765
2025/03/23 03:03:57.164, 0, 98, 127.06, 1215, 765
2025/03/23 03:03:58.169, 0, 97, 116.88, 1215, 765
2025/03/23 03:03:59.172, 0, 98, 111.36, 1215, 765
2025/03/23 03:04:00.177, 0, 97, 139.34, 1215, 765
2025/03/23 03:04:01.180, 0, 97, 126.66, 1215, 765
2025/03/23 03:04:02.184, 0, 97, 116.92, 1215, 765
2025/03/23 03:04:03.187, 0, 97, 117.59, 1215, 765
2025/03/23 03:04:04.191, 0, 97, 128.41, 1215, 765
2025/03/23 03:04:05.194, 0, 97, 114.10, 1215, 765
2025/03/23 03:04:06.197, 0, 97, 121.27, 1215, 765
2025/03/23 03:04:07.200, 0, 98, 135.01, 1215, 765
2025/03/23 03:04:08.203, 0, 97, 122.87, 1215, 765
2025/03/23 03:04:09.206, 0, 98, 115.92, 1215, 765
2025/03/23 03:04:10.208, 0, 97, 150.76, 1215, 765
2025/03/23 03:04:11.222, 0, 97, 114.94, 1215, 765
2025/03/23 03:04:12.225, 0, 97, 116.40, 1215, 765
2025/03/23 03:04:13.228, 0, 97, 122.73, 1215, 765
2025/03/23 03:04:14.233, 0, 97, 140.84, 1215, 765
2025/03/23 03:04:15.236, 0, 97, 115.92, 1215, 765
2025/03/23 03:04:16.239, 0, 98, 127.22, 1215, 765
2025/03/23 03:04:17.244, 0, 97, 112.94, 1215, 765
2025/03/23 03:04:18.254, 0, 98, 114.63, 1215, 765
2025/03/23 03:04:19.257, 0, 97, 118.62, 1215, 765
2025/03/23 03:04:20.260, 0, 97, 118.59, 1215, 765
2025/03/23 03:04:21.263, 0, 97, 121.96, 1215, 765
2025/03/23 03:04:22.268, 0, 97, 135.81, 1215, 765
2025/03/23 03:04:23.271, 0, 97, 115.89, 1215, 765
2025/03/23 03:04:24.275, 0, 97, 116.45, 1215, 765
2025/03/23 03:04:25.278, 0, 97, 126.37, 1215, 765
2025/03/23 03:04:26.282, 0, 97, 115.15, 1215, 765
2025/03/23 03:04:27.287, 0, 96, 134.82, 1215, 765
2025/03/23 03:04:28.290, 0, 97, 121.29, 1215, 765
2025/03/23 03:04:29.293, 0, 97, 119.88, 1215, 765
2025/03/23 03:04:30.297, 0, 97, 125.21, 1215, 765
2025/03/23 03:04:31.302, 0, 97, 141.13, 1215, 765
2025/03/23 03:04:32.305, 0, 97, 112.46, 1215, 765
2025/03/23 03:04:33.309, 0, 97, 117.03, 1215, 765
2025/03/23 03:04:34.317, 0, 97, 125.52, 1215, 765
2025/03/23 03:04:35.320, 0, 97, 115.15, 1215, 765
2025/03/23 03:04:36.324, 0, 97, 113.35, 1215, 765
2025/03/23 03:04:37.331, 0, 97, 113.00, 1215, 765
2025/03/23 03:04:38.335, 0, 97, 118.47, 1215, 765
2025/03/23 03:04:39.338, 0, 97, 114.83, 1215, 765
2025/03/23 03:04:40.341, 0, 97, 114.26, 1215, 765
2025/03/23 03:04:41.344, 0, 97, 117.14, 1215, 765
2025/03/23 03:04:42.347, 0, 97, 124.32, 1215, 765
2025/03/23 03:04:43.352, 0, 97, 140.57, 1215, 765
2025/03/23 03:04:44.358, 0, 95, 115.13, 1215, 765
2025/03/23 03:04:45.362, 0, 97, 133.13, 1215, 765
2025/03/23 03:04:46.365, 0, 97, 136.60, 1215, 765
2025/03/23 03:04:47.368, 0, 97, 125.80, 1215, 765
2025/03/23 03:04:48.373, 0, 97, 124.98, 1215, 765
2025/03/23 03:04:49.378, 0, 97, 139.29, 1215, 765
2025/03/23 03:04:50.382, 0, 95, 115.14, 1215, 765
2025/03/23 03:04:51.386, 0, 97, 118.39, 1215, 765
2025/03/23 03:04:52.389, 0, 97, 133.45, 1215, 765
2025/03/23 03:04:53.392, 0, 97, 127.17, 1215, 765
2025/03/23 03:04:54.397, 0, 97, 119.21, 1215, 765
2025/03/23 03:04:55.402, 0, 97, 117.84, 1215, 765
2025/03/23 03:04:56.406, 0, 97, 117.13, 1215, 765
2025/03/23 03:04:57.410, 0, 97, 117.47, 1215, 765
2025/03/23 03:04:58.417, 0, 97, 119.44, 1215, 765
2025/03/23 03:04:59.420, 0, 97, 120.27, 1215, 765
2025/03/23 03:05:00.423, 0, 97, 127.24, 1215, 765
2025/03/23 03:05:01.425, 0, 96, 115.99, 1215, 765
2025/03/23 03:05:02.430, 0, 97, 128.12, 1215, 765
2025/03/23 03:05:03.434, 0, 97, 118.61, 1215, 765
2025/03/23 03:05:04.437, 0, 97, 116.46, 1215, 765
2025/03/23 03:05:05.440, 0, 97, 113.85, 1215, 765
2025/03/23 03:05:06.443, 0, 97, 115.40, 1215, 765
2025/03/23 03:05:07.446, 0, 97, 114.16, 1215, 765
2025/03/23 03:05:08.449, 0, 97, 115.08, 1215, 765
2025/03/23 03:05:09.455, 0, 97, 117.10, 1215, 765
2025/03/23 03:05:10.458, 0, 97, 117.03, 1215, 765
2025/03/23 03:05:11.462, 0, 97, 136.18, 1215, 765
2025/03/23 03:05:12.466, 0, 97, 125.69, 1215, 765
2025/03/23 03:05:13.471, 0, 97, 120.72, 1215, 765
2025/03/23 03:05:14.474, 0, 97, 117.65, 1215, 765
2025/03/23 03:05:15.477, 0, 97, 117.33, 1215, 765
2025/03/23 03:05:16.479, 0, 97, 118.29, 1215, 765
2025/03/23 03:05:17.487, 0, 97, 122.32, 1215, 765
2025/03/23 03:05:18.490, 0, 97, 121.07, 1215, 765
2025/03/23 03:05:19.493, 0, 97, 117.73, 1215, 765
2025/03/23 03:05:20.495, 0, 97, 122.07, 1215, 765
2025/03/23 03:05:21.498, 0, 97, 115.46, 1215, 765
2025/03/23 03:05:22.502, 0, 49, 116.84, 1215, 765
2025/03/23 03:05:23.505, 0, 97, 143.68, 1215, 765
2025/03/23 03:05:24.508, 0, 97, 129.79, 1215, 765
2025/03/23 03:05:25.511, 0, 96, 121.87, 1215, 765
2025/03/23 03:05:26.514, 0, 97, 122.32, 1215, 765
2025/03/23 03:05:27.518, 0, 97, 135.34, 1215, 765
2025/03/23 03:05:28.522, 0, 97, 115.65, 1215, 765
2025/03/23 03:05:29.525, 0, 97, 134.10, 1215, 765
2025/03/23 03:05:30.530, 0, 97, 123.73, 1215, 765
2025/03/23 03:05:31.533, 0, 97, 119.19, 1215, 765
2025/03/23 03:05:32.538, 0, 97, 142.69, 1215, 765
2025/03/23 03:05:33.543, 0, 97, 142.79, 1215, 765
2025/03/23 03:05:34.547, 0, 97, 142.23, 1215, 765
2025/03/23 03:05:35.552, 0, 97, 131.22, 1215, 765
2025/03/23 03:05:36.560, 0, 97, 117.53, 1215, 765
2025/03/23 03:05:37.563, 0, 96, 116.45, 1215, 765
2025/03/23 03:05:38.566, 0, 97, 130.06, 1215, 765
2025/03/23 03:05:39.570, 0, 97, 122.57, 1215, 765
2025/03/23 03:05:40.575, 0, 97, 118.82, 1215, 765
2025/03/23 03:05:41.578, 0, 97, 115.55, 1215, 765
2025/03/23 03:05:42.583, 0, 97, 116.47, 1215, 765
2025/03/23 03:05:43.586, 0, 96, 116.94, 1215, 765
2025/03/23 03:05:44.591, 0, 97, 137.68, 1215, 765
2025/03/23 03:05:45.596, 0, 97, 118.50, 1215, 765
2025/03/23 03:05:46.599, 0, 97, 134.99, 1215, 765
2025/03/23 03:05:47.602, 0, 97, 124.97, 1215, 765
2025/03/23 03:05:48.607, 0, 97, 119.53, 1215, 765
2025/03/23 03:05:49.613, 0, 97, 118.27, 1215, 765
2025/03/23 03:05:50.616, 0, 97, 115.33, 1215, 765
2025/03/23 03:05:51.619, 0, 97, 130.85, 1215, 765
2025/03/23 03:05:52.622, 0, 97, 132.10, 1215, 765
2025/03/23 03:05:53.625, 0, 97, 116.01, 1215, 765
2025/03/23 03:05:54.629, 0, 97, 128.81, 1215, 765
2025/03/23 03:05:55.632, 0, 97, 118.33, 1215, 765
2025/03/23 03:05:56.637, 0, 97, 115.64, 1215, 765
2025/03/23 03:05:57.641, 0, 97, 130.26, 1215, 765
2025/03/23 03:05:58.645, 0, 97, 143.97, 1215, 765
2025/03/23 03:05:59.648, 0, 97, 143.59, 1215, 765
2025/03/23 03:06:00.652, 0, 97, 130.12, 1215, 765
2025/03/23 03:06:01.657, 0, 96, 117.06, 1215, 765
2025/03/23 03:06:02.660, 0, 97, 128.68, 1215, 765
2025/03/23 03:06:03.668, 0, 97, 117.78, 1215, 765
2025/03/23 03:06:04.675, 0, 97, 128.10, 1215, 765
2025/03/23 03:06:05.678, 0, 97, 142.23, 1215, 765
2025/03/23 03:06:06.681, 0, 97, 127.06, 1215, 765
2025/03/23 03:06:07.684, 0, 97, 125.75, 1215, 765
2025/03/23 03:06:08.687, 0, 97, 127.85, 1215, 765
2025/03/23 03:06:09.695, 0, 97, 116.89, 1215, 765
2025/03/23 03:06:10.699, 0, 97, 125.37, 1215, 765
2025/03/23 03:06:11.704, 0, 97, 116.53, 1215, 765
2025/03/23 03:06:12.709, 0, 97, 144.84, 1215, 765
2025/03/23 03:06:13.715, 0, 97, 125.20, 1215, 765
2025/03/23 03:06:14.718, 0, 97, 122.05, 1215, 765
2025/03/23 03:06:15.723, 0, 97, 119.17, 1215, 765
2025/03/23 03:06:16.726, 0, 97, 133.37, 1215, 765
2025/03/23 03:06:17.732, 0, 97, 119.26, 1215, 765
2025/03/23 03:06:18.736, 0, 97, 121.06, 1215, 765
2025/03/23 03:06:19.743, 0, 97, 130.97, 1215, 765
2025/03/23 03:06:20.746, 0, 97, 122.91, 1215, 765
2025/03/23 03:06:21.754, 0, 97, 115.88, 1215, 765
2025/03/23 03:06:22.758, 0, 97, 121.30, 1215, 765
2025/03/23 03:06:23.767, 0, 97, 142.64, 1215, 765
2025/03/23 03:06:24.770, 0, 97, 137.59, 1215, 765
2025/03/23 03:06:25.776, 0, 97, 119.01, 1215, 765
2025/03/23 03:06:26.779, 0, 97, 133.10, 1215, 765
2025/03/23 03:06:27.782, 0, 97, 116.51, 1215, 765
2025/03/23 03:06:28.787, 0, 97, 134.77, 1215, 765
2025/03/23 03:06:29.789, 0, 97, 118.88, 1215, 765
