timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 04:04:08.448, 0, 0, 35.30, 1215, 765
2025/03/23 04:04:09.467, 0, 0, 35.35, 1215, 765
2025/03/23 04:04:10.470, 0, 0, 35.40, 1215, 765
2025/03/23 04:04:11.473, 0, 0, 35.40, 1215, 765
2025/03/23 04:04:12.477, 0, 0, 35.40, 1215, 765
2025/03/23 04:04:13.481, 0, 0, 35.11, 1215, 765
2025/03/23 04:04:14.490, 0, 0, 35.30, 1215, 765
2025/03/23 04:04:15.494, 0, 0, 35.31, 1215, 765
2025/03/23 04:04:16.497, 0, 0, 35.30, 1215, 765
2025/03/23 04:04:17.500, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:18.503, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:19.506, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:20.510, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:21.513, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:22.517, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:23.520, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:24.526, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:25.531, 0, 0, 35.30, 1215, 765
2025/03/23 04:04:26.535, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:27.541, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:28.545, 0, 0, 35.21, 1215, 765
2025/03/23 04:04:29.549, 0, 36, 37.96, 1215, 765
2025/03/23 04:04:30.556, 0, 34, 37.87, 1215, 765
2025/03/23 04:04:31.559, 0, 86, 37.31, 1215, 765
2025/03/23 04:04:32.563, 0, 86, 38.07, 1215, 765
2025/03/23 04:04:33.566, 0, 0, 37.40, 1215, 765
2025/03/23 04:04:34.570, 0, 0, 37.11, 1215, 765
2025/03/23 04:04:35.578, 0, 0, 37.31, 1215, 765
2025/03/23 04:04:36.582, 0, 0, 37.31, 1215, 765
2025/03/23 04:04:37.585, 0, 0, 37.40, 1215, 765
2025/03/23 04:04:38.591, 0, 0, 37.31, 1215, 765
2025/03/23 04:04:39.595, 0, 0, 37.31, 1215, 765
2025/03/23 04:04:40.599, 0, 0, 37.40, 1215, 765
2025/03/23 04:04:41.606, 0, 0, 37.40, 1215, 765
2025/03/23 04:04:42.611, 0, 0, 37.20, 1215, 765
2025/03/23 04:04:43.614, 0, 0, 37.31, 1215, 765
2025/03/23 04:04:44.617, 0, 0, 37.40, 1215, 765
2025/03/23 04:04:45.620, 0, 0, 37.11, 1215, 765
2025/03/23 04:04:46.624, 0, 0, 37.00, 1215, 765
2025/03/23 04:04:47.629, 0, 32, 145.73, 1215, 765
2025/03/23 04:04:48.633, 0, 97, 120.63, 1215, 765
2025/03/23 04:04:49.639, 0, 97, 117.37, 1215, 765
2025/03/23 04:04:50.645, 0, 98, 123.94, 1215, 765
2025/03/23 04:04:51.648, 0, 98, 129.92, 1215, 765
2025/03/23 04:04:52.653, 0, 96, 112.52, 1215, 765
2025/03/23 04:04:53.656, 0, 97, 117.72, 1215, 765
2025/03/23 04:04:54.660, 0, 97, 114.86, 1215, 765
2025/03/23 04:04:55.665, 0, 98, 125.69, 1215, 765
2025/03/23 04:04:56.669, 0, 97, 112.04, 1215, 765
2025/03/23 04:04:57.673, 0, 97, 116.45, 1215, 765
2025/03/23 04:04:58.678, 0, 97, 126.32, 1215, 765
2025/03/23 04:04:59.682, 0, 97, 119.88, 1215, 765
2025/03/23 04:05:00.688, 0, 97, 112.15, 1215, 765
2025/03/23 04:05:01.691, 0, 97, 137.79, 1215, 765
2025/03/23 04:05:02.695, 0, 97, 126.14, 1215, 765
2025/03/23 04:05:03.698, 0, 97, 118.39, 1215, 765
2025/03/23 04:05:04.701, 0, 97, 122.60, 1215, 765
2025/03/23 04:05:05.704, 0, 97, 115.31, 1215, 765
2025/03/23 04:05:06.707, 0, 97, 126.28, 1215, 765
2025/03/23 04:05:07.710, 0, 97, 111.70, 1215, 765
2025/03/23 04:05:08.713, 0, 97, 126.57, 1215, 765
2025/03/23 04:05:09.717, 0, 97, 116.45, 1215, 765
2025/03/23 04:05:10.720, 0, 97, 118.56, 1215, 765
2025/03/23 04:05:11.725, 0, 97, 121.56, 1215, 765
2025/03/23 04:05:12.728, 0, 97, 120.44, 1215, 765
2025/03/23 04:05:13.733, 0, 97, 114.16, 1215, 765
2025/03/23 04:05:14.739, 0, 97, 127.91, 1215, 765
2025/03/23 04:05:15.743, 0, 97, 115.37, 1215, 765
2025/03/23 04:05:16.746, 0, 97, 130.88, 1215, 765
2025/03/23 04:05:17.751, 0, 97, 112.00, 1215, 765
2025/03/23 04:05:18.754, 0, 97, 131.78, 1215, 765
2025/03/23 04:05:19.758, 0, 98, 119.59, 1215, 765
2025/03/23 04:05:20.761, 0, 97, 113.32, 1215, 765
2025/03/23 04:05:21.765, 0, 97, 112.43, 1215, 765
2025/03/23 04:05:22.768, 0, 97, 126.74, 1215, 765
2025/03/23 04:05:23.771, 0, 97, 126.48, 1215, 765
2025/03/23 04:05:24.774, 0, 97, 116.13, 1215, 765
2025/03/23 04:05:25.778, 0, 97, 124.32, 1215, 765
2025/03/23 04:05:26.781, 0, 97, 111.59, 1215, 765
2025/03/23 04:05:27.785, 0, 97, 119.51, 1215, 765
2025/03/23 04:05:28.791, 0, 97, 111.02, 1215, 765
2025/03/23 04:05:29.794, 0, 97, 123.25, 1215, 765
2025/03/23 04:05:30.799, 0, 97, 112.58, 1215, 765
2025/03/23 04:05:31.805, 0, 97, 118.16, 1215, 765
2025/03/23 04:05:32.810, 0, 97, 124.33, 1215, 765
2025/03/23 04:05:33.816, 0, 97, 130.14, 1215, 765
2025/03/23 04:05:34.821, 0, 97, 113.55, 1215, 765
2025/03/23 04:05:35.824, 0, 97, 124.18, 1215, 765
2025/03/23 04:05:36.827, 0, 97, 111.06, 1215, 765
2025/03/23 04:05:37.830, 0, 97, 122.14, 1215, 765
2025/03/23 04:05:38.833, 0, 97, 112.25, 1215, 765
2025/03/23 04:05:39.836, 0, 97, 121.57, 1215, 765
2025/03/23 04:05:40.839, 0, 97, 123.14, 1215, 765
2025/03/23 04:05:41.842, 0, 97, 128.16, 1215, 765
2025/03/23 04:05:42.846, 0, 97, 126.98, 1215, 765
2025/03/23 04:05:43.850, 0, 97, 112.57, 1215, 765
2025/03/23 04:05:44.853, 0, 97, 120.84, 1215, 765
2025/03/23 04:05:45.856, 0, 97, 123.54, 1215, 765
2025/03/23 04:05:46.861, 0, 97, 120.24, 1215, 765
2025/03/23 04:05:47.864, 0, 97, 115.46, 1215, 765
2025/03/23 04:05:48.871, 0, 97, 115.28, 1215, 765
2025/03/23 04:05:49.877, 0, 97, 113.69, 1215, 765
2025/03/23 04:05:50.886, 0, 97, 113.86, 1215, 765
2025/03/23 04:05:51.889, 0, 97, 119.77, 1215, 765
2025/03/23 04:05:52.896, 0, 97, 136.10, 1215, 765
2025/03/23 04:05:53.899, 0, 97, 115.52, 1215, 765
2025/03/23 04:05:54.902, 0, 97, 122.92, 1215, 765
2025/03/23 04:05:55.909, 0, 97, 113.32, 1215, 765
2025/03/23 04:05:56.912, 0, 96, 115.23, 1215, 765
2025/03/23 04:05:57.915, 0, 97, 115.04, 1215, 765
2025/03/23 04:05:58.920, 0, 97, 117.42, 1215, 765
2025/03/23 04:05:59.922, 0, 97, 119.37, 1215, 765
2025/03/23 04:06:00.928, 0, 97, 131.89, 1215, 765
2025/03/23 04:06:01.931, 0, 97, 120.89, 1215, 765
2025/03/23 04:06:02.936, 0, 97, 117.55, 1215, 765
2025/03/23 04:06:03.941, 0, 97, 126.12, 1215, 765
2025/03/23 04:06:04.947, 0, 97, 113.05, 1215, 765
2025/03/23 04:06:05.952, 0, 97, 116.47, 1215, 765
2025/03/23 04:06:06.956, 0, 97, 113.74, 1215, 765
2025/03/23 04:06:07.960, 0, 97, 114.66, 1215, 765
2025/03/23 04:06:08.963, 0, 97, 115.34, 1215, 765
2025/03/23 04:06:09.966, 0, 97, 116.74, 1215, 765
2025/03/23 04:06:10.971, 0, 97, 120.32, 1215, 765
2025/03/23 04:06:11.974, 0, 97, 140.71, 1215, 765
2025/03/23 04:06:12.984, 0, 97, 113.24, 1215, 765
