timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/24 07:28:48.606, 1, 0, 36.73, 1215, 765
2025/03/24 07:28:49.626, 1, 0, 36.86, 1215, 765
2025/03/24 07:28:50.630, 1, 0, 36.62, 1215, 765
2025/03/24 07:28:51.636, 1, 0, 36.63, 1215, 765
2025/03/24 07:28:52.639, 1, 0, 36.63, 1215, 765
2025/03/24 07:28:53.643, 1, 0, 36.62, 1215, 765
2025/03/24 07:28:54.649, 1, 0, 36.63, 1215, 765
2025/03/24 07:28:55.655, 1, 0, 36.63, 1215, 765
2025/03/24 07:28:56.659, 1, 0, 36.53, 1215, 765
2025/03/24 07:28:57.664, 1, 0, 36.44, 1215, 765
2025/03/24 07:28:58.668, 1, 0, 36.53, 1215, 765
2025/03/24 07:28:59.675, 1, 0, 36.44, 1215, 765
2025/03/24 07:29:00.679, 1, 0, 36.44, 1215, 765
2025/03/24 07:29:01.683, 1, 0, 36.44, 1215, 765
2025/03/24 07:29:02.691, 1, 0, 36.54, 1215, 765
2025/03/24 07:29:03.695, 1, 0, 36.44, 1215, 765
2025/03/24 07:29:04.698, 1, 0, 36.43, 1215, 765
2025/03/24 07:29:05.701, 1, 0, 36.34, 1215, 765
2025/03/24 07:29:06.704, 1, 0, 36.34, 1215, 765
2025/03/24 07:29:07.707, 1, 0, 36.24, 1215, 765
2025/03/24 07:29:08.713, 1, 0, 36.24, 1215, 765
2025/03/24 07:29:09.716, 1, 0, 36.24, 1215, 765
2025/03/24 07:29:10.719, 1, 52, 39.10, 1215, 765
2025/03/24 07:29:11.724, 1, 51, 39.10, 1215, 765
2025/03/24 07:29:12.728, 1, 27, 39.00, 1215, 765
2025/03/24 07:29:13.732, 1, 0, 37.93, 1215, 765
2025/03/24 07:29:14.736, 1, 0, 37.93, 1215, 765
2025/03/24 07:29:15.741, 1, 0, 37.83, 1215, 765
2025/03/24 07:29:16.745, 1, 0, 37.92, 1215, 765
2025/03/24 07:29:17.749, 1, 0, 37.83, 1215, 765
2025/03/24 07:29:18.757, 1, 0, 37.93, 1215, 765
2025/03/24 07:29:19.761, 1, 0, 37.93, 1215, 765
2025/03/24 07:29:20.765, 1, 0, 37.82, 1215, 765
2025/03/24 07:29:21.770, 1, 0, 38.02, 1215, 765
2025/03/24 07:29:22.773, 1, 0, 37.82, 1215, 765
2025/03/24 07:29:23.777, 1, 0, 37.82, 1215, 765
2025/03/24 07:29:24.779, 1, 0, 38.04, 1215, 765
2025/03/24 07:29:25.783, 1, 61, 135.67, 1215, 765
2025/03/24 07:29:26.786, 1, 97, 102.16, 1215, 765
2025/03/24 07:29:27.791, 1, 96, 106.36, 1215, 765
2025/03/24 07:29:28.796, 1, 96, 109.00, 1215, 765
2025/03/24 07:29:29.805, 1, 97, 109.46, 1215, 765
2025/03/24 07:29:30.808, 1, 97, 109.86, 1215, 765
2025/03/24 07:29:31.811, 1, 96, 110.80, 1215, 765
2025/03/24 07:29:32.818, 1, 97, 110.64, 1215, 765
2025/03/24 07:29:33.821, 1, 96, 102.86, 1215, 765
2025/03/24 07:29:34.824, 1, 96, 101.57, 1215, 765
2025/03/24 07:29:35.829, 1, 96, 103.29, 1215, 765
2025/03/24 07:29:36.832, 1, 96, 105.69, 1215, 765
2025/03/24 07:29:37.837, 1, 96, 99.93, 1215, 765
2025/03/24 07:29:38.842, 1, 96, 97.77, 1215, 765
2025/03/24 07:29:39.845, 1, 96, 104.92, 1215, 765
2025/03/24 07:29:40.850, 1, 96, 103.71, 1215, 765
2025/03/24 07:29:41.856, 1, 96, 106.12, 1215, 765
2025/03/24 07:29:42.859, 1, 96, 102.14, 1215, 765
2025/03/24 07:29:43.862, 1, 96, 104.43, 1215, 765
2025/03/24 07:29:44.868, 1, 96, 103.74, 1215, 765
2025/03/24 07:29:45.873, 1, 96, 102.16, 1215, 765
