timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 02:00:43.325, 0, 0, 36.19, 1215, 765
2025/03/23 02:00:44.344, 0, 0, 35.99, 1215, 765
2025/03/23 02:00:45.350, 0, 0, 36.10, 1215, 765
2025/03/23 02:00:46.356, 0, 0, 36.00, 1215, 765
2025/03/23 02:00:47.364, 0, 0, 36.10, 1215, 765
2025/03/23 02:00:48.368, 0, 0, 36.00, 1215, 765
2025/03/23 02:00:49.374, 0, 0, 36.00, 1215, 765
2025/03/23 02:00:50.379, 0, 0, 35.91, 1215, 765
2025/03/23 02:00:51.383, 0, 0, 35.90, 1215, 765
2025/03/23 02:00:52.391, 0, 0, 35.90, 1215, 765
2025/03/23 02:00:53.397, 0, 0, 35.90, 1215, 765
2025/03/23 02:00:54.401, 0, 0, 35.81, 1215, 765
2025/03/23 02:00:55.408, 0, 0, 35.91, 1215, 765
2025/03/23 02:00:56.411, 0, 0, 35.81, 1215, 765
2025/03/23 02:00:57.414, 0, 0, 35.81, 1215, 765
2025/03/23 02:00:58.417, 0, 0, 35.81, 1215, 765
2025/03/23 02:00:59.420, 0, 0, 35.81, 1215, 765
2025/03/23 02:01:00.424, 0, 0, 36.00, 1215, 765
2025/03/23 02:01:01.428, 0, 0, 36.00, 1215, 765
2025/03/23 02:01:02.433, 0, 0, 35.71, 1215, 765
2025/03/23 02:01:03.439, 0, 0, 35.81, 1215, 765
2025/03/23 02:01:04.445, 0, 0, 35.61, 1215, 765
2025/03/23 02:01:05.450, 0, 84, 38.59, 1215, 765
2025/03/23 02:01:06.453, 0, 54, 38.57, 1215, 765
2025/03/23 02:01:07.457, 0, 72, 38.66, 1215, 765
2025/03/23 02:01:08.461, 0, 0, 37.89, 1215, 765
2025/03/23 02:01:09.464, 0, 0, 37.60, 1215, 765
2025/03/23 02:01:10.466, 0, 0, 37.99, 1215, 765
2025/03/23 02:01:11.470, 0, 0, 37.50, 1215, 765
2025/03/23 02:01:12.473, 0, 0, 37.60, 1215, 765
2025/03/23 02:01:13.475, 0, 0, 37.89, 1215, 765
2025/03/23 02:01:14.478, 0, 0, 37.80, 1215, 765
2025/03/23 02:01:15.481, 0, 0, 37.50, 1215, 765
2025/03/23 02:01:16.484, 0, 0, 37.80, 1215, 765
2025/03/23 02:01:17.487, 0, 0, 37.50, 1215, 765
2025/03/23 02:01:18.490, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:19.493, 0, 0, 37.70, 1215, 765
2025/03/23 02:01:20.498, 0, 0, 37.50, 1215, 765
2025/03/23 02:01:21.502, 0, 0, 37.70, 1215, 765
2025/03/23 02:01:22.505, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:23.510, 0, 0, 37.69, 1215, 765
2025/03/23 02:01:24.513, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:25.515, 0, 0, 37.70, 1215, 765
2025/03/23 02:01:26.520, 0, 0, 37.50, 1215, 765
2025/03/23 02:01:27.524, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:28.528, 0, 0, 37.31, 1215, 765
2025/03/23 02:01:29.530, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:30.533, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:31.536, 0, 0, 37.80, 1215, 765
2025/03/23 02:01:32.543, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:33.547, 0, 0, 37.31, 1215, 765
2025/03/23 02:01:34.550, 0, 0, 37.40, 1215, 765
2025/03/23 02:01:35.553, 0, 0, 37.69, 1215, 765
2025/03/23 02:01:36.555, 0, 0, 37.60, 1215, 765
2025/03/23 02:01:37.559, 0, 0, 37.31, 1215, 765
2025/03/23 02:01:38.562, 0, 0, 37.31, 1215, 765
2025/03/23 02:01:39.566, 0, 0, 37.31, 1215, 765
2025/03/23 02:01:40.569, 0, 0, 37.21, 1215, 765
2025/03/23 02:01:41.572, 0, 96, 110.82, 1215, 765
2025/03/23 02:01:42.575, 0, 96, 113.03, 1215, 765
2025/03/23 02:01:43.578, 0, 97, 111.94, 1215, 765
2025/03/23 02:01:44.581, 0, 96, 106.93, 1215, 765
2025/03/23 02:01:45.584, 0, 97, 110.11, 1215, 765
2025/03/23 02:01:46.590, 0, 97, 106.72, 1215, 765
2025/03/23 02:01:47.595, 0, 97, 110.80, 1215, 765
2025/03/23 02:01:48.598, 0, 96, 107.69, 1215, 765
2025/03/23 02:01:49.603, 0, 97, 104.17, 1215, 765
2025/03/23 02:01:50.607, 0, 97, 109.89, 1215, 765
2025/03/23 02:01:51.610, 0, 97, 104.15, 1215, 765
2025/03/23 02:01:52.615, 0, 97, 112.55, 1215, 765
2025/03/23 02:01:53.620, 0, 97, 105.80, 1215, 765
2025/03/23 02:01:54.623, 0, 97, 104.11, 1215, 765
2025/03/23 02:01:55.628, 0, 97, 108.36, 1215, 765
2025/03/23 02:01:56.632, 0, 96, 110.88, 1215, 765
2025/03/23 02:01:57.635, 0, 96, 107.88, 1215, 765
2025/03/23 02:01:58.638, 0, 97, 107.88, 1215, 765
2025/03/23 02:01:59.641, 0, 96, 106.31, 1215, 765
2025/03/23 02:02:00.644, 0, 97, 104.50, 1215, 765
2025/03/23 02:02:01.652, 0, 96, 157.20, 1215, 765
