timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/24 01:26:02.402, 1, 0, 36.83, 1215, 765
2025/03/24 01:26:03.423, 1, 0, 37.07, 1215, 765
2025/03/24 01:26:04.427, 1, 0, 36.82, 1215, 765
2025/03/24 01:26:05.435, 1, 0, 36.83, 1215, 765
2025/03/24 01:26:06.439, 1, 0, 36.73, 1215, 765
2025/03/24 01:26:07.443, 1, 0, 36.73, 1215, 765
2025/03/24 01:26:08.448, 1, 0, 36.63, 1215, 765
2025/03/24 01:26:09.451, 1, 0, 36.73, 1215, 765
2025/03/24 01:26:10.455, 1, 0, 36.63, 1215, 765
2025/03/24 01:26:11.458, 1, 0, 36.63, 1215, 765
2025/03/24 01:26:12.461, 1, 0, 36.73, 1215, 765
2025/03/24 01:26:13.463, 1, 0, 36.53, 1215, 765
2025/03/24 01:26:14.468, 1, 0, 36.53, 1215, 765
2025/03/24 01:26:15.472, 1, 0, 36.53, 1215, 765
2025/03/24 01:26:16.475, 1, 0, 36.53, 1215, 765
2025/03/24 01:26:17.478, 1, 0, 36.53, 1215, 765
2025/03/24 01:26:18.481, 1, 0, 36.44, 1215, 765
2025/03/24 01:26:19.484, 1, 0, 36.44, 1215, 765
2025/03/24 01:26:20.487, 1, 0, 36.44, 1215, 765
2025/03/24 01:26:21.495, 1, 0, 36.34, 1215, 765
2025/03/24 01:26:22.498, 1, 0, 36.34, 1215, 765
2025/03/24 01:26:23.502, 1, 0, 36.34, 1215, 765
2025/03/24 01:26:24.508, 1, 20, 39.29, 1215, 765
2025/03/24 01:26:25.512, 1, 51, 39.29, 1215, 765
2025/03/24 01:26:26.520, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:27.524, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:28.528, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:29.530, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:30.534, 1, 0, 38.14, 1215, 765
2025/03/24 01:26:31.538, 1, 0, 38.13, 1215, 765
2025/03/24 01:26:32.545, 1, 0, 38.13, 1215, 765
2025/03/24 01:26:33.549, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:34.552, 1, 0, 38.13, 1215, 765
2025/03/24 01:26:35.559, 1, 0, 38.24, 1215, 765
2025/03/24 01:26:36.563, 1, 0, 38.03, 1215, 765
2025/03/24 01:26:37.566, 1, 0, 38.03, 1215, 765
2025/03/24 01:26:38.570, 1, 0, 38.14, 1215, 765
2025/03/24 01:26:39.574, 1, 0, 38.14, 1215, 765
2025/03/24 01:26:40.577, 1, 0, 38.13, 1215, 765
2025/03/24 01:26:41.581, 1, 0, 38.02, 1215, 765
2025/03/24 01:26:42.585, 1, 0, 38.14, 1215, 765
2025/03/24 01:26:43.588, 1, 0, 38.02, 1215, 765
2025/03/24 01:26:44.593, 1, 0, 38.03, 1215, 765
2025/03/24 01:26:45.596, 1, 0, 37.93, 1215, 765
2025/03/24 01:26:46.600, 1, 0, 38.03, 1215, 765
2025/03/24 01:26:47.603, 1, 0, 38.22, 1215, 765
2025/03/24 01:26:48.607, 1, 0, 38.03, 1215, 765
2025/03/24 01:26:49.611, 1, 11, 38.13, 1215, 765
2025/03/24 01:26:50.614, 1, 96, 100.41, 1215, 765
2025/03/24 01:26:51.618, 1, 96, 101.73, 1215, 765
2025/03/24 01:26:52.624, 1, 96, 103.17, 1215, 765
2025/03/24 01:26:53.628, 1, 96, 98.93, 1215, 765
2025/03/24 01:26:54.634, 1, 96, 101.20, 1215, 765
2025/03/24 01:26:55.637, 1, 97, 109.68, 1215, 765
2025/03/24 01:26:56.640, 1, 96, 106.75, 1215, 765
2025/03/24 01:26:57.645, 1, 96, 102.35, 1215, 765
2025/03/24 01:26:58.648, 1, 96, 105.76, 1215, 765
2025/03/24 01:26:59.654, 1, 96, 105.28, 1215, 765
2025/03/24 01:27:00.658, 1, 96, 105.80, 1215, 765
2025/03/24 01:27:01.661, 1, 96, 103.76, 1215, 765
2025/03/24 01:27:02.665, 1, 96, 102.69, 1215, 765
2025/03/24 01:27:03.672, 1, 96, 101.80, 1215, 765
2025/03/24 01:27:04.677, 1, 96, 104.81, 1215, 765
2025/03/24 01:27:05.686, 1, 96, 104.77, 1215, 765
2025/03/24 01:27:06.689, 1, 95, 104.06, 1215, 765
2025/03/24 01:27:07.692, 1, 96, 100.35, 1215, 765
2025/03/24 01:27:08.695, 1, 96, 107.15, 1215, 765
2025/03/24 01:27:09.698, 1, 96, 104.31, 1215, 765
2025/03/24 01:27:10.703, 1, 96, 106.79, 1215, 765
2025/03/24 01:27:11.706, 1, 96, 105.44, 1215, 765
2025/03/24 01:27:12.713, 1, 96, 106.22, 1215, 765
2025/03/24 01:27:13.716, 1, 96, 105.29, 1215, 765
2025/03/24 01:27:14.721, 1, 96, 105.04, 1215, 765
2025/03/24 01:27:15.725, 1, 96, 108.09, 1215, 765
2025/03/24 01:27:16.728, 1, 96, 111.41, 1215, 765
2025/03/24 01:27:17.733, 1, 96, 107.26, 1215, 765
2025/03/24 01:27:18.738, 1, 96, 104.17, 1215, 765
2025/03/24 01:27:19.743, 1, 96, 104.46, 1215, 765
2025/03/24 01:27:20.746, 1, 96, 103.47, 1215, 765
2025/03/24 01:27:21.749, 1, 96, 105.64, 1215, 765
2025/03/24 01:27:22.755, 1, 96, 107.99, 1215, 765
2025/03/24 01:27:23.758, 1, 96, 107.79, 1215, 765
2025/03/24 01:27:24.761, 1, 96, 101.37, 1215, 765
2025/03/24 01:27:25.766, 1, 96, 105.16, 1215, 765
2025/03/24 01:27:26.768, 1, 96, 104.55, 1215, 765
2025/03/24 01:27:27.773, 1, 96, 103.21, 1215, 765
2025/03/24 01:27:28.778, 1, 96, 104.46, 1215, 765
2025/03/24 01:27:29.781, 1, 96, 102.35, 1215, 765
2025/03/24 01:27:30.785, 1, 96, 102.89, 1215, 765
2025/03/24 01:27:31.788, 1, 96, 105.67, 1215, 765
2025/03/24 01:27:32.793, 1, 96, 102.45, 1215, 765
2025/03/24 01:27:33.799, 1, 96, 104.88, 1215, 765
2025/03/24 01:27:34.804, 1, 96, 105.25, 1215, 765
2025/03/24 01:27:35.809, 1, 96, 105.54, 1215, 765
2025/03/24 01:27:36.812, 1, 96, 107.34, 1215, 765
2025/03/24 01:27:37.818, 1, 96, 106.18, 1215, 765
2025/03/24 01:27:38.824, 1, 96, 104.86, 1215, 765
2025/03/24 01:27:39.826, 1, 96, 104.99, 1215, 765
2025/03/24 01:27:40.831, 1, 96, 105.56, 1215, 765
2025/03/24 01:27:41.840, 1, 96, 103.54, 1215, 765
2025/03/24 01:27:42.843, 1, 96, 107.21, 1215, 765
2025/03/24 01:27:43.847, 1, 96, 105.35, 1215, 765
2025/03/24 01:27:44.852, 1, 96, 105.93, 1215, 765
2025/03/24 01:27:45.856, 1, 96, 122.87, 1215, 765
2025/03/24 01:27:46.859, 1, 96, 102.67, 1215, 765
2025/03/24 01:27:47.861, 1, 96, 103.98, 1215, 765
2025/03/24 01:27:48.865, 1, 96, 102.45, 1215, 765
2025/03/24 01:27:49.869, 1, 96, 106.63, 1215, 765
2025/03/24 01:27:50.872, 1, 96, 106.08, 1215, 765
2025/03/24 01:27:51.877, 1, 96, 104.97, 1215, 765
2025/03/24 01:27:52.880, 1, 95, 104.70, 1215, 765
2025/03/24 01:27:53.883, 1, 96, 106.24, 1215, 765
2025/03/24 01:27:54.886, 1, 96, 106.55, 1215, 765
2025/03/24 01:27:55.890, 1, 96, 106.26, 1215, 765
2025/03/24 01:27:56.896, 1, 96, 107.10, 1215, 765
2025/03/24 01:27:57.899, 1, 96, 105.44, 1215, 765
2025/03/24 01:27:58.906, 1, 96, 102.17, 1215, 765
2025/03/24 01:27:59.911, 1, 96, 106.80, 1215, 765
2025/03/24 01:28:00.914, 1, 96, 106.27, 1215, 765
2025/03/24 01:28:01.919, 1, 95, 106.11, 1215, 765
2025/03/24 01:28:02.922, 1, 95, 105.28, 1215, 765
2025/03/24 01:28:03.925, 1, 96, 107.31, 1215, 765
2025/03/24 01:28:04.928, 1, 95, 105.35, 1215, 765
2025/03/24 01:28:05.931, 1, 96, 105.41, 1215, 765
2025/03/24 01:28:06.934, 1, 96, 106.58, 1215, 765
2025/03/24 01:28:07.937, 1, 96, 107.57, 1215, 765
2025/03/24 01:28:08.940, 1, 96, 106.13, 1215, 765
2025/03/24 01:28:09.947, 1, 96, 105.46, 1215, 765
2025/03/24 01:28:10.950, 1, 96, 105.88, 1215, 765
2025/03/24 01:28:11.953, 1, 96, 106.20, 1215, 765
2025/03/24 01:28:12.956, 1, 96, 102.86, 1215, 765
2025/03/24 01:28:13.960, 1, 96, 103.97, 1215, 765
2025/03/24 01:28:14.965, 1, 96, 106.69, 1215, 765
2025/03/24 01:28:15.972, 1, 96, 104.98, 1215, 765
2025/03/24 01:28:16.977, 1, 96, 104.64, 1215, 765
2025/03/24 01:28:17.982, 1, 96, 107.57, 1215, 765
2025/03/24 01:28:18.991, 1, 96, 103.32, 1215, 765
2025/03/24 01:28:19.996, 1, 96, 111.24, 1215, 765
2025/03/24 01:28:20.999, 1, 95, 101.14, 1215, 765
2025/03/24 01:28:22.004, 1, 94, 104.36, 1215, 765
2025/03/24 01:28:23.008, 1, 95, 107.03, 1215, 765
2025/03/24 01:28:24.015, 1, 95, 105.74, 1215, 765
2025/03/24 01:28:25.018, 1, 96, 106.92, 1215, 765
2025/03/24 01:28:26.024, 1, 96, 106.06, 1215, 765
2025/03/24 01:28:27.027, 1, 95, 107.36, 1215, 765
2025/03/24 01:28:28.032, 1, 96, 105.58, 1215, 765
2025/03/24 01:28:29.035, 1, 96, 105.17, 1215, 765
2025/03/24 01:28:30.040, 1, 96, 106.63, 1215, 765
2025/03/24 01:28:31.045, 1, 96, 107.82, 1215, 765
2025/03/24 01:28:32.048, 1, 96, 107.36, 1215, 765
2025/03/24 01:28:33.051, 1, 96, 107.41, 1215, 765
2025/03/24 01:28:34.058, 1, 96, 101.58, 1215, 765
2025/03/24 01:28:35.062, 1, 96, 106.35, 1215, 765
2025/03/24 01:28:36.065, 1, 96, 105.80, 1215, 765
2025/03/24 01:28:37.070, 1, 96, 105.40, 1215, 765
2025/03/24 01:28:38.074, 1, 96, 104.80, 1215, 765
2025/03/24 01:28:39.077, 1, 96, 106.82, 1215, 765
2025/03/24 01:28:40.081, 1, 96, 105.70, 1215, 765
2025/03/24 01:28:41.086, 1, 96, 106.29, 1215, 765
2025/03/24 01:28:42.089, 1, 96, 107.68, 1215, 765
2025/03/24 01:28:43.094, 1, 96, 105.74, 1215, 765
2025/03/24 01:28:44.096, 1, 96, 107.82, 1215, 765
2025/03/24 01:28:45.100, 1, 96, 104.26, 1215, 765
2025/03/24 01:28:46.103, 1, 96, 104.35, 1215, 765
2025/03/24 01:28:47.108, 1, 96, 104.78, 1215, 765
2025/03/24 01:28:48.112, 1, 96, 105.48, 1215, 765
2025/03/24 01:28:49.116, 1, 96, 101.61, 1215, 765
2025/03/24 01:28:50.120, 1, 95, 107.76, 1215, 765
2025/03/24 01:28:51.132, 1, 96, 107.08, 1215, 765
2025/03/24 01:28:52.137, 1, 96, 110.56, 1215, 765
2025/03/24 01:28:53.140, 1, 96, 106.64, 1215, 765
2025/03/24 01:28:54.143, 1, 96, 108.07, 1215, 765
2025/03/24 01:28:55.147, 1, 96, 109.12, 1215, 765
2025/03/24 01:28:56.150, 1, 96, 106.81, 1215, 765
2025/03/24 01:28:57.155, 1, 96, 107.74, 1215, 765
2025/03/24 01:28:58.160, 1, 96, 105.43, 1215, 765
2025/03/24 01:28:59.163, 1, 96, 106.01, 1215, 765
2025/03/24 01:29:00.166, 1, 96, 105.32, 1215, 765
2025/03/24 01:29:01.169, 1, 96, 108.01, 1215, 765
2025/03/24 01:29:02.175, 1, 96, 107.52, 1215, 765
2025/03/24 01:29:03.179, 1, 96, 106.43, 1215, 765
2025/03/24 01:29:04.186, 1, 96, 107.07, 1215, 765
2025/03/24 01:29:05.191, 1, 96, 106.25, 1215, 765
2025/03/24 01:29:06.194, 1, 96, 105.88, 1215, 765
2025/03/24 01:29:07.198, 1, 96, 107.03, 1215, 765
2025/03/24 01:29:08.202, 1, 96, 107.32, 1215, 765
2025/03/24 01:29:09.207, 1, 96, 107.81, 1215, 765
2025/03/24 01:29:10.210, 1, 96, 107.13, 1215, 765
2025/03/24 01:29:11.215, 1, 96, 104.47, 1215, 765
2025/03/24 01:29:12.220, 1, 96, 102.87, 1215, 765
2025/03/24 01:29:13.226, 1, 96, 107.00, 1215, 765
2025/03/24 01:29:14.229, 1, 96, 102.76, 1215, 765
2025/03/24 01:29:15.235, 1, 96, 105.59, 1215, 765
2025/03/24 01:29:16.240, 1, 96, 106.06, 1215, 765
2025/03/24 01:29:17.243, 1, 96, 104.96, 1215, 765
2025/03/24 01:29:18.246, 1, 96, 107.96, 1215, 765
2025/03/24 01:29:19.249, 1, 96, 107.36, 1215, 765
2025/03/24 01:29:20.252, 1, 96, 104.55, 1215, 765
2025/03/24 01:29:21.255, 1, 96, 104.85, 1215, 765
