timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 18:10:09.896, 1, 0, 37.24, 1215, 765
2025/03/23 18:10:10.918, 1, 0, 37.03, 1215, 765
2025/03/23 18:10:11.923, 1, 0, 36.91, 1215, 765
2025/03/23 18:10:12.928, 1, 0, 36.83, 1215, 765
2025/03/23 18:10:13.933, 1, 0, 36.73, 1215, 765
2025/03/23 18:10:14.937, 1, 0, 36.73, 1215, 765
2025/03/23 18:10:15.943, 1, 0, 36.73, 1215, 765
2025/03/23 18:10:16.947, 1, 0, 36.73, 1215, 765
2025/03/23 18:10:17.950, 1, 0, 36.55, 1215, 765
2025/03/23 18:10:18.954, 1, 0, 36.74, 1215, 765
2025/03/23 18:10:19.962, 1, 0, 36.64, 1215, 765
2025/03/23 18:10:20.965, 1, 0, 36.64, 1215, 765
2025/03/23 18:10:21.968, 1, 0, 36.53, 1215, 765
2025/03/23 18:10:22.980, 1, 0, 36.53, 1215, 765
2025/03/23 18:10:23.984, 1, 0, 36.63, 1215, 765
2025/03/23 18:10:24.989, 1, 0, 36.44, 1215, 765
2025/03/23 18:10:25.993, 1, 0, 36.44, 1215, 765
2025/03/23 18:10:26.997, 1, 0, 36.54, 1215, 765
2025/03/23 18:10:28.006, 1, 0, 36.35, 1215, 765
2025/03/23 18:10:29.010, 1, 0, 36.34, 1215, 765
2025/03/23 18:10:30.014, 1, 0, 36.44, 1215, 765
2025/03/23 18:10:31.020, 1, 0, 36.44, 1215, 765
2025/03/23 18:10:32.025, 1, 0, 36.45, 1215, 765
2025/03/23 18:10:33.028, 1, 51, 39.30, 1215, 765
2025/03/23 18:10:34.031, 1, 47, 38.33, 1215, 765
2025/03/23 18:10:35.034, 1, 32, 39.40, 1215, 765
2025/03/23 18:10:36.040, 1, 0, 38.24, 1215, 765
2025/03/23 18:10:37.042, 1, 0, 38.24, 1215, 765
2025/03/23 18:10:38.046, 1, 0, 38.34, 1215, 765
2025/03/23 18:10:39.051, 1, 0, 38.14, 1215, 765
2025/03/23 18:10:40.057, 1, 0, 38.24, 1215, 765
2025/03/23 18:10:41.060, 1, 0, 38.34, 1215, 765
2025/03/23 18:10:42.065, 1, 0, 38.14, 1215, 765
2025/03/23 18:10:43.069, 1, 0, 38.03, 1215, 765
2025/03/23 18:10:44.072, 1, 0, 38.03, 1215, 765
2025/03/23 18:10:45.074, 1, 0, 38.13, 1215, 765
2025/03/23 18:10:46.078, 1, 0, 38.24, 1215, 765
2025/03/23 18:10:47.081, 1, 0, 38.04, 1215, 765
2025/03/23 18:10:48.087, 1, 0, 38.14, 1215, 765
2025/03/23 18:10:49.090, 1, 0, 38.03, 1215, 765
2025/03/23 18:10:50.093, 1, 94, 105.79, 1215, 765
2025/03/23 18:10:51.098, 1, 96, 105.76, 1215, 765
2025/03/23 18:10:52.101, 1, 97, 104.39, 1215, 765
2025/03/23 18:10:53.107, 1, 96, 105.04, 1215, 765
2025/03/23 18:10:54.110, 1, 97, 104.87, 1215, 765
2025/03/23 18:10:55.116, 1, 97, 103.48, 1215, 765
2025/03/23 18:10:56.119, 1, 97, 106.22, 1215, 765
2025/03/23 18:10:57.126, 1, 97, 104.25, 1215, 765
2025/03/23 18:10:58.129, 1, 97, 103.46, 1215, 765
2025/03/23 18:10:59.132, 1, 96, 109.04, 1215, 765
2025/03/23 18:11:00.135, 1, 96, 105.53, 1215, 765
2025/03/23 18:11:01.138, 1, 97, 105.38, 1215, 765
2025/03/23 18:11:02.143, 1, 97, 103.82, 1215, 765
2025/03/23 18:11:03.147, 1, 96, 104.83, 1215, 765
2025/03/23 18:11:04.152, 1, 97, 106.29, 1215, 765
2025/03/23 18:11:05.157, 1, 97, 106.08, 1215, 765
2025/03/23 18:11:06.162, 1, 97, 106.79, 1215, 765
2025/03/23 18:11:07.167, 1, 97, 105.98, 1215, 765
2025/03/23 18:11:08.170, 1, 96, 105.45, 1215, 765
2025/03/23 18:11:09.174, 1, 97, 107.90, 1215, 765
2025/03/23 18:11:10.177, 1, 96, 107.39, 1215, 765
2025/03/23 18:11:11.182, 1, 97, 108.60, 1215, 765
2025/03/23 18:11:12.186, 1, 96, 105.04, 1215, 765
2025/03/23 18:11:13.194, 1, 97, 106.42, 1215, 765
2025/03/23 18:11:14.198, 1, 97, 104.90, 1215, 765
2025/03/23 18:11:15.202, 1, 97, 103.38, 1215, 765
2025/03/23 18:11:16.205, 1, 97, 102.83, 1215, 765
2025/03/23 18:11:17.208, 1, 97, 108.14, 1215, 765
2025/03/23 18:11:18.211, 1, 97, 105.78, 1215, 765
2025/03/23 18:11:19.216, 1, 96, 107.28, 1215, 765
2025/03/23 18:11:20.219, 1, 97, 111.04, 1215, 765
2025/03/23 18:11:21.222, 1, 97, 106.35, 1215, 765
2025/03/23 18:11:22.225, 1, 97, 107.03, 1215, 765
2025/03/23 18:11:23.228, 1, 96, 104.68, 1215, 765
2025/03/23 18:11:24.233, 1, 96, 106.60, 1215, 765
2025/03/23 18:11:25.238, 1, 97, 105.96, 1215, 765
2025/03/23 18:11:26.242, 1, 96, 104.46, 1215, 765
2025/03/23 18:11:27.246, 1, 96, 106.17, 1215, 765
2025/03/23 18:11:28.249, 1, 96, 103.25, 1215, 765
2025/03/23 18:11:29.252, 1, 96, 106.48, 1215, 765
2025/03/23 18:11:30.257, 1, 97, 108.07, 1215, 765
2025/03/23 18:11:31.260, 1, 97, 106.43, 1215, 765
2025/03/23 18:11:32.263, 1, 96, 108.24, 1215, 765
2025/03/23 18:11:33.266, 1, 97, 105.81, 1215, 765
2025/03/23 18:11:34.271, 1, 97, 106.48, 1215, 765
2025/03/23 18:11:35.274, 1, 96, 106.58, 1215, 765
2025/03/23 18:11:36.279, 1, 97, 107.35, 1215, 765
2025/03/23 18:11:37.282, 1, 96, 105.64, 1215, 765
2025/03/23 18:11:38.287, 1, 95, 128.46, 1215, 765
2025/03/23 18:11:39.290, 1, 97, 106.22, 1215, 765
2025/03/23 18:11:40.293, 1, 96, 103.52, 1215, 765
2025/03/23 18:11:41.298, 1, 96, 107.11, 1215, 765
2025/03/23 18:11:42.302, 1, 97, 108.18, 1215, 765
2025/03/23 18:11:43.305, 1, 97, 108.28, 1215, 765
2025/03/23 18:11:44.308, 1, 96, 106.77, 1215, 765
2025/03/23 18:11:45.315, 1, 96, 106.71, 1215, 765
2025/03/23 18:11:46.320, 1, 96, 104.48, 1215, 765
2025/03/23 18:11:47.324, 1, 97, 107.86, 1215, 765
2025/03/23 18:11:48.327, 1, 96, 109.50, 1215, 765
2025/03/23 18:11:49.330, 1, 97, 105.74, 1215, 765
2025/03/23 18:11:50.336, 1, 97, 107.44, 1215, 765
2025/03/23 18:11:51.341, 1, 97, 106.94, 1215, 765
2025/03/23 18:11:52.344, 1, 96, 106.52, 1215, 765
2025/03/23 18:11:53.348, 1, 97, 106.33, 1215, 765
2025/03/23 18:11:54.354, 1, 96, 105.18, 1215, 765
2025/03/23 18:11:55.357, 1, 96, 110.34, 1215, 765
2025/03/23 18:11:56.363, 1, 97, 103.61, 1215, 765
2025/03/23 18:11:57.368, 1, 96, 104.15, 1215, 765
2025/03/23 18:11:58.371, 1, 96, 106.66, 1215, 765
2025/03/23 18:11:59.376, 1, 97, 108.25, 1215, 765
2025/03/23 18:12:00.379, 1, 97, 107.89, 1215, 765
2025/03/23 18:12:01.385, 1, 96, 106.14, 1215, 765
2025/03/23 18:12:02.389, 1, 96, 107.40, 1215, 765
