timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/23 05:22:52.654, 1, 0, 36.85, 1215, 765
2025/03/23 05:22:53.674, 1, 0, 36.84, 1215, 765
2025/03/23 05:22:54.678, 1, 0, 36.84, 1215, 765
2025/03/23 05:22:55.684, 1, 0, 36.75, 1215, 765
2025/03/23 05:22:56.688, 1, 0, 36.74, 1215, 765
2025/03/23 05:22:57.692, 1, 0, 36.66, 1215, 765
2025/03/23 05:22:58.698, 1, 0, 36.65, 1215, 765
2025/03/23 05:22:59.702, 1, 0, 36.74, 1215, 765
2025/03/23 05:23:00.707, 1, 0, 36.65, 1215, 765
2025/03/23 05:23:01.710, 1, 0, 36.66, 1215, 765
2025/03/23 05:23:02.718, 1, 0, 36.56, 1215, 765
2025/03/23 05:23:03.723, 1, 0, 36.56, 1215, 765
2025/03/23 05:23:04.727, 1, 0, 36.54, 1215, 765
2025/03/23 05:23:05.730, 1, 0, 36.55, 1215, 765
2025/03/23 05:23:06.732, 1, 0, 36.55, 1215, 765
2025/03/23 05:23:07.735, 1, 0, 36.56, 1215, 765
2025/03/23 05:23:08.738, 1, 0, 36.55, 1215, 765
2025/03/23 05:23:09.741, 1, 0, 36.45, 1215, 765
2025/03/23 05:23:10.744, 1, 0, 36.46, 1215, 765
2025/03/23 05:23:11.747, 1, 0, 36.36, 1215, 765
2025/03/23 05:23:12.751, 1, 0, 36.35, 1215, 765
2025/03/23 05:23:13.756, 1, 51, 39.41, 1215, 765
2025/03/23 05:23:14.759, 1, 46, 39.12, 1215, 765
2025/03/23 05:23:15.766, 1, 33, 38.44, 1215, 765
2025/03/23 05:23:16.771, 1, 0, 38.08, 1215, 765
2025/03/23 05:23:17.774, 1, 0, 37.99, 1215, 765
2025/03/23 05:23:18.778, 1, 0, 38.06, 1215, 765
2025/03/23 05:23:19.782, 1, 0, 37.95, 1215, 765
2025/03/23 05:23:20.785, 1, 0, 38.04, 1215, 765
2025/03/23 05:23:21.788, 1, 0, 38.04, 1215, 765
2025/03/23 05:23:22.792, 1, 0, 37.95, 1215, 765
2025/03/23 05:23:23.799, 1, 0, 37.95, 1215, 765
2025/03/23 05:23:24.803, 1, 0, 38.03, 1215, 765
2025/03/23 05:23:25.806, 1, 0, 37.85, 1215, 765
2025/03/23 05:23:26.810, 1, 0, 37.85, 1215, 765
2025/03/23 05:23:27.814, 1, 0, 37.95, 1215, 765
2025/03/23 05:23:28.818, 1, 0, 37.85, 1215, 765
2025/03/23 05:23:29.822, 1, 96, 103.88, 1215, 765
2025/03/23 05:23:30.827, 1, 96, 101.12, 1215, 765
2025/03/23 05:23:31.830, 1, 96, 100.01, 1215, 765
2025/03/23 05:23:32.833, 1, 96, 103.15, 1215, 765
2025/03/23 05:23:33.838, 1, 96, 106.03, 1215, 765
2025/03/23 05:23:34.844, 1, 96, 107.19, 1215, 765
2025/03/23 05:23:35.848, 1, 96, 98.22, 1215, 765
2025/03/23 05:23:36.854, 1, 95, 105.63, 1215, 765
