timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 21:25:51.290, 0, 0, 35.90, 1215, 765
2025/03/22 21:25:52.309, 0, 0, 35.86, 1215, 765
2025/03/22 21:25:53.312, 0, 0, 35.91, 1215, 765
2025/03/22 21:25:54.316, 0, 0, 36.00, 1215, 765
2025/03/22 21:25:55.320, 0, 0, 36.10, 1215, 765
2025/03/22 21:25:56.324, 0, 0, 36.00, 1215, 765
2025/03/22 21:25:57.331, 0, 0, 36.00, 1215, 765
2025/03/22 21:25:58.333, 0, 0, 35.91, 1215, 765
2025/03/22 21:25:59.336, 0, 0, 35.91, 1215, 765
2025/03/22 21:26:00.339, 0, 0, 35.91, 1215, 765
2025/03/22 21:26:01.343, 0, 0, 35.91, 1215, 765
2025/03/22 21:26:02.351, 0, 0, 35.90, 1215, 765
2025/03/22 21:26:03.355, 0, 0, 35.90, 1215, 765
2025/03/22 21:26:04.361, 0, 0, 35.81, 1215, 765
2025/03/22 21:26:05.367, 0, 0, 35.71, 1215, 765
2025/03/22 21:26:06.371, 0, 0, 35.71, 1215, 765
2025/03/22 21:26:07.374, 0, 0, 35.71, 1215, 765
2025/03/22 21:26:08.379, 0, 0, 35.71, 1215, 765
2025/03/22 21:26:09.382, 0, 0, 35.91, 1215, 765
2025/03/22 21:26:10.391, 0, 0, 35.71, 1215, 765
2025/03/22 21:26:11.397, 0, 0, 35.70, 1215, 765
2025/03/22 21:26:12.400, 0, 85, 38.37, 1215, 765
2025/03/22 21:26:13.404, 0, 21, 38.47, 1215, 765
2025/03/22 21:26:14.410, 0, 85, 37.89, 1215, 765
2025/03/22 21:26:15.413, 0, 45, 37.67, 1215, 765
2025/03/22 21:26:16.417, 0, 0, 37.70, 1215, 765
2025/03/22 21:26:17.419, 0, 0, 37.70, 1215, 765
2025/03/22 21:26:18.422, 0, 0, 37.60, 1215, 765
2025/03/22 21:26:19.424, 0, 0, 37.61, 1215, 765
2025/03/22 21:26:20.427, 0, 0, 37.60, 1215, 765
2025/03/22 21:26:21.432, 0, 0, 37.60, 1215, 765
2025/03/22 21:26:22.436, 0, 0, 37.49, 1215, 765
2025/03/22 21:26:23.439, 0, 0, 37.70, 1215, 765
2025/03/22 21:26:24.445, 0, 0, 37.79, 1215, 765
2025/03/22 21:26:25.447, 0, 0, 37.49, 1215, 765
2025/03/22 21:26:26.451, 0, 0, 37.40, 1215, 765
2025/03/22 21:26:27.453, 0, 0, 37.59, 1215, 765
2025/03/22 21:26:28.456, 0, 0, 37.50, 1215, 765
2025/03/22 21:26:29.459, 0, 43, 108.87, 1215, 765
2025/03/22 21:26:30.463, 0, 96, 101.60, 1215, 765
2025/03/22 21:26:31.468, 0, 96, 109.24, 1215, 765
2025/03/22 21:26:32.471, 0, 97, 99.71, 1215, 765
2025/03/22 21:26:33.476, 0, 97, 107.60, 1215, 765
2025/03/22 21:26:34.479, 0, 96, 105.68, 1215, 765
2025/03/22 21:26:35.482, 0, 97, 106.93, 1215, 765
2025/03/22 21:26:36.485, 0, 95, 114.18, 1215, 765
2025/03/22 21:26:37.488, 0, 96, 106.48, 1215, 765
2025/03/22 21:26:38.490, 0, 96, 106.95, 1215, 765
2025/03/22 21:26:39.497, 0, 96, 109.64, 1215, 765
2025/03/22 21:26:40.502, 0, 96, 105.23, 1215, 765
2025/03/22 21:26:41.505, 0, 97, 103.25, 1215, 765
2025/03/22 21:26:42.510, 0, 97, 103.41, 1215, 765
2025/03/22 21:26:43.515, 0, 95, 105.46, 1215, 765
2025/03/22 21:26:44.520, 0, 96, 106.33, 1215, 765
2025/03/22 21:26:45.524, 0, 97, 108.05, 1215, 765
2025/03/22 21:26:46.529, 0, 96, 102.64, 1215, 765
2025/03/22 21:26:47.533, 0, 97, 105.77, 1215, 765
2025/03/22 21:26:48.540, 0, 96, 107.33, 1215, 765
2025/03/22 21:26:49.544, 0, 96, 102.50, 1215, 765
2025/03/22 21:26:50.547, 0, 97, 104.38, 1215, 765
2025/03/22 21:26:51.550, 0, 97, 110.14, 1215, 765
2025/03/22 21:26:52.554, 0, 96, 107.92, 1215, 765
2025/03/22 21:26:53.557, 0, 96, 102.30, 1215, 765
2025/03/22 21:26:54.562, 0, 96, 106.14, 1215, 765
2025/03/22 21:26:55.567, 0, 96, 105.55, 1215, 765
2025/03/22 21:26:56.570, 0, 96, 104.85, 1215, 765
2025/03/22 21:26:57.573, 0, 96, 108.92, 1215, 765
2025/03/22 21:26:58.577, 0, 96, 109.88, 1215, 765
2025/03/22 21:26:59.583, 0, 96, 108.09, 1215, 765
2025/03/22 21:27:00.586, 0, 96, 106.98, 1215, 765
2025/03/22 21:27:01.594, 0, 96, 107.65, 1215, 765
2025/03/22 21:27:02.599, 0, 97, 107.35, 1215, 765
2025/03/22 21:27:03.602, 0, 96, 109.07, 1215, 765
2025/03/22 21:27:04.608, 0, 96, 109.55, 1215, 765
2025/03/22 21:27:05.611, 0, 96, 106.99, 1215, 765
2025/03/22 21:27:06.613, 0, 96, 103.78, 1215, 765
2025/03/22 21:27:07.616, 0, 96, 107.96, 1215, 765
2025/03/22 21:27:08.622, 0, 96, 104.14, 1215, 765
2025/03/22 21:27:09.625, 0, 97, 104.73, 1215, 765
2025/03/22 21:27:10.628, 0, 96, 107.88, 1215, 765
2025/03/22 21:27:11.632, 0, 96, 106.86, 1215, 765
2025/03/22 21:27:12.635, 0, 96, 107.03, 1215, 765
2025/03/22 21:27:13.639, 0, 96, 109.01, 1215, 765
2025/03/22 21:27:14.648, 0, 96, 110.14, 1215, 765
2025/03/22 21:27:15.651, 0, 96, 104.02, 1215, 765
2025/03/22 21:27:16.659, 0, 96, 108.85, 1215, 765
2025/03/22 21:27:17.664, 0, 96, 107.25, 1215, 765
2025/03/22 21:27:18.672, 0, 96, 103.59, 1215, 765
2025/03/22 21:27:19.675, 0, 96, 104.80, 1215, 765
2025/03/22 21:27:20.678, 0, 96, 107.38, 1215, 765
2025/03/22 21:27:21.681, 0, 96, 110.31, 1215, 765
2025/03/22 21:27:22.684, 0, 96, 109.40, 1215, 765
2025/03/22 21:27:23.687, 0, 96, 108.28, 1215, 765
2025/03/22 21:27:24.692, 0, 95, 127.17, 1215, 765
2025/03/22 21:27:25.697, 0, 96, 109.29, 1215, 765
2025/03/22 21:27:26.700, 0, 96, 103.09, 1215, 765
2025/03/22 21:27:27.703, 0, 96, 107.70, 1215, 765
2025/03/22 21:27:28.707, 0, 96, 107.17, 1215, 765
2025/03/22 21:27:29.710, 0, 96, 107.31, 1215, 765
2025/03/22 21:27:30.713, 0, 96, 108.40, 1215, 765
2025/03/22 21:27:31.716, 0, 96, 104.20, 1215, 765
2025/03/22 21:27:32.719, 0, 96, 109.57, 1215, 765
2025/03/22 21:27:33.724, 0, 96, 107.54, 1215, 765
2025/03/22 21:27:34.727, 0, 96, 108.57, 1215, 765
2025/03/22 21:27:35.729, 0, 96, 105.73, 1215, 765
2025/03/22 21:27:36.732, 0, 96, 107.16, 1215, 765
2025/03/22 21:27:37.735, 0, 96, 109.43, 1215, 765
2025/03/22 21:27:38.738, 0, 96, 106.48, 1215, 765
2025/03/22 21:27:39.741, 0, 96, 104.94, 1215, 765
2025/03/22 21:27:40.747, 0, 96, 107.19, 1215, 765
2025/03/22 21:27:41.750, 0, 96, 110.98, 1215, 765
2025/03/22 21:27:42.755, 0, 97, 104.30, 1215, 765
2025/03/22 21:27:43.758, 0, 96, 105.27, 1215, 765
2025/03/22 21:27:44.762, 0, 96, 104.61, 1215, 765
2025/03/22 21:27:45.767, 0, 96, 108.47, 1215, 765
2025/03/22 21:27:46.770, 0, 96, 106.85, 1215, 765
2025/03/22 21:27:47.773, 0, 96, 107.71, 1215, 765
2025/03/22 21:27:48.776, 0, 96, 108.46, 1215, 765
2025/03/22 21:27:49.779, 0, 96, 103.24, 1215, 765
2025/03/22 21:27:50.781, 0, 96, 109.56, 1215, 765
2025/03/22 21:27:51.786, 0, 96, 105.10, 1215, 765
2025/03/22 21:27:52.789, 0, 96, 106.71, 1215, 765
2025/03/22 21:27:53.792, 0, 96, 103.26, 1215, 765
2025/03/22 21:27:54.797, 0, 96, 104.73, 1215, 765
2025/03/22 21:27:55.800, 0, 96, 107.48, 1215, 765
2025/03/22 21:27:56.803, 0, 96, 103.29, 1215, 765
2025/03/22 21:27:57.806, 0, 96, 103.47, 1215, 765
2025/03/22 21:27:58.810, 0, 95, 106.91, 1215, 765
2025/03/22 21:27:59.815, 0, 96, 105.22, 1215, 765
2025/03/22 21:28:00.820, 0, 96, 105.01, 1215, 765
2025/03/22 21:28:01.829, 0, 96, 104.13, 1215, 765
2025/03/22 21:28:02.832, 0, 96, 107.63, 1215, 765
2025/03/22 21:28:03.835, 0, 96, 108.51, 1215, 765
2025/03/22 21:28:04.838, 0, 96, 112.67, 1215, 765
2025/03/22 21:28:05.841, 0, 96, 109.56, 1215, 765
2025/03/22 21:28:06.843, 0, 96, 104.98, 1215, 765
2025/03/22 21:28:07.846, 0, 96, 107.17, 1215, 765
2025/03/22 21:28:08.849, 0, 96, 110.09, 1215, 765
2025/03/22 21:28:09.854, 0, 96, 108.67, 1215, 765
2025/03/22 21:28:10.859, 0, 96, 110.09, 1215, 765
2025/03/22 21:28:11.862, 0, 97, 107.76, 1215, 765
2025/03/22 21:28:12.867, 0, 96, 109.18, 1215, 765
2025/03/22 21:28:13.871, 0, 96, 108.86, 1215, 765
2025/03/22 21:28:14.878, 0, 96, 109.60, 1215, 765
