timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 13:00:12.101, 0, 0, 36.20, 1215, 765
2025/03/22 13:00:13.120, 0, 0, 36.10, 1215, 765
2025/03/22 13:00:14.124, 0, 0, 36.00, 1215, 765
2025/03/22 13:00:15.130, 0, 0, 36.00, 1215, 765
2025/03/22 13:00:16.134, 0, 0, 35.90, 1215, 765
2025/03/22 13:00:17.137, 0, 0, 36.00, 1215, 765
2025/03/22 13:00:18.141, 0, 0, 35.92, 1215, 765
2025/03/22 13:00:19.147, 0, 0, 36.20, 1215, 765
2025/03/22 13:00:20.152, 0, 0, 35.90, 1215, 765
2025/03/22 13:00:21.156, 0, 0, 36.20, 1215, 765
2025/03/22 13:00:22.159, 0, 0, 36.11, 1215, 765
2025/03/22 13:00:23.166, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:24.170, 0, 0, 35.90, 1215, 765
2025/03/22 13:00:25.175, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:26.179, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:27.185, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:28.190, 0, 0, 35.71, 1215, 765
2025/03/22 13:00:29.194, 0, 0, 35.71, 1215, 765
2025/03/22 13:00:30.200, 0, 0, 36.00, 1215, 765
2025/03/22 13:00:31.203, 0, 0, 35.71, 1215, 765
2025/03/22 13:00:32.207, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:33.212, 0, 0, 36.00, 1215, 765
2025/03/22 13:00:34.216, 0, 0, 35.90, 1215, 765
2025/03/22 13:00:35.222, 0, 0, 35.51, 1215, 765
2025/03/22 13:00:36.225, 0, 0, 35.81, 1215, 765
2025/03/22 13:00:37.229, 0, 0, 38.79, 1215, 765
2025/03/22 13:00:38.233, 0, 38, 38.85, 1215, 765
2025/03/22 13:00:39.237, 0, 60, 38.95, 1215, 765
2025/03/22 13:00:40.241, 0, 0, 37.51, 1215, 765
2025/03/22 13:00:41.244, 0, 0, 37.60, 1215, 765
2025/03/22 13:00:42.247, 0, 0, 37.51, 1215, 765
2025/03/22 13:00:43.254, 0, 0, 37.80, 1215, 765
2025/03/22 13:00:44.257, 0, 0, 37.49, 1215, 765
2025/03/22 13:00:45.259, 0, 0, 37.31, 1215, 765
2025/03/22 13:00:46.263, 0, 0, 37.40, 1215, 765
2025/03/22 13:00:47.265, 0, 0, 37.79, 1215, 765
2025/03/22 13:00:48.268, 0, 0, 37.40, 1215, 765
2025/03/22 13:00:49.273, 0, 0, 37.40, 1215, 765
2025/03/22 13:00:50.276, 0, 0, 37.80, 1215, 765
2025/03/22 13:00:51.279, 0, 0, 37.90, 1215, 765
2025/03/22 13:00:52.282, 0, 0, 37.40, 1215, 765
2025/03/22 13:00:53.285, 0, 0, 37.69, 1215, 765
2025/03/22 13:00:54.288, 0, 0, 37.70, 1215, 765
2025/03/22 13:00:55.290, 0, 0, 37.69, 1215, 765
2025/03/22 13:00:56.293, 0, 0, 37.70, 1215, 765
2025/03/22 13:00:57.297, 0, 0, 37.70, 1215, 765
2025/03/22 13:00:58.299, 0, 0, 37.60, 1215, 765
2025/03/22 13:00:59.303, 0, 0, 37.31, 1215, 765
2025/03/22 13:01:00.305, 0, 0, 37.70, 1215, 765
2025/03/22 13:01:01.309, 0, 0, 37.60, 1215, 765
2025/03/22 13:01:02.314, 0, 0, 37.70, 1215, 765
2025/03/22 13:01:03.316, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:04.320, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:05.324, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:06.327, 0, 0, 37.59, 1215, 765
2025/03/22 13:01:07.329, 0, 0, 37.70, 1215, 765
2025/03/22 13:01:08.332, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:09.336, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:10.340, 0, 0, 37.49, 1215, 765
2025/03/22 13:01:11.344, 0, 0, 37.58, 1215, 765
2025/03/22 13:01:12.346, 0, 0, 37.69, 1215, 765
2025/03/22 13:01:13.349, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:14.353, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:15.356, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:16.365, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:17.368, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:18.370, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:19.377, 0, 0, 37.50, 1215, 765
2025/03/22 13:01:20.381, 0, 95, 97.80, 1215, 765
2025/03/22 13:01:21.384, 0, 94, 94.15, 1215, 765
2025/03/22 13:01:22.389, 0, 95, 108.20, 1215, 765
2025/03/22 13:01:23.392, 0, 94, 101.45, 1215, 765
2025/03/22 13:01:24.394, 0, 94, 101.37, 1215, 765
2025/03/22 13:01:25.399, 0, 94, 97.04, 1215, 765
2025/03/22 13:01:26.401, 0, 95, 97.20, 1215, 765
2025/03/22 13:01:27.406, 0, 94, 98.50, 1215, 765
2025/03/22 13:01:28.412, 0, 94, 99.29, 1215, 765
2025/03/22 13:01:29.417, 0, 94, 100.69, 1215, 765
2025/03/22 13:01:30.420, 0, 94, 98.23, 1215, 765
2025/03/22 13:01:31.425, 0, 94, 106.17, 1215, 765
2025/03/22 13:01:32.429, 0, 94, 97.50, 1215, 765
2025/03/22 13:01:33.432, 0, 93, 104.14, 1215, 765
2025/03/22 13:01:34.437, 0, 95, 105.27, 1215, 765
2025/03/22 13:01:35.440, 0, 93, 102.77, 1215, 765
2025/03/22 13:01:36.443, 0, 93, 98.94, 1215, 765
2025/03/22 13:01:37.446, 0, 94, 96.74, 1215, 765
2025/03/22 13:01:38.450, 0, 94, 99.10, 1215, 765
2025/03/22 13:01:39.453, 0, 94, 106.70, 1215, 765
2025/03/22 13:01:40.458, 0, 94, 101.96, 1215, 765
