timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 07:28:12.230, 0, 0, 40.48, 1215, 765
2025/03/22 07:28:13.246, 0, 0, 38.18, 1215, 765
2025/03/22 07:28:14.250, 0, 0, 38.18, 1215, 765
2025/03/22 07:28:15.256, 0, 0, 37.99, 1215, 765
2025/03/22 07:28:16.263, 0, 0, 37.99, 1215, 765
2025/03/22 07:28:17.267, 0, 0, 37.79, 1215, 765
2025/03/22 07:28:18.275, 0, 0, 37.80, 1215, 765
2025/03/22 07:28:19.280, 0, 0, 37.80, 1215, 765
2025/03/22 07:28:20.284, 0, 0, 37.69, 1215, 765
2025/03/22 07:28:21.294, 0, 0, 37.60, 1215, 765
2025/03/22 07:28:22.298, 0, 0, 37.60, 1215, 765
2025/03/22 07:28:23.303, 0, 0, 37.50, 1215, 765
2025/03/22 07:28:24.308, 0, 0, 37.50, 1215, 765
2025/03/22 07:28:25.313, 0, 0, 37.40, 1215, 765
2025/03/22 07:28:26.318, 0, 0, 37.31, 1215, 765
2025/03/22 07:28:27.322, 0, 0, 37.21, 1215, 765
2025/03/22 07:28:28.328, 0, 0, 37.20, 1215, 765
2025/03/22 07:28:29.332, 0, 0, 37.11, 1215, 765
2025/03/22 07:28:30.336, 0, 0, 37.11, 1215, 765
2025/03/22 07:28:31.341, 0, 0, 37.00, 1215, 765
2025/03/22 07:28:32.344, 0, 0, 37.00, 1215, 765
2025/03/22 07:28:33.347, 0, 0, 36.90, 1215, 765
2025/03/22 07:28:34.351, 0, 0, 36.79, 1215, 765
2025/03/22 07:28:35.355, 0, 0, 36.90, 1215, 765
2025/03/22 07:28:36.364, 0, 0, 36.79, 1215, 765
2025/03/22 07:28:37.370, 0, 0, 36.69, 1215, 765
2025/03/22 07:28:38.374, 0, 0, 36.59, 1215, 765
2025/03/22 07:28:39.377, 0, 0, 36.59, 1215, 765
2025/03/22 07:28:40.380, 0, 0, 36.49, 1215, 765
2025/03/22 07:28:41.384, 0, 0, 36.59, 1215, 765
2025/03/22 07:28:42.387, 0, 0, 36.49, 1215, 765
2025/03/22 07:28:43.394, 0, 87, 39.26, 1215, 765
2025/03/22 07:28:44.398, 0, 85, 39.26, 1215, 765
2025/03/22 07:28:45.401, 0, 47, 39.42, 1215, 765
2025/03/22 07:28:46.406, 0, 51, 38.50, 1215, 765
2025/03/22 07:28:47.410, 0, 0, 38.39, 1215, 765
2025/03/22 07:28:48.413, 0, 0, 38.40, 1215, 765
2025/03/22 07:28:49.417, 0, 0, 38.29, 1215, 765
2025/03/22 07:28:50.424, 0, 0, 38.29, 1215, 765
2025/03/22 07:28:51.428, 0, 0, 38.19, 1215, 765
2025/03/22 07:28:52.430, 0, 0, 38.19, 1215, 765
2025/03/22 07:28:53.434, 0, 0, 38.18, 1215, 765
2025/03/22 07:28:54.437, 0, 0, 38.19, 1215, 765
2025/03/22 07:28:55.441, 0, 0, 38.19, 1215, 765
2025/03/22 07:28:56.444, 0, 0, 38.19, 1215, 765
