timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 19:03:15.522, 1, 0, 36.94, 1215, 765
2025/03/22 19:03:16.540, 1, 0, 36.71, 1215, 765
2025/03/22 19:03:17.544, 1, 0, 37.04, 1215, 765
2025/03/22 19:03:18.552, 1, 0, 36.95, 1215, 765
2025/03/22 19:03:19.556, 1, 0, 36.83, 1215, 765
2025/03/22 19:03:20.560, 1, 0, 36.73, 1215, 765
2025/03/22 19:03:21.566, 1, 0, 36.63, 1215, 765
2025/03/22 19:03:22.571, 1, 0, 36.73, 1215, 765
2025/03/22 19:03:23.574, 1, 0, 36.73, 1215, 765
2025/03/22 19:03:24.578, 1, 0, 36.73, 1215, 765
2025/03/22 19:03:25.581, 1, 0, 36.74, 1215, 765
2025/03/22 19:03:26.584, 1, 0, 36.73, 1215, 765
2025/03/22 19:03:27.588, 1, 0, 36.63, 1215, 765
2025/03/22 19:03:28.592, 1, 0, 36.44, 1215, 765
2025/03/22 19:03:29.597, 1, 0, 36.53, 1215, 765
2025/03/22 19:03:30.600, 1, 0, 36.54, 1215, 765
2025/03/22 19:03:31.603, 1, 0, 36.63, 1215, 765
2025/03/22 19:03:32.606, 1, 0, 36.53, 1215, 765
2025/03/22 19:03:33.610, 1, 0, 36.54, 1215, 765
2025/03/22 19:03:34.613, 1, 0, 36.35, 1215, 765
2025/03/22 19:03:35.617, 1, 0, 36.34, 1215, 765
2025/03/22 19:03:36.621, 1, 0, 36.53, 1215, 765
2025/03/22 19:03:37.632, 1, 47, 38.43, 1215, 765
2025/03/22 19:03:38.635, 1, 37, 39.60, 1215, 765
2025/03/22 19:03:39.639, 1, 0, 38.61, 1215, 765
2025/03/22 19:03:40.642, 1, 0, 38.34, 1215, 765
2025/03/22 19:03:41.646, 1, 0, 38.54, 1215, 765
2025/03/22 19:03:42.649, 1, 0, 38.63, 1215, 765
2025/03/22 19:03:43.653, 1, 0, 38.45, 1215, 765
2025/03/22 19:03:44.657, 1, 0, 38.53, 1215, 765
2025/03/22 19:03:45.663, 1, 0, 38.03, 1215, 765
2025/03/22 19:03:46.666, 1, 0, 38.34, 1215, 765
2025/03/22 19:03:47.671, 1, 0, 38.24, 1215, 765
2025/03/22 19:03:48.676, 1, 0, 38.24, 1215, 765
2025/03/22 19:03:49.680, 1, 0, 38.34, 1215, 765
2025/03/22 19:03:50.683, 1, 0, 38.15, 1215, 765
2025/03/22 19:03:51.689, 1, 0, 38.34, 1215, 765
2025/03/22 19:03:52.693, 1, 0, 38.34, 1215, 765
2025/03/22 19:03:53.697, 1, 0, 38.24, 1215, 765
2025/03/22 19:03:54.705, 1, 0, 38.14, 1215, 765
2025/03/22 19:03:55.708, 1, 0, 37.93, 1215, 765
2025/03/22 19:03:56.711, 1, 0, 38.24, 1215, 765
2025/03/22 19:03:57.714, 1, 0, 38.43, 1215, 765
2025/03/22 19:03:58.719, 1, 0, 37.73, 1215, 765
2025/03/22 19:03:59.722, 1, 0, 37.94, 1215, 765
2025/03/22 19:04:00.729, 1, 0, 37.94, 1215, 765
2025/03/22 19:04:01.732, 1, 0, 38.24, 1215, 765
2025/03/22 19:04:02.735, 1, 0, 37.83, 1215, 765
2025/03/22 19:04:03.739, 1, 0, 38.15, 1215, 765
2025/03/22 19:04:04.742, 1, 0, 38.13, 1215, 765
2025/03/22 19:04:05.744, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:06.747, 1, 0, 38.14, 1215, 765
2025/03/22 19:04:07.750, 1, 0, 38.24, 1215, 765
2025/03/22 19:04:08.753, 1, 0, 38.24, 1215, 765
2025/03/22 19:04:09.757, 1, 0, 38.12, 1215, 765
2025/03/22 19:04:10.762, 1, 0, 38.02, 1215, 765
2025/03/22 19:04:11.766, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:12.772, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:13.774, 1, 0, 38.34, 1215, 765
2025/03/22 19:04:14.777, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:15.780, 1, 0, 37.92, 1215, 765
2025/03/22 19:04:16.784, 1, 0, 38.24, 1215, 765
2025/03/22 19:04:17.787, 1, 0, 38.13, 1215, 765
2025/03/22 19:04:18.793, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:19.796, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:20.799, 1, 0, 38.02, 1215, 765
2025/03/22 19:04:21.802, 1, 0, 38.13, 1215, 765
2025/03/22 19:04:22.806, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:23.808, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:24.816, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:25.821, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:26.825, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:27.835, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:28.838, 1, 0, 38.02, 1215, 765
2025/03/22 19:04:29.841, 1, 0, 38.02, 1215, 765
2025/03/22 19:04:30.844, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:31.848, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:32.851, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:33.857, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:34.860, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:35.864, 1, 0, 38.14, 1215, 765
2025/03/22 19:04:36.869, 1, 0, 37.82, 1215, 765
2025/03/22 19:04:37.873, 1, 0, 38.03, 1215, 765
2025/03/22 19:04:38.875, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:39.881, 1, 0, 38.02, 1215, 765
2025/03/22 19:04:40.884, 1, 0, 38.12, 1215, 765
2025/03/22 19:04:41.888, 1, 0, 38.13, 1215, 765
2025/03/22 19:04:42.893, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:43.897, 1, 0, 37.83, 1215, 765
2025/03/22 19:04:44.901, 1, 0, 37.63, 1215, 765
2025/03/22 19:04:45.904, 1, 0, 37.83, 1215, 765
2025/03/22 19:04:46.908, 1, 0, 37.93, 1215, 765
2025/03/22 19:04:47.911, 1, 96, 129.01, 1215, 765
2025/03/22 19:04:48.917, 1, 96, 123.05, 1215, 765
2025/03/22 19:04:49.923, 1, 96, 128.42, 1215, 765
2025/03/22 19:04:50.926, 1, 96, 100.22, 1215, 765
2025/03/22 19:04:51.930, 1, 96, 116.39, 1215, 765
2025/03/22 19:04:52.937, 1, 96, 123.56, 1215, 765
2025/03/22 19:04:53.940, 1, 96, 124.85, 1215, 765
2025/03/22 19:04:54.946, 1, 96, 124.52, 1215, 765
2025/03/22 19:04:55.952, 1, 96, 120.76, 1215, 765
2025/03/22 19:04:56.955, 1, 96, 105.59, 1215, 765
2025/03/22 19:04:57.958, 1, 96, 131.04, 1215, 765
2025/03/22 19:04:58.963, 1, 97, 129.29, 1215, 765
2025/03/22 19:04:59.966, 1, 96, 128.97, 1215, 765
2025/03/22 19:05:00.970, 1, 96, 127.68, 1215, 765
2025/03/22 19:05:01.975, 1, 96, 130.74, 1215, 765
2025/03/22 19:05:02.979, 1, 97, 126.98, 1215, 765
2025/03/22 19:05:03.982, 1, 96, 130.90, 1215, 765
2025/03/22 19:05:04.985, 1, 96, 130.58, 1215, 765
2025/03/22 19:05:05.988, 1, 96, 107.37, 1215, 765
2025/03/22 19:05:06.993, 1, 98, 111.29, 1215, 765
2025/03/22 19:05:07.996, 1, 98, 127.78, 1215, 765
2025/03/22 19:05:09.001, 1, 96, 130.38, 1215, 765
2025/03/22 19:05:10.005, 1, 98, 128.28, 1215, 765
2025/03/22 19:05:11.012, 1, 98, 122.28, 1215, 765
2025/03/22 19:05:12.015, 1, 96, 121.23, 1215, 765
2025/03/22 19:05:13.018, 1, 96, 117.47, 1215, 765
2025/03/22 19:05:14.021, 1, 96, 146.35, 1215, 765
2025/03/22 19:05:15.024, 1, 94, 123.84, 1215, 765
2025/03/22 19:05:16.027, 1, 96, 110.86, 1215, 765
2025/03/22 19:05:17.031, 1, 96, 130.29, 1215, 765
2025/03/22 19:05:18.034, 1, 96, 124.35, 1215, 765
2025/03/22 19:05:19.037, 1, 96, 129.06, 1215, 765
2025/03/22 19:05:20.041, 1, 96, 107.33, 1215, 765
2025/03/22 19:05:21.044, 1, 96, 127.78, 1215, 765
2025/03/22 19:05:22.048, 1, 96, 128.28, 1215, 765
2025/03/22 19:05:23.054, 1, 96, 129.82, 1215, 765
2025/03/22 19:05:24.058, 1, 96, 130.26, 1215, 765
2025/03/22 19:05:25.063, 1, 96, 129.75, 1215, 765
2025/03/22 19:05:26.069, 1, 97, 128.31, 1215, 765
2025/03/22 19:05:27.072, 1, 96, 121.87, 1215, 765
2025/03/22 19:05:28.083, 1, 96, 129.90, 1215, 765
