timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 09:27:20.695, 1, 0, 36.75, 1215, 765
2025/03/22 09:27:21.715, 1, 0, 36.72, 1215, 765
2025/03/22 09:27:22.719, 1, 0, 36.66, 1215, 765
2025/03/22 09:27:23.727, 1, 0, 36.66, 1215, 765
2025/03/22 09:27:24.730, 1, 0, 36.66, 1215, 765
2025/03/22 09:27:25.733, 1, 0, 36.66, 1215, 765
2025/03/22 09:27:26.738, 1, 0, 36.56, 1215, 765
2025/03/22 09:27:27.742, 1, 0, 36.57, 1215, 765
2025/03/22 09:27:28.745, 1, 0, 36.65, 1215, 765
2025/03/22 09:27:29.749, 1, 0, 36.46, 1215, 765
2025/03/22 09:27:30.752, 1, 0, 36.46, 1215, 765
2025/03/22 09:27:31.755, 1, 0, 36.46, 1215, 765
2025/03/22 09:27:32.758, 1, 0, 36.46, 1215, 765
2025/03/22 09:27:33.761, 1, 0, 36.45, 1215, 765
2025/03/22 09:27:34.765, 1, 0, 36.36, 1215, 765
2025/03/22 09:27:35.769, 1, 0, 36.36, 1215, 765
2025/03/22 09:27:36.774, 1, 0, 36.46, 1215, 765
2025/03/22 09:27:37.777, 1, 0, 36.36, 1215, 765
2025/03/22 09:27:38.780, 1, 0, 36.36, 1215, 765
2025/03/22 09:27:39.783, 1, 0, 36.25, 1215, 765
2025/03/22 09:27:40.787, 1, 0, 40.24, 1215, 765
2025/03/22 09:27:41.796, 1, 51, 39.32, 1215, 765
2025/03/22 09:27:42.799, 1, 52, 38.25, 1215, 765
2025/03/22 09:27:43.802, 1, 0, 38.16, 1215, 765
2025/03/22 09:27:44.805, 1, 0, 38.16, 1215, 765
2025/03/22 09:27:45.809, 1, 0, 38.14, 1215, 765
2025/03/22 09:27:46.816, 1, 0, 38.25, 1215, 765
2025/03/22 09:27:47.820, 1, 0, 38.16, 1215, 765
2025/03/22 09:27:48.823, 1, 0, 38.16, 1215, 765
2025/03/22 09:27:49.827, 1, 0, 38.04, 1215, 765
2025/03/22 09:27:50.831, 1, 0, 38.16, 1215, 765
2025/03/22 09:27:51.834, 1, 0, 38.04, 1215, 765
2025/03/22 09:27:52.841, 1, 0, 38.04, 1215, 765
2025/03/22 09:27:53.843, 1, 0, 38.04, 1215, 765
2025/03/22 09:27:54.847, 1, 0, 38.04, 1215, 765
2025/03/22 09:27:55.854, 1, 0, 37.93, 1215, 765
2025/03/22 09:27:56.858, 1, 0, 37.82, 1215, 765
2025/03/22 09:27:57.861, 1, 0, 37.85, 1215, 765
2025/03/22 09:27:58.867, 1, 0, 37.85, 1215, 765
2025/03/22 09:27:59.871, 1, 0, 37.85, 1215, 765
2025/03/22 09:28:00.874, 1, 0, 37.74, 1215, 765
2025/03/22 09:28:01.881, 1, 0, 37.75, 1215, 765
2025/03/22 09:28:02.885, 1, 0, 37.85, 1215, 765
2025/03/22 09:28:03.889, 1, 0, 37.85, 1215, 765
2025/03/22 09:28:04.896, 1, 0, 37.74, 1215, 765
2025/03/22 09:28:05.900, 1, 0, 37.83, 1215, 765
2025/03/22 09:28:06.903, 1, 0, 37.74, 1215, 765
2025/03/22 09:28:07.909, 1, 0, 37.74, 1215, 765
