timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 05:23:50.357, 0, 0, 36.59, 1215, 765
2025/03/22 05:23:51.378, 0, 0, 36.46, 1215, 765
2025/03/22 05:23:52.382, 0, 0, 36.49, 1215, 765
2025/03/22 05:23:53.387, 0, 0, 36.49, 1215, 765
2025/03/22 05:23:54.391, 0, 0, 36.49, 1215, 765
2025/03/22 05:23:55.395, 0, 0, 36.11, 1215, 765
2025/03/22 05:23:56.399, 0, 0, 36.10, 1215, 765
2025/03/22 05:23:57.403, 0, 0, 36.30, 1215, 765
2025/03/22 05:23:58.409, 0, 0, 36.40, 1215, 765
2025/03/22 05:23:59.416, 0, 0, 36.20, 1215, 765
2025/03/22 05:24:00.440, 0, 0, 36.39, 1215, 765
2025/03/22 05:24:01.444, 0, 0, 36.49, 1215, 765
2025/03/22 05:24:02.447, 0, 0, 36.20, 1215, 765
2025/03/22 05:24:03.450, 0, 0, 36.40, 1215, 765
2025/03/22 05:24:04.453, 0, 0, 36.40, 1215, 765
2025/03/22 05:24:05.456, 0, 0, 36.40, 1215, 765
2025/03/22 05:24:06.461, 0, 0, 36.10, 1215, 765
2025/03/22 05:24:07.465, 0, 0, 36.30, 1215, 765
2025/03/22 05:24:08.475, 0, 0, 36.40, 1215, 765
2025/03/22 05:24:09.479, 0, 0, 36.30, 1215, 765
2025/03/22 05:24:10.483, 0, 0, 36.00, 1215, 765
2025/03/22 05:24:11.493, 0, 2, 40.38, 1215, 765
2025/03/22 05:24:12.498, 0, 84, 38.78, 1215, 765
2025/03/22 05:24:13.502, 0, 53, 39.16, 1215, 765
2025/03/22 05:24:14.506, 0, 70, 38.49, 1215, 765
2025/03/22 05:24:15.509, 0, 0, 38.30, 1215, 765
2025/03/22 05:24:16.513, 0, 0, 38.30, 1215, 765
2025/03/22 05:24:17.517, 0, 0, 38.30, 1215, 765
2025/03/22 05:24:18.521, 0, 0, 38.09, 1215, 765
2025/03/22 05:24:19.523, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:20.527, 0, 0, 38.20, 1215, 765
2025/03/22 05:24:21.529, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:22.533, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:23.537, 0, 0, 37.99, 1215, 765
2025/03/22 05:24:24.540, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:25.542, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:26.547, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:27.551, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:28.554, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:29.556, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:30.559, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:31.562, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:32.566, 0, 0, 37.50, 1215, 765
2025/03/22 05:24:33.568, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:34.571, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:35.573, 0, 0, 37.50, 1215, 765
2025/03/22 05:24:36.576, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:37.578, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:38.582, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:39.586, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:40.590, 0, 0, 37.69, 1215, 765
2025/03/22 05:24:41.594, 0, 0, 37.80, 1215, 765
2025/03/22 05:24:42.596, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:43.599, 0, 0, 37.90, 1215, 765
2025/03/22 05:24:44.605, 0, 0, 37.60, 1215, 765
2025/03/22 05:24:45.607, 0, 0, 37.31, 1215, 765
2025/03/22 05:24:46.610, 0, 0, 37.50, 1215, 765
2025/03/22 05:24:47.615, 0, 0, 37.69, 1215, 765
2025/03/22 05:24:48.618, 0, 0, 37.31, 1215, 765
2025/03/22 05:24:49.620, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:50.625, 0, 0, 37.21, 1215, 765
2025/03/22 05:24:51.628, 0, 0, 37.70, 1215, 765
2025/03/22 05:24:52.631, 0, 0, 37.31, 1215, 765
2025/03/22 05:24:53.635, 0, 0, 37.60, 1215, 765
2025/03/22 05:24:54.637, 0, 0, 37.40, 1215, 765
2025/03/22 05:24:55.641, 0, 0, 37.60, 1215, 765
2025/03/22 05:24:56.644, 0, 0, 37.50, 1215, 765
2025/03/22 05:24:57.647, 0, 0, 37.21, 1215, 765
2025/03/22 05:24:58.650, 0, 0, 37.60, 1215, 765
2025/03/22 05:24:59.653, 0, 0, 37.50, 1215, 765
2025/03/22 05:25:00.658, 0, 0, 37.21, 1215, 765
2025/03/22 05:25:01.661, 0, 0, 37.21, 1215, 765
2025/03/22 05:25:02.664, 0, 97, 117.36, 1215, 765
2025/03/22 05:25:03.667, 0, 97, 122.19, 1215, 765
2025/03/22 05:25:04.671, 0, 98, 128.37, 1215, 765
2025/03/22 05:25:05.675, 0, 97, 118.19, 1215, 765
2025/03/22 05:25:06.683, 0, 97, 115.97, 1215, 765
2025/03/22 05:25:07.688, 0, 97, 108.94, 1215, 765
2025/03/22 05:25:08.700, 0, 97, 116.90, 1215, 765
2025/03/22 05:25:09.703, 0, 97, 116.94, 1215, 765
2025/03/22 05:25:10.710, 0, 97, 124.99, 1215, 765
2025/03/22 05:25:11.712, 0, 97, 116.51, 1215, 765
2025/03/22 05:25:12.717, 0, 97, 127.67, 1215, 765
2025/03/22 05:25:13.726, 0, 97, 120.80, 1215, 765
2025/03/22 05:25:14.730, 0, 97, 116.46, 1215, 765
2025/03/22 05:25:15.733, 0, 97, 122.27, 1215, 765
2025/03/22 05:25:16.738, 0, 98, 136.42, 1215, 765
2025/03/22 05:25:17.741, 0, 97, 141.49, 1215, 765
2025/03/22 05:25:18.747, 0, 98, 128.57, 1215, 765
2025/03/22 05:25:19.753, 0, 98, 115.14, 1215, 765
2025/03/22 05:25:20.758, 0, 97, 127.05, 1215, 765
2025/03/22 05:25:21.763, 0, 97, 115.13, 1215, 765
2025/03/22 05:25:22.767, 0, 97, 127.42, 1215, 765
2025/03/22 05:25:23.772, 0, 97, 118.97, 1215, 765
2025/03/22 05:25:24.775, 0, 97, 117.63, 1215, 765
2025/03/22 05:25:25.781, 0, 97, 117.00, 1215, 765
2025/03/22 05:25:26.784, 0, 97, 115.56, 1215, 765
2025/03/22 05:25:27.787, 0, 97, 132.13, 1215, 765
2025/03/22 05:25:28.791, 0, 97, 115.51, 1215, 765
2025/03/22 05:25:29.794, 0, 98, 123.68, 1215, 765
2025/03/22 05:25:30.797, 0, 97, 112.39, 1215, 765
2025/03/22 05:25:31.804, 0, 98, 124.22, 1215, 765
2025/03/22 05:25:32.808, 0, 97, 114.32, 1215, 765
2025/03/22 05:25:33.811, 0, 97, 113.83, 1215, 765
2025/03/22 05:25:34.815, 0, 97, 133.78, 1215, 765
2025/03/22 05:25:35.820, 0, 97, 129.46, 1215, 765
2025/03/22 05:25:36.823, 0, 97, 126.57, 1215, 765
2025/03/22 05:25:37.828, 0, 97, 116.30, 1215, 765
2025/03/22 05:25:38.832, 0, 97, 118.82, 1215, 765
2025/03/22 05:25:39.835, 0, 97, 129.33, 1215, 765
2025/03/22 05:25:40.839, 0, 97, 115.18, 1215, 765
2025/03/22 05:25:41.842, 0, 97, 122.22, 1215, 765
2025/03/22 05:25:42.847, 0, 97, 124.47, 1215, 765
2025/03/22 05:25:43.850, 0, 97, 127.31, 1215, 765
2025/03/22 05:25:44.854, 0, 97, 116.97, 1215, 765
2025/03/22 05:25:45.861, 0, 97, 131.09, 1215, 765
2025/03/22 05:25:46.864, 0, 97, 142.81, 1215, 765
2025/03/22 05:25:47.870, 0, 97, 135.15, 1215, 765
2025/03/22 05:25:48.874, 0, 97, 114.52, 1215, 765
2025/03/22 05:25:49.879, 0, 97, 114.88, 1215, 765
2025/03/22 05:25:50.885, 0, 98, 121.90, 1215, 765
2025/03/22 05:25:51.888, 0, 97, 142.08, 1215, 765
2025/03/22 05:25:52.895, 0, 97, 115.44, 1215, 765
2025/03/22 05:25:53.898, 0, 97, 125.43, 1215, 765
2025/03/22 05:25:54.902, 0, 97, 116.08, 1215, 765
2025/03/22 05:25:55.905, 0, 97, 114.78, 1215, 765
2025/03/22 05:25:56.910, 0, 97, 120.17, 1215, 765
2025/03/22 05:25:57.915, 0, 97, 129.35, 1215, 765
2025/03/22 05:25:58.919, 0, 97, 124.09, 1215, 765
2025/03/22 05:25:59.924, 0, 97, 116.20, 1215, 765
2025/03/22 05:26:00.927, 0, 97, 115.98, 1215, 765
2025/03/22 05:26:01.933, 0, 97, 116.15, 1215, 765
2025/03/22 05:26:02.936, 0, 97, 123.78, 1215, 765
2025/03/22 05:26:03.939, 0, 97, 117.16, 1215, 765
2025/03/22 05:26:04.945, 0, 97, 114.00, 1215, 765
2025/03/22 05:26:05.998, 0, 97, 122.20, 1215, 765
2025/03/22 05:26:07.001, 0, 97, 130.18, 1215, 765
2025/03/22 05:26:08.009, 0, 97, 128.36, 1215, 765
2025/03/22 05:26:09.013, 0, 97, 113.53, 1215, 765
2025/03/22 05:26:10.020, 0, 97, 115.17, 1215, 765
2025/03/22 05:26:11.026, 0, 95, 123.29, 1215, 765
2025/03/22 05:26:12.035, 0, 97, 117.46, 1215, 765
2025/03/22 05:26:13.039, 0, 97, 114.67, 1215, 765
2025/03/22 05:26:14.043, 0, 97, 131.30, 1215, 765
2025/03/22 05:26:15.050, 0, 97, 143.54, 1215, 765
2025/03/22 05:26:16.053, 0, 97, 140.22, 1215, 765
2025/03/22 05:26:17.056, 0, 97, 145.32, 1215, 765
2025/03/22 05:26:18.062, 0, 97, 133.53, 1215, 765
2025/03/22 05:26:19.065, 0, 97, 114.69, 1215, 765
2025/03/22 05:26:20.069, 0, 97, 115.47, 1215, 765
2025/03/22 05:26:21.072, 0, 97, 144.08, 1215, 765
2025/03/22 05:26:22.078, 0, 97, 123.89, 1215, 765
2025/03/22 05:26:23.081, 0, 97, 121.39, 1215, 765
2025/03/22 05:26:24.084, 0, 97, 118.21, 1215, 765
2025/03/22 05:26:25.087, 0, 97, 119.75, 1215, 765
2025/03/22 05:26:26.090, 0, 97, 120.71, 1215, 765
2025/03/22 05:26:27.093, 0, 97, 124.58, 1215, 765
2025/03/22 05:26:28.097, 0, 97, 143.09, 1215, 765
2025/03/22 05:26:29.104, 0, 97, 119.20, 1215, 765
2025/03/22 05:26:30.107, 0, 97, 113.65, 1215, 765
2025/03/22 05:26:31.114, 0, 97, 141.96, 1215, 765
2025/03/22 05:26:32.119, 0, 97, 137.19, 1215, 765
2025/03/22 05:26:33.129, 0, 97, 129.03, 1215, 765
2025/03/22 05:26:34.134, 0, 97, 129.56, 1215, 765
2025/03/22 05:26:35.139, 0, 97, 141.55, 1215, 765
2025/03/22 05:26:36.143, 0, 97, 129.15, 1215, 765
2025/03/22 05:26:37.148, 0, 97, 120.31, 1215, 765
2025/03/22 05:26:38.154, 0, 97, 114.74, 1215, 765
2025/03/22 05:26:39.159, 0, 97, 126.38, 1215, 765
2025/03/22 05:26:40.162, 0, 97, 118.70, 1215, 765
2025/03/22 05:26:41.167, 0, 97, 115.14, 1215, 765
2025/03/22 05:26:42.172, 0, 97, 114.47, 1215, 765
2025/03/22 05:26:43.176, 0, 97, 114.63, 1215, 765
2025/03/22 05:26:44.179, 0, 97, 113.65, 1215, 765
2025/03/22 05:26:45.183, 0, 97, 140.61, 1215, 765
2025/03/22 05:26:46.187, 0, 97, 118.74, 1215, 765
2025/03/22 05:26:47.191, 0, 97, 140.86, 1215, 765
2025/03/22 05:26:48.195, 0, 97, 122.38, 1215, 765
2025/03/22 05:26:49.198, 0, 97, 116.74, 1215, 765
2025/03/22 05:26:50.201, 0, 97, 114.89, 1215, 765
