timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 07:13:12.699, 0, 0, 36.49, 1215, 765
2025/03/22 07:13:13.718, 0, 0, 36.55, 1215, 765
2025/03/22 07:13:14.722, 0, 0, 36.60, 1215, 765
2025/03/22 07:13:15.727, 0, 0, 36.40, 1215, 765
2025/03/22 07:13:16.731, 0, 0, 36.49, 1215, 765
2025/03/22 07:13:17.737, 0, 0, 36.40, 1215, 765
2025/03/22 07:13:18.741, 0, 0, 36.30, 1215, 765
2025/03/22 07:13:19.744, 0, 0, 36.30, 1215, 765
2025/03/22 07:13:20.747, 0, 0, 36.30, 1215, 765
2025/03/22 07:13:21.752, 0, 0, 36.20, 1215, 765
2025/03/22 07:13:22.755, 0, 0, 36.30, 1215, 765
2025/03/22 07:13:23.760, 0, 0, 36.20, 1215, 765
2025/03/22 07:13:24.764, 0, 0, 36.10, 1215, 765
2025/03/22 07:13:25.770, 0, 0, 36.10, 1215, 765
2025/03/22 07:13:26.774, 0, 0, 36.00, 1215, 765
2025/03/22 07:13:27.780, 0, 0, 36.20, 1215, 765
2025/03/22 07:13:28.786, 0, 0, 36.00, 1215, 765
2025/03/22 07:13:29.791, 0, 0, 36.10, 1215, 765
2025/03/22 07:13:30.795, 0, 0, 36.00, 1215, 765
2025/03/22 07:13:31.799, 0, 0, 35.90, 1215, 765
2025/03/22 07:13:32.805, 0, 0, 36.00, 1215, 765
2025/03/22 07:13:33.810, 0, 0, 35.91, 1215, 765
2025/03/22 07:13:34.815, 0, 0, 39.90, 1215, 765
2025/03/22 07:13:35.820, 0, 40, 38.00, 1215, 765
2025/03/22 07:13:36.823, 0, 83, 38.67, 1215, 765
2025/03/22 07:13:37.827, 0, 86, 38.68, 1215, 765
2025/03/22 07:13:38.833, 0, 0, 37.98, 1215, 765
2025/03/22 07:13:39.837, 0, 0, 37.90, 1215, 765
2025/03/22 07:13:40.840, 0, 0, 37.90, 1215, 765
2025/03/22 07:13:41.848, 0, 0, 37.90, 1215, 765
2025/03/22 07:13:42.850, 0, 0, 37.89, 1215, 765
2025/03/22 07:13:43.852, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:44.856, 0, 0, 37.80, 1215, 765
2025/03/22 07:13:45.860, 0, 0, 37.80, 1215, 765
2025/03/22 07:13:46.864, 0, 0, 37.80, 1215, 765
2025/03/22 07:13:47.866, 0, 0, 37.89, 1215, 765
2025/03/22 07:13:48.871, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:49.874, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:50.880, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:51.884, 0, 0, 37.99, 1215, 765
2025/03/22 07:13:52.888, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:53.890, 0, 0, 37.69, 1215, 765
2025/03/22 07:13:54.894, 0, 0, 37.80, 1215, 765
2025/03/22 07:13:55.898, 0, 0, 37.70, 1215, 765
2025/03/22 07:13:56.903, 0, 0, 37.60, 1215, 765
2025/03/22 07:13:57.907, 0, 0, 37.60, 1215, 765
2025/03/22 07:13:58.910, 0, 0, 37.40, 1215, 765
2025/03/22 07:13:59.918, 0, 0, 37.50, 1215, 765
2025/03/22 07:14:00.921, 0, 0, 37.49, 1215, 765
2025/03/22 07:14:01.925, 0, 0, 37.40, 1215, 765
2025/03/22 07:14:02.930, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:03.936, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:04.940, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:05.946, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:06.948, 0, 0, 37.30, 1215, 765
2025/03/22 07:14:07.952, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:08.958, 0, 0, 37.30, 1215, 765
2025/03/22 07:14:09.961, 0, 0, 37.40, 1215, 765
2025/03/22 07:14:10.963, 0, 0, 37.21, 1215, 765
2025/03/22 07:14:11.969, 0, 0, 37.21, 1215, 765
2025/03/22 07:14:12.972, 0, 0, 37.30, 1215, 765
2025/03/22 07:14:13.975, 0, 0, 37.21, 1215, 765
2025/03/22 07:14:14.981, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:15.987, 0, 0, 37.31, 1215, 765
2025/03/22 07:14:16.990, 0, 0, 37.21, 1215, 765
2025/03/22 07:14:17.996, 0, 0, 37.21, 1215, 765
2025/03/22 07:14:19.000, 0, 29, 77.84, 1215, 765
2025/03/22 07:14:20.002, 0, 95, 134.44, 1215, 765
2025/03/22 07:14:21.008, 0, 97, 124.80, 1215, 765
2025/03/22 07:14:22.010, 0, 97, 123.22, 1215, 765
2025/03/22 07:14:23.014, 0, 97, 123.87, 1215, 765
2025/03/22 07:14:24.020, 0, 97, 118.89, 1215, 765
2025/03/22 07:14:25.027, 0, 97, 133.70, 1215, 765
2025/03/22 07:14:26.030, 0, 97, 139.35, 1215, 765
2025/03/22 07:14:27.041, 0, 97, 107.01, 1215, 765
2025/03/22 07:14:28.047, 0, 96, 138.65, 1215, 765
2025/03/22 07:14:29.050, 0, 97, 117.01, 1215, 765
2025/03/22 07:14:30.056, 0, 97, 109.02, 1215, 765
2025/03/22 07:14:31.065, 0, 97, 108.80, 1215, 765
2025/03/22 07:14:32.068, 0, 97, 119.74, 1215, 765
2025/03/22 07:14:33.077, 0, 97, 115.60, 1215, 765
2025/03/22 07:14:34.080, 0, 97, 116.72, 1215, 765
2025/03/22 07:14:35.083, 0, 96, 117.37, 1215, 765
2025/03/22 07:14:36.086, 0, 98, 116.22, 1215, 765
2025/03/22 07:14:37.089, 0, 97, 110.79, 1215, 765
2025/03/22 07:14:38.095, 0, 97, 126.70, 1215, 765
2025/03/22 07:14:39.098, 0, 98, 117.65, 1215, 765
2025/03/22 07:14:40.101, 0, 95, 111.83, 1215, 765
2025/03/22 07:14:41.104, 0, 97, 110.34, 1215, 765
2025/03/22 07:14:42.109, 0, 97, 114.12, 1215, 765
2025/03/22 07:14:43.112, 0, 97, 109.42, 1215, 765
2025/03/22 07:14:44.117, 0, 97, 108.51, 1215, 765
2025/03/22 07:14:45.120, 0, 97, 111.10, 1215, 765
2025/03/22 07:14:46.126, 0, 97, 120.48, 1215, 765
2025/03/22 07:14:47.129, 0, 97, 112.19, 1215, 765
2025/03/22 07:14:48.133, 0, 97, 136.60, 1215, 765
2025/03/22 07:14:49.136, 0, 97, 117.19, 1215, 765
2025/03/22 07:14:50.141, 0, 97, 119.63, 1215, 765
2025/03/22 07:14:51.147, 0, 97, 116.69, 1215, 765
2025/03/22 07:14:52.152, 0, 97, 120.57, 1215, 765
2025/03/22 07:14:53.155, 0, 97, 113.87, 1215, 765
2025/03/22 07:14:54.162, 0, 95, 152.36, 1215, 765
2025/03/22 07:14:55.166, 0, 97, 110.57, 1215, 765
2025/03/22 07:14:56.169, 0, 97, 119.89, 1215, 765
2025/03/22 07:14:57.179, 0, 97, 130.98, 1215, 765
2025/03/22 07:14:58.184, 0, 97, 116.15, 1215, 765
2025/03/22 07:14:59.187, 0, 97, 111.20, 1215, 765
2025/03/22 07:15:00.191, 0, 97, 128.67, 1215, 765
2025/03/22 07:15:01.195, 0, 97, 122.69, 1215, 765
2025/03/22 07:15:02.198, 0, 97, 116.92, 1215, 765
2025/03/22 07:15:03.205, 0, 97, 113.63, 1215, 765
2025/03/22 07:15:04.208, 0, 97, 116.01, 1215, 765
2025/03/22 07:15:05.211, 0, 97, 125.62, 1215, 765
2025/03/22 07:15:06.216, 0, 97, 115.32, 1215, 765
2025/03/22 07:15:07.219, 0, 97, 119.72, 1215, 765
2025/03/22 07:15:08.222, 0, 97, 133.27, 1215, 765
2025/03/22 07:15:09.225, 0, 97, 119.39, 1215, 765
2025/03/22 07:15:10.228, 0, 97, 115.35, 1215, 765
2025/03/22 07:15:11.233, 0, 97, 141.21, 1215, 765
2025/03/22 07:15:12.237, 0, 97, 125.11, 1215, 765
2025/03/22 07:15:13.240, 0, 97, 124.04, 1215, 765
2025/03/22 07:15:14.244, 0, 97, 140.46, 1215, 765
2025/03/22 07:15:15.249, 0, 97, 124.64, 1215, 765
