timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 05:20:13.406, 1, 0, 36.83, 1215, 765
2025/03/22 05:20:14.425, 1, 0, 36.40, 1215, 765
2025/03/22 05:20:15.428, 1, 0, 36.83, 1215, 765
2025/03/22 05:20:16.436, 1, 0, 36.73, 1215, 765
2025/03/22 05:20:17.441, 1, 0, 36.73, 1215, 765
2025/03/22 05:20:18.445, 1, 0, 36.72, 1215, 765
2025/03/22 05:20:19.452, 1, 0, 36.73, 1215, 765
2025/03/22 05:20:20.457, 1, 0, 36.63, 1215, 765
2025/03/22 05:20:21.461, 1, 0, 36.63, 1215, 765
2025/03/22 05:20:22.464, 1, 0, 36.53, 1215, 765
2025/03/22 05:20:23.468, 1, 0, 36.62, 1215, 765
2025/03/22 05:20:24.474, 1, 0, 36.53, 1215, 765
2025/03/22 05:20:25.477, 1, 0, 36.53, 1215, 765
2025/03/22 05:20:26.480, 1, 0, 36.53, 1215, 765
2025/03/22 05:20:27.485, 1, 0, 36.43, 1215, 765
2025/03/22 05:20:28.488, 1, 0, 36.53, 1215, 765
2025/03/22 05:20:29.491, 1, 0, 36.44, 1215, 765
2025/03/22 05:20:30.493, 1, 0, 36.43, 1215, 765
2025/03/22 05:20:31.499, 1, 0, 36.44, 1215, 765
2025/03/22 05:20:32.503, 1, 0, 36.34, 1215, 765
2025/03/22 05:20:33.505, 1, 0, 36.43, 1215, 765
2025/03/22 05:20:34.510, 1, 16, 39.01, 1215, 765
2025/03/22 05:20:35.514, 1, 49, 39.39, 1215, 765
2025/03/22 05:20:36.519, 1, 27, 38.33, 1215, 765
2025/03/22 05:20:37.523, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:38.528, 1, 0, 38.34, 1215, 765
2025/03/22 05:20:39.533, 1, 0, 38.24, 1215, 765
2025/03/22 05:20:40.537, 1, 0, 38.43, 1215, 765
2025/03/22 05:20:41.541, 1, 0, 38.43, 1215, 765
2025/03/22 05:20:42.546, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:43.548, 1, 0, 38.53, 1215, 765
2025/03/22 05:20:44.552, 1, 0, 38.53, 1215, 765
2025/03/22 05:20:45.557, 1, 0, 38.34, 1215, 765
2025/03/22 05:20:46.561, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:47.564, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:48.569, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:49.573, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:50.577, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:51.582, 1, 0, 38.52, 1215, 765
2025/03/22 05:20:52.586, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:53.589, 1, 0, 38.42, 1215, 765
2025/03/22 05:20:54.595, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:55.598, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:56.603, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:57.606, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:58.609, 1, 0, 38.33, 1215, 765
2025/03/22 05:20:59.613, 1, 0, 38.13, 1215, 765
2025/03/22 05:21:00.619, 1, 0, 38.12, 1215, 765
2025/03/22 05:21:01.622, 1, 0, 38.13, 1215, 765
2025/03/22 05:21:02.626, 1, 0, 38.23, 1215, 765
2025/03/22 05:21:03.629, 1, 0, 38.34, 1215, 765
2025/03/22 05:21:04.632, 1, 0, 38.10, 1215, 765
2025/03/22 05:21:05.636, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:06.639, 1, 0, 38.12, 1215, 765
2025/03/22 05:21:07.643, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:08.647, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:09.654, 1, 0, 38.34, 1215, 765
2025/03/22 05:21:10.658, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:11.662, 1, 0, 38.03, 1215, 765
2025/03/22 05:21:12.666, 1, 0, 37.92, 1215, 765
2025/03/22 05:21:13.669, 1, 0, 38.12, 1215, 765
2025/03/22 05:21:14.672, 1, 0, 38.13, 1215, 765
2025/03/22 05:21:15.676, 1, 0, 37.92, 1215, 765
2025/03/22 05:21:16.681, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:17.685, 1, 0, 37.92, 1215, 765
2025/03/22 05:21:18.689, 1, 0, 38.02, 1215, 765
2025/03/22 05:21:19.692, 1, 0, 38.03, 1215, 765
2025/03/22 05:21:20.696, 1, 0, 37.92, 1215, 765
2025/03/22 05:21:21.699, 1, 0, 37.92, 1215, 765
2025/03/22 05:21:22.702, 1, 9, 149.54, 1215, 765
2025/03/22 05:21:23.706, 1, 97, 106.05, 1215, 765
2025/03/22 05:21:24.711, 1, 97, 104.30, 1215, 765
2025/03/22 05:21:25.714, 1, 96, 103.62, 1215, 765
2025/03/22 05:21:26.720, 1, 97, 104.53, 1215, 765
2025/03/22 05:21:27.723, 1, 97, 103.20, 1215, 765
2025/03/22 05:21:28.726, 1, 97, 101.45, 1215, 765
2025/03/22 05:21:29.733, 1, 97, 101.70, 1215, 765
2025/03/22 05:21:30.736, 1, 97, 105.09, 1215, 765
2025/03/22 05:21:31.739, 1, 97, 107.08, 1215, 765
2025/03/22 05:21:32.748, 1, 97, 101.45, 1215, 765
2025/03/22 05:21:33.751, 1, 97, 107.47, 1215, 765
2025/03/22 05:21:34.754, 1, 97, 105.41, 1215, 765
2025/03/22 05:21:35.759, 1, 97, 100.07, 1215, 765
2025/03/22 05:21:36.762, 1, 97, 101.25, 1215, 765
2025/03/22 05:21:37.765, 1, 97, 105.49, 1215, 765
2025/03/22 05:21:38.768, 1, 96, 106.79, 1215, 765
2025/03/22 05:21:39.773, 1, 97, 107.27, 1215, 765
2025/03/22 05:21:40.777, 1, 97, 105.93, 1215, 765
2025/03/22 05:21:41.780, 1, 97, 107.12, 1215, 765
2025/03/22 05:21:42.783, 1, 97, 101.38, 1215, 765
2025/03/22 05:21:43.788, 1, 97, 105.75, 1215, 765
