timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 02:49:00.758, 1, 0, 40.31, 1215, 765
2025/03/22 02:49:01.775, 1, 0, 38.24, 1215, 765
2025/03/22 02:49:02.778, 1, 0, 38.15, 1215, 765
2025/03/22 02:49:03.789, 1, 0, 38.02, 1215, 765
2025/03/22 02:49:04.794, 1, 0, 37.93, 1215, 765
2025/03/22 02:49:05.798, 1, 0, 37.93, 1215, 765
2025/03/22 02:49:06.804, 1, 0, 37.83, 1215, 765
2025/03/22 02:49:07.808, 1, 0, 37.83, 1215, 765
2025/03/22 02:49:08.812, 1, 0, 37.72, 1215, 765
2025/03/22 02:49:09.817, 1, 0, 37.72, 1215, 765
2025/03/22 02:49:10.820, 1, 0, 37.72, 1215, 765
2025/03/22 02:49:11.823, 1, 0, 37.62, 1215, 765
2025/03/22 02:49:12.826, 1, 0, 37.53, 1215, 765
2025/03/22 02:49:13.829, 1, 0, 37.52, 1215, 765
2025/03/22 02:49:14.834, 1, 0, 37.43, 1215, 765
2025/03/22 02:49:15.838, 1, 0, 37.43, 1215, 765
2025/03/22 02:49:16.842, 1, 0, 37.33, 1215, 765
2025/03/22 02:49:17.847, 1, 0, 37.51, 1215, 765
2025/03/22 02:49:18.851, 1, 0, 37.33, 1215, 765
2025/03/22 02:49:19.857, 1, 0, 37.33, 1215, 765
2025/03/22 02:49:20.861, 1, 0, 37.22, 1215, 765
2025/03/22 02:49:21.865, 1, 51, 40.09, 1215, 765
2025/03/22 02:49:22.869, 1, 46, 39.40, 1215, 765
2025/03/22 02:49:23.872, 1, 32, 40.19, 1215, 765
2025/03/22 02:49:24.875, 1, 0, 39.02, 1215, 765
2025/03/22 02:49:25.880, 1, 0, 38.83, 1215, 765
2025/03/22 02:49:26.883, 1, 0, 38.92, 1215, 765
2025/03/22 02:49:27.888, 1, 0, 38.83, 1215, 765
2025/03/22 02:49:28.893, 1, 0, 38.73, 1215, 765
2025/03/22 02:49:29.897, 1, 0, 38.73, 1215, 765
2025/03/22 02:49:30.901, 1, 0, 38.83, 1215, 765
2025/03/22 02:49:31.906, 1, 0, 38.73, 1215, 765
2025/03/22 02:49:32.910, 1, 0, 38.73, 1215, 765
2025/03/22 02:49:33.915, 1, 0, 38.62, 1215, 765
2025/03/22 02:49:34.920, 1, 0, 38.63, 1215, 765
2025/03/22 02:49:35.923, 1, 0, 38.52, 1215, 765
2025/03/22 02:49:36.927, 1, 0, 38.63, 1215, 765
2025/03/22 02:49:37.932, 1, 0, 38.43, 1215, 765
2025/03/22 02:49:38.936, 1, 0, 38.53, 1215, 765
2025/03/22 02:49:39.939, 1, 0, 38.53, 1215, 765
2025/03/22 02:49:40.945, 1, 0, 38.53, 1215, 765
2025/03/22 02:49:41.948, 1, 0, 38.43, 1215, 765
2025/03/22 02:49:42.951, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:43.957, 1, 0, 38.43, 1215, 765
2025/03/22 02:49:44.960, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:45.964, 1, 0, 38.43, 1215, 765
2025/03/22 02:49:46.969, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:47.972, 1, 0, 38.32, 1215, 765
2025/03/22 02:49:48.975, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:49.981, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:50.985, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:51.989, 1, 0, 38.24, 1215, 765
2025/03/22 02:49:52.991, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:53.995, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:54.999, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:56.004, 1, 0, 38.24, 1215, 765
2025/03/22 02:49:57.009, 1, 0, 38.34, 1215, 765
2025/03/22 02:49:58.012, 1, 0, 38.24, 1215, 765
2025/03/22 02:49:59.016, 1, 0, 38.14, 1215, 765
2025/03/22 02:50:00.020, 1, 0, 38.24, 1215, 765
2025/03/22 02:50:01.023, 1, 0, 38.34, 1215, 765
2025/03/22 02:50:02.027, 1, 0, 38.14, 1215, 765
2025/03/22 02:50:03.030, 1, 0, 38.24, 1215, 765
2025/03/22 02:50:04.034, 1, 0, 38.24, 1215, 765
2025/03/22 02:50:05.038, 1, 0, 38.13, 1215, 765
2025/03/22 02:50:06.042, 1, 0, 38.14, 1215, 765
2025/03/22 02:50:07.048, 1, 96, 101.92, 1215, 765
2025/03/22 02:50:08.054, 1, 97, 106.96, 1215, 765
2025/03/22 02:50:09.057, 1, 97, 111.95, 1215, 765
2025/03/22 02:50:10.062, 1, 96, 103.43, 1215, 765
2025/03/22 02:50:11.066, 1, 97, 106.30, 1215, 765
2025/03/22 02:50:12.069, 1, 97, 100.81, 1215, 765
2025/03/22 02:50:13.072, 1, 97, 102.75, 1215, 765
2025/03/22 02:50:14.078, 1, 97, 104.43, 1215, 765
2025/03/22 02:50:15.083, 1, 96, 108.39, 1215, 765
2025/03/22 02:50:16.089, 1, 96, 101.17, 1215, 765
2025/03/22 02:50:17.092, 1, 96, 110.06, 1215, 765
2025/03/22 02:50:18.099, 1, 97, 106.16, 1215, 765
2025/03/22 02:50:19.103, 1, 96, 107.06, 1215, 765
2025/03/22 02:50:20.107, 1, 97, 100.32, 1215, 765
2025/03/22 02:50:21.110, 1, 96, 105.66, 1215, 765
2025/03/22 02:50:22.113, 1, 97, 107.12, 1215, 765
2025/03/22 02:50:23.117, 1, 96, 100.87, 1215, 765
2025/03/22 02:50:24.121, 1, 97, 102.11, 1215, 765
2025/03/22 02:50:25.126, 1, 96, 104.38, 1215, 765
2025/03/22 02:50:26.133, 1, 97, 103.36, 1215, 765
2025/03/22 02:50:27.136, 1, 96, 104.07, 1215, 765
2025/03/22 02:50:28.141, 1, 97, 107.92, 1215, 765
2025/03/22 02:50:29.150, 1, 97, 106.42, 1215, 765
2025/03/22 02:50:30.153, 1, 96, 108.96, 1215, 765
2025/03/22 02:50:31.157, 1, 97, 105.24, 1215, 765
2025/03/22 02:50:32.162, 1, 96, 105.32, 1215, 765
2025/03/22 02:50:33.165, 1, 97, 110.74, 1215, 765
2025/03/22 02:50:34.170, 1, 97, 106.17, 1215, 765
2025/03/22 02:50:35.175, 1, 97, 106.35, 1215, 765
2025/03/22 02:50:36.178, 1, 96, 108.54, 1215, 765
2025/03/22 02:50:37.182, 1, 97, 102.49, 1215, 765
2025/03/22 02:50:38.185, 1, 97, 108.01, 1215, 765
2025/03/22 02:50:39.192, 1, 97, 103.24, 1215, 765
2025/03/22 02:50:40.195, 1, 97, 106.41, 1215, 765
2025/03/22 02:50:41.198, 1, 97, 112.60, 1215, 765
2025/03/22 02:50:42.203, 1, 96, 107.75, 1215, 765
2025/03/22 02:50:43.207, 1, 97, 106.06, 1215, 765
2025/03/22 02:50:44.210, 1, 96, 107.21, 1215, 765
2025/03/22 02:50:45.215, 1, 96, 103.22, 1215, 765
2025/03/22 02:50:46.218, 1, 96, 108.44, 1215, 765
2025/03/22 02:50:47.221, 1, 96, 103.58, 1215, 765
2025/03/22 02:50:48.225, 1, 94, 109.26, 1215, 765
2025/03/22 02:50:49.229, 1, 96, 106.60, 1215, 765
2025/03/22 02:50:50.232, 1, 96, 106.56, 1215, 765
2025/03/22 02:50:51.240, 1, 96, 106.71, 1215, 765
2025/03/22 02:50:52.243, 1, 96, 107.62, 1215, 765
2025/03/22 02:50:53.248, 1, 96, 103.23, 1215, 765
2025/03/22 02:50:54.253, 1, 97, 106.84, 1215, 765
2025/03/22 02:50:55.256, 1, 96, 108.14, 1215, 765
2025/03/22 02:50:56.259, 1, 96, 106.43, 1215, 765
2025/03/22 02:50:57.266, 1, 96, 105.72, 1215, 765
2025/03/22 02:50:58.269, 1, 96, 107.41, 1215, 765
2025/03/22 02:50:59.275, 1, 96, 107.89, 1215, 765
2025/03/22 02:51:00.280, 1, 97, 103.59, 1215, 765
2025/03/22 02:51:01.283, 1, 97, 107.16, 1215, 765
2025/03/22 02:51:02.289, 1, 96, 107.03, 1215, 765
2025/03/22 02:51:03.293, 1, 96, 106.03, 1215, 765
2025/03/22 02:51:04.296, 1, 96, 106.63, 1215, 765
2025/03/22 02:51:05.299, 1, 96, 109.12, 1215, 765
2025/03/22 02:51:06.303, 1, 96, 106.78, 1215, 765
2025/03/22 02:51:07.306, 1, 97, 106.90, 1215, 765
2025/03/22 02:51:08.309, 1, 96, 107.32, 1215, 765
2025/03/22 02:51:09.312, 1, 96, 107.65, 1215, 765
2025/03/22 02:51:10.315, 1, 96, 104.36, 1215, 765
2025/03/22 02:51:11.320, 1, 96, 107.96, 1215, 765
2025/03/22 02:51:12.327, 1, 96, 107.03, 1215, 765
2025/03/22 02:51:13.330, 1, 96, 105.73, 1215, 765
2025/03/22 02:51:14.337, 1, 96, 103.50, 1215, 765
2025/03/22 02:51:15.340, 1, 95, 105.75, 1215, 765
2025/03/22 02:51:16.343, 1, 96, 107.34, 1215, 765
2025/03/22 02:51:17.350, 1, 96, 109.22, 1215, 765
2025/03/22 02:51:18.353, 1, 96, 105.14, 1215, 765
2025/03/22 02:51:19.358, 1, 96, 106.78, 1215, 765
2025/03/22 02:51:20.361, 1, 96, 106.83, 1215, 765
2025/03/22 02:51:21.366, 1, 97, 107.65, 1215, 765
2025/03/22 02:51:22.370, 1, 96, 107.24, 1215, 765
2025/03/22 02:51:23.373, 1, 96, 108.20, 1215, 765
2025/03/22 02:51:24.377, 1, 96, 107.42, 1215, 765
2025/03/22 02:51:25.380, 1, 97, 108.80, 1215, 765
2025/03/22 02:51:26.385, 1, 96, 108.41, 1215, 765
2025/03/22 02:51:27.388, 1, 97, 109.36, 1215, 765
2025/03/22 02:51:28.392, 1, 97, 108.83, 1215, 765
2025/03/22 02:51:29.400, 1, 96, 107.60, 1215, 765
2025/03/22 02:51:30.407, 1, 96, 105.73, 1215, 765
2025/03/22 02:51:31.411, 1, 96, 107.18, 1215, 765
2025/03/22 02:51:32.414, 1, 96, 108.12, 1215, 765
2025/03/22 02:51:33.418, 1, 97, 106.38, 1215, 765
2025/03/22 02:51:34.421, 1, 97, 107.98, 1215, 765
2025/03/22 02:51:35.425, 1, 96, 108.05, 1215, 765
2025/03/22 02:51:36.430, 1, 96, 106.30, 1215, 765
2025/03/22 02:51:37.433, 1, 96, 111.49, 1215, 765
2025/03/22 02:51:38.436, 1, 96, 106.92, 1215, 765
2025/03/22 02:51:39.439, 1, 96, 106.21, 1215, 765
2025/03/22 02:51:40.444, 1, 96, 107.05, 1215, 765
2025/03/22 02:51:41.447, 1, 96, 107.75, 1215, 765
2025/03/22 02:51:42.454, 1, 96, 107.33, 1215, 765
2025/03/22 02:51:43.461, 1, 96, 109.11, 1215, 765
2025/03/22 02:51:44.464, 1, 96, 108.41, 1215, 765
2025/03/22 02:51:45.467, 1, 95, 107.04, 1215, 765
2025/03/22 02:51:46.472, 1, 97, 109.27, 1215, 765
2025/03/22 02:51:47.475, 1, 96, 108.54, 1215, 765
2025/03/22 02:51:48.479, 1, 97, 107.53, 1215, 765
2025/03/22 02:51:49.482, 1, 95, 108.46, 1215, 765
2025/03/22 02:51:50.486, 1, 96, 107.62, 1215, 765
2025/03/22 02:51:51.490, 1, 96, 107.22, 1215, 765
2025/03/22 02:51:52.494, 1, 96, 107.05, 1215, 765
2025/03/22 02:51:53.500, 1, 96, 107.93, 1215, 765
2025/03/22 02:51:54.503, 1, 96, 108.62, 1215, 765
2025/03/22 02:51:55.510, 1, 96, 109.69, 1215, 765
2025/03/22 02:51:56.515, 1, 96, 107.54, 1215, 765
2025/03/22 02:51:57.519, 1, 95, 108.64, 1215, 765
2025/03/22 02:51:58.522, 1, 96, 109.11, 1215, 765
2025/03/22 02:51:59.527, 1, 96, 107.93, 1215, 765
2025/03/22 02:52:00.530, 1, 96, 108.70, 1215, 765
2025/03/22 02:52:01.533, 1, 95, 106.92, 1215, 765
2025/03/22 02:52:02.537, 1, 96, 108.02, 1215, 765
2025/03/22 02:52:03.540, 1, 96, 107.78, 1215, 765
2025/03/22 02:52:04.547, 1, 96, 108.12, 1215, 765
2025/03/22 02:52:05.552, 1, 96, 108.69, 1215, 765
2025/03/22 02:52:06.556, 1, 96, 107.73, 1215, 765
2025/03/22 02:52:07.559, 1, 96, 109.25, 1215, 765
2025/03/22 02:52:08.564, 1, 96, 107.81, 1215, 765
2025/03/22 02:52:09.567, 1, 96, 108.95, 1215, 765
