timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/22 01:14:08.729, 0, 0, 36.10, 1215, 765
2025/03/22 01:14:09.748, 0, 0, 35.98, 1215, 765
2025/03/22 01:14:10.751, 0, 0, 36.10, 1215, 765
2025/03/22 01:14:11.754, 0, 0, 36.00, 1215, 765
2025/03/22 01:14:12.757, 0, 0, 36.00, 1215, 765
2025/03/22 01:14:13.761, 0, 0, 36.00, 1215, 765
2025/03/22 01:14:14.767, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:15.772, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:16.776, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:17.780, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:18.785, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:19.791, 0, 0, 35.90, 1215, 765
2025/03/22 01:14:20.793, 0, 0, 35.71, 1215, 765
2025/03/22 01:14:21.798, 0, 0, 35.81, 1215, 765
2025/03/22 01:14:22.804, 0, 0, 35.81, 1215, 765
2025/03/22 01:14:23.808, 0, 0, 35.71, 1215, 765
2025/03/22 01:14:24.812, 0, 0, 35.62, 1215, 765
2025/03/22 01:14:25.817, 0, 0, 35.61, 1215, 765
2025/03/22 01:14:26.821, 0, 0, 35.61, 1215, 765
2025/03/22 01:14:27.828, 0, 0, 35.71, 1215, 765
2025/03/22 01:14:28.832, 0, 0, 35.60, 1215, 765
2025/03/22 01:14:29.837, 0, 54, 38.85, 1215, 765
2025/03/22 01:14:30.841, 0, 73, 38.57, 1215, 765
2025/03/22 01:14:31.844, 0, 54, 38.85, 1215, 765
2025/03/22 01:14:32.850, 0, 0, 37.60, 1215, 765
2025/03/22 01:14:33.853, 0, 0, 37.60, 1215, 765
2025/03/22 01:14:34.856, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:35.860, 0, 0, 37.60, 1215, 765
2025/03/22 01:14:36.863, 0, 0, 37.50, 1215, 765
2025/03/22 01:14:37.870, 0, 0, 37.90, 1215, 765
2025/03/22 01:14:38.873, 0, 0, 37.59, 1215, 765
2025/03/22 01:14:39.876, 0, 0, 37.80, 1215, 765
2025/03/22 01:14:40.878, 0, 0, 37.89, 1215, 765
2025/03/22 01:14:41.881, 0, 0, 37.50, 1215, 765
2025/03/22 01:14:42.886, 0, 0, 37.80, 1215, 765
2025/03/22 01:14:43.892, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:44.895, 0, 0, 37.50, 1215, 765
2025/03/22 01:14:45.900, 0, 0, 37.79, 1215, 765
2025/03/22 01:14:46.904, 0, 0, 37.60, 1215, 765
2025/03/22 01:14:47.906, 0, 0, 37.49, 1215, 765
2025/03/22 01:14:48.909, 0, 0, 37.80, 1215, 765
2025/03/22 01:14:49.912, 0, 0, 37.79, 1215, 765
2025/03/22 01:14:50.915, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:51.918, 0, 0, 37.69, 1215, 765
2025/03/22 01:14:52.921, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:53.924, 0, 0, 37.40, 1215, 765
2025/03/22 01:14:54.928, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:55.931, 0, 0, 37.70, 1215, 765
2025/03/22 01:14:56.934, 0, 0, 37.31, 1215, 765
2025/03/22 01:14:57.936, 0, 0, 37.40, 1215, 765
2025/03/22 01:14:58.939, 0, 0, 37.69, 1215, 765
2025/03/22 01:14:59.941, 0, 0, 37.70, 1215, 765
2025/03/22 01:15:00.944, 0, 0, 37.70, 1215, 765
2025/03/22 01:15:01.946, 0, 0, 37.69, 1215, 765
2025/03/22 01:15:02.950, 0, 0, 37.69, 1215, 765
2025/03/22 01:15:03.952, 0, 0, 37.30, 1215, 765
2025/03/22 01:15:04.955, 0, 0, 37.50, 1215, 765
2025/03/22 01:15:05.957, 0, 0, 37.31, 1215, 765
2025/03/22 01:15:06.961, 0, 0, 37.50, 1215, 765
2025/03/22 01:15:07.963, 0, 0, 37.40, 1215, 765
2025/03/22 01:15:08.966, 0, 0, 37.40, 1215, 765
2025/03/22 01:15:09.968, 0, 0, 37.50, 1215, 765
2025/03/22 01:15:10.971, 0, 0, 37.11, 1215, 765
2025/03/22 01:15:11.974, 0, 0, 37.30, 1215, 765
2025/03/22 01:15:12.982, 0, 96, 107.56, 1215, 765
2025/03/22 01:15:13.987, 0, 97, 101.32, 1215, 765
2025/03/22 01:15:14.990, 0, 97, 103.57, 1215, 765
2025/03/22 01:15:15.995, 0, 97, 100.99, 1215, 765
2025/03/22 01:15:16.999, 0, 97, 105.93, 1215, 765
2025/03/22 01:15:18.004, 0, 97, 109.33, 1215, 765
2025/03/22 01:15:19.007, 0, 97, 111.89, 1215, 765
2025/03/22 01:15:20.013, 0, 97, 105.57, 1215, 765
2025/03/22 01:15:21.018, 0, 96, 108.05, 1215, 765
2025/03/22 01:15:22.021, 0, 97, 109.24, 1215, 765
2025/03/22 01:15:23.027, 0, 97, 106.07, 1215, 765
2025/03/22 01:15:24.030, 0, 97, 108.21, 1215, 765
2025/03/22 01:15:25.035, 0, 97, 110.44, 1215, 765
2025/03/22 01:15:26.038, 0, 97, 110.48, 1215, 765
2025/03/22 01:15:27.041, 0, 97, 97.78, 1215, 765
2025/03/22 01:15:28.046, 0, 96, 109.54, 1215, 765
2025/03/22 01:15:29.049, 0, 96, 108.87, 1215, 765
2025/03/22 01:15:30.053, 0, 97, 104.83, 1215, 765
2025/03/22 01:15:31.056, 0, 97, 103.42, 1215, 765
2025/03/22 01:15:32.059, 0, 97, 104.98, 1215, 765
2025/03/22 01:15:33.065, 0, 97, 103.81, 1215, 765
2025/03/22 01:15:34.068, 0, 96, 106.50, 1215, 765
2025/03/22 01:15:35.071, 0, 97, 108.02, 1215, 765
2025/03/22 01:15:36.074, 0, 97, 103.52, 1215, 765
2025/03/22 01:15:37.077, 0, 97, 110.74, 1215, 765
2025/03/22 01:15:38.080, 0, 96, 106.25, 1215, 765
2025/03/22 01:15:39.085, 0, 96, 109.87, 1215, 765
2025/03/22 01:15:40.088, 0, 97, 115.42, 1215, 765
2025/03/22 01:15:41.092, 0, 97, 105.86, 1215, 765
2025/03/22 01:15:42.095, 0, 96, 103.83, 1215, 765
2025/03/22 01:15:43.100, 0, 97, 108.79, 1215, 765
2025/03/22 01:15:44.105, 0, 96, 112.18, 1215, 765
2025/03/22 01:15:45.108, 0, 96, 105.18, 1215, 765
2025/03/22 01:15:46.113, 0, 97, 104.41, 1215, 765
2025/03/22 01:15:47.116, 0, 97, 110.20, 1215, 765
2025/03/22 01:15:48.121, 0, 96, 105.27, 1215, 765
2025/03/22 01:15:49.124, 0, 97, 108.66, 1215, 765
2025/03/22 01:15:50.131, 0, 96, 109.35, 1215, 765
2025/03/22 01:15:51.136, 0, 96, 107.38, 1215, 765
2025/03/22 01:15:52.139, 0, 97, 108.87, 1215, 765
2025/03/22 01:15:53.141, 0, 96, 106.12, 1215, 765
2025/03/22 01:15:54.146, 0, 96, 102.82, 1215, 765
2025/03/22 01:15:55.149, 0, 97, 106.82, 1215, 765
2025/03/22 01:15:56.153, 0, 96, 104.32, 1215, 765
2025/03/22 01:15:57.158, 0, 97, 107.78, 1215, 765
2025/03/22 01:15:58.161, 0, 96, 103.49, 1215, 765
2025/03/22 01:15:59.167, 0, 96, 108.29, 1215, 765
2025/03/22 01:16:00.171, 0, 97, 108.68, 1215, 765
2025/03/22 01:16:01.179, 0, 95, 142.10, 1215, 765
2025/03/22 01:16:02.182, 0, 96, 113.53, 1215, 765
2025/03/22 01:16:03.187, 0, 97, 107.74, 1215, 765
2025/03/22 01:16:04.192, 0, 96, 107.07, 1215, 765
2025/03/22 01:16:05.195, 0, 96, 105.92, 1215, 765
2025/03/22 01:16:06.200, 0, 96, 107.95, 1215, 765
2025/03/22 01:16:07.204, 0, 97, 107.47, 1215, 765
2025/03/22 01:16:08.213, 0, 96, 109.17, 1215, 765
2025/03/22 01:16:09.218, 0, 96, 107.22, 1215, 765
2025/03/22 01:16:10.221, 0, 96, 104.54, 1215, 765
2025/03/22 01:16:11.226, 0, 96, 104.82, 1215, 765
2025/03/22 01:16:12.233, 0, 96, 106.65, 1215, 765
2025/03/22 01:16:13.236, 0, 96, 108.29, 1215, 765
2025/03/22 01:16:14.239, 0, 97, 109.56, 1215, 765
2025/03/22 01:16:15.242, 0, 96, 108.18, 1215, 765
2025/03/22 01:16:16.246, 0, 96, 109.30, 1215, 765
2025/03/22 01:16:17.249, 0, 96, 107.50, 1215, 765
2025/03/22 01:16:18.254, 0, 97, 109.22, 1215, 765
2025/03/22 01:16:19.260, 0, 96, 108.06, 1215, 765
2025/03/22 01:16:20.263, 0, 97, 109.92, 1215, 765
2025/03/22 01:16:21.269, 0, 96, 107.47, 1215, 765
2025/03/22 01:16:22.272, 0, 96, 106.88, 1215, 765
2025/03/22 01:16:23.275, 0, 96, 107.17, 1215, 765
2025/03/22 01:16:24.278, 0, 96, 104.02, 1215, 765
2025/03/22 01:16:25.281, 0, 96, 109.56, 1215, 765
2025/03/22 01:16:26.284, 0, 96, 105.88, 1215, 765
2025/03/22 01:16:27.287, 0, 96, 109.30, 1215, 765
2025/03/22 01:16:28.292, 0, 96, 108.99, 1215, 765
2025/03/22 01:16:29.295, 0, 91, 109.71, 1215, 765
2025/03/22 01:16:30.300, 0, 96, 107.91, 1215, 765
2025/03/22 01:16:31.304, 0, 96, 107.39, 1215, 765
2025/03/22 01:16:32.307, 0, 96, 110.46, 1215, 765
2025/03/22 01:16:33.312, 0, 96, 109.75, 1215, 765
2025/03/22 01:16:34.318, 0, 96, 103.20, 1215, 765
2025/03/22 01:16:35.321, 0, 96, 109.26, 1215, 765
2025/03/22 01:16:36.329, 0, 96, 109.66, 1215, 765
2025/03/22 01:16:37.332, 0, 96, 104.74, 1215, 765
2025/03/22 01:16:38.335, 0, 96, 108.27, 1215, 765
2025/03/22 01:16:39.338, 0, 96, 109.60, 1215, 765
2025/03/22 01:16:40.341, 0, 96, 107.54, 1215, 765
2025/03/22 01:16:41.346, 0, 96, 109.63, 1215, 765
2025/03/22 01:16:42.349, 0, 96, 109.36, 1215, 765
2025/03/22 01:16:43.355, 0, 96, 103.60, 1215, 765
2025/03/22 01:16:44.360, 0, 96, 107.93, 1215, 765
2025/03/22 01:16:45.363, 0, 96, 105.46, 1215, 765
2025/03/22 01:16:46.366, 0, 96, 109.17, 1215, 765
2025/03/22 01:16:47.371, 0, 97, 109.26, 1215, 765
2025/03/22 01:16:48.374, 0, 96, 111.24, 1215, 765
2025/03/22 01:16:49.377, 0, 96, 107.95, 1215, 765
2025/03/22 01:16:50.382, 0, 96, 108.78, 1215, 765
2025/03/22 01:16:51.385, 0, 96, 105.21, 1215, 765
2025/03/22 01:16:52.390, 0, 96, 109.31, 1215, 765
2025/03/22 01:16:53.396, 0, 95, 107.58, 1215, 765
2025/03/22 01:16:54.399, 0, 96, 103.00, 1215, 765
2025/03/22 01:16:55.402, 0, 96, 105.32, 1215, 765
2025/03/22 01:16:56.409, 0, 96, 108.55, 1215, 765
2025/03/22 01:16:57.413, 0, 94, 104.36, 1215, 765
2025/03/22 01:16:58.416, 0, 96, 109.78, 1215, 765
2025/03/22 01:16:59.421, 0, 96, 108.12, 1215, 765
2025/03/22 01:17:00.426, 0, 96, 109.20, 1215, 765
2025/03/22 01:17:01.431, 0, 95, 121.96, 1215, 765
2025/03/22 01:17:02.434, 0, 95, 106.70, 1215, 765
2025/03/22 01:17:03.439, 0, 96, 107.87, 1215, 765
2025/03/22 01:17:04.442, 0, 96, 109.64, 1215, 765
2025/03/22 01:17:05.445, 0, 96, 109.02, 1215, 765
2025/03/22 01:17:06.449, 0, 97, 112.64, 1215, 765
2025/03/22 01:17:07.459, 0, 96, 109.86, 1215, 765
2025/03/22 01:17:08.464, 0, 96, 106.26, 1215, 765
2025/03/22 01:17:09.467, 0, 91, 100.04, 1215, 765
2025/03/22 01:17:10.470, 0, 96, 107.17, 1215, 765
2025/03/22 01:17:11.474, 0, 96, 112.49, 1215, 765
2025/03/22 01:17:12.480, 0, 96, 109.54, 1215, 765
2025/03/22 01:17:13.484, 0, 96, 112.30, 1215, 765
2025/03/22 01:17:14.487, 0, 97, 107.94, 1215, 765
2025/03/22 01:17:15.491, 0, 96, 108.51, 1215, 765
2025/03/22 01:17:16.498, 0, 96, 107.64, 1215, 765
2025/03/22 01:17:17.501, 0, 96, 108.37, 1215, 765
2025/03/22 01:17:18.507, 0, 96, 107.96, 1215, 765
2025/03/22 01:17:19.511, 0, 96, 106.86, 1215, 765
2025/03/22 01:17:20.514, 0, 96, 105.04, 1215, 765
2025/03/22 01:17:21.517, 0, 95, 109.15, 1215, 765
2025/03/22 01:17:22.520, 0, 96, 107.56, 1215, 765
2025/03/22 01:17:23.524, 0, 96, 109.58, 1215, 765
2025/03/22 01:17:24.528, 0, 96, 105.72, 1215, 765
2025/03/22 01:17:25.533, 0, 96, 107.14, 1215, 765
2025/03/22 01:17:26.536, 0, 96, 108.54, 1215, 765
2025/03/22 01:17:27.539, 0, 96, 110.25, 1215, 765
2025/03/22 01:17:28.543, 0, 96, 111.04, 1215, 765
2025/03/22 01:17:29.546, 0, 90, 99.07, 1215, 765
2025/03/22 01:17:30.550, 0, 96, 109.66, 1215, 765
2025/03/22 01:17:31.557, 0, 96, 111.14, 1215, 765
2025/03/22 01:17:32.560, 0, 96, 112.70, 1215, 765
2025/03/22 01:17:33.563, 0, 96, 106.31, 1215, 765
2025/03/22 01:17:34.568, 0, 94, 103.57, 1215, 765
2025/03/22 01:17:35.570, 0, 96, 103.50, 1215, 765
2025/03/22 01:17:36.573, 0, 96, 109.56, 1215, 765
2025/03/22 01:17:37.576, 0, 96, 106.25, 1215, 765
2025/03/22 01:17:38.579, 0, 96, 106.17, 1215, 765
2025/03/22 01:17:39.582, 0, 96, 110.25, 1215, 765
2025/03/22 01:17:40.585, 0, 96, 108.08, 1215, 765
2025/03/22 01:17:41.588, 0, 96, 107.99, 1215, 765
2025/03/22 01:17:42.590, 0, 96, 106.74, 1215, 765
2025/03/22 01:17:43.595, 0, 96, 108.77, 1215, 765
2025/03/22 01:17:44.601, 0, 96, 108.10, 1215, 765
2025/03/22 01:17:45.604, 0, 90, 109.52, 1215, 765
2025/03/22 01:17:46.607, 0, 96, 110.18, 1215, 765
2025/03/22 01:17:47.612, 0, 96, 109.04, 1215, 765
2025/03/22 01:17:48.618, 0, 96, 104.70, 1215, 765
2025/03/22 01:17:49.620, 0, 96, 110.66, 1215, 765
2025/03/22 01:17:50.625, 0, 96, 106.95, 1215, 765
2025/03/22 01:17:51.630, 0, 96, 108.96, 1215, 765
2025/03/22 01:17:52.635, 0, 96, 109.96, 1215, 765
2025/03/22 01:17:53.638, 0, 96, 109.88, 1215, 765
2025/03/22 01:17:54.642, 0, 95, 108.92, 1215, 765
2025/03/22 01:17:55.650, 0, 96, 107.97, 1215, 765
2025/03/22 01:17:56.655, 0, 96, 114.29, 1215, 765
2025/03/22 01:17:57.657, 0, 90, 107.29, 1215, 765
2025/03/22 01:17:58.660, 0, 96, 109.60, 1215, 765
2025/03/22 01:17:59.665, 0, 96, 108.35, 1215, 765
2025/03/22 01:18:00.668, 0, 96, 107.58, 1215, 765
2025/03/22 01:18:01.672, 0, 96, 108.96, 1215, 765
2025/03/22 01:18:02.675, 0, 95, 107.76, 1215, 765
2025/03/22 01:18:03.679, 0, 96, 110.45, 1215, 765
2025/03/22 01:18:04.685, 0, 96, 105.16, 1215, 765
2025/03/22 01:18:05.692, 0, 90, 106.54, 1215, 765
2025/03/22 01:18:06.695, 0, 96, 105.59, 1215, 765
2025/03/22 01:18:07.698, 0, 96, 112.33, 1215, 765
2025/03/22 01:18:08.704, 0, 96, 109.84, 1215, 765
2025/03/22 01:18:09.709, 0, 96, 107.88, 1215, 765
2025/03/22 01:18:10.713, 0, 96, 110.18, 1215, 765
2025/03/22 01:18:11.715, 0, 96, 107.87, 1215, 765
2025/03/22 01:18:12.720, 0, 96, 109.67, 1215, 765
2025/03/22 01:18:13.724, 0, 96, 110.29, 1215, 765
2025/03/22 01:18:14.728, 0, 96, 110.35, 1215, 765
2025/03/22 01:18:15.732, 0, 96, 108.79, 1215, 765
2025/03/22 01:18:16.737, 0, 96, 107.77, 1215, 765
2025/03/22 01:18:17.740, 0, 96, 109.55, 1215, 765
2025/03/22 01:18:18.744, 0, 96, 107.97, 1215, 765
2025/03/22 01:18:19.751, 0, 96, 109.62, 1215, 765
2025/03/22 01:18:20.757, 0, 96, 110.93, 1215, 765
2025/03/22 01:18:21.760, 0, 89, 102.51, 1215, 765
2025/03/22 01:18:22.765, 0, 96, 109.23, 1215, 765
2025/03/22 01:18:23.770, 0, 96, 105.91, 1215, 765
2025/03/22 01:18:24.774, 0, 96, 110.85, 1215, 765
2025/03/22 01:18:25.777, 0, 96, 107.97, 1215, 765
2025/03/22 01:18:26.782, 0, 96, 107.57, 1215, 765
2025/03/22 01:18:27.785, 0, 96, 108.36, 1215, 765
2025/03/22 01:18:28.788, 0, 95, 106.54, 1215, 765
2025/03/22 01:18:29.791, 0, 96, 105.55, 1215, 765
2025/03/22 01:18:30.796, 0, 96, 109.05, 1215, 765
2025/03/22 01:18:31.801, 0, 96, 108.43, 1215, 765
2025/03/22 01:18:32.810, 0, 96, 107.47, 1215, 765
2025/03/22 01:18:33.813, 0, 96, 109.69, 1215, 765
2025/03/22 01:18:34.816, 0, 96, 109.35, 1215, 765
2025/03/22 01:18:35.819, 0, 96, 108.85, 1215, 765
2025/03/22 01:18:36.822, 0, 96, 107.92, 1215, 765
2025/03/22 01:18:37.825, 0, 96, 109.16, 1215, 765
2025/03/22 01:18:38.828, 0, 96, 105.38, 1215, 765
2025/03/22 01:18:39.831, 0, 96, 108.09, 1215, 765
2025/03/22 01:18:40.834, 0, 95, 106.78, 1215, 765
2025/03/22 01:18:41.839, 0, 96, 105.03, 1215, 765
2025/03/22 01:18:42.842, 0, 96, 106.93, 1215, 765
2025/03/22 01:18:43.847, 0, 96, 109.71, 1215, 765
2025/03/22 01:18:44.853, 0, 96, 107.88, 1215, 765
2025/03/22 01:18:45.856, 0, 96, 107.30, 1215, 765
2025/03/22 01:18:46.861, 0, 96, 108.29, 1215, 765
2025/03/22 01:18:47.870, 0, 96, 110.04, 1215, 765
2025/03/22 01:18:48.873, 0, 95, 108.00, 1215, 765
2025/03/22 01:18:49.876, 0, 96, 106.30, 1215, 765
2025/03/22 01:18:50.880, 0, 96, 109.29, 1215, 765
2025/03/22 01:18:51.883, 0, 96, 106.32, 1215, 765
2025/03/22 01:18:52.885, 0, 96, 107.08, 1215, 765
2025/03/22 01:18:53.888, 0, 96, 109.55, 1215, 765
2025/03/22 01:18:54.891, 0, 95, 105.62, 1215, 765
2025/03/22 01:18:55.896, 0, 96, 106.86, 1215, 765
2025/03/22 01:18:56.899, 0, 96, 109.58, 1215, 765
2025/03/22 01:18:57.902, 0, 96, 108.00, 1215, 765
2025/03/22 01:18:58.907, 0, 96, 107.58, 1215, 765
2025/03/22 01:18:59.910, 0, 96, 109.57, 1215, 765
2025/03/22 01:19:00.913, 0, 96, 109.25, 1215, 765
2025/03/22 01:19:01.917, 0, 96, 109.04, 1215, 765
2025/03/22 01:19:02.920, 0, 96, 105.32, 1215, 765
2025/03/22 01:19:03.924, 0, 96, 110.56, 1215, 765
2025/03/22 01:19:04.931, 0, 96, 107.59, 1215, 765
2025/03/22 01:19:05.938, 0, 96, 105.35, 1215, 765
2025/03/22 01:19:06.941, 0, 96, 106.77, 1215, 765
2025/03/22 01:19:07.943, 0, 96, 110.31, 1215, 765
2025/03/22 01:19:08.948, 0, 96, 110.54, 1215, 765
2025/03/22 01:19:09.953, 0, 96, 104.45, 1215, 765
2025/03/22 01:19:10.956, 0, 96, 110.65, 1215, 765
2025/03/22 01:19:11.961, 0, 96, 104.00, 1215, 765
2025/03/22 01:19:12.965, 0, 96, 108.23, 1215, 765
2025/03/22 01:19:13.972, 0, 95, 109.06, 1215, 765
2025/03/22 01:19:14.975, 0, 96, 108.31, 1215, 765
2025/03/22 01:19:15.981, 0, 96, 104.17, 1215, 765
2025/03/22 01:19:16.986, 0, 96, 109.66, 1215, 765
2025/03/22 01:19:17.989, 0, 96, 105.28, 1215, 765
2025/03/22 01:19:18.992, 0, 96, 106.20, 1215, 765
2025/03/22 01:19:19.995, 0, 96, 110.04, 1215, 765
2025/03/22 01:19:20.998, 0, 95, 105.33, 1215, 765
2025/03/22 01:19:22.002, 0, 96, 110.85, 1215, 765
2025/03/22 01:19:23.005, 0, 96, 107.47, 1215, 765
2025/03/22 01:19:24.008, 0, 96, 110.34, 1215, 765
2025/03/22 01:19:25.015, 0, 96, 107.03, 1215, 765
2025/03/22 01:19:26.018, 0, 96, 110.20, 1215, 765
2025/03/22 01:19:27.021, 0, 96, 109.49, 1215, 765
2025/03/22 01:19:28.026, 0, 95, 109.36, 1215, 765
2025/03/22 01:19:29.030, 0, 96, 109.06, 1215, 765
2025/03/22 01:19:30.033, 0, 96, 108.43, 1215, 765
2025/03/22 01:19:31.037, 0, 96, 110.16, 1215, 765
2025/03/22 01:19:32.042, 0, 96, 111.03, 1215, 765
2025/03/22 01:19:33.046, 0, 96, 109.94, 1215, 765
2025/03/22 01:19:34.049, 0, 95, 108.76, 1215, 765
2025/03/22 01:19:35.052, 0, 96, 109.93, 1215, 765
2025/03/22 01:19:36.055, 0, 96, 107.69, 1215, 765
2025/03/22 01:19:37.058, 0, 96, 112.88, 1215, 765
2025/03/22 01:19:38.061, 0, 94, 107.74, 1215, 765
2025/03/22 01:19:39.065, 0, 96, 110.09, 1215, 765
2025/03/22 01:19:40.068, 0, 96, 106.01, 1215, 765
2025/03/22 01:19:41.073, 0, 96, 105.48, 1215, 765
2025/03/22 01:19:42.078, 0, 96, 110.80, 1215, 765
2025/03/22 01:19:43.083, 0, 96, 109.69, 1215, 765
