timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/21 21:43:09.417, 1, 0, 37.04, 1215, 765
2025/03/21 21:43:10.436, 1, 0, 36.88, 1215, 765
2025/03/21 21:43:11.440, 1, 0, 36.83, 1215, 765
2025/03/21 21:43:12.449, 1, 0, 36.93, 1215, 765
2025/03/21 21:43:13.453, 1, 0, 36.83, 1215, 765
2025/03/21 21:43:14.457, 1, 0, 36.83, 1215, 765
2025/03/21 21:43:15.460, 1, 0, 36.73, 1215, 765
2025/03/21 21:43:16.464, 1, 0, 36.84, 1215, 765
2025/03/21 21:43:17.468, 1, 0, 36.73, 1215, 765
2025/03/21 21:43:18.473, 1, 0, 36.74, 1215, 765
2025/03/21 21:43:19.477, 1, 0, 36.63, 1215, 765
2025/03/21 21:43:20.480, 1, 0, 36.63, 1215, 765
2025/03/21 21:43:21.485, 1, 0, 36.63, 1215, 765
2025/03/21 21:43:22.487, 1, 0, 36.64, 1215, 765
2025/03/21 21:43:23.492, 1, 0, 36.53, 1215, 765
2025/03/21 21:43:24.496, 1, 0, 36.54, 1215, 765
2025/03/21 21:43:25.502, 1, 0, 36.53, 1215, 765
2025/03/21 21:43:26.508, 1, 0, 36.53, 1215, 765
2025/03/21 21:43:27.512, 1, 0, 36.54, 1215, 765
2025/03/21 21:43:28.518, 1, 0, 36.44, 1215, 765
2025/03/21 21:43:29.521, 1, 0, 36.44, 1215, 765
2025/03/21 21:43:30.525, 1, 0, 36.44, 1215, 765
2025/03/21 21:43:31.528, 1, 52, 39.49, 1215, 765
2025/03/21 21:43:32.532, 1, 27, 39.19, 1215, 765
2025/03/21 21:43:33.540, 1, 0, 38.25, 1215, 765
2025/03/21 21:43:34.544, 1, 0, 38.24, 1215, 765
2025/03/21 21:43:35.547, 1, 0, 38.24, 1215, 765
2025/03/21 21:43:36.554, 1, 0, 38.24, 1215, 765
2025/03/21 21:43:37.559, 1, 0, 38.24, 1215, 765
2025/03/21 21:43:38.562, 1, 0, 38.24, 1215, 765
2025/03/21 21:43:39.570, 1, 0, 38.15, 1215, 765
2025/03/21 21:43:40.574, 1, 0, 38.13, 1215, 765
2025/03/21 21:43:41.578, 1, 0, 38.14, 1215, 765
2025/03/21 21:43:42.585, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:43.589, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:44.593, 1, 0, 38.13, 1215, 765
2025/03/21 21:43:45.598, 1, 0, 38.14, 1215, 765
2025/03/21 21:43:46.602, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:47.606, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:48.611, 1, 0, 38.13, 1215, 765
2025/03/21 21:43:49.615, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:50.618, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:51.623, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:52.629, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:53.633, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:54.638, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:55.642, 1, 0, 38.03, 1215, 765
2025/03/21 21:43:56.646, 1, 0, 37.93, 1215, 765
2025/03/21 21:43:57.651, 1, 0, 37.74, 1215, 765
2025/03/21 21:43:58.656, 1, 0, 37.74, 1215, 765
2025/03/21 21:43:59.659, 1, 0, 37.71, 1215, 765
2025/03/21 21:44:00.665, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:01.669, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:02.672, 1, 0, 37.83, 1215, 765
2025/03/21 21:44:03.675, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:04.679, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:05.683, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:06.688, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:07.692, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:08.695, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:09.703, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:10.708, 1, 0, 37.73, 1215, 765
2025/03/21 21:44:11.712, 1, 0, 37.62, 1215, 765
2025/03/21 21:44:12.718, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:13.722, 1, 0, 37.93, 1215, 765
2025/03/21 21:44:14.725, 1, 0, 37.63, 1215, 765
2025/03/21 21:44:15.730, 1, 0, 37.72, 1215, 765
2025/03/21 21:44:16.734, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:17.737, 1, 0, 37.53, 1215, 765
2025/03/21 21:44:18.743, 1, 0, 37.74, 1215, 765
2025/03/21 21:44:19.746, 1, 96, 104.14, 1215, 765
2025/03/21 21:44:20.749, 1, 96, 105.12, 1215, 765
2025/03/21 21:44:21.752, 1, 96, 101.81, 1215, 765
2025/03/21 21:44:22.755, 1, 96, 113.04, 1215, 765
2025/03/21 21:44:23.760, 1, 96, 103.17, 1215, 765
2025/03/21 21:44:24.765, 1, 96, 102.47, 1215, 765
2025/03/21 21:44:25.771, 1, 96, 106.50, 1215, 765
2025/03/21 21:44:26.774, 1, 98, 105.96, 1215, 765
2025/03/21 21:44:27.777, 1, 96, 107.94, 1215, 765
2025/03/21 21:44:28.782, 1, 96, 101.55, 1215, 765
2025/03/21 21:44:29.786, 1, 96, 103.82, 1215, 765
2025/03/21 21:44:30.790, 1, 96, 102.70, 1215, 765
2025/03/21 21:44:31.794, 1, 96, 106.73, 1215, 765
2025/03/21 21:44:32.799, 1, 96, 102.56, 1215, 765
2025/03/21 21:44:33.803, 1, 96, 105.44, 1215, 765
2025/03/21 21:44:34.810, 1, 96, 104.87, 1215, 765
2025/03/21 21:44:35.813, 1, 96, 103.14, 1215, 765
2025/03/21 21:44:36.816, 1, 96, 109.12, 1215, 765
2025/03/21 21:44:37.823, 1, 96, 106.56, 1215, 765
2025/03/21 21:44:38.826, 1, 96, 104.36, 1215, 765
2025/03/21 21:44:39.830, 1, 96, 100.87, 1215, 765
2025/03/21 21:44:40.834, 1, 96, 108.39, 1215, 765
2025/03/21 21:44:41.842, 1, 96, 109.22, 1215, 765
2025/03/21 21:44:42.845, 1, 96, 107.64, 1215, 765
2025/03/21 21:44:43.851, 1, 96, 104.65, 1215, 765
2025/03/21 21:44:44.855, 1, 96, 103.18, 1215, 765
