timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 08:45:26.734, 0, 0, 35.20, 1215, 765
2025/03/20 08:45:27.756, 0, 0, 35.11, 1215, 765
2025/03/20 08:45:28.759, 0, 0, 35.01, 1215, 765
2025/03/20 08:45:29.765, 0, 0, 34.92, 1215, 765
2025/03/20 08:45:30.768, 0, 0, 35.11, 1215, 765
2025/03/20 08:45:31.773, 0, 0, 35.11, 1215, 765
2025/03/20 08:45:32.777, 0, 0, 35.10, 1215, 765
2025/03/20 08:45:33.780, 0, 0, 34.91, 1215, 765
2025/03/20 08:45:34.785, 0, 0, 35.11, 1215, 765
2025/03/20 08:45:35.789, 0, 0, 34.70, 1215, 765
2025/03/20 08:45:36.799, 0, 0, 35.00, 1215, 765
2025/03/20 08:45:37.804, 0, 0, 34.71, 1215, 765
2025/03/20 08:45:38.807, 0, 0, 35.09, 1215, 765
2025/03/20 08:45:39.812, 0, 0, 34.91, 1215, 765
2025/03/20 08:45:40.816, 0, 0, 35.21, 1215, 765
2025/03/20 08:45:41.822, 0, 0, 35.10, 1215, 765
2025/03/20 08:45:42.825, 0, 0, 35.00, 1215, 765
2025/03/20 08:45:43.830, 0, 0, 35.01, 1215, 765
2025/03/20 08:45:44.835, 0, 0, 35.00, 1215, 765
2025/03/20 08:45:45.839, 0, 0, 34.91, 1215, 765
2025/03/20 08:45:46.845, 0, 0, 34.91, 1215, 765
2025/03/20 08:45:47.848, 0, 79, 37.67, 1215, 765
2025/03/20 08:45:48.851, 0, 81, 37.48, 1215, 765
2025/03/20 08:45:49.854, 0, 82, 37.78, 1215, 765
2025/03/20 08:45:50.857, 0, 0, 38.04, 1215, 765
2025/03/20 08:45:51.862, 0, 76, 37.78, 1215, 765
2025/03/20 08:45:52.869, 0, 0, 37.00, 1215, 765
2025/03/20 08:45:53.873, 0, 0, 37.01, 1215, 765
2025/03/20 08:45:54.878, 0, 0, 36.80, 1215, 765
2025/03/20 08:45:55.882, 0, 0, 37.11, 1215, 765
2025/03/20 08:45:56.886, 0, 0, 37.10, 1215, 765
2025/03/20 08:45:57.888, 0, 0, 37.49, 1215, 765
2025/03/20 08:45:58.892, 0, 100, 70.94, 1215, 765
2025/03/20 08:45:59.899, 0, 95, 109.55, 1215, 765
2025/03/20 08:46:00.904, 0, 96, 115.25, 1215, 765
2025/03/20 08:46:01.907, 0, 95, 115.66, 1215, 765
2025/03/20 08:46:02.913, 0, 99, 177.28, 1215, 765
2025/03/20 08:46:03.916, 0, 95, 104.36, 1215, 765
2025/03/20 08:46:04.919, 0, 95, 112.13, 1215, 765
2025/03/20 08:46:05.921, 0, 96, 113.86, 1215, 765
2025/03/20 08:46:06.926, 0, 95, 110.77, 1215, 765
2025/03/20 08:46:07.929, 0, 96, 106.74, 1215, 765
2025/03/20 08:46:08.932, 0, 96, 117.67, 1215, 765
2025/03/20 08:46:09.936, 0, 95, 108.03, 1215, 765
2025/03/20 08:46:10.939, 0, 98, 119.59, 1215, 765
2025/03/20 08:46:11.944, 0, 96, 102.16, 1215, 765
2025/03/20 08:46:12.949, 0, 96, 109.94, 1215, 765
2025/03/20 08:46:13.954, 0, 96, 109.95, 1215, 765
2025/03/20 08:46:14.957, 0, 96, 107.78, 1215, 765
2025/03/20 08:46:15.963, 0, 100, 174.18, 1215, 765
2025/03/20 08:46:16.966, 0, 95, 112.83, 1215, 765
2025/03/20 08:46:17.972, 0, 96, 116.44, 1215, 765
2025/03/20 08:46:18.977, 0, 96, 119.11, 1215, 765
2025/03/20 08:46:19.979, 0, 96, 119.71, 1215, 765
2025/03/20 08:46:20.984, 0, 96, 119.74, 1215, 765
2025/03/20 08:46:21.988, 0, 95, 120.04, 1215, 765
2025/03/20 08:46:22.991, 0, 95, 171.29, 1215, 765
2025/03/20 08:46:23.994, 0, 95, 114.03, 1215, 765
2025/03/20 08:46:24.998, 0, 95, 119.72, 1215, 765
2025/03/20 08:46:26.001, 0, 96, 108.85, 1215, 765
2025/03/20 08:46:27.008, 0, 96, 117.86, 1215, 765
2025/03/20 08:46:28.010, 0, 100, 176.54, 1215, 765
2025/03/20 08:46:29.015, 0, 95, 112.31, 1215, 765
