timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 13:46:06.089, 0, 0, 36.19, 1215, 765
2025/03/20 13:46:07.108, 0, 0, 36.08, 1215, 765
2025/03/20 13:46:08.112, 0, 0, 36.10, 1215, 765
2025/03/20 13:46:09.118, 0, 0, 36.10, 1215, 765
2025/03/20 13:46:10.122, 0, 0, 36.00, 1215, 765
2025/03/20 13:46:11.125, 0, 0, 36.10, 1215, 765
2025/03/20 13:46:12.131, 0, 0, 35.71, 1215, 765
2025/03/20 13:46:13.136, 0, 0, 35.88, 1215, 765
2025/03/20 13:46:14.139, 0, 0, 36.09, 1215, 765
2025/03/20 13:46:15.141, 0, 0, 35.90, 1215, 765
2025/03/20 13:46:16.146, 0, 0, 35.90, 1215, 765
2025/03/20 13:46:17.155, 0, 0, 36.00, 1215, 765
2025/03/20 13:46:18.158, 0, 0, 35.90, 1215, 765
2025/03/20 13:46:19.161, 0, 0, 35.90, 1215, 765
2025/03/20 13:46:20.169, 0, 0, 35.81, 1215, 765
2025/03/20 13:46:21.172, 0, 0, 35.81, 1215, 765
2025/03/20 13:46:22.176, 0, 0, 35.80, 1215, 765
2025/03/20 13:46:23.179, 0, 0, 35.60, 1215, 765
2025/03/20 13:46:24.182, 0, 0, 35.80, 1215, 765
2025/03/20 13:46:25.188, 0, 0, 35.80, 1215, 765
2025/03/20 13:46:26.192, 0, 0, 35.61, 1215, 765
2025/03/20 13:46:27.195, 0, 0, 35.81, 1215, 765
2025/03/20 13:46:28.203, 0, 0, 35.71, 1215, 765
2025/03/20 13:46:29.208, 0, 84, 38.46, 1215, 765
2025/03/20 13:46:30.213, 0, 84, 38.37, 1215, 765
2025/03/20 13:46:31.216, 0, 19, 37.96, 1215, 765
2025/03/20 13:46:32.220, 0, 70, 37.67, 1215, 765
2025/03/20 13:46:33.222, 0, 0, 37.70, 1215, 765
2025/03/20 13:46:34.225, 0, 0, 37.60, 1215, 765
2025/03/20 13:46:35.227, 0, 0, 37.69, 1215, 765
2025/03/20 13:46:36.233, 0, 0, 37.59, 1215, 765
2025/03/20 13:46:37.235, 0, 0, 37.59, 1215, 765
2025/03/20 13:46:38.238, 0, 0, 37.59, 1215, 765
2025/03/20 13:46:39.244, 0, 0, 37.29, 1215, 765
2025/03/20 13:46:40.247, 0, 11, 151.99, 1215, 765
2025/03/20 13:46:41.251, 0, 91, 118.87, 1215, 765
2025/03/20 13:46:42.254, 0, 91, 113.15, 1215, 765
2025/03/20 13:46:43.259, 0, 93, 99.81, 1215, 765
2025/03/20 13:46:44.262, 0, 91, 118.75, 1215, 765
2025/03/20 13:46:45.265, 0, 93, 97.15, 1215, 765
2025/03/20 13:46:46.271, 0, 91, 102.88, 1215, 765
2025/03/20 13:46:47.276, 0, 91, 118.39, 1215, 765
2025/03/20 13:46:48.284, 0, 91, 115.80, 1215, 765
2025/03/20 13:46:49.287, 0, 91, 114.60, 1215, 765
2025/03/20 13:46:50.290, 0, 91, 109.11, 1215, 765
2025/03/20 13:46:51.293, 0, 93, 99.99, 1215, 765
2025/03/20 13:46:52.296, 0, 93, 120.27, 1215, 765
2025/03/20 13:46:53.299, 0, 91, 107.61, 1215, 765
2025/03/20 13:46:54.302, 0, 93, 105.55, 1215, 765
2025/03/20 13:46:55.305, 0, 91, 119.76, 1215, 765
2025/03/20 13:46:56.308, 0, 92, 95.85, 1215, 765
2025/03/20 13:46:57.311, 0, 93, 94.69, 1215, 765
2025/03/20 13:46:58.315, 0, 93, 96.17, 1215, 765
2025/03/20 13:46:59.318, 0, 91, 119.73, 1215, 765
2025/03/20 13:47:00.323, 0, 91, 117.69, 1215, 765
2025/03/20 13:47:01.325, 0, 93, 97.97, 1215, 765
2025/03/20 13:47:02.330, 0, 91, 119.33, 1215, 765
2025/03/20 13:47:03.336, 0, 93, 95.56, 1215, 765
2025/03/20 13:47:04.341, 0, 92, 112.37, 1215, 765
2025/03/20 13:47:05.350, 0, 91, 116.62, 1215, 765
2025/03/20 13:47:06.353, 0, 91, 111.37, 1215, 765
2025/03/20 13:47:07.355, 0, 91, 115.94, 1215, 765
2025/03/20 13:47:08.358, 0, 93, 94.59, 1215, 765
2025/03/20 13:47:09.361, 0, 93, 107.62, 1215, 765
2025/03/20 13:47:10.364, 0, 91, 116.79, 1215, 765
2025/03/20 13:47:11.367, 0, 91, 117.84, 1215, 765
2025/03/20 13:47:12.370, 0, 91, 117.55, 1215, 765
2025/03/20 13:47:13.373, 0, 91, 115.69, 1215, 765
2025/03/20 13:47:14.377, 0, 91, 107.17, 1215, 765
2025/03/20 13:47:15.386, 0, 93, 104.19, 1215, 765
2025/03/20 13:47:16.389, 0, 92, 104.65, 1215, 765
2025/03/20 13:47:17.393, 0, 92, 112.20, 1215, 765
2025/03/20 13:47:18.398, 0, 93, 96.28, 1215, 765
2025/03/20 13:47:19.401, 0, 92, 94.96, 1215, 765
2025/03/20 13:47:20.406, 0, 91, 119.74, 1215, 765
2025/03/20 13:47:21.411, 0, 93, 109.15, 1215, 765
2025/03/20 13:47:22.422, 0, 91, 117.97, 1215, 765
2025/03/20 13:47:23.426, 0, 93, 121.31, 1215, 765
2025/03/20 13:47:24.429, 0, 93, 103.82, 1215, 765
2025/03/20 13:47:25.434, 0, 93, 110.22, 1215, 765
2025/03/20 13:47:26.438, 0, 93, 109.45, 1215, 765
2025/03/20 13:47:27.443, 0, 92, 106.05, 1215, 765
2025/03/20 13:47:28.446, 0, 91, 118.88, 1215, 765
2025/03/20 13:47:29.451, 0, 93, 109.17, 1215, 765
2025/03/20 13:47:30.454, 0, 91, 116.55, 1215, 765
2025/03/20 13:47:31.459, 0, 97, 117.75, 1215, 765
2025/03/20 13:47:32.463, 0, 92, 111.04, 1215, 765
2025/03/20 13:47:33.475, 0, 91, 119.63, 1215, 765
2025/03/20 13:47:34.478, 0, 93, 108.72, 1215, 765
2025/03/20 13:47:35.481, 0, 91, 117.19, 1215, 765
2025/03/20 13:47:36.484, 0, 91, 118.50, 1215, 765
2025/03/20 13:47:37.487, 0, 91, 95.89, 1215, 765
2025/03/20 13:47:38.490, 0, 91, 118.47, 1215, 765
2025/03/20 13:47:39.493, 0, 92, 104.46, 1215, 765
2025/03/20 13:47:40.498, 0, 91, 117.49, 1215, 765
