timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 11:32:08.254, 1, 0, 37.06, 1215, 765
2025/03/20 11:32:09.273, 1, 0, 37.05, 1215, 765
2025/03/20 11:32:10.278, 1, 0, 37.05, 1215, 765
2025/03/20 11:32:11.368, 1, 0, 38.83, 1215, 765
2025/03/20 11:32:12.371, 1, 0, 37.54, 1215, 765
2025/03/20 11:32:13.376, 1, 0, 36.96, 1215, 765
2025/03/20 11:32:14.379, 1, 0, 36.85, 1215, 765
2025/03/20 11:32:15.382, 1, 0, 36.84, 1215, 765
2025/03/20 11:32:16.386, 1, 0, 36.74, 1215, 765
2025/03/20 11:32:17.391, 1, 0, 36.84, 1215, 765
2025/03/20 11:32:18.394, 1, 0, 36.66, 1215, 765
2025/03/20 11:32:19.397, 1, 0, 36.66, 1215, 765
2025/03/20 11:32:20.400, 1, 0, 36.55, 1215, 765
2025/03/20 11:32:21.404, 1, 0, 36.56, 1215, 765
2025/03/20 11:32:22.407, 1, 0, 36.56, 1215, 765
2025/03/20 11:32:23.411, 1, 0, 36.56, 1215, 765
2025/03/20 11:32:24.417, 1, 0, 36.46, 1215, 765
2025/03/20 11:32:25.423, 1, 0, 36.45, 1215, 765
2025/03/20 11:32:26.426, 1, 0, 36.45, 1215, 765
2025/03/20 11:32:27.431, 1, 0, 36.36, 1215, 765
2025/03/20 11:32:28.434, 1, 0, 36.45, 1215, 765
2025/03/20 11:32:29.439, 1, 0, 36.40, 1215, 765
2025/03/20 11:32:30.442, 1, 0, 39.53, 1215, 765
2025/03/20 11:32:31.449, 1, 0, 38.16, 1215, 765
2025/03/20 11:32:32.453, 1, 0, 38.25, 1215, 765
2025/03/20 11:32:33.459, 1, 24, 38.16, 1215, 765
2025/03/20 11:32:34.463, 1, 0, 38.09, 1215, 765
2025/03/20 11:32:35.470, 1, 0, 38.09, 1215, 765
2025/03/20 11:32:36.473, 1, 0, 38.09, 1215, 765
2025/03/20 11:32:37.480, 1, 0, 38.09, 1215, 765
2025/03/20 11:32:38.484, 1, 0, 38.09, 1215, 765
2025/03/20 11:32:39.488, 1, 0, 38.16, 1215, 765
2025/03/20 11:32:40.495, 1, 0, 38.16, 1215, 765
2025/03/20 11:32:41.499, 1, 0, 37.89, 1215, 765
2025/03/20 11:32:42.503, 1, 0, 37.92, 1215, 765
2025/03/20 11:32:43.508, 1, 0, 37.96, 1215, 765
2025/03/20 11:32:44.511, 1, 0, 38.04, 1215, 765
2025/03/20 11:32:45.514, 1, 100, 171.83, 1215, 765
2025/03/20 11:32:46.517, 1, 100, 170.74, 1215, 765
2025/03/20 11:32:47.522, 1, 94, 104.95, 1215, 765
2025/03/20 11:32:48.526, 1, 96, 101.00, 1215, 765
2025/03/20 11:32:49.529, 1, 94, 123.58, 1215, 765
2025/03/20 11:32:50.533, 1, 94, 122.76, 1215, 765
2025/03/20 11:32:51.538, 1, 94, 108.56, 1215, 765
2025/03/20 11:32:52.541, 1, 100, 175.53, 1215, 765
2025/03/20 11:32:53.543, 1, 94, 124.62, 1215, 765
2025/03/20 11:32:54.548, 1, 95, 122.80, 1215, 765
2025/03/20 11:32:55.551, 1, 96, 117.07, 1215, 765
2025/03/20 11:32:56.554, 1, 95, 107.70, 1215, 765
2025/03/20 11:32:57.557, 1, 94, 123.98, 1215, 765
2025/03/20 11:32:58.560, 1, 95, 105.55, 1215, 765
2025/03/20 11:32:59.563, 1, 93, 120.51, 1215, 765
2025/03/20 11:33:00.569, 1, 95, 125.24, 1215, 765
2025/03/20 11:33:01.574, 1, 96, 126.03, 1215, 765
2025/03/20 11:33:02.580, 1, 96, 95.53, 1215, 765
2025/03/20 11:33:03.587, 1, 96, 125.11, 1215, 765
2025/03/20 11:33:04.593, 1, 100, 174.52, 1215, 765
2025/03/20 11:33:05.597, 1, 95, 117.01, 1215, 765
2025/03/20 11:33:06.601, 1, 96, 112.54, 1215, 765
2025/03/20 11:33:07.604, 1, 96, 107.73, 1215, 765
