timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 07:05:46.477, 0, 0, 36.19, 1215, 765
2025/03/20 07:05:47.496, 0, 0, 36.29, 1215, 765
2025/03/20 07:05:48.500, 0, 0, 36.20, 1215, 765
2025/03/20 07:05:49.508, 0, 0, 36.39, 1215, 765
2025/03/20 07:05:50.513, 0, 0, 36.20, 1215, 765
2025/03/20 07:05:51.517, 0, 0, 36.31, 1215, 765
2025/03/20 07:05:52.526, 0, 0, 36.27, 1215, 765
2025/03/20 07:05:53.528, 0, 0, 36.10, 1215, 765
2025/03/20 07:05:54.532, 0, 0, 36.09, 1215, 765
2025/03/20 07:05:55.535, 0, 0, 36.10, 1215, 765
2025/03/20 07:05:56.538, 0, 0, 36.10, 1215, 765
2025/03/20 07:05:57.544, 0, 0, 36.10, 1215, 765
2025/03/20 07:05:58.547, 0, 0, 36.00, 1215, 765
2025/03/20 07:05:59.551, 0, 0, 36.00, 1215, 765
2025/03/20 07:06:00.554, 0, 0, 35.81, 1215, 765
2025/03/20 07:06:01.559, 0, 0, 35.81, 1215, 765
2025/03/20 07:06:02.565, 0, 0, 35.91, 1215, 765
2025/03/20 07:06:03.569, 0, 0, 35.80, 1215, 765
2025/03/20 07:06:04.573, 0, 0, 35.81, 1215, 765
2025/03/20 07:06:05.581, 0, 0, 35.71, 1215, 765
2025/03/20 07:06:06.586, 0, 0, 35.81, 1215, 765
2025/03/20 07:06:07.590, 0, 68, 39.04, 1215, 765
2025/03/20 07:06:08.594, 0, 82, 38.59, 1215, 765
2025/03/20 07:06:09.599, 0, 0, 37.80, 1215, 765
2025/03/20 07:06:10.605, 0, 83, 38.48, 1215, 765
2025/03/20 07:06:11.609, 0, 1, 37.70, 1215, 765
2025/03/20 07:06:12.612, 0, 0, 37.70, 1215, 765
2025/03/20 07:06:13.615, 0, 0, 37.70, 1215, 765
2025/03/20 07:06:14.618, 0, 0, 37.80, 1215, 765
2025/03/20 07:06:15.625, 0, 0, 37.70, 1215, 765
2025/03/20 07:06:16.629, 0, 0, 37.80, 1215, 765
2025/03/20 07:06:17.632, 0, 6, 38.09, 1215, 765
2025/03/20 07:06:18.640, 0, 96, 137.61, 1215, 765
2025/03/20 07:06:19.643, 0, 97, 122.80, 1215, 765
2025/03/20 07:06:20.649, 0, 97, 108.93, 1215, 765
2025/03/20 07:06:21.652, 0, 97, 110.39, 1215, 765
2025/03/20 07:06:22.656, 0, 96, 117.50, 1215, 765
2025/03/20 07:06:23.665, 0, 97, 112.15, 1215, 765
2025/03/20 07:06:24.669, 0, 96, 115.02, 1215, 765
2025/03/20 07:06:25.674, 0, 97, 118.24, 1215, 765
2025/03/20 07:06:26.681, 0, 96, 117.11, 1215, 765
2025/03/20 07:06:27.684, 0, 97, 119.88, 1215, 765
2025/03/20 07:06:28.689, 0, 97, 113.04, 1215, 765
2025/03/20 07:06:29.693, 0, 96, 110.02, 1215, 765
2025/03/20 07:06:30.697, 0, 96, 116.06, 1215, 765
2025/03/20 07:06:31.704, 0, 97, 112.86, 1215, 765
2025/03/20 07:06:32.708, 0, 97, 119.32, 1215, 765
2025/03/20 07:06:33.716, 0, 96, 159.68, 1215, 765
2025/03/20 07:06:34.721, 0, 97, 119.19, 1215, 765
2025/03/20 07:06:35.729, 0, 96, 123.26, 1215, 765
2025/03/20 07:06:36.732, 0, 95, 156.80, 1215, 765
2025/03/20 07:06:37.735, 0, 97, 109.66, 1215, 765
2025/03/20 07:06:38.738, 0, 97, 125.75, 1215, 765
2025/03/20 07:06:39.747, 0, 97, 118.03, 1215, 765
2025/03/20 07:06:40.755, 0, 97, 129.04, 1215, 765
2025/03/20 07:06:41.757, 0, 97, 120.14, 1215, 765
2025/03/20 07:06:42.761, 0, 96, 120.88, 1215, 765
2025/03/20 07:06:43.764, 0, 97, 118.15, 1215, 765
2025/03/20 07:06:44.767, 0, 97, 109.56, 1215, 765
2025/03/20 07:06:45.770, 0, 97, 121.72, 1215, 765
2025/03/20 07:06:46.773, 0, 96, 110.55, 1215, 765
2025/03/20 07:06:47.778, 0, 96, 114.99, 1215, 765
2025/03/20 07:06:48.781, 0, 97, 127.24, 1215, 765
2025/03/20 07:06:49.785, 0, 97, 108.03, 1215, 765
2025/03/20 07:06:50.788, 0, 99, 131.15, 1215, 765
2025/03/20 07:06:51.793, 0, 97, 119.02, 1215, 765
2025/03/20 07:06:52.797, 0, 97, 115.86, 1215, 765
2025/03/20 07:06:53.802, 0, 97, 128.20, 1215, 765
2025/03/20 07:06:54.809, 0, 97, 144.30, 1215, 765
2025/03/20 07:06:55.812, 0, 97, 120.46, 1215, 765
2025/03/20 07:06:56.819, 0, 97, 140.24, 1215, 765
2025/03/20 07:06:57.822, 0, 96, 109.67, 1215, 765
2025/03/20 07:06:58.825, 0, 97, 154.03, 1215, 765
2025/03/20 07:06:59.831, 0, 96, 112.73, 1215, 765
2025/03/20 07:07:00.834, 0, 97, 121.48, 1215, 765
2025/03/20 07:07:01.837, 0, 97, 120.49, 1215, 765
2025/03/20 07:07:02.841, 0, 97, 143.62, 1215, 765
2025/03/20 07:07:03.846, 0, 97, 109.71, 1215, 765
2025/03/20 07:07:04.849, 0, 97, 131.43, 1215, 765
2025/03/20 07:07:05.855, 0, 97, 117.37, 1215, 765
2025/03/20 07:07:06.860, 0, 96, 114.06, 1215, 765
2025/03/20 07:07:07.862, 0, 97, 108.57, 1215, 765
2025/03/20 07:07:08.867, 0, 97, 121.94, 1215, 765
2025/03/20 07:07:09.872, 0, 97, 121.78, 1215, 765
2025/03/20 07:07:10.879, 0, 97, 138.41, 1215, 765
2025/03/20 07:07:11.882, 0, 97, 116.91, 1215, 765
2025/03/20 07:07:12.886, 0, 96, 119.59, 1215, 765
2025/03/20 07:07:13.889, 0, 96, 135.69, 1215, 765
2025/03/20 07:07:14.892, 0, 97, 123.93, 1215, 765
2025/03/20 07:07:15.897, 0, 96, 107.04, 1215, 765
2025/03/20 07:07:16.901, 0, 97, 134.81, 1215, 765
2025/03/20 07:07:17.907, 0, 97, 117.13, 1215, 765
2025/03/20 07:07:18.911, 0, 96, 121.38, 1215, 765
2025/03/20 07:07:19.914, 0, 97, 111.96, 1215, 765
2025/03/20 07:07:20.918, 0, 97, 113.11, 1215, 765
2025/03/20 07:07:21.926, 0, 97, 115.57, 1215, 765
2025/03/20 07:07:22.929, 0, 97, 119.86, 1215, 765
2025/03/20 07:07:23.936, 0, 97, 117.77, 1215, 765
2025/03/20 07:07:24.939, 0, 97, 114.51, 1215, 765
2025/03/20 07:07:25.944, 0, 99, 108.12, 1215, 765
2025/03/20 07:07:26.948, 0, 97, 124.07, 1215, 765
2025/03/20 07:07:27.952, 0, 97, 118.24, 1215, 765
2025/03/20 07:07:28.955, 0, 96, 146.40, 1215, 765
2025/03/20 07:07:29.958, 0, 96, 114.18, 1215, 765
2025/03/20 07:07:30.961, 0, 97, 115.14, 1215, 765
2025/03/20 07:07:31.965, 0, 97, 120.26, 1215, 765
2025/03/20 07:07:32.970, 0, 97, 120.32, 1215, 765
2025/03/20 07:07:33.973, 0, 97, 128.78, 1215, 765
2025/03/20 07:07:34.978, 0, 97, 126.25, 1215, 765
2025/03/20 07:07:35.982, 0, 97, 128.64, 1215, 765
2025/03/20 07:07:36.985, 0, 97, 117.62, 1215, 765
2025/03/20 07:07:37.996, 0, 97, 121.21, 1215, 765
2025/03/20 07:07:38.999, 0, 97, 127.98, 1215, 765
2025/03/20 07:07:40.002, 0, 97, 121.20, 1215, 765
2025/03/20 07:07:41.006, 0, 97, 113.51, 1215, 765
2025/03/20 07:07:42.010, 0, 97, 117.96, 1215, 765
2025/03/20 07:07:43.017, 0, 96, 146.52, 1215, 765
2025/03/20 07:07:44.020, 0, 97, 131.01, 1215, 765
2025/03/20 07:07:45.023, 0, 97, 123.53, 1215, 765
2025/03/20 07:07:46.028, 0, 97, 118.06, 1215, 765
2025/03/20 07:07:47.030, 0, 96, 113.96, 1215, 765
2025/03/20 07:07:48.034, 0, 97, 123.67, 1215, 765
2025/03/20 07:07:49.038, 0, 97, 138.32, 1215, 765
2025/03/20 07:07:50.043, 0, 97, 122.19, 1215, 765
2025/03/20 07:07:51.052, 0, 97, 110.79, 1215, 765
2025/03/20 07:07:52.055, 0, 97, 121.00, 1215, 765
2025/03/20 07:07:53.058, 0, 96, 132.08, 1215, 765
2025/03/20 07:07:54.061, 0, 97, 110.41, 1215, 765
2025/03/20 07:07:55.064, 0, 99, 122.59, 1215, 765
2025/03/20 07:07:56.067, 0, 97, 109.04, 1215, 765
2025/03/20 07:07:57.071, 0, 97, 133.26, 1215, 765
2025/03/20 07:07:58.074, 0, 97, 145.15, 1215, 765
2025/03/20 07:07:59.082, 0, 97, 124.29, 1215, 765
2025/03/20 07:08:00.086, 0, 95, 136.05, 1215, 765
2025/03/20 07:08:01.089, 0, 96, 113.86, 1215, 765
2025/03/20 07:08:02.093, 0, 97, 125.14, 1215, 765
2025/03/20 07:08:03.101, 0, 96, 130.36, 1215, 765
2025/03/20 07:08:04.105, 0, 97, 118.52, 1215, 765
2025/03/20 07:08:05.110, 0, 97, 112.72, 1215, 765
2025/03/20 07:08:06.113, 0, 97, 119.30, 1215, 765
2025/03/20 07:08:07.117, 0, 97, 114.36, 1215, 765
2025/03/20 07:08:08.120, 0, 97, 141.29, 1215, 765
2025/03/20 07:08:09.125, 0, 96, 114.37, 1215, 765
2025/03/20 07:08:10.129, 0, 96, 117.71, 1215, 765
2025/03/20 07:08:11.132, 0, 96, 123.04, 1215, 765
2025/03/20 07:08:12.136, 0, 96, 128.77, 1215, 765
2025/03/20 07:08:13.142, 0, 97, 122.74, 1215, 765
2025/03/20 07:08:14.145, 0, 96, 114.56, 1215, 765
2025/03/20 07:08:15.148, 0, 97, 146.27, 1215, 765
2025/03/20 07:08:16.154, 0, 97, 122.11, 1215, 765
2025/03/20 07:08:17.157, 0, 97, 116.72, 1215, 765
2025/03/20 07:08:18.161, 0, 97, 141.20, 1215, 765
2025/03/20 07:08:19.166, 0, 97, 109.23, 1215, 765
2025/03/20 07:08:20.171, 0, 97, 136.69, 1215, 765
2025/03/20 07:08:21.176, 0, 97, 108.79, 1215, 765
2025/03/20 07:08:22.183, 0, 97, 125.43, 1215, 765
2025/03/20 07:08:23.190, 0, 97, 114.27, 1215, 765
2025/03/20 07:08:24.193, 0, 95, 107.36, 1215, 765
2025/03/20 07:08:25.196, 0, 97, 145.05, 1215, 765
2025/03/20 07:08:26.200, 0, 97, 120.51, 1215, 765
2025/03/20 07:08:27.204, 0, 97, 128.84, 1215, 765
2025/03/20 07:08:28.209, 0, 97, 140.57, 1215, 765
2025/03/20 07:08:29.215, 0, 97, 120.53, 1215, 765
2025/03/20 07:08:30.218, 0, 97, 112.19, 1215, 765
2025/03/20 07:08:31.221, 0, 96, 129.42, 1215, 765
2025/03/20 07:08:32.225, 0, 97, 121.55, 1215, 765
2025/03/20 07:08:33.228, 0, 96, 125.61, 1215, 765
2025/03/20 07:08:34.231, 0, 97, 106.77, 1215, 765
2025/03/20 07:08:35.234, 0, 96, 129.93, 1215, 765
2025/03/20 07:08:36.237, 0, 97, 122.04, 1215, 765
2025/03/20 07:08:37.240, 0, 97, 114.02, 1215, 765
2025/03/20 07:08:38.245, 0, 97, 125.21, 1215, 765
2025/03/20 07:08:39.252, 0, 96, 112.80, 1215, 765
2025/03/20 07:08:40.255, 0, 97, 121.63, 1215, 765
2025/03/20 07:08:41.258, 0, 96, 112.68, 1215, 765
2025/03/20 07:08:42.263, 0, 97, 120.84, 1215, 765
2025/03/20 07:08:43.266, 0, 96, 113.49, 1215, 765
2025/03/20 07:08:44.271, 0, 97, 125.72, 1215, 765
2025/03/20 07:08:45.278, 0, 96, 137.13, 1215, 765
2025/03/20 07:08:46.281, 0, 97, 106.77, 1215, 765
2025/03/20 07:08:47.285, 0, 97, 147.25, 1215, 765
2025/03/20 07:08:48.288, 0, 97, 113.41, 1215, 765
2025/03/20 07:08:49.291, 0, 97, 123.86, 1215, 765
2025/03/20 07:08:50.294, 0, 97, 119.76, 1215, 765
2025/03/20 07:08:51.297, 0, 97, 134.90, 1215, 765
2025/03/20 07:08:52.301, 0, 97, 115.32, 1215, 765
2025/03/20 07:08:53.304, 0, 97, 143.27, 1215, 765
2025/03/20 07:08:54.310, 0, 96, 135.55, 1215, 765
2025/03/20 07:08:55.313, 0, 97, 124.62, 1215, 765
2025/03/20 07:08:56.317, 0, 98, 114.61, 1215, 765
2025/03/20 07:08:57.321, 0, 96, 138.40, 1215, 765
2025/03/20 07:08:58.326, 0, 97, 116.78, 1215, 765
2025/03/20 07:08:59.329, 0, 97, 125.69, 1215, 765
2025/03/20 07:09:00.332, 0, 97, 121.17, 1215, 765
2025/03/20 07:09:01.337, 0, 97, 123.67, 1215, 765
2025/03/20 07:09:02.340, 0, 96, 127.78, 1215, 765
2025/03/20 07:09:03.345, 0, 96, 122.99, 1215, 765
2025/03/20 07:09:04.352, 0, 96, 122.17, 1215, 765
2025/03/20 07:09:05.355, 0, 96, 127.77, 1215, 765
2025/03/20 07:09:06.358, 0, 97, 111.53, 1215, 765
2025/03/20 07:09:07.361, 0, 98, 116.22, 1215, 765
2025/03/20 07:09:08.365, 0, 97, 122.60, 1215, 765
2025/03/20 07:09:09.369, 0, 97, 113.77, 1215, 765
2025/03/20 07:09:10.372, 0, 97, 120.99, 1215, 765
2025/03/20 07:09:11.375, 0, 97, 122.57, 1215, 765
2025/03/20 07:09:12.378, 0, 97, 119.76, 1215, 765
2025/03/20 07:09:13.383, 0, 97, 112.25, 1215, 765
2025/03/20 07:09:14.387, 0, 96, 122.21, 1215, 765
2025/03/20 07:09:15.390, 0, 97, 108.32, 1215, 765
2025/03/20 07:09:16.393, 0, 97, 121.18, 1215, 765
2025/03/20 07:09:17.399, 0, 96, 141.40, 1215, 765
2025/03/20 07:09:18.403, 0, 97, 110.90, 1215, 765
2025/03/20 07:09:19.408, 0, 97, 135.70, 1215, 765
2025/03/20 07:09:20.411, 0, 97, 107.47, 1215, 765
2025/03/20 07:09:21.416, 0, 95, 154.99, 1215, 765
2025/03/20 07:09:22.419, 0, 96, 111.05, 1215, 765
2025/03/20 07:09:23.422, 0, 96, 138.32, 1215, 765
2025/03/20 07:09:24.427, 0, 97, 118.13, 1215, 765
2025/03/20 07:09:25.433, 0, 96, 138.09, 1215, 765
2025/03/20 07:09:26.436, 0, 97, 107.59, 1215, 765
2025/03/20 07:09:27.441, 0, 97, 128.83, 1215, 765
2025/03/20 07:09:28.444, 0, 97, 127.39, 1215, 765
2025/03/20 07:09:29.450, 0, 96, 124.75, 1215, 765
2025/03/20 07:09:30.454, 0, 97, 120.75, 1215, 765
2025/03/20 07:09:31.457, 0, 96, 128.13, 1215, 765
2025/03/20 07:09:32.461, 0, 97, 123.06, 1215, 765
2025/03/20 07:09:33.466, 0, 97, 119.92, 1215, 765
2025/03/20 07:09:34.470, 0, 97, 118.99, 1215, 765
2025/03/20 07:09:35.475, 0, 97, 118.81, 1215, 765
2025/03/20 07:09:36.481, 0, 97, 144.35, 1215, 765
2025/03/20 07:09:37.484, 0, 97, 123.90, 1215, 765
2025/03/20 07:09:38.488, 0, 97, 141.71, 1215, 765
2025/03/20 07:09:39.491, 0, 97, 121.04, 1215, 765
2025/03/20 07:09:40.494, 0, 97, 130.09, 1215, 765
2025/03/20 07:09:41.497, 0, 98, 117.04, 1215, 765
2025/03/20 07:09:42.500, 0, 96, 143.00, 1215, 765
2025/03/20 07:09:43.504, 0, 97, 113.57, 1215, 765
2025/03/20 07:09:44.512, 0, 97, 121.62, 1215, 765
2025/03/20 07:09:45.515, 0, 96, 120.56, 1215, 765
2025/03/20 07:09:46.518, 0, 97, 122.45, 1215, 765
2025/03/20 07:09:47.525, 0, 97, 131.63, 1215, 765
2025/03/20 07:09:48.528, 0, 97, 122.08, 1215, 765
2025/03/20 07:09:49.535, 0, 96, 145.51, 1215, 765
2025/03/20 07:09:50.539, 0, 98, 122.96, 1215, 765
2025/03/20 07:09:51.542, 0, 96, 146.82, 1215, 765
2025/03/20 07:09:52.547, 0, 97, 121.12, 1215, 765
2025/03/20 07:09:53.550, 0, 97, 145.29, 1215, 765
2025/03/20 07:09:54.553, 0, 97, 113.82, 1215, 765
2025/03/20 07:09:55.556, 0, 96, 124.56, 1215, 765
2025/03/20 07:09:56.560, 0, 95, 150.40, 1215, 765
2025/03/20 07:09:57.564, 0, 97, 127.43, 1215, 765
2025/03/20 07:09:58.568, 0, 96, 138.95, 1215, 765
2025/03/20 07:09:59.571, 0, 97, 112.57, 1215, 765
