timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 07:34:11.062, 0, 0, 34.89, 1215, 765
2025/03/20 07:34:12.081, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:13.085, 0, 0, 35.21, 1215, 765
2025/03/20 07:34:14.091, 0, 0, 35.20, 1215, 765
2025/03/20 07:34:15.098, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:16.101, 0, 0, 35.21, 1215, 765
2025/03/20 07:34:17.104, 0, 0, 35.21, 1215, 765
2025/03/20 07:34:18.107, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:19.110, 0, 0, 35.00, 1215, 765
2025/03/20 07:34:20.115, 0, 0, 35.21, 1215, 765
2025/03/20 07:34:21.126, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:22.132, 0, 0, 34.91, 1215, 765
2025/03/20 07:34:23.135, 0, 0, 35.01, 1215, 765
2025/03/20 07:34:24.139, 0, 0, 35.01, 1215, 765
2025/03/20 07:34:25.144, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:26.147, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:27.150, 0, 0, 34.91, 1215, 765
2025/03/20 07:34:28.153, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:29.161, 0, 0, 34.92, 1215, 765
2025/03/20 07:34:30.163, 0, 0, 35.21, 1215, 765
2025/03/20 07:34:31.166, 0, 0, 35.01, 1215, 765
2025/03/20 07:34:32.169, 0, 0, 35.01, 1215, 765
2025/03/20 07:34:33.172, 0, 0, 35.11, 1215, 765
2025/03/20 07:34:34.175, 0, 59, 38.56, 1215, 765
2025/03/20 07:34:35.178, 0, 57, 38.38, 1215, 765
2025/03/20 07:34:36.181, 0, 23, 37.86, 1215, 765
2025/03/20 07:34:37.187, 0, 0, 37.10, 1215, 765
2025/03/20 07:34:38.193, 0, 0, 37.31, 1215, 765
2025/03/20 07:34:39.196, 0, 0, 37.60, 1215, 765
2025/03/20 07:34:40.201, 0, 0, 37.11, 1215, 765
2025/03/20 07:34:41.204, 0, 0, 37.01, 1215, 765
2025/03/20 07:34:42.207, 0, 0, 37.30, 1215, 765
2025/03/20 07:34:43.214, 0, 0, 37.00, 1215, 765
2025/03/20 07:34:44.218, 0, 0, 36.49, 1215, 765
2025/03/20 07:34:45.221, 0, 0, 36.90, 1215, 765
2025/03/20 07:34:46.228, 0, 0, 37.01, 1215, 765
2025/03/20 07:34:47.230, 0, 0, 36.88, 1215, 765
2025/03/20 07:34:48.234, 0, 0, 37.00, 1215, 765
2025/03/20 07:34:49.237, 0, 0, 36.79, 1215, 765
2025/03/20 07:34:50.241, 0, 0, 36.79, 1215, 765
2025/03/20 07:34:51.245, 0, 0, 36.99, 1215, 765
2025/03/20 07:34:52.247, 0, 0, 37.20, 1215, 765
2025/03/20 07:34:53.253, 0, 0, 37.01, 1215, 765
2025/03/20 07:34:54.257, 0, 0, 37.01, 1215, 765
2025/03/20 07:34:55.260, 0, 0, 37.00, 1215, 765
2025/03/20 07:34:56.263, 0, 0, 36.90, 1215, 765
2025/03/20 07:34:57.267, 0, 0, 36.70, 1215, 765
2025/03/20 07:34:58.270, 0, 0, 36.99, 1215, 765
2025/03/20 07:34:59.274, 0, 0, 37.01, 1215, 765
2025/03/20 07:35:00.277, 0, 0, 37.00, 1215, 765
2025/03/20 07:35:01.280, 0, 0, 36.90, 1215, 765
2025/03/20 07:35:02.284, 0, 97, 114.80, 1215, 765
2025/03/20 07:35:03.287, 0, 97, 119.42, 1215, 765
2025/03/20 07:35:04.290, 0, 97, 125.22, 1215, 765
2025/03/20 07:35:05.296, 0, 97, 118.51, 1215, 765
2025/03/20 07:35:06.306, 0, 97, 138.06, 1215, 765
2025/03/20 07:35:07.310, 0, 97, 118.68, 1215, 765
2025/03/20 07:35:08.313, 0, 97, 110.11, 1215, 765
2025/03/20 07:35:09.318, 0, 99, 109.77, 1215, 765
2025/03/20 07:35:10.323, 0, 97, 110.91, 1215, 765
2025/03/20 07:35:11.326, 0, 96, 133.33, 1215, 765
2025/03/20 07:35:12.331, 0, 97, 120.36, 1215, 765
2025/03/20 07:35:13.338, 0, 97, 127.74, 1215, 765
2025/03/20 07:35:14.341, 0, 97, 124.04, 1215, 765
2025/03/20 07:35:15.344, 0, 97, 108.91, 1215, 765
2025/03/20 07:35:16.347, 0, 97, 113.54, 1215, 765
2025/03/20 07:35:17.350, 0, 97, 113.26, 1215, 765
2025/03/20 07:35:18.353, 0, 97, 118.99, 1215, 765
2025/03/20 07:35:19.356, 0, 98, 112.93, 1215, 765
2025/03/20 07:35:20.359, 0, 97, 120.83, 1215, 765
2025/03/20 07:35:21.362, 0, 97, 119.90, 1215, 765
2025/03/20 07:35:22.365, 0, 97, 119.40, 1215, 765
2025/03/20 07:35:23.369, 0, 97, 126.10, 1215, 765
2025/03/20 07:35:24.372, 0, 95, 136.24, 1215, 765
2025/03/20 07:35:25.375, 0, 97, 113.57, 1215, 765
2025/03/20 07:35:26.380, 0, 97, 121.97, 1215, 765
2025/03/20 07:35:27.383, 0, 97, 126.04, 1215, 765
2025/03/20 07:35:28.388, 0, 97, 122.13, 1215, 765
2025/03/20 07:35:29.394, 0, 97, 130.87, 1215, 765
2025/03/20 07:35:30.403, 0, 97, 119.68, 1215, 765
2025/03/20 07:35:31.410, 0, 97, 125.88, 1215, 765
2025/03/20 07:35:32.416, 0, 96, 105.10, 1215, 765
2025/03/20 07:35:33.419, 0, 97, 113.62, 1215, 765
2025/03/20 07:35:34.422, 0, 97, 131.85, 1215, 765
2025/03/20 07:35:35.425, 0, 97, 120.75, 1215, 765
2025/03/20 07:35:36.428, 0, 97, 143.06, 1215, 765
2025/03/20 07:35:37.431, 0, 97, 115.00, 1215, 765
2025/03/20 07:35:38.436, 0, 97, 118.92, 1215, 765
2025/03/20 07:35:39.439, 0, 97, 132.89, 1215, 765
2025/03/20 07:35:40.446, 0, 97, 122.84, 1215, 765
2025/03/20 07:35:41.453, 0, 97, 122.14, 1215, 765
2025/03/20 07:35:42.456, 0, 97, 125.61, 1215, 765
2025/03/20 07:35:43.459, 0, 96, 122.85, 1215, 765
2025/03/20 07:35:44.462, 0, 97, 153.64, 1215, 765
2025/03/20 07:35:45.464, 0, 97, 112.18, 1215, 765
2025/03/20 07:35:46.467, 0, 97, 113.46, 1215, 765
2025/03/20 07:35:47.473, 0, 97, 124.11, 1215, 765
2025/03/20 07:35:48.475, 0, 97, 119.75, 1215, 765
2025/03/20 07:35:49.478, 0, 97, 111.12, 1215, 765
2025/03/20 07:35:50.481, 0, 97, 130.62, 1215, 765
2025/03/20 07:35:51.484, 0, 97, 107.06, 1215, 765
2025/03/20 07:35:52.489, 0, 97, 154.79, 1215, 765
2025/03/20 07:35:53.492, 0, 97, 125.82, 1215, 765
2025/03/20 07:35:54.498, 0, 97, 118.01, 1215, 765
2025/03/20 07:35:55.501, 0, 97, 117.31, 1215, 765
2025/03/20 07:35:56.509, 0, 97, 107.14, 1215, 765
2025/03/20 07:35:57.515, 0, 97, 124.25, 1215, 765
2025/03/20 07:35:58.519, 0, 97, 128.99, 1215, 765
2025/03/20 07:35:59.529, 0, 97, 114.45, 1215, 765
2025/03/20 07:36:00.532, 0, 97, 126.19, 1215, 765
2025/03/20 07:36:01.535, 0, 96, 149.28, 1215, 765
2025/03/20 07:36:02.538, 0, 97, 117.66, 1215, 765
2025/03/20 07:36:03.546, 0, 97, 127.55, 1215, 765
2025/03/20 07:36:04.549, 0, 97, 115.94, 1215, 765
2025/03/20 07:36:05.553, 0, 97, 112.75, 1215, 765
2025/03/20 07:36:06.561, 0, 97, 117.61, 1215, 765
2025/03/20 07:36:07.564, 0, 97, 136.00, 1215, 765
2025/03/20 07:36:08.568, 0, 97, 114.23, 1215, 765
2025/03/20 07:36:09.571, 0, 97, 138.14, 1215, 765
2025/03/20 07:36:10.575, 0, 97, 108.11, 1215, 765
2025/03/20 07:36:11.578, 0, 97, 118.90, 1215, 765
2025/03/20 07:36:12.583, 0, 97, 141.65, 1215, 765
2025/03/20 07:36:13.589, 0, 97, 129.10, 1215, 765
2025/03/20 07:36:15.148, 0, 97, 122.39, 1215, 765
2025/03/20 07:36:16.150, 0, 97, 115.00, 1215, 765
2025/03/20 07:36:17.154, 0, 97, 129.66, 1215, 765
2025/03/20 07:36:18.158, 0, 97, 119.16, 1215, 765
2025/03/20 07:36:19.167, 0, 97, 121.54, 1215, 765
2025/03/20 07:36:20.171, 0, 97, 136.00, 1215, 765
2025/03/20 07:36:21.174, 0, 97, 116.81, 1215, 765
2025/03/20 07:36:22.178, 0, 97, 121.44, 1215, 765
2025/03/20 07:36:23.182, 0, 97, 126.94, 1215, 765
2025/03/20 07:36:24.186, 0, 97, 121.11, 1215, 765
2025/03/20 07:36:25.189, 0, 97, 118.56, 1215, 765
2025/03/20 07:36:26.193, 0, 97, 128.74, 1215, 765
2025/03/20 07:36:27.196, 0, 97, 120.77, 1215, 765
2025/03/20 07:36:28.199, 0, 97, 111.52, 1215, 765
2025/03/20 07:36:29.206, 0, 97, 121.41, 1215, 765
2025/03/20 07:36:30.209, 0, 97, 141.02, 1215, 765
2025/03/20 07:36:31.214, 0, 97, 147.38, 1215, 765
2025/03/20 07:36:32.218, 0, 97, 118.75, 1215, 765
2025/03/20 07:36:33.224, 0, 97, 118.86, 1215, 765
2025/03/20 07:36:34.227, 0, 97, 115.85, 1215, 765
2025/03/20 07:36:35.232, 0, 97, 129.91, 1215, 765
2025/03/20 07:36:36.235, 0, 97, 148.66, 1215, 765
2025/03/20 07:36:37.238, 0, 97, 114.34, 1215, 765
2025/03/20 07:36:38.242, 0, 97, 110.98, 1215, 765
2025/03/20 07:36:39.249, 0, 96, 140.70, 1215, 765
2025/03/20 07:36:40.253, 0, 97, 117.29, 1215, 765
2025/03/20 07:36:41.256, 0, 97, 117.99, 1215, 765
2025/03/20 07:36:42.260, 0, 97, 121.56, 1215, 765
2025/03/20 07:36:43.265, 0, 97, 117.17, 1215, 765
2025/03/20 07:36:44.268, 0, 97, 125.81, 1215, 765
2025/03/20 07:36:45.272, 0, 98, 121.97, 1215, 765
2025/03/20 07:36:46.276, 0, 97, 145.74, 1215, 765
2025/03/20 07:36:47.279, 0, 97, 115.61, 1215, 765
2025/03/20 07:36:48.281, 0, 97, 120.28, 1215, 765
2025/03/20 07:36:49.286, 0, 97, 140.48, 1215, 765
2025/03/20 07:36:50.291, 0, 97, 116.28, 1215, 765
2025/03/20 07:36:51.294, 0, 97, 139.30, 1215, 765
2025/03/20 07:36:52.296, 0, 95, 122.14, 1215, 765
2025/03/20 07:36:53.301, 0, 97, 136.97, 1215, 765
2025/03/20 07:36:54.309, 0, 96, 120.34, 1215, 765
2025/03/20 07:36:55.311, 0, 97, 125.65, 1215, 765
2025/03/20 07:36:56.319, 0, 97, 110.46, 1215, 765
2025/03/20 07:36:57.322, 0, 97, 119.97, 1215, 765
2025/03/20 07:36:58.324, 0, 97, 143.21, 1215, 765
2025/03/20 07:36:59.327, 0, 97, 121.80, 1215, 765
2025/03/20 07:37:00.330, 0, 97, 125.68, 1215, 765
2025/03/20 07:37:01.333, 0, 97, 113.75, 1215, 765
2025/03/20 07:37:02.340, 0, 97, 135.13, 1215, 765
2025/03/20 07:37:03.343, 0, 97, 125.97, 1215, 765
2025/03/20 07:37:04.348, 0, 97, 120.48, 1215, 765
2025/03/20 07:37:05.351, 0, 97, 124.75, 1215, 765
2025/03/20 07:37:06.356, 0, 97, 137.88, 1215, 765
2025/03/20 07:37:07.359, 0, 97, 122.75, 1215, 765
2025/03/20 07:37:08.364, 0, 96, 121.26, 1215, 765
2025/03/20 07:37:09.369, 0, 97, 118.58, 1215, 765
2025/03/20 07:37:10.374, 0, 97, 110.88, 1215, 765
2025/03/20 07:37:11.377, 0, 97, 119.69, 1215, 765
2025/03/20 07:37:12.382, 0, 97, 124.56, 1215, 765
2025/03/20 07:37:13.389, 0, 97, 135.49, 1215, 765
2025/03/20 07:37:14.392, 0, 97, 128.48, 1215, 765
2025/03/20 07:37:15.395, 0, 97, 109.86, 1215, 765
2025/03/20 07:37:16.398, 0, 98, 112.81, 1215, 765
2025/03/20 07:37:17.403, 0, 96, 119.90, 1215, 765
2025/03/20 07:37:18.407, 0, 96, 126.64, 1215, 765
2025/03/20 07:37:19.412, 0, 97, 114.26, 1215, 765
2025/03/20 07:37:20.417, 0, 97, 118.36, 1215, 765
2025/03/20 07:37:21.420, 0, 97, 118.49, 1215, 765
2025/03/20 07:37:22.423, 0, 97, 116.47, 1215, 765
2025/03/20 07:37:23.428, 0, 97, 121.51, 1215, 765
2025/03/20 07:37:24.432, 0, 97, 116.12, 1215, 765
2025/03/20 07:37:25.439, 0, 97, 136.62, 1215, 765
2025/03/20 07:37:26.443, 0, 97, 127.58, 1215, 765
2025/03/20 07:37:27.446, 0, 97, 120.33, 1215, 765
2025/03/20 07:37:28.450, 0, 97, 110.43, 1215, 765
2025/03/20 07:37:29.454, 0, 97, 112.35, 1215, 765
2025/03/20 07:37:30.457, 0, 97, 127.17, 1215, 765
2025/03/20 07:37:31.460, 0, 97, 114.64, 1215, 765
2025/03/20 07:37:32.463, 0, 97, 115.17, 1215, 765
2025/03/20 07:37:33.466, 0, 97, 121.12, 1215, 765
2025/03/20 07:37:34.470, 0, 97, 128.65, 1215, 765
2025/03/20 07:37:35.473, 0, 97, 119.92, 1215, 765
2025/03/20 07:37:36.476, 0, 97, 120.20, 1215, 765
2025/03/20 07:37:37.482, 0, 97, 126.77, 1215, 765
2025/03/20 07:37:38.485, 0, 97, 122.58, 1215, 765
2025/03/20 07:37:39.492, 0, 97, 145.38, 1215, 765
2025/03/20 07:37:40.497, 0, 97, 120.17, 1215, 765
2025/03/20 07:37:41.500, 0, 97, 129.97, 1215, 765
2025/03/20 07:37:42.504, 0, 97, 125.52, 1215, 765
2025/03/20 07:37:43.509, 0, 97, 142.25, 1215, 765
2025/03/20 07:37:44.512, 0, 97, 140.99, 1215, 765
2025/03/20 07:37:45.516, 0, 97, 117.79, 1215, 765
2025/03/20 07:37:46.519, 0, 97, 137.77, 1215, 765
2025/03/20 07:37:47.523, 0, 96, 113.64, 1215, 765
2025/03/20 07:37:48.525, 0, 97, 111.05, 1215, 765
2025/03/20 07:37:49.532, 0, 97, 122.92, 1215, 765
2025/03/20 07:37:50.537, 0, 95, 147.07, 1215, 765
2025/03/20 07:37:51.540, 0, 97, 135.53, 1215, 765
2025/03/20 07:37:52.543, 0, 97, 109.60, 1215, 765
2025/03/20 07:37:53.546, 0, 97, 113.01, 1215, 765
2025/03/20 07:37:54.549, 0, 97, 112.92, 1215, 765
2025/03/20 07:37:55.555, 0, 97, 117.51, 1215, 765
2025/03/20 07:37:56.560, 0, 95, 146.57, 1215, 765
2025/03/20 07:37:57.569, 0, 97, 116.60, 1215, 765
2025/03/20 07:37:58.574, 0, 97, 144.32, 1215, 765
2025/03/20 07:37:59.578, 0, 97, 124.60, 1215, 765
2025/03/20 07:38:00.586, 0, 97, 129.12, 1215, 765
2025/03/20 07:38:01.589, 0, 95, 136.91, 1215, 765
2025/03/20 07:38:02.592, 0, 97, 116.43, 1215, 765
2025/03/20 07:38:03.596, 0, 97, 117.94, 1215, 765
2025/03/20 07:38:04.602, 0, 97, 120.41, 1215, 765
2025/03/20 07:38:05.605, 0, 97, 121.88, 1215, 765
2025/03/20 07:38:06.608, 0, 97, 128.39, 1215, 765
2025/03/20 07:38:07.612, 0, 97, 117.22, 1215, 765
2025/03/20 07:38:08.616, 0, 97, 113.23, 1215, 765
2025/03/20 07:38:09.621, 0, 98, 127.11, 1215, 765
2025/03/20 07:38:10.624, 0, 97, 126.31, 1215, 765
2025/03/20 07:38:11.628, 0, 97, 120.02, 1215, 765
2025/03/20 07:38:12.631, 0, 99, 123.99, 1215, 765
2025/03/20 07:38:13.638, 0, 97, 122.51, 1215, 765
2025/03/20 07:38:14.642, 0, 97, 119.49, 1215, 765
2025/03/20 07:38:15.645, 0, 99, 114.99, 1215, 765
2025/03/20 07:38:16.648, 0, 97, 120.83, 1215, 765
2025/03/20 07:38:17.656, 0, 97, 127.20, 1215, 765
2025/03/20 07:38:18.659, 0, 97, 145.71, 1215, 765
2025/03/20 07:38:19.664, 0, 97, 120.36, 1215, 765
2025/03/20 07:38:20.668, 0, 97, 123.72, 1215, 765
2025/03/20 07:38:21.672, 0, 97, 125.95, 1215, 765
2025/03/20 07:38:22.675, 0, 97, 117.25, 1215, 765
2025/03/20 07:38:23.679, 0, 97, 117.50, 1215, 765
2025/03/20 07:38:24.684, 0, 97, 113.27, 1215, 765
2025/03/20 07:38:25.690, 0, 97, 122.23, 1215, 765
2025/03/20 07:38:26.695, 0, 97, 129.41, 1215, 765
2025/03/20 07:38:27.706, 0, 97, 115.51, 1215, 765
2025/03/20 07:38:28.709, 0, 97, 115.52, 1215, 765
2025/03/20 07:38:29.712, 0, 97, 117.34, 1215, 765
2025/03/20 07:38:30.715, 0, 96, 148.33, 1215, 765
2025/03/20 07:38:31.718, 0, 97, 115.78, 1215, 765
2025/03/20 07:38:32.721, 0, 97, 114.69, 1215, 765
2025/03/20 07:38:33.724, 0, 96, 119.54, 1215, 765
2025/03/20 07:38:34.727, 0, 97, 123.44, 1215, 765
2025/03/20 07:38:35.730, 0, 97, 142.33, 1215, 765
2025/03/20 07:38:36.733, 0, 97, 118.90, 1215, 765
2025/03/20 07:38:37.736, 0, 97, 113.45, 1215, 765
