timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 09:08:21.284, 1, 0, 35.64, 1215, 765
2025/03/20 09:08:22.303, 1, 0, 35.63, 1215, 765
2025/03/20 09:08:23.307, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:24.317, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:25.320, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:26.323, 1, 0, 35.73, 1215, 765
2025/03/20 09:08:27.326, 1, 0, 35.64, 1215, 765
2025/03/20 09:08:28.329, 1, 0, 35.64, 1215, 765
2025/03/20 09:08:29.333, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:30.336, 1, 0, 35.53, 1215, 765
2025/03/20 09:08:31.340, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:32.346, 1, 0, 35.62, 1215, 765
2025/03/20 09:08:33.350, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:34.354, 1, 0, 35.65, 1215, 765
2025/03/20 09:08:35.357, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:36.362, 1, 0, 35.53, 1215, 765
2025/03/20 09:08:37.371, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:38.376, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:39.380, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:40.382, 1, 0, 35.64, 1215, 765
2025/03/20 09:08:41.385, 1, 0, 35.63, 1215, 765
2025/03/20 09:08:42.390, 1, 0, 35.54, 1215, 765
2025/03/20 09:08:43.394, 1, 51, 37.43, 1215, 765
2025/03/20 09:08:44.398, 1, 42, 37.43, 1215, 765
2025/03/20 09:08:45.403, 1, 8, 37.53, 1215, 765
2025/03/20 09:08:46.409, 1, 0, 37.43, 1215, 765
2025/03/20 09:08:47.413, 1, 0, 37.52, 1215, 765
2025/03/20 09:08:48.418, 1, 0, 37.41, 1215, 765
2025/03/20 09:08:49.422, 1, 0, 37.43, 1215, 765
2025/03/20 09:08:50.426, 1, 0, 37.32, 1215, 765
2025/03/20 09:08:51.431, 1, 8, 54.67, 1215, 765
2025/03/20 09:08:52.434, 1, 95, 98.41, 1215, 765
2025/03/20 09:08:53.437, 1, 96, 109.49, 1215, 765
2025/03/20 09:08:54.442, 1, 96, 99.74, 1215, 765
2025/03/20 09:08:55.448, 1, 96, 110.48, 1215, 765
2025/03/20 09:08:56.451, 1, 96, 101.32, 1215, 765
2025/03/20 09:08:57.455, 1, 96, 105.61, 1215, 765
2025/03/20 09:08:58.458, 1, 96, 108.21, 1215, 765
2025/03/20 09:08:59.463, 1, 97, 149.65, 1215, 765
2025/03/20 09:09:00.465, 1, 96, 101.94, 1215, 765
2025/03/20 09:09:01.469, 1, 96, 99.38, 1215, 765
2025/03/20 09:09:02.472, 1, 96, 103.26, 1215, 765
2025/03/20 09:09:03.476, 1, 96, 105.83, 1215, 765
2025/03/20 09:09:04.481, 1, 96, 101.36, 1215, 765
2025/03/20 09:09:05.484, 1, 96, 101.65, 1215, 765
2025/03/20 09:09:06.490, 1, 95, 156.73, 1215, 765
2025/03/20 09:09:07.494, 1, 96, 111.44, 1215, 765
2025/03/20 09:09:08.505, 1, 96, 106.65, 1215, 765
2025/03/20 09:09:09.508, 1, 96, 100.10, 1215, 765
2025/03/20 09:09:10.511, 1, 96, 102.25, 1215, 765
2025/03/20 09:09:11.516, 1, 98, 105.27, 1215, 765
2025/03/20 09:09:12.519, 1, 96, 102.35, 1215, 765
2025/03/20 09:09:13.522, 1, 96, 104.29, 1215, 765
2025/03/20 09:09:14.525, 1, 94, 146.78, 1215, 765
2025/03/20 09:09:15.529, 1, 96, 105.15, 1215, 765
2025/03/20 09:09:16.532, 1, 96, 103.34, 1215, 765
2025/03/20 09:09:17.537, 1, 96, 101.99, 1215, 765
2025/03/20 09:09:18.542, 1, 97, 111.11, 1215, 765
2025/03/20 09:09:19.547, 1, 96, 111.28, 1215, 765
2025/03/20 09:09:20.550, 1, 96, 111.59, 1215, 765
2025/03/20 09:09:21.553, 1, 96, 105.73, 1215, 765
2025/03/20 09:09:22.556, 1, 96, 103.94, 1215, 765
2025/03/20 09:09:23.559, 1, 97, 102.92, 1215, 765
2025/03/20 09:09:24.562, 1, 96, 100.91, 1215, 765
2025/03/20 09:09:25.565, 1, 97, 102.38, 1215, 765
2025/03/20 09:09:26.568, 1, 96, 109.24, 1215, 765
2025/03/20 09:09:27.571, 1, 96, 111.87, 1215, 765
2025/03/20 09:09:28.574, 1, 96, 100.52, 1215, 765
2025/03/20 09:09:29.577, 1, 96, 104.47, 1215, 765
2025/03/20 09:09:30.580, 1, 96, 103.96, 1215, 765
2025/03/20 09:09:31.583, 1, 96, 108.89, 1215, 765
2025/03/20 09:09:32.587, 1, 96, 107.41, 1215, 765
2025/03/20 09:09:33.592, 1, 96, 106.34, 1215, 765
2025/03/20 09:09:34.596, 1, 95, 89.24, 1215, 765
2025/03/20 09:09:35.602, 1, 96, 106.35, 1215, 765
2025/03/20 09:09:36.605, 1, 96, 106.19, 1215, 765
2025/03/20 09:09:37.611, 1, 96, 98.52, 1215, 765
2025/03/20 09:09:38.616, 1, 96, 107.17, 1215, 765
2025/03/20 09:09:39.619, 1, 96, 111.09, 1215, 765
2025/03/20 09:09:40.622, 1, 96, 101.40, 1215, 765
2025/03/20 09:09:41.627, 1, 96, 107.15, 1215, 765
2025/03/20 09:09:42.630, 1, 96, 108.83, 1215, 765
2025/03/20 09:09:43.635, 1, 96, 100.74, 1215, 765
2025/03/20 09:09:44.638, 1, 96, 97.68, 1215, 765
2025/03/20 09:09:45.641, 1, 96, 106.14, 1215, 765
2025/03/20 09:09:46.646, 1, 96, 105.67, 1215, 765
2025/03/20 09:09:47.649, 1, 96, 103.98, 1215, 765
2025/03/20 09:09:48.654, 1, 96, 105.82, 1215, 765
2025/03/20 09:09:49.661, 1, 96, 107.12, 1215, 765
2025/03/20 09:09:50.664, 1, 96, 110.74, 1215, 765
2025/03/20 09:09:51.667, 1, 96, 100.62, 1215, 765
2025/03/20 09:09:52.676, 1, 96, 98.74, 1215, 765
2025/03/20 09:09:53.681, 1, 96, 104.64, 1215, 765
2025/03/20 09:09:54.684, 1, 96, 109.64, 1215, 765
2025/03/20 09:09:55.689, 1, 96, 101.67, 1215, 765
2025/03/20 09:09:56.692, 1, 96, 97.32, 1215, 765
2025/03/20 09:09:57.697, 1, 96, 102.24, 1215, 765
2025/03/20 09:09:58.702, 1, 96, 108.90, 1215, 765
2025/03/20 09:09:59.708, 1, 96, 109.66, 1215, 765
2025/03/20 09:10:00.713, 1, 96, 110.54, 1215, 765
2025/03/20 09:10:01.716, 1, 95, 107.41, 1215, 765
2025/03/20 09:10:02.719, 1, 96, 104.81, 1215, 765
2025/03/20 09:10:03.724, 1, 96, 104.85, 1215, 765
2025/03/20 09:10:04.727, 1, 96, 105.73, 1215, 765
2025/03/20 09:10:05.730, 1, 97, 138.53, 1215, 765
2025/03/20 09:10:06.733, 1, 96, 111.32, 1215, 765
2025/03/20 09:10:07.736, 1, 98, 113.04, 1215, 765
2025/03/20 09:10:08.741, 1, 96, 109.78, 1215, 765
2025/03/20 09:10:09.744, 1, 96, 110.75, 1215, 765
2025/03/20 09:10:10.747, 1, 96, 103.12, 1215, 765
2025/03/20 09:10:11.751, 1, 96, 109.15, 1215, 765
2025/03/20 09:10:12.754, 1, 96, 109.09, 1215, 765
2025/03/20 09:10:13.757, 1, 96, 101.42, 1215, 765
2025/03/20 09:10:14.764, 1, 96, 108.61, 1215, 765
2025/03/20 09:10:15.767, 1, 96, 105.18, 1215, 765
2025/03/20 09:10:16.773, 1, 95, 116.03, 1215, 765
2025/03/20 09:10:17.778, 1, 96, 103.14, 1215, 765
2025/03/20 09:10:18.784, 1, 96, 101.28, 1215, 765
2025/03/20 09:10:19.789, 1, 96, 108.10, 1215, 765
2025/03/20 09:10:20.793, 1, 99, 143.52, 1215, 765
2025/03/20 09:10:21.796, 1, 96, 111.52, 1215, 765
2025/03/20 09:10:22.801, 1, 96, 109.42, 1215, 765
2025/03/20 09:10:23.804, 1, 96, 110.64, 1215, 765
2025/03/20 09:10:24.807, 1, 96, 110.70, 1215, 765
2025/03/20 09:10:25.813, 1, 95, 103.09, 1215, 765
2025/03/20 09:10:26.818, 1, 96, 111.17, 1215, 765
2025/03/20 09:10:27.821, 1, 96, 102.18, 1215, 765
2025/03/20 09:10:28.826, 1, 96, 106.13, 1215, 765
2025/03/20 09:10:29.830, 1, 96, 103.95, 1215, 765
2025/03/20 09:10:30.833, 1, 96, 106.23, 1215, 765
2025/03/20 09:10:31.837, 1, 96, 103.87, 1215, 765
2025/03/20 09:10:32.840, 1, 95, 110.88, 1215, 765
2025/03/20 09:10:33.845, 1, 96, 111.64, 1215, 765
2025/03/20 09:10:34.850, 1, 94, 100.73, 1215, 765
2025/03/20 09:10:35.853, 1, 96, 107.49, 1215, 765
2025/03/20 09:10:36.856, 1, 96, 105.48, 1215, 765
2025/03/20 09:10:37.859, 1, 96, 131.35, 1215, 765
2025/03/20 09:10:38.867, 1, 96, 108.99, 1215, 765
2025/03/20 09:10:39.872, 1, 94, 118.21, 1215, 765
2025/03/20 09:10:40.882, 1, 96, 102.95, 1215, 765
2025/03/20 09:10:41.885, 1, 96, 101.28, 1215, 765
2025/03/20 09:10:42.889, 1, 96, 107.55, 1215, 765
2025/03/20 09:10:43.895, 1, 96, 102.40, 1215, 765
2025/03/20 09:10:44.899, 1, 96, 108.80, 1215, 765
2025/03/20 09:10:45.904, 1, 96, 104.66, 1215, 765
2025/03/20 09:10:46.909, 1, 96, 99.50, 1215, 765
2025/03/20 09:10:47.918, 1, 96, 105.87, 1215, 765
2025/03/20 09:10:48.921, 1, 96, 102.86, 1215, 765
2025/03/20 09:10:49.924, 1, 96, 106.00, 1215, 765
2025/03/20 09:10:50.927, 1, 95, 140.56, 1215, 765
2025/03/20 09:10:51.930, 1, 96, 101.23, 1215, 765
2025/03/20 09:10:52.933, 1, 96, 111.28, 1215, 765
2025/03/20 09:10:53.937, 1, 96, 112.34, 1215, 765
2025/03/20 09:10:54.943, 1, 96, 102.99, 1215, 765
2025/03/20 09:10:55.946, 1, 96, 108.66, 1215, 765
2025/03/20 09:10:56.951, 1, 96, 102.63, 1215, 765
2025/03/20 09:10:57.954, 1, 96, 101.80, 1215, 765
2025/03/20 09:10:58.959, 1, 96, 101.98, 1215, 765
2025/03/20 09:10:59.964, 1, 96, 104.80, 1215, 765
2025/03/20 09:11:00.973, 1, 96, 104.27, 1215, 765
2025/03/20 09:11:01.977, 1, 96, 102.94, 1215, 765
2025/03/20 09:11:02.980, 1, 96, 107.82, 1215, 765
2025/03/20 09:11:03.985, 1, 96, 109.12, 1215, 765
2025/03/20 09:11:04.988, 1, 95, 137.36, 1215, 765
2025/03/20 09:11:05.991, 1, 96, 107.97, 1215, 765
2025/03/20 09:11:06.995, 1, 96, 108.47, 1215, 765
2025/03/20 09:11:07.998, 1, 97, 110.34, 1215, 765
2025/03/20 09:11:09.003, 1, 96, 103.65, 1215, 765
2025/03/20 09:11:10.008, 1, 96, 103.44, 1215, 765
2025/03/20 09:11:11.011, 1, 96, 103.51, 1215, 765
2025/03/20 09:11:12.016, 1, 96, 112.06, 1215, 765
2025/03/20 09:11:13.021, 1, 96, 103.22, 1215, 765
2025/03/20 09:11:14.024, 1, 96, 104.68, 1215, 765
2025/03/20 09:11:15.027, 1, 95, 139.69, 1215, 765
2025/03/20 09:11:16.032, 1, 96, 103.33, 1215, 765
2025/03/20 09:11:17.035, 1, 96, 111.22, 1215, 765
2025/03/20 09:11:18.038, 1, 96, 108.94, 1215, 765
2025/03/20 09:11:19.043, 1, 96, 109.69, 1215, 765
2025/03/20 09:11:20.046, 1, 97, 106.21, 1215, 765
2025/03/20 09:11:21.049, 1, 96, 102.26, 1215, 765
2025/03/20 09:11:22.053, 1, 96, 110.74, 1215, 765
2025/03/20 09:11:23.058, 1, 96, 107.40, 1215, 765
2025/03/20 09:11:24.061, 1, 96, 107.51, 1215, 765
2025/03/20 09:11:25.067, 1, 96, 109.07, 1215, 765
2025/03/20 09:11:26.071, 1, 96, 108.55, 1215, 765
2025/03/20 09:11:27.074, 1, 96, 108.59, 1215, 765
2025/03/20 09:11:28.078, 1, 95, 146.06, 1215, 765
2025/03/20 09:11:29.085, 1, 96, 109.69, 1215, 765
2025/03/20 09:11:30.091, 1, 96, 105.17, 1215, 765
2025/03/20 09:11:31.094, 1, 95, 110.46, 1215, 765
2025/03/20 09:11:32.097, 1, 96, 104.00, 1215, 765
2025/03/20 09:11:33.100, 1, 96, 110.39, 1215, 765
2025/03/20 09:11:34.106, 1, 96, 106.94, 1215, 765
2025/03/20 09:11:35.113, 1, 96, 106.00, 1215, 765
2025/03/20 09:11:36.116, 1, 96, 111.27, 1215, 765
2025/03/20 09:11:37.121, 1, 98, 109.14, 1215, 765
2025/03/20 09:11:38.124, 1, 96, 109.92, 1215, 765
