timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 06:41:32.171, 1, 0, 36.94, 1215, 765
2025/03/20 06:41:33.190, 1, 0, 36.83, 1215, 765
2025/03/20 06:41:34.193, 1, 0, 36.53, 1215, 765
2025/03/20 06:41:35.195, 1, 0, 36.73, 1215, 765
2025/03/20 06:41:36.200, 1, 0, 36.73, 1215, 765
2025/03/20 06:41:37.204, 1, 0, 36.63, 1215, 765
2025/03/20 06:41:38.207, 1, 0, 36.63, 1215, 765
2025/03/20 06:41:39.212, 1, 0, 36.54, 1215, 765
2025/03/20 06:41:40.215, 1, 0, 36.53, 1215, 765
2025/03/20 06:41:41.219, 1, 0, 36.44, 1215, 765
2025/03/20 06:41:42.223, 1, 0, 36.44, 1215, 765
2025/03/20 06:41:43.228, 1, 0, 36.44, 1215, 765
2025/03/20 06:41:44.232, 1, 0, 36.44, 1215, 765
2025/03/20 06:41:45.235, 1, 0, 36.33, 1215, 765
2025/03/20 06:41:46.238, 1, 0, 36.34, 1215, 765
2025/03/20 06:41:47.241, 1, 0, 36.25, 1215, 765
2025/03/20 06:41:48.244, 1, 0, 36.44, 1215, 765
2025/03/20 06:41:49.246, 1, 0, 36.34, 1215, 765
2025/03/20 06:41:50.253, 1, 0, 36.24, 1215, 765
2025/03/20 06:41:51.257, 1, 0, 36.34, 1215, 765
2025/03/20 06:41:52.260, 1, 0, 36.34, 1215, 765
2025/03/20 06:41:53.264, 1, 0, 36.24, 1215, 765
2025/03/20 06:41:54.268, 1, 51, 39.19, 1215, 765
2025/03/20 06:41:55.271, 1, 51, 39.09, 1215, 765
2025/03/20 06:41:56.275, 1, 42, 38.24, 1215, 765
2025/03/20 06:41:57.279, 1, 0, 37.93, 1215, 765
2025/03/20 06:41:58.286, 1, 0, 38.03, 1215, 765
2025/03/20 06:41:59.290, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:00.293, 1, 0, 37.91, 1215, 765
2025/03/20 06:42:01.299, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:02.303, 1, 0, 38.03, 1215, 765
2025/03/20 06:42:03.305, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:04.308, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:05.312, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:06.316, 1, 0, 37.83, 1215, 765
2025/03/20 06:42:07.321, 1, 0, 37.93, 1215, 765
2025/03/20 06:42:08.325, 1, 0, 37.83, 1215, 765
2025/03/20 06:42:09.327, 1, 0, 37.83, 1215, 765
2025/03/20 06:42:10.333, 1, 96, 106.80, 1215, 765
2025/03/20 06:42:11.338, 1, 96, 99.45, 1215, 765
2025/03/20 06:42:12.341, 1, 96, 109.47, 1215, 765
2025/03/20 06:42:13.346, 1, 96, 111.43, 1215, 765
2025/03/20 06:42:14.350, 1, 96, 109.94, 1215, 765
2025/03/20 06:42:15.357, 1, 96, 111.77, 1215, 765
2025/03/20 06:42:16.360, 1, 96, 103.46, 1215, 765
2025/03/20 06:42:17.363, 1, 96, 110.30, 1215, 765
2025/03/20 06:42:18.366, 1, 96, 101.89, 1215, 765
2025/03/20 06:42:19.369, 1, 95, 107.93, 1215, 765
2025/03/20 06:42:20.376, 1, 96, 107.74, 1215, 765
2025/03/20 06:42:21.379, 1, 96, 108.01, 1215, 765
2025/03/20 06:42:22.383, 1, 96, 112.37, 1215, 765
2025/03/20 06:42:23.390, 1, 96, 107.42, 1215, 765
2025/03/20 06:42:24.393, 1, 96, 101.61, 1215, 765
2025/03/20 06:42:25.400, 1, 96, 104.56, 1215, 765
2025/03/20 06:42:26.405, 1, 96, 107.68, 1215, 765
2025/03/20 06:42:27.408, 1, 96, 105.66, 1215, 765
2025/03/20 06:42:28.411, 1, 96, 104.17, 1215, 765
2025/03/20 06:42:29.414, 1, 96, 105.78, 1215, 765
2025/03/20 06:42:30.417, 1, 96, 109.62, 1215, 765
2025/03/20 06:42:31.420, 1, 96, 101.47, 1215, 765
2025/03/20 06:42:32.423, 1, 96, 108.54, 1215, 765
2025/03/20 06:42:33.426, 1, 96, 107.16, 1215, 765
2025/03/20 06:42:34.429, 1, 94, 146.38, 1215, 765
2025/03/20 06:42:35.432, 1, 96, 101.91, 1215, 765
2025/03/20 06:42:36.435, 1, 96, 111.86, 1215, 765
2025/03/20 06:42:37.439, 1, 96, 107.33, 1215, 765
2025/03/20 06:42:38.442, 1, 96, 105.12, 1215, 765
2025/03/20 06:42:39.448, 1, 96, 111.75, 1215, 765
2025/03/20 06:42:40.451, 1, 96, 108.57, 1215, 765
2025/03/20 06:42:41.456, 1, 96, 106.50, 1215, 765
2025/03/20 06:42:42.462, 1, 96, 105.34, 1215, 765
2025/03/20 06:42:43.467, 1, 96, 106.90, 1215, 765
2025/03/20 06:42:44.470, 1, 96, 103.16, 1215, 765
2025/03/20 06:42:45.475, 1, 97, 105.48, 1215, 765
2025/03/20 06:42:46.481, 1, 96, 112.61, 1215, 765
2025/03/20 06:42:47.489, 1, 96, 111.49, 1215, 765
2025/03/20 06:42:48.492, 1, 96, 112.39, 1215, 765
2025/03/20 06:42:49.495, 1, 96, 107.95, 1215, 765
2025/03/20 06:42:50.499, 1, 96, 106.30, 1215, 765
2025/03/20 06:42:51.506, 1, 96, 111.60, 1215, 765
2025/03/20 06:42:52.509, 1, 96, 107.28, 1215, 765
2025/03/20 06:42:53.512, 1, 96, 110.81, 1215, 765
2025/03/20 06:42:54.515, 1, 96, 107.00, 1215, 765
2025/03/20 06:42:55.521, 1, 97, 107.85, 1215, 765
2025/03/20 06:42:56.526, 1, 96, 107.51, 1215, 765
2025/03/20 06:42:57.533, 1, 96, 112.25, 1215, 765
2025/03/20 06:42:58.536, 1, 96, 108.72, 1215, 765
2025/03/20 06:42:59.539, 1, 96, 106.60, 1215, 765
2025/03/20 06:43:00.545, 1, 96, 113.20, 1215, 765
