timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 04:18:01.390, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:02.409, 1, 0, 36.91, 1215, 765
2025/03/20 04:18:03.412, 1, 0, 36.82, 1215, 765
2025/03/20 04:18:04.420, 1, 0, 36.83, 1215, 765
2025/03/20 04:18:05.424, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:06.428, 1, 0, 36.43, 1215, 765
2025/03/20 04:18:07.432, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:08.435, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:09.439, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:10.444, 1, 0, 36.73, 1215, 765
2025/03/20 04:18:11.448, 1, 0, 36.63, 1215, 765
2025/03/20 04:18:12.454, 1, 0, 36.63, 1215, 765
2025/03/20 04:18:13.457, 1, 0, 36.63, 1215, 765
2025/03/20 04:18:14.461, 1, 0, 36.63, 1215, 765
2025/03/20 04:18:15.465, 1, 0, 36.53, 1215, 765
2025/03/20 04:18:16.469, 1, 0, 36.53, 1215, 765
2025/03/20 04:18:17.475, 1, 0, 36.53, 1215, 765
2025/03/20 04:18:18.480, 1, 0, 36.44, 1215, 765
2025/03/20 04:18:19.482, 1, 0, 36.44, 1215, 765
2025/03/20 04:18:20.487, 1, 0, 36.44, 1215, 765
2025/03/20 04:18:21.491, 1, 0, 36.53, 1215, 765
2025/03/20 04:18:22.498, 1, 0, 36.34, 1215, 765
2025/03/20 04:18:23.503, 1, 0, 36.44, 1215, 765
2025/03/20 04:18:24.507, 1, 38, 38.98, 1215, 765
2025/03/20 04:18:25.514, 1, 37, 39.08, 1215, 765
2025/03/20 04:18:26.519, 1, 14, 39.25, 1215, 765
2025/03/20 04:18:27.523, 1, 11, 38.93, 1215, 765
2025/03/20 04:18:28.527, 1, 0, 38.34, 1215, 765
2025/03/20 04:18:29.531, 1, 0, 38.34, 1215, 765
2025/03/20 04:18:30.535, 1, 0, 38.43, 1215, 765
2025/03/20 04:18:31.539, 1, 0, 38.34, 1215, 765
2025/03/20 04:18:32.542, 1, 0, 38.34, 1215, 765
2025/03/20 04:18:33.545, 1, 0, 38.24, 1215, 765
2025/03/20 04:18:34.549, 1, 0, 38.15, 1215, 765
2025/03/20 04:18:35.552, 1, 0, 38.34, 1215, 765
2025/03/20 04:18:36.556, 1, 0, 38.15, 1215, 765
2025/03/20 04:18:37.558, 1, 0, 38.13, 1215, 765
2025/03/20 04:18:38.561, 1, 0, 38.13, 1215, 765
2025/03/20 04:18:39.568, 1, 0, 38.14, 1215, 765
2025/03/20 04:18:40.572, 1, 0, 38.04, 1215, 765
2025/03/20 04:18:41.575, 1, 0, 37.94, 1215, 765
2025/03/20 04:18:42.578, 1, 0, 38.33, 1215, 765
2025/03/20 04:18:43.582, 1, 96, 106.62, 1215, 765
2025/03/20 04:18:44.586, 1, 96, 109.18, 1215, 765
2025/03/20 04:18:45.589, 1, 96, 103.71, 1215, 765
2025/03/20 04:18:46.592, 1, 98, 112.77, 1215, 765
2025/03/20 04:18:47.595, 1, 96, 97.50, 1215, 765
2025/03/20 04:18:48.600, 1, 96, 101.15, 1215, 765
2025/03/20 04:18:49.606, 1, 96, 100.43, 1215, 765
2025/03/20 04:18:50.611, 1, 96, 98.02, 1215, 765
2025/03/20 04:18:51.620, 1, 96, 96.33, 1215, 765
2025/03/20 04:18:52.622, 1, 95, 108.02, 1215, 765
2025/03/20 04:18:53.625, 1, 96, 104.95, 1215, 765
2025/03/20 04:18:54.628, 1, 96, 109.97, 1215, 765
2025/03/20 04:18:55.631, 1, 95, 100.49, 1215, 765
2025/03/20 04:18:56.636, 1, 96, 102.69, 1215, 765
2025/03/20 04:18:57.641, 1, 95, 97.14, 1215, 765
2025/03/20 04:18:58.644, 1, 96, 112.39, 1215, 765
2025/03/20 04:18:59.648, 1, 96, 110.38, 1215, 765
2025/03/20 04:19:00.661, 1, 96, 97.21, 1215, 765
2025/03/20 04:19:01.666, 1, 96, 110.06, 1215, 765
2025/03/20 04:19:02.670, 1, 96, 110.84, 1215, 765
2025/03/20 04:19:03.673, 1, 96, 107.33, 1215, 765
2025/03/20 04:19:04.678, 1, 96, 106.69, 1215, 765
2025/03/20 04:19:05.681, 1, 96, 107.19, 1215, 765
2025/03/20 04:19:06.684, 1, 96, 107.60, 1215, 765
2025/03/20 04:19:07.687, 1, 95, 104.17, 1215, 765
2025/03/20 04:19:08.691, 1, 95, 101.23, 1215, 765
2025/03/20 04:19:09.698, 1, 95, 98.98, 1215, 765
