timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 03:48:33.310, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:34.329, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:35.332, 0, 0, 35.31, 1215, 765
2025/03/20 03:48:36.337, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:37.341, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:38.346, 0, 0, 35.32, 1215, 765
2025/03/20 03:48:39.349, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:40.355, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:41.359, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:42.361, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:43.366, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:44.369, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:45.375, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:46.386, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:47.390, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:48.395, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:49.400, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:50.404, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:51.410, 0, 0, 35.21, 1215, 765
2025/03/20 03:48:52.414, 0, 0, 34.91, 1215, 765
2025/03/20 03:48:53.417, 0, 0, 35.30, 1215, 765
2025/03/20 03:48:54.420, 0, 0, 35.11, 1215, 765
2025/03/20 03:48:55.424, 0, 0, 35.01, 1215, 765
2025/03/20 03:48:56.430, 0, 34, 37.97, 1215, 765
2025/03/20 03:48:57.434, 0, 36, 37.76, 1215, 765
2025/03/20 03:48:58.439, 0, 18, 38.04, 1215, 765
2025/03/20 03:48:59.444, 0, 7, 37.30, 1215, 765
2025/03/20 03:49:00.448, 0, 0, 37.40, 1215, 765
2025/03/20 03:49:01.451, 0, 0, 37.21, 1215, 765
2025/03/20 03:49:02.456, 0, 0, 37.31, 1215, 765
2025/03/20 03:49:03.460, 0, 0, 37.00, 1215, 765
2025/03/20 03:49:04.464, 0, 0, 37.09, 1215, 765
2025/03/20 03:49:05.469, 0, 10, 37.89, 1215, 765
2025/03/20 03:49:06.473, 0, 96, 108.57, 1215, 765
2025/03/20 03:49:07.479, 0, 96, 109.96, 1215, 765
2025/03/20 03:49:08.484, 0, 96, 114.06, 1215, 765
2025/03/20 03:49:09.489, 0, 96, 103.54, 1215, 765
2025/03/20 03:49:10.492, 0, 96, 103.14, 1215, 765
2025/03/20 03:49:11.495, 0, 96, 110.78, 1215, 765
2025/03/20 03:49:12.498, 0, 96, 112.65, 1215, 765
2025/03/20 03:49:13.502, 0, 96, 105.23, 1215, 765
2025/03/20 03:49:14.507, 0, 96, 106.35, 1215, 765
2025/03/20 03:49:15.510, 0, 96, 101.88, 1215, 765
2025/03/20 03:49:16.515, 0, 96, 108.01, 1215, 765
2025/03/20 03:49:17.519, 0, 96, 112.30, 1215, 765
2025/03/20 03:49:18.522, 0, 96, 109.81, 1215, 765
2025/03/20 03:49:19.526, 0, 96, 108.22, 1215, 765
2025/03/20 03:49:20.529, 0, 96, 109.78, 1215, 765
2025/03/20 03:49:21.533, 0, 96, 104.78, 1215, 765
2025/03/20 03:49:22.536, 0, 96, 104.81, 1215, 765
2025/03/20 03:49:23.538, 0, 97, 111.44, 1215, 765
2025/03/20 03:49:24.545, 0, 96, 116.81, 1215, 765
2025/03/20 03:49:25.548, 0, 96, 109.11, 1215, 765
2025/03/20 03:49:26.551, 0, 96, 108.00, 1215, 765
2025/03/20 03:49:27.555, 0, 96, 111.90, 1215, 765
2025/03/20 03:49:28.560, 0, 96, 106.36, 1215, 765
2025/03/20 03:49:29.563, 0, 96, 104.47, 1215, 765
2025/03/20 03:49:30.568, 0, 96, 111.53, 1215, 765
2025/03/20 03:49:31.577, 0, 95, 111.14, 1215, 765
2025/03/20 03:49:32.580, 0, 96, 104.11, 1215, 765
2025/03/20 03:49:33.585, 0, 96, 104.94, 1215, 765
2025/03/20 03:49:34.588, 0, 96, 109.13, 1215, 765
2025/03/20 03:49:35.597, 0, 96, 105.45, 1215, 765
2025/03/20 03:49:36.604, 0, 96, 105.70, 1215, 765
2025/03/20 03:49:37.607, 0, 96, 111.60, 1215, 765
2025/03/20 03:49:38.610, 0, 96, 105.50, 1215, 765
2025/03/20 03:49:39.613, 0, 96, 118.24, 1215, 765
2025/03/20 03:49:40.616, 0, 96, 113.49, 1215, 765
2025/03/20 03:49:41.619, 0, 96, 105.93, 1215, 765
2025/03/20 03:49:42.624, 0, 96, 104.72, 1215, 765
2025/03/20 03:49:43.627, 0, 96, 113.14, 1215, 765
2025/03/20 03:49:44.629, 0, 96, 112.07, 1215, 765
2025/03/20 03:49:45.634, 0, 96, 101.03, 1215, 765
2025/03/20 03:49:46.637, 0, 96, 108.49, 1215, 765
2025/03/20 03:49:47.641, 0, 96, 107.08, 1215, 765
2025/03/20 03:49:48.648, 0, 95, 105.23, 1215, 765
2025/03/20 03:49:49.652, 0, 96, 107.59, 1215, 765
2025/03/20 03:49:50.655, 0, 96, 104.30, 1215, 765
2025/03/20 03:49:51.660, 0, 96, 110.42, 1215, 765
2025/03/20 03:49:52.669, 0, 96, 106.62, 1215, 765
2025/03/20 03:49:53.672, 0, 96, 105.19, 1215, 765
2025/03/20 03:49:54.675, 0, 96, 115.41, 1215, 765
2025/03/20 03:49:55.678, 0, 96, 109.21, 1215, 765
2025/03/20 03:49:56.682, 0, 96, 107.77, 1215, 765
2025/03/20 03:49:57.685, 0, 96, 119.81, 1215, 765
2025/03/20 03:49:58.693, 0, 96, 102.31, 1215, 765
2025/03/20 03:49:59.696, 0, 96, 113.86, 1215, 765
2025/03/20 03:50:00.701, 0, 95, 107.25, 1215, 765
2025/03/20 03:50:01.704, 0, 96, 107.04, 1215, 765
2025/03/20 03:50:02.709, 0, 96, 107.77, 1215, 765
2025/03/20 03:50:03.716, 0, 96, 105.88, 1215, 765
2025/03/20 03:50:04.724, 0, 96, 102.98, 1215, 765
2025/03/20 03:50:05.727, 0, 96, 104.15, 1215, 765
2025/03/20 03:50:06.730, 0, 96, 114.18, 1215, 765
2025/03/20 03:50:07.733, 0, 96, 106.01, 1215, 765
2025/03/20 03:50:08.736, 0, 96, 116.57, 1215, 765
2025/03/20 03:50:09.739, 0, 96, 104.54, 1215, 765
2025/03/20 03:50:10.744, 0, 96, 110.82, 1215, 765
2025/03/20 03:50:11.747, 0, 96, 102.70, 1215, 765
2025/03/20 03:50:12.752, 0, 96, 102.80, 1215, 765
2025/03/20 03:50:13.757, 0, 96, 106.22, 1215, 765
2025/03/20 03:50:14.763, 0, 98, 160.01, 1215, 765
2025/03/20 03:50:15.766, 0, 96, 111.04, 1215, 765
2025/03/20 03:50:16.775, 0, 96, 105.03, 1215, 765
2025/03/20 03:50:17.778, 0, 95, 114.33, 1215, 765
2025/03/20 03:50:18.781, 0, 96, 106.01, 1215, 765
2025/03/20 03:50:19.784, 0, 96, 112.05, 1215, 765
2025/03/20 03:50:20.788, 0, 96, 103.65, 1215, 765
2025/03/20 03:50:21.792, 0, 96, 107.98, 1215, 765
2025/03/20 03:50:22.795, 0, 96, 110.99, 1215, 765
2025/03/20 03:50:23.799, 0, 96, 117.10, 1215, 765
2025/03/20 03:50:24.803, 0, 95, 109.22, 1215, 765
2025/03/20 03:50:25.808, 0, 96, 107.49, 1215, 765
2025/03/20 03:50:26.812, 0, 96, 114.05, 1215, 765
2025/03/20 03:50:27.815, 0, 96, 110.92, 1215, 765
2025/03/20 03:50:28.818, 0, 96, 109.44, 1215, 765
2025/03/20 03:50:29.824, 0, 96, 112.63, 1215, 765
2025/03/20 03:50:30.827, 0, 96, 117.07, 1215, 765
2025/03/20 03:50:31.830, 0, 96, 110.01, 1215, 765
2025/03/20 03:50:32.833, 0, 96, 113.60, 1215, 765
2025/03/20 03:50:33.838, 0, 96, 105.32, 1215, 765
2025/03/20 03:50:34.841, 0, 96, 111.02, 1215, 765
2025/03/20 03:50:35.844, 0, 96, 108.35, 1215, 765
2025/03/20 03:50:36.849, 0, 94, 157.07, 1215, 765
2025/03/20 03:50:37.856, 0, 96, 109.12, 1215, 765
2025/03/20 03:50:38.861, 0, 96, 115.53, 1215, 765
2025/03/20 03:50:39.865, 0, 96, 105.79, 1215, 765
2025/03/20 03:50:40.871, 0, 96, 110.81, 1215, 765
2025/03/20 03:50:41.874, 0, 95, 109.18, 1215, 765
2025/03/20 03:50:42.881, 0, 95, 107.71, 1215, 765
2025/03/20 03:50:43.884, 0, 96, 111.68, 1215, 765
2025/03/20 03:50:44.887, 0, 95, 109.55, 1215, 765
2025/03/20 03:50:45.890, 0, 95, 132.58, 1215, 765
2025/03/20 03:50:46.894, 0, 96, 113.37, 1215, 765
2025/03/20 03:50:47.900, 0, 96, 105.62, 1215, 765
2025/03/20 03:50:48.903, 0, 96, 108.18, 1215, 765
2025/03/20 03:50:49.909, 0, 95, 102.69, 1215, 765
2025/03/20 03:50:50.912, 0, 96, 106.14, 1215, 765
2025/03/20 03:50:51.915, 0, 96, 114.40, 1215, 765
2025/03/20 03:50:52.918, 0, 96, 112.83, 1215, 765
2025/03/20 03:50:53.921, 0, 94, 107.50, 1215, 765
2025/03/20 03:50:54.926, 0, 95, 106.93, 1215, 765
2025/03/20 03:50:55.929, 0, 96, 113.19, 1215, 765
2025/03/20 03:50:56.934, 0, 96, 113.42, 1215, 765
2025/03/20 03:50:57.939, 0, 95, 102.39, 1215, 765
2025/03/20 03:50:58.944, 0, 96, 115.48, 1215, 765
2025/03/20 03:50:59.948, 0, 96, 111.53, 1215, 765
2025/03/20 03:51:00.951, 0, 95, 104.81, 1215, 765
2025/03/20 03:51:01.956, 0, 96, 105.62, 1215, 765
2025/03/20 03:51:02.959, 0, 96, 113.98, 1215, 765
2025/03/20 03:51:03.962, 0, 96, 111.74, 1215, 765
2025/03/20 03:51:04.969, 0, 95, 115.38, 1215, 765
2025/03/20 03:51:05.972, 0, 96, 115.83, 1215, 765
2025/03/20 03:51:06.975, 0, 96, 111.11, 1215, 765
2025/03/20 03:51:07.980, 0, 96, 112.56, 1215, 765
2025/03/20 03:51:08.983, 0, 96, 113.58, 1215, 765
2025/03/20 03:51:09.987, 0, 96, 103.96, 1215, 765
2025/03/20 03:51:10.992, 0, 95, 106.02, 1215, 765
2025/03/20 03:51:11.995, 0, 96, 109.65, 1215, 765
2025/03/20 03:51:13.001, 0, 96, 104.91, 1215, 765
2025/03/20 03:51:14.005, 0, 96, 115.34, 1215, 765
2025/03/20 03:51:15.008, 0, 96, 115.05, 1215, 765
2025/03/20 03:51:16.013, 0, 94, 101.67, 1215, 765
2025/03/20 03:51:17.019, 0, 96, 103.33, 1215, 765
2025/03/20 03:51:18.022, 0, 96, 109.58, 1215, 765
2025/03/20 03:51:19.025, 0, 95, 109.03, 1215, 765
2025/03/20 03:51:20.028, 0, 95, 111.82, 1215, 765
2025/03/20 03:51:21.032, 0, 96, 106.61, 1215, 765
2025/03/20 03:51:22.038, 0, 96, 110.84, 1215, 765
2025/03/20 03:51:23.042, 0, 96, 110.56, 1215, 765
2025/03/20 03:51:24.048, 0, 96, 105.81, 1215, 765
