timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/20 01:58:54.065, 1, 0, 37.14, 1215, 765
2025/03/20 01:58:55.084, 1, 0, 37.04, 1215, 765
2025/03/20 01:58:56.087, 1, 0, 37.13, 1215, 765
2025/03/20 01:58:57.090, 1, 0, 37.04, 1215, 765
2025/03/20 01:58:58.094, 1, 0, 36.93, 1215, 765
2025/03/20 01:58:59.097, 1, 0, 36.94, 1215, 765
2025/03/20 01:59:00.100, 1, 0, 36.84, 1215, 765
2025/03/20 01:59:01.103, 1, 0, 36.84, 1215, 765
2025/03/20 01:59:02.106, 1, 0, 36.83, 1215, 765
2025/03/20 01:59:03.109, 1, 0, 36.83, 1215, 765
2025/03/20 01:59:04.112, 1, 0, 36.73, 1215, 765
2025/03/20 01:59:05.120, 1, 0, 36.73, 1215, 765
2025/03/20 01:59:06.124, 1, 0, 36.73, 1215, 765
2025/03/20 01:59:07.127, 1, 0, 36.74, 1215, 765
2025/03/20 01:59:08.130, 1, 0, 36.63, 1215, 765
2025/03/20 01:59:09.133, 1, 0, 36.61, 1215, 765
2025/03/20 01:59:10.136, 1, 0, 36.63, 1215, 765
2025/03/20 01:59:11.140, 1, 0, 36.63, 1215, 765
2025/03/20 01:59:12.145, 1, 0, 36.53, 1215, 765
2025/03/20 01:59:13.150, 1, 0, 36.53, 1215, 765
2025/03/20 01:59:14.155, 1, 0, 36.63, 1215, 765
2025/03/20 01:59:15.161, 1, 0, 36.53, 1215, 765
2025/03/20 01:59:16.166, 1, 0, 36.54, 1215, 765
2025/03/20 01:59:17.169, 1, 50, 39.40, 1215, 765
2025/03/20 01:59:18.173, 1, 48, 39.40, 1215, 765
2025/03/20 01:59:19.177, 1, 27, 38.34, 1215, 765
2025/03/20 01:59:20.180, 1, 0, 38.24, 1215, 765
2025/03/20 01:59:21.184, 1, 0, 38.24, 1215, 765
2025/03/20 01:59:22.187, 1, 0, 38.24, 1215, 765
2025/03/20 01:59:23.193, 1, 0, 38.34, 1215, 765
2025/03/20 01:59:24.198, 1, 0, 38.24, 1215, 765
2025/03/20 01:59:25.202, 1, 0, 38.24, 1215, 765
2025/03/20 01:59:26.208, 1, 58, 66.63, 1215, 765
2025/03/20 01:59:27.213, 1, 96, 110.17, 1215, 765
2025/03/20 01:59:28.216, 1, 96, 107.68, 1215, 765
2025/03/20 01:59:29.221, 1, 96, 107.03, 1215, 765
2025/03/20 01:59:30.224, 1, 96, 148.80, 1215, 765
2025/03/20 01:59:31.230, 1, 96, 104.00, 1215, 765
2025/03/20 01:59:32.235, 1, 96, 103.24, 1215, 765
2025/03/20 01:59:33.238, 1, 96, 101.31, 1215, 765
2025/03/20 01:59:34.242, 1, 96, 103.87, 1215, 765
2025/03/20 01:59:35.255, 1, 95, 100.94, 1215, 765
2025/03/20 01:59:36.258, 1, 96, 104.37, 1215, 765
2025/03/20 01:59:37.267, 1, 96, 108.93, 1215, 765
2025/03/20 01:59:38.271, 1, 96, 109.38, 1215, 765
2025/03/20 01:59:39.280, 1, 96, 110.44, 1215, 765
2025/03/20 01:59:40.288, 1, 96, 109.02, 1215, 765
2025/03/20 01:59:41.293, 1, 96, 102.84, 1215, 765
2025/03/20 01:59:42.296, 1, 96, 110.68, 1215, 765
2025/03/20 01:59:43.301, 1, 93, 146.50, 1215, 765
2025/03/20 01:59:44.310, 1, 96, 105.11, 1215, 765
2025/03/20 01:59:45.313, 1, 96, 103.04, 1215, 765
2025/03/20 01:59:46.316, 1, 96, 98.89, 1215, 765
2025/03/20 01:59:47.321, 1, 95, 106.64, 1215, 765
2025/03/20 01:59:48.487, 1, 96, 101.97, 1215, 765
2025/03/20 01:59:49.490, 1, 96, 101.44, 1215, 765
2025/03/20 01:59:50.493, 1, 96, 109.97, 1215, 765
2025/03/20 01:59:51.498, 1, 96, 110.23, 1215, 765
2025/03/20 01:59:52.501, 1, 96, 104.85, 1215, 765
2025/03/20 01:59:53.504, 1, 96, 107.55, 1215, 765
2025/03/20 01:59:54.509, 1, 97, 101.05, 1215, 765
2025/03/20 01:59:55.512, 1, 96, 105.73, 1215, 765
2025/03/20 01:59:56.517, 1, 96, 102.96, 1215, 765
2025/03/20 01:59:57.523, 1, 96, 106.76, 1215, 765
2025/03/20 01:59:58.528, 1, 96, 107.20, 1215, 765
2025/03/20 01:59:59.531, 1, 96, 104.13, 1215, 765
2025/03/20 02:00:00.536, 1, 95, 107.59, 1215, 765
2025/03/20 02:00:01.544, 1, 96, 103.45, 1215, 765
2025/03/20 02:00:02.550, 1, 96, 108.13, 1215, 765
2025/03/20 02:00:03.553, 1, 96, 101.98, 1215, 765
2025/03/20 02:00:04.558, 1, 96, 95.78, 1215, 765
2025/03/20 02:00:05.563, 1, 96, 105.53, 1215, 765
2025/03/20 02:00:06.566, 1, 96, 102.88, 1215, 765
2025/03/20 02:00:07.573, 1, 96, 103.98, 1215, 765
2025/03/20 02:00:08.577, 1, 96, 103.33, 1215, 765
2025/03/20 02:00:09.581, 1, 96, 100.23, 1215, 765
2025/03/20 02:00:10.585, 1, 97, 101.69, 1215, 765
2025/03/20 02:00:11.589, 1, 96, 106.86, 1215, 765
2025/03/20 02:00:12.596, 1, 96, 109.22, 1215, 765
2025/03/20 02:00:13.599, 1, 96, 101.77, 1215, 765
2025/03/20 02:00:14.603, 1, 96, 104.78, 1215, 765
2025/03/20 02:00:15.610, 1, 96, 107.20, 1215, 765
2025/03/20 02:00:16.614, 1, 96, 106.24, 1215, 765
2025/03/20 02:00:17.621, 1, 98, 106.55, 1215, 765
2025/03/20 02:00:18.625, 1, 96, 106.08, 1215, 765
2025/03/20 02:00:19.629, 1, 92, 153.79, 1215, 765
2025/03/20 02:00:20.632, 1, 96, 101.10, 1215, 765
2025/03/20 02:00:21.636, 1, 96, 102.40, 1215, 765
2025/03/20 02:00:22.639, 1, 96, 101.79, 1215, 765
2025/03/20 02:00:23.642, 1, 96, 106.19, 1215, 765
2025/03/20 02:00:24.647, 1, 96, 103.96, 1215, 765
2025/03/20 02:00:25.651, 1, 96, 105.82, 1215, 765
2025/03/20 02:00:26.655, 1, 98, 101.83, 1215, 765
2025/03/20 02:00:27.660, 1, 79, 105.57, 1215, 765
2025/03/20 02:00:28.663, 1, 96, 107.39, 1215, 765
2025/03/20 02:00:29.668, 1, 96, 105.05, 1215, 765
2025/03/20 02:00:30.673, 1, 96, 111.70, 1215, 765
2025/03/20 02:00:31.676, 1, 96, 103.01, 1215, 765
2025/03/20 02:00:32.679, 1, 96, 108.22, 1215, 765
2025/03/20 02:00:33.686, 1, 96, 105.12, 1215, 765
2025/03/20 02:00:34.691, 1, 96, 108.12, 1215, 765
2025/03/20 02:00:35.694, 1, 96, 114.10, 1215, 765
2025/03/20 02:00:36.701, 1, 96, 108.09, 1215, 765
