timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 22:12:18.808, 1, 0, 36.84, 1215, 765
2025/03/19 22:12:19.827, 1, 0, 36.93, 1215, 765
2025/03/19 22:12:20.831, 1, 0, 36.82, 1215, 765
2025/03/19 22:12:21.837, 1, 0, 36.83, 1215, 765
2025/03/19 22:12:22.841, 1, 0, 36.84, 1215, 765
2025/03/19 22:12:23.846, 1, 0, 36.83, 1215, 765
2025/03/19 22:12:24.852, 1, 0, 36.93, 1215, 765
2025/03/19 22:12:25.854, 1, 0, 36.72, 1215, 765
2025/03/19 22:12:26.857, 1, 0, 36.73, 1215, 765
2025/03/19 22:12:27.862, 1, 0, 36.64, 1215, 765
2025/03/19 22:12:28.866, 1, 0, 36.74, 1215, 765
2025/03/19 22:12:29.872, 1, 0, 36.63, 1215, 765
2025/03/19 22:12:30.875, 1, 0, 36.64, 1215, 765
2025/03/19 22:12:31.878, 1, 0, 36.63, 1215, 765
2025/03/19 22:12:32.883, 1, 0, 36.72, 1215, 765
2025/03/19 22:12:33.887, 1, 0, 36.63, 1215, 765
2025/03/19 22:12:34.895, 1, 0, 36.44, 1215, 765
2025/03/19 22:12:35.899, 1, 0, 36.53, 1215, 765
2025/03/19 22:12:36.904, 1, 0, 36.44, 1215, 765
2025/03/19 22:12:37.909, 1, 0, 36.63, 1215, 765
2025/03/19 22:12:38.914, 1, 0, 36.53, 1215, 765
2025/03/19 22:12:39.917, 1, 0, 36.44, 1215, 765
2025/03/19 22:12:40.920, 1, 0, 37.83, 1215, 765
2025/03/19 22:12:41.926, 1, 0, 38.35, 1215, 765
2025/03/19 22:12:42.930, 1, 0, 38.44, 1215, 765
2025/03/19 22:12:43.934, 1, 8, 39.60, 1215, 765
2025/03/19 22:12:44.938, 1, 0, 38.34, 1215, 765
2025/03/19 22:12:45.945, 1, 0, 38.34, 1215, 765
2025/03/19 22:12:46.949, 1, 0, 38.25, 1215, 765
2025/03/19 22:12:47.952, 1, 0, 38.24, 1215, 765
2025/03/19 22:12:48.958, 1, 0, 38.34, 1215, 765
2025/03/19 22:12:49.963, 1, 31, 152.12, 1215, 765
2025/03/19 22:12:50.966, 1, 96, 100.00, 1215, 765
2025/03/19 22:12:51.969, 1, 95, 111.24, 1215, 765
2025/03/19 22:12:52.973, 1, 95, 103.13, 1215, 765
2025/03/19 22:12:53.981, 1, 93, 96.56, 1215, 765
2025/03/19 22:12:54.984, 1, 96, 108.94, 1215, 765
2025/03/19 22:12:55.987, 1, 96, 106.40, 1215, 765
2025/03/19 22:12:56.992, 1, 96, 106.47, 1215, 765
2025/03/19 22:12:57.995, 1, 96, 103.20, 1215, 765
2025/03/19 22:12:58.998, 1, 96, 103.80, 1215, 765
2025/03/19 22:13:00.002, 1, 96, 103.83, 1215, 765
2025/03/19 22:13:01.006, 1, 97, 104.73, 1215, 765
2025/03/19 22:13:02.010, 1, 96, 105.31, 1215, 765
2025/03/19 22:13:03.013, 1, 96, 100.95, 1215, 765
2025/03/19 22:13:04.018, 1, 96, 104.12, 1215, 765
2025/03/19 22:13:05.025, 1, 96, 157.44, 1215, 765
2025/03/19 22:13:06.030, 1, 96, 110.53, 1215, 765
2025/03/19 22:13:07.033, 1, 96, 104.26, 1215, 765
2025/03/19 22:13:08.036, 1, 96, 105.77, 1215, 765
2025/03/19 22:13:09.041, 1, 96, 105.83, 1215, 765
2025/03/19 22:13:10.044, 1, 96, 103.29, 1215, 765
2025/03/19 22:13:11.047, 1, 96, 102.31, 1215, 765
2025/03/19 22:13:12.050, 1, 96, 102.56, 1215, 765
2025/03/19 22:13:13.055, 1, 94, 109.98, 1215, 765
2025/03/19 22:13:14.058, 1, 96, 111.54, 1215, 765
2025/03/19 22:13:15.061, 1, 96, 104.99, 1215, 765
2025/03/19 22:13:16.068, 1, 95, 103.46, 1215, 765
2025/03/19 22:13:17.072, 1, 96, 101.12, 1215, 765
2025/03/19 22:13:18.075, 1, 96, 103.41, 1215, 765
2025/03/19 22:13:19.078, 1, 96, 112.17, 1215, 765
2025/03/19 22:13:20.085, 1, 96, 110.67, 1215, 765
2025/03/19 22:13:21.088, 1, 96, 157.21, 1215, 765
2025/03/19 22:13:22.091, 1, 96, 106.40, 1215, 765
2025/03/19 22:13:23.098, 1, 96, 105.12, 1215, 765
2025/03/19 22:13:24.101, 1, 96, 97.64, 1215, 765
2025/03/19 22:13:25.106, 1, 96, 105.52, 1215, 765
2025/03/19 22:13:26.109, 1, 94, 132.03, 1215, 765
2025/03/19 22:13:27.114, 1, 96, 107.18, 1215, 765
2025/03/19 22:13:28.119, 1, 95, 102.02, 1215, 765
2025/03/19 22:13:29.124, 1, 96, 105.86, 1215, 765
2025/03/19 22:13:30.127, 1, 96, 102.48, 1215, 765
2025/03/19 22:13:31.132, 1, 98, 108.87, 1215, 765
2025/03/19 22:13:32.137, 1, 96, 110.21, 1215, 765
