timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 19:20:17.277, 1, 0, 36.79, 1215, 765
2025/03/19 19:20:18.295, 1, 0, 36.73, 1215, 765
2025/03/19 19:20:19.299, 1, 0, 36.84, 1215, 765
2025/03/19 19:20:20.306, 1, 0, 36.75, 1215, 765
2025/03/19 19:20:21.310, 1, 0, 36.66, 1215, 765
2025/03/19 19:20:22.315, 1, 0, 36.65, 1215, 765
2025/03/19 19:20:23.321, 1, 0, 36.75, 1215, 765
2025/03/19 19:20:24.325, 1, 0, 36.66, 1215, 765
2025/03/19 19:20:25.330, 1, 0, 36.66, 1215, 765
2025/03/19 19:20:26.334, 1, 0, 36.66, 1215, 765
2025/03/19 19:20:27.338, 1, 0, 36.55, 1215, 765
2025/03/19 19:20:28.344, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:29.347, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:30.350, 1, 0, 36.56, 1215, 765
2025/03/19 19:20:31.359, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:32.362, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:33.365, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:34.368, 1, 0, 36.36, 1215, 765
2025/03/19 19:20:35.370, 1, 0, 36.46, 1215, 765
2025/03/19 19:20:36.373, 1, 0, 36.36, 1215, 765
2025/03/19 19:20:37.376, 1, 0, 36.94, 1215, 765
2025/03/19 19:20:38.380, 1, 0, 36.26, 1215, 765
2025/03/19 19:20:39.387, 1, 49, 38.25, 1215, 765
2025/03/19 19:20:40.390, 1, 46, 38.44, 1215, 765
2025/03/19 19:20:41.395, 1, 21, 38.15, 1215, 765
2025/03/19 19:20:42.399, 1, 0, 38.19, 1215, 765
2025/03/19 19:20:43.402, 1, 0, 38.30, 1215, 765
2025/03/19 19:20:44.405, 1, 0, 38.17, 1215, 765
2025/03/19 19:20:45.408, 1, 0, 38.08, 1215, 765
2025/03/19 19:20:46.410, 1, 0, 38.08, 1215, 765
2025/03/19 19:20:47.416, 1, 0, 38.06, 1215, 765
2025/03/19 19:20:48.420, 1, 95, 102.61, 1215, 765
2025/03/19 19:20:49.426, 1, 96, 104.10, 1215, 765
2025/03/19 19:20:50.429, 1, 96, 106.86, 1215, 765
2025/03/19 19:20:51.432, 1, 96, 102.45, 1215, 765
2025/03/19 19:20:52.436, 1, 96, 96.32, 1215, 765
2025/03/19 19:20:53.439, 1, 95, 103.44, 1215, 765
2025/03/19 19:20:54.442, 1, 96, 104.09, 1215, 765
2025/03/19 19:20:55.445, 1, 96, 106.71, 1215, 765
2025/03/19 19:20:56.449, 1, 96, 109.60, 1215, 765
2025/03/19 19:20:57.455, 1, 96, 105.71, 1215, 765
2025/03/19 19:20:58.458, 1, 96, 101.02, 1215, 765
2025/03/19 19:20:59.463, 1, 96, 110.02, 1215, 765
2025/03/19 19:21:00.466, 1, 96, 112.29, 1215, 765
2025/03/19 19:21:01.470, 1, 95, 96.88, 1215, 765
2025/03/19 19:21:02.475, 1, 96, 110.02, 1215, 765
2025/03/19 19:21:03.480, 1, 96, 101.46, 1215, 765
2025/03/19 19:21:04.485, 1, 96, 110.70, 1215, 765
2025/03/19 19:21:05.488, 1, 96, 111.33, 1215, 765
2025/03/19 19:21:06.492, 1, 96, 110.96, 1215, 765
2025/03/19 19:21:07.495, 1, 97, 115.14, 1215, 765
2025/03/19 19:21:08.498, 1, 96, 98.44, 1215, 765
2025/03/19 19:21:09.501, 1, 96, 104.23, 1215, 765
2025/03/19 19:21:10.507, 1, 96, 101.24, 1215, 765
2025/03/19 19:21:11.512, 1, 96, 99.02, 1215, 765
2025/03/19 19:21:12.515, 1, 96, 108.18, 1215, 765
2025/03/19 19:21:13.520, 1, 96, 95.95, 1215, 765
2025/03/19 19:21:14.525, 1, 96, 101.03, 1215, 765
2025/03/19 19:21:15.528, 1, 96, 105.12, 1215, 765
2025/03/19 19:21:16.533, 1, 96, 102.72, 1215, 765
2025/03/19 19:21:17.537, 1, 96, 106.28, 1215, 765
2025/03/19 19:21:18.541, 1, 96, 108.65, 1215, 765
2025/03/19 19:21:19.546, 1, 96, 96.47, 1215, 765
2025/03/19 19:21:20.549, 1, 96, 112.07, 1215, 765
2025/03/19 19:21:21.552, 1, 95, 108.01, 1215, 765
2025/03/19 19:21:22.555, 1, 96, 104.73, 1215, 765
2025/03/19 19:21:23.558, 1, 98, 103.34, 1215, 765
2025/03/19 19:21:24.563, 1, 96, 107.23, 1215, 765
2025/03/19 19:21:25.566, 1, 96, 100.49, 1215, 765
2025/03/19 19:21:26.569, 1, 92, 93.37, 1215, 765
2025/03/19 19:21:27.576, 1, 96, 90.58, 1215, 765
2025/03/19 19:21:28.579, 1, 96, 113.19, 1215, 765
2025/03/19 19:21:29.585, 1, 96, 105.09, 1215, 765
2025/03/19 19:21:30.590, 1, 96, 107.10, 1215, 765
2025/03/19 19:21:31.593, 1, 95, 150.72, 1215, 765
2025/03/19 19:21:32.598, 1, 96, 104.57, 1215, 765
2025/03/19 19:21:33.601, 1, 76, 99.68, 1215, 765
2025/03/19 19:21:34.605, 1, 96, 108.01, 1215, 765
2025/03/19 19:21:35.608, 1, 96, 108.23, 1215, 765
2025/03/19 19:21:36.611, 1, 96, 105.21, 1215, 765
2025/03/19 19:21:37.614, 1, 99, 110.39, 1215, 765
2025/03/19 19:21:38.619, 1, 96, 101.10, 1215, 765
2025/03/19 19:21:39.622, 1, 96, 100.71, 1215, 765
2025/03/19 19:21:40.627, 1, 96, 97.54, 1215, 765
2025/03/19 19:21:41.630, 1, 96, 108.38, 1215, 765
2025/03/19 19:21:42.635, 1, 96, 105.09, 1215, 765
2025/03/19 19:21:43.641, 1, 96, 103.90, 1215, 765
2025/03/19 19:21:44.646, 1, 96, 104.69, 1215, 765
2025/03/19 19:21:45.649, 1, 96, 107.13, 1215, 765
2025/03/19 19:21:46.654, 1, 96, 106.58, 1215, 765
2025/03/19 19:21:47.658, 1, 96, 98.88, 1215, 765
2025/03/19 19:21:48.664, 1, 96, 103.68, 1215, 765
2025/03/19 19:21:49.676, 1, 96, 105.85, 1215, 765
2025/03/19 19:21:50.679, 1, 96, 103.58, 1215, 765
2025/03/19 19:21:51.685, 1, 96, 109.80, 1215, 765
2025/03/19 19:21:52.690, 1, 96, 104.64, 1215, 765
2025/03/19 19:21:53.695, 1, 96, 110.28, 1215, 765
2025/03/19 19:21:54.704, 1, 96, 104.25, 1215, 765
2025/03/19 19:21:55.708, 1, 96, 109.13, 1215, 765
2025/03/19 19:21:56.711, 1, 96, 101.95, 1215, 765
2025/03/19 19:21:57.716, 1, 96, 110.62, 1215, 765
2025/03/19 19:21:58.722, 1, 96, 110.43, 1215, 765
2025/03/19 19:21:59.725, 1, 96, 106.07, 1215, 765
2025/03/19 19:22:00.730, 1, 96, 103.96, 1215, 765
2025/03/19 19:22:01.735, 1, 96, 142.19, 1215, 765
2025/03/19 19:22:02.738, 1, 96, 105.29, 1215, 765
2025/03/19 19:22:03.743, 1, 96, 109.05, 1215, 765
2025/03/19 19:22:04.746, 1, 96, 111.42, 1215, 765
2025/03/19 19:22:05.756, 1, 96, 102.49, 1215, 765
2025/03/19 19:22:06.760, 1, 96, 105.67, 1215, 765
2025/03/19 19:22:07.767, 1, 96, 105.35, 1215, 765
2025/03/19 19:22:08.770, 1, 96, 142.64, 1215, 765
2025/03/19 19:22:09.774, 1, 96, 104.98, 1215, 765
2025/03/19 19:22:10.777, 1, 96, 106.74, 1215, 765
2025/03/19 19:22:11.780, 1, 96, 109.35, 1215, 765
2025/03/19 19:22:12.783, 1, 96, 103.37, 1215, 765
2025/03/19 19:22:13.786, 1, 96, 102.24, 1215, 765
2025/03/19 19:22:14.789, 1, 96, 102.18, 1215, 765
2025/03/19 19:22:15.793, 1, 96, 104.80, 1215, 765
2025/03/19 19:22:16.796, 1, 96, 105.78, 1215, 765
2025/03/19 19:22:17.799, 1, 96, 102.68, 1215, 765
2025/03/19 19:22:18.806, 1, 97, 108.12, 1215, 765
2025/03/19 19:22:19.809, 1, 96, 110.02, 1215, 765
2025/03/19 19:22:20.812, 1, 96, 105.69, 1215, 765
2025/03/19 19:22:21.817, 1, 96, 106.13, 1215, 765
2025/03/19 19:22:22.826, 1, 96, 102.39, 1215, 765
2025/03/19 19:22:23.829, 1, 96, 113.02, 1215, 765
2025/03/19 19:22:24.832, 1, 96, 104.44, 1215, 765
2025/03/19 19:22:25.838, 1, 96, 108.17, 1215, 765
2025/03/19 19:22:26.841, 1, 96, 113.41, 1215, 765
2025/03/19 19:22:27.844, 1, 96, 108.55, 1215, 765
2025/03/19 19:22:28.847, 1, 96, 105.47, 1215, 765
2025/03/19 19:22:29.850, 1, 96, 101.54, 1215, 765
2025/03/19 19:22:30.853, 1, 96, 113.26, 1215, 765
2025/03/19 19:22:31.859, 1, 96, 104.13, 1215, 765
2025/03/19 19:22:32.865, 1, 96, 102.37, 1215, 765
2025/03/19 19:22:33.874, 1, 96, 112.26, 1215, 765
2025/03/19 19:22:34.879, 1, 96, 104.86, 1215, 765
2025/03/19 19:22:35.888, 1, 96, 111.22, 1215, 765
2025/03/19 19:22:36.891, 1, 96, 111.14, 1215, 765
2025/03/19 19:22:37.895, 1, 96, 103.18, 1215, 765
2025/03/19 19:22:38.900, 1, 96, 111.08, 1215, 765
2025/03/19 19:22:39.903, 1, 95, 99.25, 1215, 765
2025/03/19 19:22:40.908, 1, 96, 110.49, 1215, 765
2025/03/19 19:22:41.911, 1, 98, 119.94, 1215, 765
2025/03/19 19:22:42.917, 1, 96, 113.10, 1215, 765
2025/03/19 19:22:43.921, 1, 96, 103.31, 1215, 765
2025/03/19 19:22:44.927, 1, 96, 104.23, 1215, 765
2025/03/19 19:22:45.929, 1, 96, 104.80, 1215, 765
2025/03/19 19:22:46.932, 1, 96, 102.87, 1215, 765
2025/03/19 19:22:47.937, 1, 96, 103.10, 1215, 765
2025/03/19 19:22:48.940, 1, 96, 109.37, 1215, 765
2025/03/19 19:22:49.943, 1, 96, 112.18, 1215, 765
2025/03/19 19:22:50.946, 1, 96, 104.38, 1215, 765
2025/03/19 19:22:51.949, 1, 96, 104.38, 1215, 765
2025/03/19 19:22:52.953, 1, 96, 103.61, 1215, 765
2025/03/19 19:22:53.957, 1, 96, 106.43, 1215, 765
2025/03/19 19:22:54.960, 1, 96, 105.73, 1215, 765
2025/03/19 19:22:55.963, 1, 96, 102.47, 1215, 765
2025/03/19 19:22:56.966, 1, 96, 111.35, 1215, 765
2025/03/19 19:22:57.969, 1, 96, 113.92, 1215, 765
2025/03/19 19:22:58.973, 1, 97, 99.75, 1215, 765
2025/03/19 19:22:59.978, 1, 96, 104.27, 1215, 765
2025/03/19 19:23:00.984, 1, 96, 109.56, 1215, 765
2025/03/19 19:23:01.987, 1, 96, 103.81, 1215, 765
2025/03/19 19:23:02.991, 1, 96, 103.19, 1215, 765
2025/03/19 19:23:03.996, 1, 96, 113.07, 1215, 765
2025/03/19 19:23:05.000, 1, 96, 137.15, 1215, 765
2025/03/19 19:23:06.003, 1, 96, 103.09, 1215, 765
2025/03/19 19:23:07.008, 1, 96, 103.54, 1215, 765
2025/03/19 19:23:08.014, 1, 96, 102.77, 1215, 765
2025/03/19 19:23:09.019, 1, 96, 110.23, 1215, 765
2025/03/19 19:23:10.022, 1, 96, 111.41, 1215, 765
2025/03/19 19:23:11.025, 1, 96, 105.19, 1215, 765
2025/03/19 19:23:12.029, 1, 97, 106.35, 1215, 765
2025/03/19 19:23:13.034, 1, 96, 103.04, 1215, 765
2025/03/19 19:23:14.040, 1, 96, 104.74, 1215, 765
2025/03/19 19:23:15.043, 1, 96, 109.89, 1215, 765
2025/03/19 19:23:16.046, 1, 96, 106.79, 1215, 765
2025/03/19 19:23:17.052, 1, 97, 112.41, 1215, 765
2025/03/19 19:23:18.057, 1, 96, 104.47, 1215, 765
2025/03/19 19:23:19.060, 1, 96, 108.35, 1215, 765
2025/03/19 19:23:20.065, 1, 96, 106.36, 1215, 765
2025/03/19 19:23:21.076, 1, 96, 104.24, 1215, 765
2025/03/19 19:23:22.079, 1, 96, 103.73, 1215, 765
2025/03/19 19:23:23.082, 1, 96, 108.88, 1215, 765
2025/03/19 19:23:24.088, 1, 96, 109.79, 1215, 765
2025/03/19 19:23:25.091, 1, 96, 110.58, 1215, 765
2025/03/19 19:23:26.096, 1, 96, 109.25, 1215, 765
2025/03/19 19:23:27.101, 1, 96, 103.45, 1215, 765
2025/03/19 19:23:28.108, 1, 96, 104.90, 1215, 765
2025/03/19 19:23:29.112, 1, 96, 146.48, 1215, 765
2025/03/19 19:23:30.122, 1, 96, 103.34, 1215, 765
2025/03/19 19:23:31.127, 1, 96, 143.34, 1215, 765
2025/03/19 19:23:32.132, 1, 96, 107.04, 1215, 765
2025/03/19 19:23:33.137, 1, 96, 104.22, 1215, 765
2025/03/19 19:23:34.140, 1, 96, 104.58, 1215, 765
2025/03/19 19:23:35.146, 1, 96, 107.69, 1215, 765
