timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 08:10:53.226, 1, 0, 35.24, 1215, 765
2025/03/19 08:10:54.245, 1, 0, 35.13, 1215, 765
2025/03/19 08:10:55.249, 1, 0, 35.14, 1215, 765
2025/03/19 08:10:56.257, 1, 0, 35.25, 1215, 765
2025/03/19 08:10:57.262, 1, 0, 35.35, 1215, 765
2025/03/19 08:10:58.266, 1, 0, 35.35, 1215, 765
2025/03/19 08:10:59.272, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:00.275, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:01.278, 1, 0, 35.34, 1215, 765
2025/03/19 08:11:02.281, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:03.284, 1, 0, 35.26, 1215, 765
2025/03/19 08:11:04.290, 1, 0, 35.15, 1215, 765
2025/03/19 08:11:05.293, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:06.296, 1, 0, 35.46, 1215, 765
2025/03/19 08:11:07.299, 1, 0, 35.15, 1215, 765
2025/03/19 08:11:08.304, 1, 0, 35.25, 1215, 765
2025/03/19 08:11:09.306, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:10.311, 1, 0, 35.34, 1215, 765
2025/03/19 08:11:11.315, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:12.321, 1, 0, 35.34, 1215, 765
2025/03/19 08:11:13.326, 1, 0, 35.35, 1215, 765
2025/03/19 08:11:14.328, 1, 0, 35.44, 1215, 765
2025/03/19 08:11:15.331, 1, 0, 35.25, 1215, 765
2025/03/19 08:11:16.334, 1, 52, 38.22, 1215, 765
2025/03/19 08:11:17.338, 1, 49, 38.12, 1215, 765
2025/03/19 08:11:18.343, 1, 51, 38.21, 1215, 765
2025/03/19 08:11:19.347, 1, 0, 37.44, 1215, 765
2025/03/19 08:11:20.350, 1, 0, 37.22, 1215, 765
2025/03/19 08:11:21.353, 1, 0, 37.45, 1215, 765
2025/03/19 08:11:22.356, 1, 0, 37.55, 1215, 765
2025/03/19 08:11:23.363, 1, 0, 37.13, 1215, 765
2025/03/19 08:11:24.367, 1, 0, 37.33, 1215, 765
2025/03/19 08:11:25.371, 1, 0, 37.23, 1215, 765
2025/03/19 08:11:26.375, 1, 9, 37.21, 1215, 765
2025/03/19 08:11:27.381, 1, 92, 96.80, 1215, 765
2025/03/19 08:11:28.384, 1, 93, 100.32, 1215, 765
2025/03/19 08:11:29.389, 1, 91, 99.01, 1215, 765
2025/03/19 08:11:30.393, 1, 93, 101.53, 1215, 765
2025/03/19 08:11:31.405, 1, 92, 102.21, 1215, 765
2025/03/19 08:11:32.409, 1, 93, 108.22, 1215, 765
2025/03/19 08:11:33.412, 1, 92, 94.29, 1215, 765
2025/03/19 08:11:34.416, 1, 88, 93.47, 1215, 765
2025/03/19 08:11:35.420, 1, 92, 104.09, 1215, 765
2025/03/19 08:11:36.423, 1, 93, 101.81, 1215, 765
2025/03/19 08:11:37.428, 1, 93, 101.78, 1215, 765
2025/03/19 08:11:38.433, 1, 93, 104.35, 1215, 765
2025/03/19 08:11:39.436, 1, 93, 102.27, 1215, 765
2025/03/19 08:11:40.439, 1, 93, 96.36, 1215, 765
2025/03/19 08:11:41.442, 1, 92, 92.24, 1215, 765
2025/03/19 08:11:42.447, 1, 94, 104.24, 1215, 765
2025/03/19 08:11:43.450, 1, 93, 99.27, 1215, 765
2025/03/19 08:11:44.456, 1, 94, 105.77, 1215, 765
2025/03/19 08:11:45.459, 1, 93, 107.53, 1215, 765
2025/03/19 08:11:46.462, 1, 94, 96.13, 1215, 765
2025/03/19 08:11:47.466, 1, 93, 115.51, 1215, 765
2025/03/19 08:11:48.473, 1, 94, 94.44, 1215, 765
2025/03/19 08:11:49.477, 1, 92, 102.58, 1215, 765
2025/03/19 08:11:50.480, 1, 94, 97.16, 1215, 765
2025/03/19 08:11:51.485, 1, 93, 99.54, 1215, 765
2025/03/19 08:11:52.488, 1, 93, 109.32, 1215, 765
2025/03/19 08:11:53.493, 1, 92, 102.48, 1215, 765
2025/03/19 08:11:54.497, 1, 93, 102.12, 1215, 765
2025/03/19 08:11:55.500, 1, 94, 101.28, 1215, 765
2025/03/19 08:11:56.504, 1, 93, 101.50, 1215, 765
2025/03/19 08:11:57.510, 1, 93, 98.43, 1215, 765
2025/03/19 08:11:58.513, 1, 92, 103.57, 1215, 765
2025/03/19 08:11:59.516, 1, 94, 104.29, 1215, 765
2025/03/19 08:12:00.519, 1, 94, 104.75, 1215, 765
2025/03/19 08:12:01.525, 1, 93, 104.88, 1215, 765
