timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 09:51:19.356, 1, 0, 35.37, 1215, 765
2025/03/19 09:51:20.374, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:21.379, 1, 0, 35.35, 1215, 765
2025/03/19 09:51:22.386, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:23.388, 1, 0, 35.36, 1215, 765
2025/03/19 09:51:24.391, 1, 0, 35.36, 1215, 765
2025/03/19 09:51:25.400, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:26.405, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:27.409, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:28.414, 1, 0, 35.16, 1215, 765
2025/03/19 09:51:29.417, 1, 0, 35.36, 1215, 765
2025/03/19 09:51:30.420, 1, 0, 35.16, 1215, 765
2025/03/19 09:51:31.423, 1, 0, 35.36, 1215, 765
2025/03/19 09:51:32.429, 1, 0, 35.37, 1215, 765
2025/03/19 09:51:33.433, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:34.436, 1, 0, 37.13, 1215, 765
2025/03/19 09:51:35.440, 1, 0, 36.94, 1215, 765
2025/03/19 09:51:36.444, 1, 0, 35.16, 1215, 765
2025/03/19 09:51:37.489, 1, 0, 35.17, 1215, 765
2025/03/19 09:51:38.492, 1, 0, 35.26, 1215, 765
2025/03/19 09:51:39.497, 1, 0, 35.17, 1215, 765
2025/03/19 09:51:40.501, 1, 0, 35.17, 1215, 765
2025/03/19 09:51:41.510, 1, 0, 35.27, 1215, 765
2025/03/19 09:51:42.515, 1, 0, 35.17, 1215, 765
2025/03/19 09:51:43.518, 1, 0, 35.21, 1215, 765
2025/03/19 09:51:44.521, 1, 4, 37.35, 1215, 765
2025/03/19 09:51:45.525, 1, 13, 38.13, 1215, 765
2025/03/19 09:51:46.531, 1, 46, 38.13, 1215, 765
2025/03/19 09:51:47.535, 1, 1, 36.95, 1215, 765
2025/03/19 09:51:48.538, 1, 0, 36.99, 1215, 765
2025/03/19 09:51:49.541, 1, 0, 37.18, 1215, 765
2025/03/19 09:51:50.545, 1, 0, 37.09, 1215, 765
2025/03/19 09:51:51.547, 1, 0, 37.08, 1215, 765
2025/03/19 09:51:52.551, 1, 0, 37.18, 1215, 765
2025/03/19 09:51:53.554, 1, 0, 37.17, 1215, 765
2025/03/19 09:51:54.558, 1, 0, 37.19, 1215, 765
2025/03/19 09:51:55.562, 1, 0, 37.04, 1215, 765
2025/03/19 09:51:56.566, 1, 12, 37.35, 1215, 765
2025/03/19 09:51:57.568, 1, 87, 79.44, 1215, 765
