timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 01:52:21.925, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:22.945, 1, 0, 35.51, 1215, 765
2025/03/19 01:52:23.949, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:24.952, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:25.955, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:26.958, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:27.961, 1, 0, 35.53, 1215, 765
2025/03/19 01:52:28.968, 1, 0, 35.55, 1215, 765
2025/03/19 01:52:29.971, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:30.977, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:31.981, 1, 0, 35.75, 1215, 765
2025/03/19 01:52:32.987, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:33.992, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:34.996, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:36.006, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:37.010, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:38.015, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:39.020, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:40.024, 1, 0, 35.44, 1215, 765
2025/03/19 01:52:41.030, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:42.032, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:43.035, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:44.038, 1, 0, 35.54, 1215, 765
2025/03/19 01:52:45.041, 1, 50, 38.51, 1215, 765
2025/03/19 01:52:46.044, 1, 36, 38.41, 1215, 765
2025/03/19 01:52:47.049, 1, 51, 38.41, 1215, 765
2025/03/19 01:52:48.052, 1, 0, 37.52, 1215, 765
2025/03/19 01:52:49.059, 1, 0, 37.43, 1215, 765
2025/03/19 01:52:50.062, 1, 0, 37.33, 1215, 765
2025/03/19 01:52:51.065, 1, 0, 37.43, 1215, 765
2025/03/19 01:52:52.071, 1, 0, 37.43, 1215, 765
2025/03/19 01:52:53.074, 1, 0, 37.33, 1215, 765
2025/03/19 01:52:54.078, 1, 0, 37.43, 1215, 765
2025/03/19 01:52:55.084, 1, 0, 37.32, 1215, 765
2025/03/19 01:52:56.090, 1, 96, 130.79, 1215, 765
2025/03/19 01:52:57.094, 1, 97, 109.88, 1215, 765
2025/03/19 01:52:58.097, 1, 95, 131.40, 1215, 765
2025/03/19 01:52:59.102, 1, 97, 110.40, 1215, 765
2025/03/19 01:53:00.105, 1, 97, 133.99, 1215, 765
2025/03/19 01:53:01.112, 1, 97, 109.98, 1215, 765
2025/03/19 01:53:02.115, 1, 96, 112.87, 1215, 765
2025/03/19 01:53:03.119, 1, 97, 119.81, 1215, 765
2025/03/19 01:53:04.123, 1, 97, 108.80, 1215, 765
2025/03/19 01:53:05.126, 1, 97, 110.95, 1215, 765
2025/03/19 01:53:06.128, 1, 97, 134.61, 1215, 765
2025/03/19 01:53:07.131, 1, 96, 110.21, 1215, 765
2025/03/19 01:53:08.135, 1, 96, 114.71, 1215, 765
2025/03/19 01:53:09.138, 1, 97, 119.70, 1215, 765
2025/03/19 01:53:10.141, 1, 97, 110.17, 1215, 765
2025/03/19 01:53:11.144, 1, 97, 111.15, 1215, 765
2025/03/19 01:53:12.151, 1, 97, 122.04, 1215, 765
2025/03/19 01:53:13.154, 1, 96, 130.51, 1215, 765
2025/03/19 01:53:14.161, 1, 97, 111.18, 1215, 765
2025/03/19 01:53:15.165, 1, 97, 113.69, 1215, 765
2025/03/19 01:53:16.177, 1, 97, 138.12, 1215, 765
2025/03/19 01:53:17.180, 1, 97, 119.79, 1215, 765
2025/03/19 01:53:18.183, 1, 97, 113.63, 1215, 765
2025/03/19 01:53:19.188, 1, 97, 115.51, 1215, 765
2025/03/19 01:53:20.191, 1, 97, 122.09, 1215, 765
2025/03/19 01:53:21.196, 1, 97, 111.15, 1215, 765
2025/03/19 01:53:22.201, 1, 97, 116.19, 1215, 765
2025/03/19 01:53:23.205, 1, 97, 114.98, 1215, 765
2025/03/19 01:53:24.210, 1, 97, 122.23, 1215, 765
2025/03/19 01:53:25.213, 1, 97, 112.53, 1215, 765
2025/03/19 01:53:26.217, 1, 97, 113.04, 1215, 765
2025/03/19 01:53:27.220, 1, 96, 135.46, 1215, 765
2025/03/19 01:53:28.224, 1, 97, 136.44, 1215, 765
2025/03/19 01:53:29.228, 1, 97, 112.11, 1215, 765
2025/03/19 01:53:30.232, 1, 97, 114.60, 1215, 765
2025/03/19 01:53:31.237, 1, 97, 141.77, 1215, 765
2025/03/19 01:53:32.243, 1, 97, 138.71, 1215, 765
2025/03/19 01:53:33.247, 1, 97, 112.04, 1215, 765
2025/03/19 01:53:34.250, 1, 97, 110.93, 1215, 765
2025/03/19 01:53:35.253, 1, 97, 120.49, 1215, 765
2025/03/19 01:53:36.256, 1, 96, 122.49, 1215, 765
2025/03/19 01:53:37.260, 1, 95, 111.57, 1215, 765
2025/03/19 01:53:38.263, 1, 97, 110.95, 1215, 765
2025/03/19 01:53:39.269, 1, 97, 118.05, 1215, 765
2025/03/19 01:53:40.272, 1, 97, 117.03, 1215, 765
2025/03/19 01:53:41.277, 1, 88, 113.59, 1215, 765
2025/03/19 01:53:42.280, 1, 97, 113.37, 1215, 765
2025/03/19 01:53:43.283, 1, 97, 116.62, 1215, 765
2025/03/19 01:53:44.287, 1, 97, 116.86, 1215, 765
2025/03/19 01:53:45.291, 1, 95, 123.40, 1215, 765
2025/03/19 01:53:46.294, 1, 97, 132.34, 1215, 765
2025/03/19 01:53:47.301, 1, 97, 111.07, 1215, 765
2025/03/19 01:53:48.305, 1, 97, 111.50, 1215, 765
2025/03/19 01:53:49.308, 1, 97, 116.46, 1215, 765
2025/03/19 01:53:50.311, 1, 95, 135.10, 1215, 765
2025/03/19 01:53:51.315, 1, 97, 131.65, 1215, 765
2025/03/19 01:53:52.319, 1, 97, 111.47, 1215, 765
2025/03/19 01:53:53.322, 1, 97, 110.89, 1215, 765
2025/03/19 01:53:54.325, 1, 97, 112.57, 1215, 765
2025/03/19 01:53:55.330, 1, 97, 118.94, 1215, 765
2025/03/19 01:53:56.333, 1, 97, 117.96, 1215, 765
2025/03/19 01:53:57.336, 1, 96, 115.96, 1215, 765
2025/03/19 01:53:58.342, 1, 97, 131.34, 1215, 765
2025/03/19 01:53:59.347, 1, 97, 134.81, 1215, 765
2025/03/19 01:54:00.353, 1, 97, 114.02, 1215, 765
2025/03/19 01:54:01.356, 1, 97, 112.21, 1215, 765
2025/03/19 01:54:02.359, 1, 97, 113.43, 1215, 765
2025/03/19 01:54:03.362, 1, 97, 119.66, 1215, 765
2025/03/19 01:54:04.367, 1, 97, 120.39, 1215, 765
2025/03/19 01:54:05.370, 1, 96, 116.24, 1215, 765
2025/03/19 01:54:06.373, 1, 96, 123.07, 1215, 765
2025/03/19 01:54:07.376, 1, 97, 130.03, 1215, 765
