timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 02:46:51.347, 1, 0, 35.96, 1215, 765
2025/03/19 02:46:52.366, 1, 0, 35.54, 1215, 765
2025/03/19 02:46:53.370, 1, 0, 35.76, 1215, 765
2025/03/19 02:46:54.373, 1, 0, 35.56, 1215, 765
2025/03/19 02:46:55.376, 1, 0, 35.77, 1215, 765
2025/03/19 02:46:56.379, 1, 0, 35.64, 1215, 765
2025/03/19 02:46:57.384, 1, 0, 35.67, 1215, 765
2025/03/19 02:46:58.388, 1, 0, 35.67, 1215, 765
2025/03/19 02:46:59.391, 1, 0, 35.67, 1215, 765
2025/03/19 02:47:00.394, 1, 0, 35.65, 1215, 765
2025/03/19 02:47:01.397, 1, 0, 35.46, 1215, 765
2025/03/19 02:47:02.401, 1, 0, 35.76, 1215, 765
2025/03/19 02:47:03.404, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:04.411, 1, 0, 35.86, 1215, 765
2025/03/19 02:47:05.416, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:06.418, 1, 0, 35.65, 1215, 765
2025/03/19 02:47:07.423, 1, 0, 35.65, 1215, 765
2025/03/19 02:47:08.426, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:09.432, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:10.436, 1, 0, 35.66, 1215, 765
2025/03/19 02:47:11.441, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:12.449, 1, 0, 35.65, 1215, 765
2025/03/19 02:47:13.452, 1, 0, 35.56, 1215, 765
2025/03/19 02:47:14.455, 1, 0, 39.61, 1215, 765
2025/03/19 02:47:15.457, 1, 0, 37.62, 1215, 765
2025/03/19 02:47:16.460, 1, 3, 38.72, 1215, 765
2025/03/19 02:47:17.463, 1, 27, 38.43, 1215, 765
2025/03/19 02:47:18.466, 1, 0, 37.73, 1215, 765
2025/03/19 02:47:19.471, 1, 0, 37.64, 1215, 765
2025/03/19 02:47:20.476, 1, 0, 37.76, 1215, 765
2025/03/19 02:47:21.481, 1, 0, 37.74, 1215, 765
2025/03/19 02:47:22.484, 1, 0, 37.75, 1215, 765
2025/03/19 02:47:23.489, 1, 0, 37.89, 1215, 765
2025/03/19 02:47:24.493, 1, 0, 37.68, 1215, 765
2025/03/19 02:47:25.497, 1, 0, 37.80, 1215, 765
2025/03/19 02:47:26.503, 1, 0, 37.88, 1215, 765
2025/03/19 02:47:27.507, 1, 9, 37.35, 1215, 765
2025/03/19 02:47:28.510, 1, 97, 110.26, 1215, 765
2025/03/19 02:47:29.513, 1, 97, 112.94, 1215, 765
2025/03/19 02:47:30.517, 1, 97, 123.19, 1215, 765
2025/03/19 02:47:31.520, 1, 97, 113.75, 1215, 765
