timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 05:00:11.633, 0, 0, 34.62, 1215, 765
2025/03/19 05:00:12.652, 0, 0, 34.61, 1215, 765
2025/03/19 05:00:13.655, 0, 0, 34.72, 1215, 765
2025/03/19 05:00:14.658, 0, 0, 34.42, 1215, 765
2025/03/19 05:00:15.661, 0, 0, 34.40, 1215, 765
2025/03/19 05:00:16.666, 0, 0, 34.71, 1215, 765
2025/03/19 05:00:17.672, 0, 0, 34.52, 1215, 765
2025/03/19 05:00:18.674, 0, 0, 34.52, 1215, 765
2025/03/19 05:00:19.677, 0, 0, 34.60, 1215, 765
2025/03/19 05:00:20.680, 0, 0, 34.62, 1215, 765
2025/03/19 05:00:21.683, 0, 0, 34.42, 1215, 765
2025/03/19 05:00:22.694, 0, 0, 34.62, 1215, 765
2025/03/19 05:00:23.696, 0, 0, 34.41, 1215, 765
2025/03/19 05:00:24.701, 0, 0, 34.62, 1215, 765
2025/03/19 05:00:25.705, 0, 0, 34.31, 1215, 765
2025/03/19 05:00:26.709, 0, 0, 34.31, 1215, 765
2025/03/19 05:00:27.715, 0, 0, 34.41, 1215, 765
2025/03/19 05:00:28.720, 0, 0, 34.71, 1215, 765
2025/03/19 05:00:29.724, 0, 0, 34.71, 1215, 765
2025/03/19 05:00:30.730, 0, 0, 34.41, 1215, 765
2025/03/19 05:00:31.734, 0, 0, 34.62, 1215, 765
2025/03/19 05:00:32.738, 0, 0, 34.30, 1215, 765
2025/03/19 05:00:33.741, 0, 0, 34.59, 1215, 765
2025/03/19 05:00:34.744, 0, 0, 38.67, 1215, 765
2025/03/19 05:00:35.750, 0, 83, 36.97, 1215, 765
2025/03/19 05:00:36.754, 0, 83, 37.10, 1215, 765
2025/03/19 05:00:37.759, 0, 0, 36.19, 1215, 765
2025/03/19 05:00:38.762, 0, 81, 37.19, 1215, 765
2025/03/19 05:00:39.765, 0, 29, 36.79, 1215, 765
2025/03/19 05:00:40.769, 0, 0, 36.59, 1215, 765
2025/03/19 05:00:41.776, 0, 0, 36.10, 1215, 765
2025/03/19 05:00:42.779, 0, 0, 36.69, 1215, 765
2025/03/19 05:00:43.782, 0, 0, 36.69, 1215, 765
2025/03/19 05:00:44.785, 0, 0, 36.40, 1215, 765
2025/03/19 05:00:45.788, 0, 0, 36.11, 1215, 765
2025/03/19 05:00:46.791, 0, 0, 36.49, 1215, 765
2025/03/19 05:00:47.795, 0, 0, 36.30, 1215, 765
2025/03/19 05:00:48.799, 0, 95, 101.85, 1215, 765
2025/03/19 05:00:49.804, 0, 95, 104.72, 1215, 765
2025/03/19 05:00:50.807, 0, 96, 105.79, 1215, 765
2025/03/19 05:00:51.812, 0, 95, 103.34, 1215, 765
2025/03/19 05:00:52.817, 0, 95, 104.94, 1215, 765
2025/03/19 05:00:53.823, 0, 95, 101.20, 1215, 765
2025/03/19 05:00:54.827, 0, 94, 105.49, 1215, 765
2025/03/19 05:00:55.832, 0, 95, 99.66, 1215, 765
2025/03/19 05:00:56.836, 0, 95, 86.89, 1215, 765
2025/03/19 05:00:57.839, 0, 95, 109.05, 1215, 765
2025/03/19 05:00:58.841, 0, 96, 105.61, 1215, 765
2025/03/19 05:00:59.847, 0, 94, 110.16, 1215, 765
2025/03/19 05:01:00.850, 0, 96, 105.81, 1215, 765
2025/03/19 05:01:01.856, 0, 96, 106.31, 1215, 765
2025/03/19 05:01:02.859, 0, 96, 103.25, 1215, 765
2025/03/19 05:01:03.867, 0, 96, 106.77, 1215, 765
2025/03/19 05:01:04.872, 0, 95, 106.25, 1215, 765
2025/03/19 05:01:05.875, 0, 95, 105.91, 1215, 765
2025/03/19 05:01:06.878, 0, 95, 107.49, 1215, 765
2025/03/19 05:01:07.882, 0, 95, 107.32, 1215, 765
2025/03/19 05:01:08.885, 0, 96, 108.85, 1215, 765
2025/03/19 05:01:09.890, 0, 94, 103.71, 1215, 765
2025/03/19 05:01:10.894, 0, 95, 117.87, 1215, 765
2025/03/19 05:01:11.901, 0, 94, 107.47, 1215, 765
2025/03/19 05:01:12.906, 0, 95, 103.87, 1215, 765
2025/03/19 05:01:13.909, 0, 95, 105.50, 1215, 765
2025/03/19 05:01:14.911, 0, 95, 105.01, 1215, 765
