timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/19 00:54:40.978, 1, 0, 35.95, 1215, 765
2025/03/19 00:54:41.997, 1, 0, 35.86, 1215, 765
2025/03/19 00:54:43.002, 1, 0, 35.85, 1215, 765
2025/03/19 00:54:44.010, 1, 0, 35.85, 1215, 765
2025/03/19 00:54:45.015, 1, 0, 35.84, 1215, 765
2025/03/19 00:54:46.019, 1, 0, 35.85, 1215, 765
2025/03/19 00:54:47.027, 1, 0, 35.85, 1215, 765
2025/03/19 00:54:48.032, 1, 0, 35.85, 1215, 765
2025/03/19 00:54:49.036, 1, 0, 35.95, 1215, 765
2025/03/19 00:54:50.045, 1, 0, 35.84, 1215, 765
2025/03/19 00:54:51.049, 1, 0, 35.65, 1215, 765
2025/03/19 00:54:52.054, 1, 0, 35.75, 1215, 765
2025/03/19 00:54:53.063, 1, 0, 35.75, 1215, 765
2025/03/19 00:54:54.067, 1, 0, 35.76, 1215, 765
2025/03/19 00:54:55.072, 1, 0, 35.75, 1215, 765
2025/03/19 00:54:56.077, 1, 0, 35.65, 1215, 765
2025/03/19 00:54:57.081, 1, 0, 35.75, 1215, 765
2025/03/19 00:54:58.087, 1, 0, 35.75, 1215, 765
2025/03/19 00:54:59.090, 1, 0, 35.65, 1215, 765
2025/03/19 00:55:00.093, 1, 0, 35.75, 1215, 765
2025/03/19 00:55:01.097, 1, 0, 35.75, 1215, 765
2025/03/19 00:55:02.100, 1, 0, 35.75, 1215, 765
2025/03/19 00:55:03.103, 1, 0, 35.75, 1215, 765
2025/03/19 00:55:04.106, 1, 0, 35.76, 1215, 765
2025/03/19 00:55:05.109, 1, 0, 35.75, 1215, 765
2025/03/19 00:55:06.114, 1, 48, 38.52, 1215, 765
2025/03/19 00:55:07.117, 1, 48, 38.42, 1215, 765
2025/03/19 00:55:08.122, 1, 39, 38.51, 1215, 765
2025/03/19 00:55:09.126, 1, 0, 37.43, 1215, 765
2025/03/19 00:55:10.130, 1, 0, 37.53, 1215, 765
2025/03/19 00:55:11.135, 1, 0, 37.64, 1215, 765
2025/03/19 00:55:12.142, 1, 0, 37.43, 1215, 765
2025/03/19 00:55:13.145, 1, 0, 37.33, 1215, 765
2025/03/19 00:55:14.151, 1, 0, 37.74, 1215, 765
2025/03/19 00:55:15.154, 1, 0, 37.53, 1215, 765
2025/03/19 00:55:16.158, 1, 0, 37.43, 1215, 765
2025/03/19 00:55:17.163, 1, 20, 37.52, 1215, 765
2025/03/19 00:55:18.166, 1, 96, 104.70, 1215, 765
2025/03/19 00:55:19.171, 1, 96, 104.47, 1215, 765
2025/03/19 00:55:20.174, 1, 96, 104.12, 1215, 765
2025/03/19 00:55:21.177, 1, 97, 105.25, 1215, 765
2025/03/19 00:55:22.182, 1, 97, 106.35, 1215, 765
2025/03/19 00:55:23.185, 1, 96, 104.30, 1215, 765
2025/03/19 00:55:24.190, 1, 96, 103.97, 1215, 765
2025/03/19 00:55:25.195, 1, 96, 108.43, 1215, 765
2025/03/19 00:55:26.198, 1, 96, 103.24, 1215, 765
2025/03/19 00:55:27.201, 1, 96, 103.60, 1215, 765
