timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 23:18:38.890, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:39.912, 0, 0, 34.71, 1215, 765
2025/03/18 23:18:40.916, 0, 0, 34.58, 1215, 765
2025/03/18 23:18:41.922, 0, 0, 34.51, 1215, 765
2025/03/18 23:18:42.926, 0, 0, 34.61, 1215, 765
2025/03/18 23:18:43.930, 0, 0, 34.62, 1215, 765
2025/03/18 23:18:44.935, 0, 0, 34.71, 1215, 765
2025/03/18 23:18:45.938, 0, 0, 34.70, 1215, 765
2025/03/18 23:18:46.941, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:47.945, 0, 0, 34.62, 1215, 765
2025/03/18 23:18:48.948, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:49.953, 0, 0, 34.70, 1215, 765
2025/03/18 23:18:50.957, 0, 0, 34.71, 1215, 765
2025/03/18 23:18:51.963, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:52.966, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:53.970, 0, 0, 34.62, 1215, 765
2025/03/18 23:18:54.973, 0, 0, 34.71, 1215, 765
2025/03/18 23:18:55.976, 0, 0, 34.62, 1215, 765
2025/03/18 23:18:56.982, 0, 0, 34.51, 1215, 765
2025/03/18 23:18:57.986, 0, 0, 34.81, 1215, 765
2025/03/18 23:18:58.991, 0, 0, 34.60, 1215, 765
2025/03/18 23:18:59.993, 0, 0, 34.71, 1215, 765
2025/03/18 23:19:00.998, 0, 0, 34.71, 1215, 765
2025/03/18 23:19:02.001, 0, 55, 37.86, 1215, 765
2025/03/18 23:19:03.003, 0, 83, 37.39, 1215, 765
2025/03/18 23:19:04.008, 0, 48, 36.80, 1215, 765
2025/03/18 23:19:05.010, 0, 84, 37.39, 1215, 765
2025/03/18 23:19:06.013, 0, 0, 36.90, 1215, 765
2025/03/18 23:19:07.020, 0, 0, 36.90, 1215, 765
2025/03/18 23:19:08.024, 0, 0, 36.80, 1215, 765
2025/03/18 23:19:09.027, 0, 0, 36.90, 1215, 765
2025/03/18 23:19:10.034, 0, 0, 37.00, 1215, 765
2025/03/18 23:19:11.036, 0, 0, 36.90, 1215, 765
2025/03/18 23:19:12.039, 0, 0, 36.90, 1215, 765
2025/03/18 23:19:13.046, 0, 55, 105.01, 1215, 765
2025/03/18 23:19:14.049, 0, 96, 104.90, 1215, 765
2025/03/18 23:19:15.054, 0, 95, 100.76, 1215, 765
2025/03/18 23:19:16.057, 0, 93, 105.99, 1215, 765
2025/03/18 23:19:17.062, 0, 95, 105.99, 1215, 765
2025/03/18 23:19:18.069, 0, 94, 103.80, 1215, 765
2025/03/18 23:19:19.072, 0, 95, 108.35, 1215, 765
2025/03/18 23:19:20.074, 0, 96, 104.68, 1215, 765
2025/03/18 23:19:21.079, 0, 95, 107.17, 1215, 765
2025/03/18 23:19:22.090, 0, 95, 105.19, 1215, 765
2025/03/18 23:19:23.095, 0, 95, 106.57, 1215, 765
2025/03/18 23:19:24.098, 0, 95, 112.24, 1215, 765
2025/03/18 23:19:25.101, 0, 93, 107.77, 1215, 765
2025/03/18 23:19:26.105, 0, 96, 106.68, 1215, 765
2025/03/18 23:19:27.112, 0, 95, 102.51, 1215, 765
2025/03/18 23:19:28.115, 0, 96, 108.06, 1215, 765
2025/03/18 23:19:29.121, 0, 95, 105.12, 1215, 765
2025/03/18 23:19:30.126, 0, 95, 105.29, 1215, 765
2025/03/18 23:19:31.131, 0, 95, 105.51, 1215, 765
2025/03/18 23:19:32.135, 0, 96, 107.37, 1215, 765
2025/03/18 23:19:33.138, 0, 95, 110.27, 1215, 765
