timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 13:26:52.672, 1, 0, 35.51, 1215, 765
2025/03/18 13:26:53.690, 1, 0, 35.64, 1215, 765
2025/03/18 13:26:54.694, 1, 0, 35.44, 1215, 765
2025/03/18 13:26:55.701, 1, 0, 35.64, 1215, 765
2025/03/18 13:26:56.706, 1, 0, 35.54, 1215, 765
2025/03/18 13:26:57.710, 1, 0, 35.64, 1215, 765
2025/03/18 13:26:58.714, 1, 0, 35.64, 1215, 765
2025/03/18 13:26:59.718, 1, 0, 35.53, 1215, 765
2025/03/18 13:27:00.726, 1, 0, 35.54, 1215, 765
2025/03/18 13:27:01.731, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:02.735, 1, 0, 35.54, 1215, 765
2025/03/18 13:27:03.741, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:04.745, 1, 0, 35.54, 1215, 765
2025/03/18 13:27:05.748, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:06.753, 1, 0, 35.44, 1215, 765
2025/03/18 13:27:07.756, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:08.762, 1, 0, 35.65, 1215, 765
2025/03/18 13:27:09.765, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:10.768, 1, 0, 35.53, 1215, 765
2025/03/18 13:27:11.771, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:12.774, 1, 0, 35.64, 1215, 765
2025/03/18 13:27:13.778, 1, 0, 35.44, 1215, 765
2025/03/18 13:27:14.782, 1, 0, 35.54, 1215, 765
2025/03/18 13:27:15.785, 1, 51, 38.60, 1215, 765
2025/03/18 13:27:16.792, 1, 50, 38.51, 1215, 765
2025/03/18 13:27:17.796, 1, 49, 38.70, 1215, 765
2025/03/18 13:27:18.800, 1, 0, 37.43, 1215, 765
2025/03/18 13:27:19.804, 1, 0, 37.43, 1215, 765
2025/03/18 13:27:20.807, 1, 0, 37.53, 1215, 765
2025/03/18 13:27:21.811, 1, 0, 37.54, 1215, 765
2025/03/18 13:27:22.815, 1, 0, 37.53, 1215, 765
2025/03/18 13:27:23.819, 1, 0, 37.64, 1215, 765
2025/03/18 13:27:24.826, 1, 0, 37.52, 1215, 765
2025/03/18 13:27:25.829, 1, 38, 100.78, 1215, 765
