timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 17:54:10.654, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:11.674, 0, 0, 34.62, 1215, 765
2025/03/18 17:54:12.677, 0, 0, 34.33, 1215, 765
2025/03/18 17:54:13.683, 0, 0, 34.52, 1215, 765
2025/03/18 17:54:14.686, 0, 0, 34.52, 1215, 765
2025/03/18 17:54:15.689, 0, 0, 34.73, 1215, 765
2025/03/18 17:54:16.697, 0, 0, 34.32, 1215, 765
2025/03/18 17:54:17.700, 0, 0, 34.64, 1215, 765
2025/03/18 17:54:18.703, 0, 0, 34.64, 1215, 765
2025/03/18 17:54:19.708, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:20.712, 0, 0, 34.63, 1215, 765
2025/03/18 17:54:21.718, 0, 0, 34.51, 1215, 765
2025/03/18 17:54:22.721, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:23.724, 0, 0, 34.64, 1215, 765
2025/03/18 17:54:24.727, 0, 0, 34.64, 1215, 765
2025/03/18 17:54:25.731, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:26.734, 0, 0, 34.74, 1215, 765
2025/03/18 17:54:27.738, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:28.742, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:29.745, 0, 0, 34.64, 1215, 765
2025/03/18 17:54:30.748, 0, 0, 34.72, 1215, 765
2025/03/18 17:54:31.751, 0, 0, 34.53, 1215, 765
2025/03/18 17:54:32.755, 0, 0, 34.52, 1215, 765
2025/03/18 17:54:33.759, 0, 0, 34.63, 1215, 765
2025/03/18 17:54:34.762, 0, 38, 37.40, 1215, 765
2025/03/18 17:54:35.766, 0, 0, 37.21, 1215, 765
2025/03/18 17:54:36.770, 0, 84, 37.70, 1215, 765
2025/03/18 17:54:37.774, 0, 75, 37.80, 1215, 765
2025/03/18 17:54:38.778, 0, 42, 36.72, 1215, 765
2025/03/18 17:54:39.784, 0, 0, 36.82, 1215, 765
2025/03/18 17:54:40.787, 0, 0, 36.72, 1215, 765
2025/03/18 17:54:41.790, 0, 0, 36.81, 1215, 765
2025/03/18 17:54:42.795, 0, 0, 36.71, 1215, 765
2025/03/18 17:54:43.801, 0, 0, 37.12, 1215, 765
2025/03/18 17:54:44.804, 0, 0, 36.82, 1215, 765
2025/03/18 17:54:45.808, 0, 0, 36.82, 1215, 765
2025/03/18 17:54:46.812, 0, 0, 36.82, 1215, 765
2025/03/18 17:54:47.814, 0, 0, 36.61, 1215, 765
2025/03/18 17:54:48.818, 0, 0, 36.81, 1215, 765
2025/03/18 17:54:49.823, 0, 94, 106.15, 1215, 765
2025/03/18 17:54:50.827, 0, 94, 104.02, 1215, 765
2025/03/18 17:54:51.833, 0, 96, 107.14, 1215, 765
2025/03/18 17:54:52.838, 0, 96, 104.00, 1215, 765
2025/03/18 17:54:53.844, 0, 95, 106.58, 1215, 765
2025/03/18 17:54:54.848, 0, 95, 105.97, 1215, 765
2025/03/18 17:54:55.851, 0, 96, 106.99, 1215, 765
2025/03/18 17:54:56.860, 0, 94, 107.05, 1215, 765
2025/03/18 17:54:57.866, 0, 96, 102.99, 1215, 765
2025/03/18 17:54:58.869, 0, 95, 106.01, 1215, 765
2025/03/18 17:54:59.877, 0, 95, 106.77, 1215, 765
2025/03/18 17:55:00.880, 0, 95, 101.41, 1215, 765
2025/03/18 17:55:01.884, 0, 94, 107.47, 1215, 765
2025/03/18 17:55:02.887, 0, 95, 108.77, 1215, 765
2025/03/18 17:55:03.890, 0, 96, 108.42, 1215, 765
2025/03/18 17:55:04.895, 0, 95, 105.69, 1215, 765
2025/03/18 17:55:05.899, 0, 95, 107.05, 1215, 765
2025/03/18 17:55:06.902, 0, 96, 108.46, 1215, 765
2025/03/18 17:55:07.905, 0, 95, 107.84, 1215, 765
2025/03/18 17:55:08.910, 0, 96, 106.64, 1215, 765
2025/03/18 17:55:09.916, 0, 94, 106.56, 1215, 765
2025/03/18 17:55:10.922, 0, 96, 108.72, 1215, 765
2025/03/18 17:55:11.932, 0, 95, 106.06, 1215, 765
2025/03/18 17:55:12.937, 0, 96, 106.38, 1215, 765
2025/03/18 17:55:13.940, 0, 95, 105.89, 1215, 765
2025/03/18 17:55:14.945, 0, 95, 111.12, 1215, 765
2025/03/18 17:55:15.949, 0, 95, 104.54, 1215, 765
2025/03/18 17:55:16.954, 0, 95, 104.25, 1215, 765
2025/03/18 17:55:17.957, 0, 96, 103.07, 1215, 765
2025/03/18 17:55:18.963, 0, 96, 107.68, 1215, 765
2025/03/18 17:55:19.967, 0, 96, 107.24, 1215, 765
2025/03/18 17:55:20.970, 0, 95, 106.18, 1215, 765
2025/03/18 17:55:21.974, 0, 96, 103.96, 1215, 765
2025/03/18 17:55:22.977, 0, 95, 104.95, 1215, 765
2025/03/18 17:55:23.980, 0, 96, 106.20, 1215, 765
2025/03/18 17:55:24.983, 0, 95, 108.85, 1215, 765
2025/03/18 17:55:25.988, 0, 95, 108.83, 1215, 765
2025/03/18 17:55:26.992, 0, 95, 107.84, 1215, 765
2025/03/18 17:55:28.000, 0, 95, 108.46, 1215, 765
2025/03/18 17:55:29.004, 0, 92, 106.67, 1215, 765
2025/03/18 17:55:30.007, 0, 94, 109.63, 1215, 765
2025/03/18 17:55:31.010, 0, 96, 105.05, 1215, 765
2025/03/18 17:55:32.013, 0, 95, 108.28, 1215, 765
2025/03/18 17:55:33.018, 0, 88, 106.69, 1215, 765
2025/03/18 17:55:34.021, 0, 94, 108.78, 1215, 765
2025/03/18 17:55:35.026, 0, 96, 121.01, 1215, 765
2025/03/18 17:55:36.029, 0, 96, 107.29, 1215, 765
2025/03/18 17:55:37.032, 0, 91, 105.97, 1215, 765
2025/03/18 17:55:38.039, 0, 92, 107.58, 1215, 765
2025/03/18 17:55:39.042, 0, 96, 108.88, 1215, 765
2025/03/18 17:55:40.045, 0, 96, 108.77, 1215, 765
2025/03/18 17:55:41.050, 0, 96, 108.11, 1215, 765
2025/03/18 17:55:42.054, 0, 95, 108.47, 1215, 765
2025/03/18 17:55:43.063, 0, 96, 108.77, 1215, 765
2025/03/18 17:55:44.067, 0, 95, 106.98, 1215, 765
2025/03/18 17:55:45.073, 0, 96, 107.58, 1215, 765
2025/03/18 17:55:46.076, 0, 95, 102.66, 1215, 765
2025/03/18 17:55:47.081, 0, 96, 107.78, 1215, 765
2025/03/18 17:55:48.084, 0, 95, 107.87, 1215, 765
2025/03/18 17:55:49.087, 0, 88, 107.28, 1215, 765
2025/03/18 17:55:50.092, 0, 95, 105.26, 1215, 765
2025/03/18 17:55:51.097, 0, 96, 107.63, 1215, 765
2025/03/18 17:55:52.102, 0, 96, 106.49, 1215, 765
2025/03/18 17:55:53.106, 0, 96, 102.89, 1215, 765
2025/03/18 17:55:54.110, 0, 96, 104.88, 1215, 765
2025/03/18 17:55:55.113, 0, 96, 105.05, 1215, 765
2025/03/18 17:55:56.120, 0, 94, 113.64, 1215, 765
2025/03/18 17:55:57.123, 0, 96, 106.57, 1215, 765
2025/03/18 17:55:58.126, 0, 94, 110.44, 1215, 765
2025/03/18 17:55:59.130, 0, 96, 107.03, 1215, 765
2025/03/18 17:56:00.135, 0, 95, 106.58, 1215, 765
2025/03/18 17:56:01.138, 0, 96, 109.26, 1215, 765
2025/03/18 17:56:02.142, 0, 95, 108.54, 1215, 765
2025/03/18 17:56:03.145, 0, 96, 109.96, 1215, 765
2025/03/18 17:56:04.149, 0, 96, 112.52, 1215, 765
2025/03/18 17:56:05.156, 0, 93, 99.72, 1215, 765
2025/03/18 17:56:06.160, 0, 95, 106.51, 1215, 765
2025/03/18 17:56:07.163, 0, 96, 106.51, 1215, 765
2025/03/18 17:56:08.166, 0, 96, 106.69, 1215, 765
2025/03/18 17:56:09.171, 0, 95, 105.96, 1215, 765
2025/03/18 17:56:10.174, 0, 96, 105.37, 1215, 765
2025/03/18 17:56:11.178, 0, 96, 108.93, 1215, 765
2025/03/18 17:56:12.183, 0, 96, 107.37, 1215, 765
2025/03/18 17:56:13.188, 0, 95, 108.30, 1215, 765
2025/03/18 17:56:14.191, 0, 95, 106.06, 1215, 765
2025/03/18 17:56:15.195, 0, 96, 109.55, 1215, 765
2025/03/18 17:56:16.202, 0, 95, 108.86, 1215, 765
2025/03/18 17:56:17.208, 0, 95, 107.16, 1215, 765
2025/03/18 17:56:18.211, 0, 96, 108.07, 1215, 765
2025/03/18 17:56:19.215, 0, 95, 106.88, 1215, 765
2025/03/18 17:56:20.218, 0, 96, 106.39, 1215, 765
2025/03/18 17:56:21.226, 0, 95, 103.67, 1215, 765
2025/03/18 17:56:22.229, 0, 96, 106.88, 1215, 765
2025/03/18 17:56:23.232, 0, 96, 113.93, 1215, 765
2025/03/18 17:56:24.235, 0, 96, 110.82, 1215, 765
2025/03/18 17:56:25.240, 0, 95, 113.80, 1215, 765
2025/03/18 17:56:26.245, 0, 95, 109.55, 1215, 765
2025/03/18 17:56:27.248, 0, 95, 111.51, 1215, 765
2025/03/18 17:56:28.251, 0, 95, 104.20, 1215, 765
2025/03/18 17:56:29.257, 0, 96, 110.28, 1215, 765
2025/03/18 17:56:30.262, 0, 96, 109.75, 1215, 765
2025/03/18 17:56:31.265, 0, 95, 110.02, 1215, 765
2025/03/18 17:56:32.270, 0, 96, 105.29, 1215, 765
2025/03/18 17:56:33.275, 0, 87, 107.89, 1215, 765
2025/03/18 17:56:34.279, 0, 95, 108.57, 1215, 765
2025/03/18 17:56:35.282, 0, 96, 108.94, 1215, 765
2025/03/18 17:56:36.289, 0, 95, 108.41, 1215, 765
2025/03/18 17:56:37.292, 0, 96, 106.88, 1215, 765
2025/03/18 17:56:38.299, 0, 96, 108.37, 1215, 765
2025/03/18 17:56:39.304, 0, 96, 107.09, 1215, 765
2025/03/18 17:56:40.307, 0, 95, 108.46, 1215, 765
2025/03/18 17:56:41.312, 0, 96, 109.32, 1215, 765
2025/03/18 17:56:42.318, 0, 96, 108.87, 1215, 765
2025/03/18 17:56:43.323, 0, 96, 107.19, 1215, 765
2025/03/18 17:56:44.326, 0, 95, 108.88, 1215, 765
2025/03/18 17:56:45.333, 0, 96, 109.47, 1215, 765
2025/03/18 17:56:46.336, 0, 95, 108.93, 1215, 765
2025/03/18 17:56:47.339, 0, 96, 106.71, 1215, 765
2025/03/18 17:56:48.344, 0, 95, 107.58, 1215, 765
2025/03/18 17:56:49.348, 0, 96, 109.66, 1215, 765
2025/03/18 17:56:50.351, 0, 96, 110.20, 1215, 765
2025/03/18 17:56:51.354, 0, 96, 106.66, 1215, 765
2025/03/18 17:56:52.360, 0, 95, 107.27, 1215, 765
2025/03/18 17:56:53.363, 0, 88, 97.36, 1215, 765
2025/03/18 17:56:54.370, 0, 95, 110.36, 1215, 765
2025/03/18 17:56:55.373, 0, 96, 104.94, 1215, 765
