timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 08:39:48.496, 1, 0, 35.52, 1215, 765
2025/03/18 08:39:49.515, 1, 0, 35.62, 1215, 765
2025/03/18 08:39:50.519, 1, 0, 35.53, 1215, 765
2025/03/18 08:39:51.525, 1, 0, 35.44, 1215, 765
2025/03/18 08:39:52.528, 1, 0, 35.44, 1215, 765
2025/03/18 08:39:53.531, 1, 0, 35.54, 1215, 765
2025/03/18 08:39:54.534, 1, 0, 35.54, 1215, 765
2025/03/18 08:39:55.537, 1, 0, 35.54, 1215, 765
2025/03/18 08:39:56.541, 1, 0, 35.54, 1215, 765
2025/03/18 08:39:57.543, 1, 0, 35.44, 1215, 765
2025/03/18 08:39:58.546, 1, 0, 35.44, 1215, 765
2025/03/18 08:39:59.551, 1, 0, 35.44, 1215, 765
2025/03/18 08:40:00.555, 1, 0, 35.53, 1215, 765
2025/03/18 08:40:01.566, 1, 0, 35.63, 1215, 765
2025/03/18 08:40:02.568, 1, 0, 35.64, 1215, 765
2025/03/18 08:40:03.573, 1, 0, 35.54, 1215, 765
2025/03/18 08:40:04.578, 1, 0, 35.54, 1215, 765
2025/03/18 08:40:05.582, 1, 0, 35.53, 1215, 765
2025/03/18 08:40:06.585, 1, 0, 35.53, 1215, 765
2025/03/18 08:40:07.588, 1, 0, 35.44, 1215, 765
2025/03/18 08:40:08.591, 1, 0, 35.64, 1215, 765
2025/03/18 08:40:09.594, 1, 0, 35.44, 1215, 765
2025/03/18 08:40:10.597, 1, 0, 35.65, 1215, 765
2025/03/18 08:40:11.605, 1, 0, 35.44, 1215, 765
2025/03/18 08:40:12.610, 1, 31, 38.70, 1215, 765
2025/03/18 08:40:13.614, 1, 47, 38.80, 1215, 765
2025/03/18 08:40:14.622, 1, 49, 38.80, 1215, 765
2025/03/18 08:40:15.625, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:16.629, 1, 0, 37.64, 1215, 765
2025/03/18 08:40:17.633, 1, 0, 37.63, 1215, 765
2025/03/18 08:40:18.636, 1, 0, 37.64, 1215, 765
2025/03/18 08:40:19.639, 1, 0, 37.64, 1215, 765
2025/03/18 08:40:20.643, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:21.647, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:22.650, 1, 0, 37.64, 1215, 765
2025/03/18 08:40:23.653, 1, 0, 37.63, 1215, 765
2025/03/18 08:40:24.657, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:25.660, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:26.665, 1, 0, 37.74, 1215, 765
2025/03/18 08:40:27.669, 1, 0, 37.64, 1215, 765
2025/03/18 08:40:28.672, 1, 0, 38.22, 1215, 765
2025/03/18 08:40:29.676, 1, 95, 104.38, 1215, 765
2025/03/18 08:40:30.679, 1, 96, 102.70, 1215, 765
2025/03/18 08:40:31.685, 1, 94, 110.84, 1215, 765
2025/03/18 08:40:32.690, 1, 95, 106.82, 1215, 765
2025/03/18 08:40:33.694, 1, 92, 91.58, 1215, 765
2025/03/18 08:40:34.699, 1, 96, 106.56, 1215, 765
2025/03/18 08:40:35.702, 1, 96, 102.62, 1215, 765
2025/03/18 08:40:36.705, 1, 96, 107.46, 1215, 765
2025/03/18 08:40:37.709, 1, 96, 107.07, 1215, 765
2025/03/18 08:40:38.718, 1, 96, 105.44, 1215, 765
2025/03/18 08:40:39.723, 1, 96, 102.87, 1215, 765
2025/03/18 08:40:40.731, 1, 96, 107.52, 1215, 765
2025/03/18 08:40:41.734, 1, 96, 103.16, 1215, 765
2025/03/18 08:40:42.738, 1, 96, 104.97, 1215, 765
2025/03/18 08:40:43.741, 1, 96, 107.19, 1215, 765
2025/03/18 08:40:44.747, 1, 96, 107.88, 1215, 765
2025/03/18 08:40:45.750, 1, 90, 104.39, 1215, 765
2025/03/18 08:40:46.754, 1, 92, 108.41, 1215, 765
2025/03/18 08:40:47.757, 1, 96, 103.29, 1215, 765
2025/03/18 08:40:48.760, 1, 96, 106.98, 1215, 765
2025/03/18 08:40:49.764, 1, 96, 106.73, 1215, 765
2025/03/18 08:40:50.767, 1, 96, 104.25, 1215, 765
2025/03/18 08:40:51.770, 1, 96, 104.29, 1215, 765
2025/03/18 08:40:52.775, 1, 96, 108.71, 1215, 765
2025/03/18 08:40:53.778, 1, 95, 105.85, 1215, 765
2025/03/18 08:40:54.784, 1, 96, 106.73, 1215, 765
2025/03/18 08:40:55.789, 1, 96, 104.80, 1215, 765
2025/03/18 08:40:56.792, 1, 96, 104.75, 1215, 765
2025/03/18 08:40:57.797, 1, 90, 105.87, 1215, 765
2025/03/18 08:40:58.801, 1, 96, 105.63, 1215, 765
2025/03/18 08:40:59.804, 1, 96, 104.69, 1215, 765
2025/03/18 08:41:00.807, 1, 96, 107.23, 1215, 765
2025/03/18 08:41:01.810, 1, 96, 107.73, 1215, 765
2025/03/18 08:41:02.818, 1, 96, 107.33, 1215, 765
2025/03/18 08:41:03.822, 1, 96, 106.27, 1215, 765
2025/03/18 08:41:04.825, 1, 95, 103.46, 1215, 765
2025/03/18 08:41:05.830, 1, 90, 104.42, 1215, 765
2025/03/18 08:41:06.834, 1, 96, 105.22, 1215, 765
2025/03/18 08:41:07.839, 1, 96, 102.90, 1215, 765
2025/03/18 08:41:08.843, 1, 95, 109.22, 1215, 765
2025/03/18 08:41:09.846, 1, 96, 107.24, 1215, 765
2025/03/18 08:41:10.850, 1, 96, 108.49, 1215, 765
2025/03/18 08:41:11.857, 1, 96, 108.61, 1215, 765
2025/03/18 08:41:12.862, 1, 96, 108.22, 1215, 765
2025/03/18 08:41:13.865, 1, 95, 107.32, 1215, 765
2025/03/18 08:41:14.868, 1, 96, 108.12, 1215, 765
2025/03/18 08:41:15.871, 1, 96, 106.70, 1215, 765
2025/03/18 08:41:16.876, 1, 96, 109.15, 1215, 765
2025/03/18 08:41:17.884, 1, 96, 102.18, 1215, 765
2025/03/18 08:41:18.887, 1, 96, 105.18, 1215, 765
2025/03/18 08:41:19.892, 1, 95, 106.34, 1215, 765
2025/03/18 08:41:20.896, 1, 95, 102.53, 1215, 765
2025/03/18 08:41:21.899, 1, 94, 106.56, 1215, 765
2025/03/18 08:41:22.905, 1, 96, 107.58, 1215, 765
2025/03/18 08:41:23.911, 1, 96, 102.79, 1215, 765
2025/03/18 08:41:24.914, 1, 96, 105.35, 1215, 765
2025/03/18 08:41:25.917, 1, 96, 106.16, 1215, 765
2025/03/18 08:41:26.922, 1, 96, 101.30, 1215, 765
2025/03/18 08:41:27.925, 1, 96, 104.65, 1215, 765
2025/03/18 08:41:28.928, 1, 96, 103.97, 1215, 765
