timestamp, index, utilization.gpu [%], power.draw [W], clocks.applications.memory [MHz], clocks.applications.graphics [MHz]
2025/03/18 07:51:07.855, 0, 0, 34.31, 1215, 765
2025/03/18 07:51:08.864, 0, 0, 34.00, 1215, 765
2025/03/18 07:51:09.867, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:10.870, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:11.873, 0, 0, 34.00, 1215, 765
2025/03/18 07:51:12.877, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:13.879, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:14.882, 0, 0, 34.31, 1215, 765
2025/03/18 07:51:15.885, 0, 0, 34.21, 1215, 765
2025/03/18 07:51:16.888, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:17.892, 0, 0, 33.99, 1215, 765
2025/03/18 07:51:18.895, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:19.902, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:20.905, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:21.912, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:22.915, 0, 0, 34.02, 1215, 765
2025/03/18 07:51:23.918, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:24.922, 0, 0, 34.12, 1215, 765
2025/03/18 07:51:25.926, 0, 0, 34.12, 1215, 765
2025/03/18 07:51:26.929, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:27.932, 0, 0, 34.12, 1215, 765
2025/03/18 07:51:28.934, 0, 0, 34.22, 1215, 765
2025/03/18 07:51:29.940, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:30.943, 0, 0, 34.12, 1215, 765
2025/03/18 07:51:31.946, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:32.949, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:33.953, 0, 0, 33.91, 1215, 765
2025/03/18 07:51:34.956, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:35.959, 0, 0, 34.12, 1215, 765
2025/03/18 07:51:36.962, 0, 0, 34.02, 1215, 765
2025/03/18 07:51:37.968, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:38.971, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:39.975, 0, 0, 34.01, 1215, 765
2025/03/18 07:51:40.981, 0, 0, 34.22, 1215, 765
2025/03/18 07:51:41.985, 0, 0, 34.00, 1215, 765
2025/03/18 07:51:42.988, 0, 4, 36.58, 1215, 765
2025/03/18 07:51:43.994, 0, 85, 36.70, 1215, 765
2025/03/18 07:51:44.997, 0, 80, 36.99, 1215, 765
2025/03/18 07:51:46.000, 0, 51, 36.89, 1215, 765
2025/03/18 07:51:47.003, 0, 84, 36.58, 1215, 765
2025/03/18 07:51:48.006, 0, 0, 36.40, 1215, 765
2025/03/18 07:51:49.012, 0, 0, 36.13, 1215, 765
2025/03/18 07:51:50.014, 0, 0, 36.42, 1215, 765
2025/03/18 07:51:51.018, 0, 0, 36.50, 1215, 765
2025/03/18 07:51:52.020, 0, 0, 36.13, 1215, 765
2025/03/18 07:51:53.023, 0, 0, 36.33, 1215, 765
2025/03/18 07:51:54.028, 0, 0, 36.40, 1215, 765
2025/03/18 07:51:55.030, 0, 0, 35.93, 1215, 765
2025/03/18 07:51:56.034, 0, 0, 35.91, 1215, 765
2025/03/18 07:51:57.041, 0, 0, 36.21, 1215, 765
2025/03/18 07:51:58.044, 0, 94, 105.85, 1215, 765
2025/03/18 07:51:59.048, 0, 94, 103.67, 1215, 765
2025/03/18 07:52:00.056, 0, 96, 99.63, 1215, 765
2025/03/18 07:52:01.061, 0, 96, 103.86, 1215, 765
2025/03/18 07:52:02.064, 0, 96, 106.15, 1215, 765
2025/03/18 07:52:03.069, 0, 96, 102.56, 1215, 765
2025/03/18 07:52:04.072, 0, 96, 104.22, 1215, 765
2025/03/18 07:52:05.078, 0, 94, 106.84, 1215, 765
2025/03/18 07:52:06.083, 0, 95, 99.52, 1215, 765
2025/03/18 07:52:07.087, 0, 96, 105.91, 1215, 765
2025/03/18 07:52:08.091, 0, 95, 106.80, 1215, 765
2025/03/18 07:52:09.096, 0, 96, 102.11, 1215, 765
2025/03/18 07:52:10.101, 0, 95, 105.26, 1215, 765
2025/03/18 07:52:11.104, 0, 96, 105.03, 1215, 765
2025/03/18 07:52:12.113, 0, 95, 107.23, 1215, 765
2025/03/18 07:52:13.118, 0, 96, 104.12, 1215, 765
2025/03/18 07:52:14.121, 0, 96, 105.66, 1215, 765
2025/03/18 07:52:15.124, 0, 96, 104.46, 1215, 765
2025/03/18 07:52:16.127, 0, 96, 103.54, 1215, 765
2025/03/18 07:52:17.133, 0, 96, 105.25, 1215, 765
2025/03/18 07:52:18.136, 0, 96, 105.85, 1215, 765
2025/03/18 07:52:19.142, 0, 95, 104.96, 1215, 765
2025/03/18 07:52:20.146, 0, 96, 105.32, 1215, 765
